"","modified","institutionCode","collectionCode","catalogNumber","scientificName","family","genus","specificEpithet","scientificNameAuthorship","typeStatus","recordNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLongitude","decimalLatitude","occurrenceRemarks","occurrenceID","acceptedNameUsage"
"1",NA,"MBM","MBM","321236","Handroanthus diamantinensis F.Esp.Santo & M.M.Silva","Bignoniaceae","Handroanthus","diamantinensis","F.Esp.Santo & M.M.Silva",NA,189,"Espírito-Santo, FS; Siqueira, GB",2011,9,29,"Brazil","Bahia","Palmeiras","PARNA Chapada Diamantina, Trilha Vale do Pati (Guiné-Andaraí), próximo a Dona Raquel",-41.455556,-12.783889,"Árvore com ca. 30m alt. Folíolos discolores, face adaxial verde-oliva, abaxial creme-amarelada; quando jovens com face adaxial verde-musgo e abaxial creme-ferrugínea. Cápsulas marrom-ferrugíneas, densamente tomentosas.","BRA:MBM:MBM:0000321236","Handroanthus diamantinensis F.Esp.Santo & M.M.Silva"
"5",NA,"UEFS","HUEFS","207814","Handroanthus diamantinensis F.Esp.Santo & M.M.Silva","Bignoniaceae","Handroanthus","diamantinensis","F.Esp.Santo & M.M.Silva",NA,138,"Espírito-Santo, F.S.",2010,8,19,"Brazil","Bahia","Palmeiras","PARNA Chapada Diamantina, Trilha Vale do Pati (Guiné - Andaraí), próximo a Dona Raquel.",-41.455556,-12.783889,NA,"BRA:UEFS:HUEFS:0000207814","Handroanthus diamantinensis F.Esp.Santo & M.M.Silva"
