"","modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLongitude","decimalLatitude","occurrenceRemarks","occurrenceID","comments","bibliographicCitation","acceptedNameUsage"
"1","","","HCDAL","13464","Jacaranda brasiliana Pers.","","Bignoniaceae","Jacaranda","brasiliana","","Pers.","","","","HCDAL13464","","Calixto, J. .T.","2018","1","15","brazil","Ceará","Lavras da Mangabeira","Região do Cariri","-38.995038","-6.778223","Arbóreo.","","centroide mpo (0)","GBIF","Jacaranda brasiliana Pers."
"2","","","CEN","98876","Jacaranda brasiliana Pers.","","Bignoniaceae","Jacaranda","brasiliana","","Pers.","B. M. T. Walter","","","6691","","José Rubens Pirani","2017","2","8","brazil","Go","COLINAS DO SUL","RPPN Cachoeira das pedras Bonitas (Torguim). Proprietário Sr. Oswaldo Ferreira da Silva. Trilha para a beira do rio Tocantinzinho, bem perto da margem do rio.","-48.0575","-14.211666","Entre grandes blocos rochosos à beira da mata-de galeria pertubada. Heliófita. folhas verde-claras. Frutos imaturos verde-claros a secos acastanhados. Doação Universidade de São Paulo. Herbário SPF.","","original coordinates","GBIF","Jacaranda brasiliana Pers."
"3","","","ALCB","127130","Jacaranda brasiliana Pers.","","Bignoniaceae","Jacaranda","brasiliana","","Pers.","Guedes, ML","2017-03-01","","25326","","Guedes, ML; Alunos de Botânica BIO C05","2017","2","3","brazil","Bahia","Rio de Contas","Chapada Diamantina, Sítio Bonito.","-41.8","-13.583333","Folhas bipinadas, pinas discolores, glabras. Fruto cápsula, imatura.; Folhas coriáceas, pecíolo curto, com indumento ferruginoso. Flores com pétalas carnosas, as três pétalas externas, vilosas, ferrugíneas.","","original coordinates","GBIF","Jacaranda brasiliana Pers."
"4","","","CEN","104121","Jacaranda brasiliana Pers.","","Bignoniaceae","Jacaranda","brasiliana","","Pers.","A. C. Servilha","","","6942","","Anderson Cássio Sevilha","2017","3","28","brazil","Mg","INDAIABIRA","Sítio 22. Ponto 3.","-42.103333","-15.431666","Terraço de rio. Projeto Bem Diverso.","","original coordinates","GBIF","Jacaranda brasiliana Pers."
"5","","","CEN","103321","Jacaranda brasiliana Pers.","","Bignoniaceae","Jacaranda","brasiliana","","Pers.","G. Pereira-Silva & L. M. Brauner","","","441","","Rômullo Quirino de Souza Ferreira","2017","8","26","brazil","To","RECURSOLANDIA","Conglomerado: TO-156. Coleta Extra.","-47.16","-8.46","Inventário Florestal Nacional (IFN). Árvore com 8 m de altura e 21,2 cm de DAP, base reta. Fuste de casca externa fina, do tipo rugosa, de cor rajada-marrom, casca interna de cor amarelo claro.","","original coordinates","GBIF","Jacaranda brasiliana Pers."
"6","","","CEN","103323","Jacaranda brasiliana Pers.","","Bignoniaceae","Jacaranda","brasiliana","","Pers.","G. Pereira-Silva & L. M. Brauner","","","556","","Teddy. D. R. Terra","2017","8","24","brazil","To","DARCINOPOLIS","Conglomerado: TO-50. Subunidade 2, subparcela 1, indivíduo 4.","-47.88","-6.84","Projeto Inventário Florestal Nacional (IFN). Arbusto com 4 m de altura e 8,6 cm de DAP, base reta. Fuste de casca externa grossa, do tipo fissurada, de cor cinza, cor interna amarela.","","original coordinates","GBIF","Jacaranda brasiliana Pers."
"7","","","MFS","007509","Jacaranda brasiliana Pers.","","Bignoniaceae","Jacaranda","brasiliana","","Pers.","","","","2002","","Lucas, FCA","2017","9","18","brazil","Pará","Cachoeira do Arari","Ilha do Marajó","-48.962517","-1.014367","Árvore de 5 m de altura com fruto imaturo verde.","","original coordinates","GBIF","Jacaranda brasiliana Pers."
"8","","","HST","22102","Jacaranda brasiliana Pers.","","Bignoniaceae","Jacaranda","brasiliana","","Pers.","A.M.Miranda","2018-05-08","","117","","K.Martins; A.Figueredo","2017","11","13","brazil","Bahia","São Desidério","","-45.482902","-12.798637","Arvoreta ca. 5,5 m alt.; caule que descama; folhas membranáceas; frutos imaturos verdes. Ocasional.","","centroide mpo","GBIF","Jacaranda brasiliana Pers."
"9","","","HUEFS","237135","Jacaranda brasiliana Pers.","","Bignoniaceae","Jacaranda","brasiliana","","Pers.","","","","119","","Chagas, D.B.das","2016","8","20","brazil","Tocantins","Porto Nacional","Faz. São Judas - Porto Nacional - TO","-48.416667","-10.8","Cerrado stricto sensu","","original coordinates","GBIF","Jacaranda brasiliana Pers."
"10","","","EAC","59871","Jacaranda brasiliana Pers.","","Bignoniaceae","Jacaranda","brasiliana","","Pers.","Lima-Verde, L.W.","2016-10-06","","172","","Pinto, G.S.","2016","8","26","brazil","Ceará","Fortaleza","Campus do Pici, Dpto. de Zootecnia - UFC.","-38.527959","-3.785769","Árvore; flor lilás.; Ambiente urbano.","","centroide mpo (0)","GBIF","Jacaranda brasiliana Pers."
"11","","","HUEFS","226945","Jacaranda brasiliana Pers.","","Bignoniaceae","Jacaranda","brasiliana","","Pers.","","","","6474","","Oliveira, M.","2016","9","26","brazil","Pernambuco","Arcoverde","Sítio Gravatazinho. Caatinga, área antrópica, próximo a uma residência. Solo argiloso.","-37.008925","-8.391761","Savana Estépica. Neossolo Litólico Eutrófico","","centroide mpo","GBIF","Jacaranda brasiliana Pers."
"12","","","RB","RB01110987","Jacaranda brasiliana Pers.","","Bignoniaceae","Jacaranda","brasiliana","","Pers.","A.P. Fontana","2014-05-15","","9399","","A.P. Fontana","2015","2","15","brazil","Pernambuco","Parnamirim","Serra do Lajedo.","-39.558611","-8.218333","Arbórea a cerca de 5 m de alt. Frutos imaturos verdes.","","original coordinates","GBIF","Jacaranda brasiliana Pers."
"13","","","RB","RB01145624","Jacaranda brasiliana Pers.","","Bignoniaceae","Jacaranda","brasiliana","","Pers.","A.P. Fontana","2015-03-19","","9112","","A.P. Fontana; J.R. Silva","2015","3","19","brazil","Paraíba","Aguiar","Lancha III, Cachoeira do Urubú.","-38.27","-7.034167","","","original coordinates","GBIF","Jacaranda brasiliana Pers."
