"","modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLongitude","decimalLatitude","occurrenceRemarks","occurrenceID","bibliographicCitation","acceptedNameUsage"
"1",NA,"UNICAMP","UEC","188951","Jacaranda montana Morawetz",NA,"Bignoniaceae","Jacaranda","montana","Morawetz",NA,NA,NA,"154",NA,"Silva, B.G.",2014,4,10,"Brazil","São Paulo","São Miguel Arcanjo","Parque Estadual Carlos Botelho",-47.971389,-24.064722,"Árvore, 8 m de altura e 11,1 cm de DAP; Floresta Ombrófila Densa","BRA:UNICAMP:UEC:0000188951",NA,"Jacaranda montana Morawetz"
"2",NA,"UNICAMP","UEC","200474","Jacaranda montana Morawetz",NA,"Bignoniaceae","Jacaranda","montana","Morawetz","Pereira, L.S.; Buturi, F.O.S.","2008-01-01T00:00:00.000+0000",NA,"N127",NA,"Pereira, L.S.; Belinello, R.; Leal, D.A.G.",2009,9,2,"Brazil","São Paulo","São Luiz do Paraitinga","Parque Estadual da Serra do Mar",-45.183333,-23.4,"Parcela N - Projeto Biota-FAPESP. Árvore com 13 metros de altura. Frequência da espécie na parcela: n=9; Mata Atlântica","BRA:UNICAMP:UEC:0000200474",NA,"Jacaranda montana Morawetz"
"3",NA,"UNICAMP","UEC","166660","Jacaranda montana Morawetz",NA,"Bignoniaceae","Jacaranda","montana","Morawetz","Tamashiro, J.Y.","2009-01-01T00:00:00.000+0000",NA,"396",NA,"Padgurschi, M.C.G.; Tamashiro, J.Y.; Belinello, R.",2008,NA,NA,"Brazil","São Paulo","São Luiz do Paraitinga","PESM - Núcleo Santa Virgínia - Parcela K, Floresta Ombrófila Densa Montana.",-45.068056,-23.325278,"K0449 Árvore, ca. 20 m, sem flores ou frutos. Abundância: 9 ind.ha-1.","BRA:UNICAMP:UEC:0000166660",NA,"Jacaranda montana Morawetz"
"4",NA,"UNICAMP","UEC","166659","Jacaranda montana Morawetz",NA,"Bignoniaceae","Jacaranda","montana","Morawetz","Tamashiro, J.Y.","2009-01-01T00:00:00.000+0000",NA,"1056",NA,"Padgurschi, M.C.G.; Tamashiro, J.Y.; Belinello, R.",2008,NA,NA,"Brazil","São Paulo","São Luiz do Paraitinga","PESM - Núcleo Santa Virgínia - Parcela K, Floresta Ombrófila Densa Montana.",-45.068056,-23.325556,"K1185 Árvore, ca. 13 m, sem flores ou frutos. Abundância: 9 ind.ha-1.","BRA:UNICAMP:UEC:0000166659",NA,"Jacaranda montana Morawetz"
"5",NA,"UFV","VIC","29427","Jacaranda montana Morawetz",NA,"Bignoniaceae","Jacaranda","montana","Morawetz","Araújo, R.S. de","2007-09-15T00:00:00.000+0000",NA,"97",NA,"Araújo, R.S. de; et al.",2007,8,16,"Brazil","Minas Gerais","Ouro Preto","Parque Estadual do Itacolomi (PEI), Trilha do Baú. Floresta Estacional Semidecídua.",0,0,"Arbórea com c.a. de 3,0 metros de altura; folíolulos dentados; cálice rosa escuro, flores lilases.","BRA:UFV:VIC:0000029427",NA,"Jacaranda montana Morawetz"
"6",NA,"Escola Superior de Agricultura Luiz de Queiroz, ESALQ","ESA","ESA020448","Jacaranda montana Morawetz",NA,"Bignoniaceae","Jacaranda","montana","Morawetz","Mazine, F.F. (08/VII/1999)",NA,NA,"886",NA,"Tamashiro, J.Y. et al.",1995,4,13,"Brazil","São Paulo","São Bento do Sapucaí",NA,NA,NA,NA,"BRA:ESALQ:ESA:0ESA020448",NA,"Jacaranda montana Morawetz"
"8",NA,"Instituto de Botânica, IBT","SP","285331","Jacaranda montana Morawetz",NA,"Bignoniaceae","Jacaranda","montana","Morawetz",NA,NA,NA,"704",NA,"Garcia, RJF; Ferreira, GMP; Falanga, R",1995,8,14,"Brazil","São Paulo","São Paulo","Sítio à esquerda na estrada Eng. Marsilac, sentido Eng. Marsilac. Trilha após a travessia do riacho, no sentido do pasto",-46.727778,-23.896111,NA,"BRA:IBt:SP:0000285331",NA,"Jacaranda montana Morawetz"
"10",NA,"Universidade Estadual Paulista, UNESP","HRCB","21661","Jacaranda montana Morawetz",NA,"Bignoniaceae","Jacaranda","montana","Morawetz","Assis, M.A.","1996-02-01T00:00:00.000+0000",NA,"990",NA,"Almeida-Scabbia, R.J.",1994,11,25,"Brazil","São Paulo","Sete Barras","Fazenda Intervales",NA,NA,"Árvore, 25m de altura, frutos verdes presentes.","BRA:UNESPRC:HRCB:0000021661",NA,"Jacaranda montana Morawetz"
"11",NA,"Universidade Federal do Ceará, UFC","EAC","20900","Jacaranda montana Morawetz",NA,"Bignoniaceae","Jacaranda","montana","Morawetz","Araújo, R.S.","2018-02-28T00:00:00.000+0000",NA,"111",NA,"Oliveira, M.R.L.",1993,10,15,"Brazil","Ceará","Guaramiranga","Sítio Cana-brava",0,0,"Árvore.","BRA:UFC:EAC:0000020900",NA,"Jacaranda montana Morawetz"
"12",NA,"Escola Superior de Agricultura Luiz de Queiroz, ESALQ","ESA","ESA013118","Jacaranda montana Morawetz",NA,"Bignoniaceae","Jacaranda","montana","Morawetz","Mazine, F.F. (10/II/1998)",NA,NA,"841",NA,"Moraes, P.L.R.",1993,10,29,"Brazil","São Paulo","São Miguel Arcanjo",NA,NA,NA,NA,"BRA:ESALQ:ESA:0ESA013118",NA,"Jacaranda montana Morawetz"
"13",NA,"Escola Superior de Agricultura Luiz de Queiroz, ESALQ","ESA","ESA013367","Jacaranda montana Morawetz",NA,"Bignoniaceae","Jacaranda","montana","Morawetz","Mazine, F.F. (19/II/1998)",NA,NA,"2703",NA,"Kirizawa, M. ; Sugiyama, M.",1992,9,22,"Brazil","São Paulo","São Miguel Arcanjo",NA,NA,NA,NA,"BRA:ESALQ:ESA:0ESA013367",NA,"Jacaranda montana Morawetz"
"14","2008-05-27T22:02:00.000+0000","MO","MO","1042870","Jacaranda montana Morawetz",NA,"Bignoniaceae","Jacaranda","montana","Morawetz",NA,NA,NA,"Custodio Filho 4721",NA,"A. Custodio Filho|Alwyn H. Gentry",1987,2,5,"Brazil","São Paulo",NA,"Boraceia, between Moji das Cruzes and Biritiba- Mirim, crest of Serra do Mar",-46,-23.58333,NA,"urn:catalog:MO:Tropicos:1042870","http://www.tropicos.org/Specimen/1042870","Jacaranda montana Morawetz"
