"","modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLongitude","decimalLatitude","occurrenceRemarks","occurrenceID","comments","bibliographicCitation","acceptedNameUsage"
"1","","","ALCB","132393","Jacaranda irwinii A.H.Gentry","","Bignoniaceae","Jacaranda","irwinii","","A.H.Gentry","Guedes, ML","2018-07-01","","30325","","Guedes, ML","2018","2","18","brazil","Bahia","Mucugê","Caminho para AABB.","-41.650556","-13.659167","Folhas com folíolos coriáceos, discolores. Inflorescência com flores púrpuras. Fruto cápsula.","","original coordinates","GBIF","Jacaranda irwinii A.H.Gentry"
"2","","","ALCB","126901","Jacaranda irwinii A.H.Gentry","","Bignoniaceae","Jacaranda","irwinii","","A.H.Gentry","Guedes, ML","2017-03-01","","25436","","Guedes, ML; Alunos de Sistemática Evolução de Espermatófitas","2017","2","4","brazil","Bahia","Rio de Contas","Chapada Diamantina, Cachoeira do Fraga.","-42.35","-13.983333","Folhas com folíolos com a face abaxial vilosa. Inflorescência com flores liláses.","","original coordinates","GBIF","Jacaranda irwinii A.H.Gentry"
"3","","","ALCB","127194","Jacaranda irwinii A.H.Gentry","","Bignoniaceae","Jacaranda","irwinii","","A.H.Gentry","Guedes, ML","2017-04-01","","25389","","Guedes, ML; Alunos de Botânica BIO C05","2017","2","3","brazil","Bahia","Rio de Contas","Chapada Diamantina, Margem do Rio Água Suja.","-42.716667","-14.35","Folíolos coriáceos, discolores, face abaxial com indumento esbranquiçado. Inflorescência com flores róseas.","","original coordinates","GBIF","Jacaranda irwinii A.H.Gentry"
"4","","","HUEFS","225571","Jacaranda irwinii A.H.Gentry","","Bignoniaceae","Jacaranda","irwinii","","A.H.Gentry","","","","51","","Chaves, E.S.","2016","2","14","brazil","Bahia","Mucugê","Entrada da cidade, lado esquerdo da estrada de terra, mais interior, área degradada.","-41.385","-12.995556","","","original coordinates","GBIF","Jacaranda irwinii A.H.Gentry"
"5","","","ALCB","123448","Jacaranda irwinii A.H.Gentry","","Bignoniaceae","Jacaranda","irwinii","","A.H.Gentry","Guedes, ML","2016-05-01","","24448","","Guedes, ML; Velozo, ES; Casaes, M; Araújo, F; Costa, R dos S; Abreu, LS","2016","3","24","brazil","Bahia","Morro do Chapéu","Cachoeira do Ferro Doido.","-41.15","-11.216667","Folhas pinadas, pinas coriáceas, discolores. Inflorescência com flores vináceas, aromáticas. Frutos cápsulas.","","original coordinates","GBIF","Jacaranda irwinii A.H.Gentry"
"6","","","HVASF","23206","Jacaranda irwinii A.H.Gentry","","Bignoniaceae","Jacaranda","irwinii","","A.H.Gentry","S.L. Costa","2018-02-06","","20","","E.D.S. Almeida","2016","7","16","brazil","Bahia","Jacobina","Trilha entre a Serra dos Ventos e o Monte Cruzeiro","-40.50825","-11.203","Arbusto ca. de 2,0 m alt. Flores róseas, vistosas, frutos passados.","","original coordinates","GBIF","Jacaranda irwinii A.H.Gentry"
"7","","","HVASF","23207","Jacaranda irwinii A.H.Gentry","","Bignoniaceae","Jacaranda","irwinii","","A.H.Gentry","S.L. Costa","2018-02-06","","21","","E.D.S. Almeida","2016","7","16","brazil","Bahia","Jacobina","Trilha entre a Serra dos Ventos e o Monte Cruzeiro","-40.50825","-11.203","Arbusto ca. 2,0 m de alt., crescem em cima das pedras próximas a uma velha pavimentação de paralelepípedos, muito desgastados. Flores liláses, vistosas.","","original coordinates","GBIF","Jacaranda irwinii A.H.Gentry"
"8","","","HURB","15200","Jacaranda irwinii A.H.Gentry","","Bignoniaceae","Jacaranda","irwinii","","A.H.Gentry","","","","2262","","Costa, G.; Conceição, A.A.; Araújo, T.; Coelho, J,; Campo,L. & Gandara, A.","2016","12","11","brazil","Bahia","Lençóis","Mucugezinho;","-41.334774","-12.419573","","","centroide mpo","GBIF","Jacaranda irwinii A.H.Gentry"
"9","","","HUEFS","207041","Jacaranda irwinii A.H.Gentry","","Bignoniaceae","Jacaranda","irwinii","","A.H.Gentry","","","","12713","","Melo, E.","2014","4","19","brazil","Bahia","Piatã","Estrada para Povoado do Rio de Contas.","-41.765278","-13.124167","Mata de encosta.","","original coordinates","GBIF","Jacaranda irwinii A.H.Gentry"
"10","","","ALCB","113430","Jacaranda irwinii A.H.Gentry","","Bignoniaceae","Jacaranda","irwinii","","A.H.Gentry","Roque, N","2014-05-01","","4236","","Roque, N; Alunos de Sistemática Evolução de Espermatófitas","2014","5","24","brazil","Bahia","Palmeiras","Trilha para Poço das Águas Claras.","-41.484722","-12.536944","70-1,5m de alt. Folhas discolores. Cálice verde-avermelhado, corola lilás.; Ecótono. Campos rupestres.","","original coordinates","GBIF","Jacaranda irwinii A.H.Gentry"
