"","modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLongitude","decimalLatitude","occurrenceRemarks","occurrenceID","bibliographicCitation","acceptedNameUsage","infraspecificEpithet","comments"
"1",NA,"UEFS","HUEFS","165293","Handroanthus pedicellatus (Bur. & K.Schum.) Mattos",NA,"Bignoniaceae","Handroanthus","pedicellatus","(Bur. & K.Schum.) Mattos","F.S.Espírito-Santo","2011-10-01T00:00:00.000+0000",NA,"14908",NA,"Queiroz, L.P.de",2010,10,26,"Brazil","Bahia","Ituaçu","Estrada Ituaçu-Tanhaçu",-41.300556,-13.856111,"Caatinga arbustivo-arbórea próximo a afloramento calcário.","BRA:UEFS:HUEFS:0000165293",NA,"Handroanthus pedicellatus (Bur. & K.Schum.) Mattos",NA,NA
"2","2008-05-27T22:02:00.000+0000","MO","MO","1048270","Tabebuia pedicellata (Bureau & K.Schum.) A.H.Gentry & Fl.Neotrop.Monogr.",NA,"Bignoniaceae","Handroanthus","pedicellata","(Bureau & K.Schum.) A.H.Gentry & Fl.Neotrop.Monogr.",NA,NA,NA,"Ribeiro 1345",NA,"Ribeiro",1988,4,22,"Brazil","Rio de Janeiro",NA,"Rua Conde de Bonfim.",NA,NA,NA,"urn:catalog:MO:Tropicos:1048270","http://www.tropicos.org/Specimen/1048270","Tabebuia pedicellata (Bureau & K.Schum.) A.H.Gentry & Fl.Neotrop.Monogr.",NA,NA
"3",NA,"NY","NY","402865","Handroanthus pedicellatus (Bur. & K.Schum.) Mattos",NA,"Bignoniaceae","Handroanthus","pedicellatus","(Bur. & K.Schum.) Mattos",NA,NA,NA,"25758",NA,"R. M. Harley",1988,10,29,"Brazil","Bahia",NA,"6 km ao N da cidade na estrada para Rio de Contas.",-41.83,-13.63,NA,"3ab7170b-380c-4c9a-a304-cd61093f0851",NA,"Handroanthus pedicellatus (Bur. & K.Schum.) Mattos",NA,NA
"4","2015-08-13T05:50:00.000+0000","MO","MO","1049559","Tabebuia pedicellata (Bureau & K.Schum.) A.H.Gentry & Fl.Neotrop.Monogr.",NA,"Bignoniaceae","Handroanthus","pedicellata","(Bureau & K.Schum.) A.H.Gentry & Fl.Neotrop.Monogr.","A. Gentry (MO)",NA,NA,"Harley 25758",NA,"R.M. Harley|et al.",1988,10,29,"Brazil","Bahia",NA,"Livramento do Brumado, 3-6 km da cidade na estrada par -a Río de Contas.",-41.83333,-13.63333,NA,"urn:catalog:MO:Tropicos:1049559","http://www.tropicos.org/Specimen/1049559","Tabebuia pedicellata (Bureau & K.Schum.) A.H.Gentry & Fl.Neotrop.Monogr.",NA,NA
"5","2014-08-26T00:00:00.000+0000","K","Herbarium","K000902561","Handroanthus pedicellatus (Bur. & K.Schum.) Mattos",NA,"Bignoniaceae","Handroanthus","pedicellatus","(Bur. & K.Schum.) Mattos",NA,NA,NA,"25758",NA,"Hind, D.J.N.; Fothergill, J.M.; Simão, R.; Harley, R.M.",1988,10,29,"Brazil",NA,"Livramento do Brumado","6km ao N da cidade na estrada para Rio de Contas.",-41.83,-13.63,"Projeto dos Campos Rupestres do Brasil. Colab.: IBUSP, Univ. de São Paulo (SPF), CEPLAC (CEPEC) Bahia & R.B.G. Kew (K) - Patrocínio do Nat. Geographic Soc","http://specimens.kew.org/herbarium/K000902561",NA,"Handroanthus pedicellatus (Bur. & K.Schum.) Mattos",NA,NA
"6","2013-08-23T04:12:00.000+0000","MO","MO","485567","Tabebuia pedicellata (Bureau & K.Schum.) A.H.Gentry & Fl.Neotrop.Monogr.",NA,"Bignoniaceae","Handroanthus","pedicellata","(Bureau & K.Schum.) A.H.Gentry & Fl.Neotrop.Monogr.",NA,NA,NA,"Peixoto 3001","85-1","Ariane L. Peixoto|et al.",1985,1,30,"Brazil","Rio de Janeiro",NA,"BR 101 Rio-Campos, 168 km ao sul de Campos. Alt. 30 m.",NA,NA,NA,"urn:catalog:MO:Tropicos:485567","http://www.tropicos.org/Specimen/485567","Tabebuia pedicellata (Bureau & K.Schum.) A.H.Gentry & Fl.Neotrop.Monogr.",NA,NA
"7",NA,"MBM","MBM","92233","Tabebuia pedicellata (Bureau & K.Schum.) A.H.Gentry & Fl.Neotrop.Monogr.",NA,"Bignoniaceae","Handroanthus","pedicellata","(Bureau & K.Schum.) A.H.Gentry & Fl.Neotrop.Monogr.","Gentry, A",NA,NA,"48146",NA,"Hatschbach, G",1984,9,13,"Brazil","Minas Gerais","Itaobim","Corrego Três Irmãos",0,0,NA,"BRA:MBM:MBM:0000092233",NA,"Tabebuia pedicellata (Bureau & K.Schum.) A.H.Gentry & Fl.Neotrop.Monogr.",NA,NA
"9","2009-07-09T17:05:00.000+0000","MO","MO","1045006","Tabebuia pedicellata (Bureau & K.Schum.) A.H.Gentry & Fl.Neotrop.Monogr.",NA,"Bignoniaceae","Handroanthus","pedicellata","(Bureau & K.Schum.) A.H.Gentry & Fl.Neotrop.Monogr.",NA,NA,NA,"Hatschbach 48146",NA,"Gert G. Hatschbach",1984,9,13,"Brazil","Minas Gerais",NA,"Itaobim.",NA,NA,NA,"urn:catalog:MO:Tropicos:1045006","http://www.tropicos.org/Specimen/1045006","Tabebuia pedicellata (Bureau & K.Schum.) A.H.Gentry & Fl.Neotrop.Monogr.",NA,NA
"11","2013-08-23T04:12:00.000+0000","MO","MO","1044986","Tabebuia pedicellata (Bureau & K.Schum.) A.H.Gentry & Fl.Neotrop.Monogr.",NA,"Bignoniaceae","Handroanthus","pedicellata","(Bureau & K.Schum.) A.H.Gentry & Fl.Neotrop.Monogr.","A. Gentry, 1987 (MO)",NA,NA,"Angeli 387",NA,"C. Angeli",1964,11,24,"Brazil","Rio de Janeiro",NA,"Rua Conde da Bonfim, Maracana.",NA,NA,NA,"urn:catalog:MO:Tropicos:1044986","http://www.tropicos.org/Specimen/1044986","Tabebuia pedicellata (Bureau & K.Schum.) A.H.Gentry & Fl.Neotrop.Monogr.",NA,NA
"12",NA,"MBML","MBML-HERBARIO","1272","Handroanthus pedicellatus (Bur. & K.Schum.) Mattos",NA,"Bignoniaceae","Handroanthus","pedicellatus","(Bur. & K.Schum.) Mattos","R.F. Almeida/20-01-2010",NA,NA,"0",NA,"G. Dalcolmo",1953,NA,NA,"Brazil","Espírito Santo","Santa Teresa","São João de Petrópolis",-40.678056,-19.814167,"Ipê tabaco.","BRA:MBML:MBML-HERBARIO:0000001272",NA,"Handroanthus pedicellatus (Bur. & K.Schum.) Mattos",NA,NA
