"","modified","institutionCode","collectionCode","catalogNumber","scientificName","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLongitude","decimalLatitude","occurrenceRemarks","occurrenceID","bibliographicCitation","acceptedNameUsage","identificationQualifier","comments","FID","new_Lat","new_Lon","notes"
"26",NA,"Universidade Tecnológica Federal do Paraná (UTFPR)","HCF","20234","Citharexylum solanaceum Cham.","Verbenaceae","Citharexylum","solanaceum",NA,"Cham.","M. Verdi","2010-03-08T00:00:00.000+0000",NA,"3778",NA,"M. Verdi",2010,3,8,"brazil","santa catarina","urubici","RPPN Leão da Montanha",-49.375,-28.01,"Floresta Ombrófila Mista; arbórea; Fruto laranja.","BRA:UTFPR:HCF:0000020234",NA,"Citharexylum solanaceum Cham.",NA,NA,414,-28.01,-49.375,"original coordinates"
"27",NA,"Universidade Regional de Blumenau, FURB","FURB","22215","Citharexylum solanaceum Cham.","Verbenaceae","Citharexylum","solanaceum",NA,"Cham.","Verdi, M","2010-03-08T00:00:00.000+0000",NA,"3778",NA,"Verdi, M.",2010,3,8,"brazil","santa catarina","urubici","RPPN Leão da Montanha.",-49.375,-28.01,"Florística IFFSC mv30 (Arbórea)","BRA:FURB:FURB:0000022215",NA,"Citharexylum solanaceum Cham.",NA,NA,414,-28.01,-49.375,"original coordinates"
"28",NA,"Universidade Regional de Blumenau, FURB","FURB","11136","Citharexylum solanaceum Cham.","Verbenaceae","Citharexylum","solanaceum",NA,"Cham.","Sobral, M","2009-03-01T00:00:00.000+0000",NA,"1383",NA,"Verdi, M.",2009,1,23,"brazil","santa catarina","anita garibaldi","Lajeado dos Crespos.",-51.164167,-27.764167,"Florística IFFSC 1000(Arbórea)","BRA:FURB:FURB:0000011136",NA,"Citharexylum solanaceum Cham.",NA,NA,480,-27.764167,-51.164167,"original coordinates"
"29",NA,"Universidade Tecnológica Federal do Paraná (UTFPR)","HCF","20252","Citharexylum solanaceum Cham.","Verbenaceae","Citharexylum","solanaceum",NA,"Cham.","M. Sobral","2009-03-01T00:00:00.000+0000",NA,"5699",NA,"M. Verdi",2009,1,23,"brazil","santa catarina","anita garibaldi","Lajeado dos Crespos",-51.164167,-27.764167,"Floresta Estacional Semidecidual. Fruto laranja.","BRA:UTFPR:HCF:0000020252",NA,"Citharexylum solanaceum Cham.",NA,NA,480,-27.764167,-51.164167,"original coordinates"
"30",NA,"Universidade Federal de Santa Catarina (UFSC)","FLOR","59427","Citharexylum solanaceum Cham.","Verbenaceae","Citharexylum","solanaceum",NA,"Cham.","Sobral, M.","2009-07-17T00:00:00.000+0000",NA,"1993",NA,"Verdi, M.",2009,4,23,"brazil","santa catarina","urubici",NA,-49.406667,-28.080278,"Arbórea, fruto laranja. Doação Herbário FURB 13121.","BRA:UFSC:FLOR:0000059427",NA,"Citharexylum solanaceum Cham.",NA,NA,414,-28.080278,-49.406667,"original coordinates"
"31",NA,"UFRGS","ICN","163716","Citharexylum solanaceum Cham.","Verbenaceae","Citharexylum","solanaceum",NA,"Cham.","Martin Molz",NA,NA,"s.n.",NA,"Molz, M; Tiago Closs De Marchi",2009,6,13,"brazil","rio grande do sul","bom jesus","Coord.:540208.34 6858208.088",0,0,"Arvoreta com aproximadamente 3 m de altura (ind. jovem); Próximo à borda da mata","BRA:UFRGS:ICN:0000163716",NA,"Citharexylum solanaceum Cham.",NA,NA,318,-28.597987,-50.423283,"centroide mpo (0)"
"32",NA,"UNIVILLE","JOI","16079","Citharexylum solanaceum Cham.","Verbenaceae","Citharexylum","solanaceum",NA,"Cham.","Oliveira, A.A.","2010-01-25T00:00:00.000+0000",NA,"2896",NA,"Verdi, M.",2009,11,3,"brazil","santa catarina","criciuma","Bairro Universitário (Próximo a UNESC).",NA,NA,"; HABITAT: entorno do fragmento; HABITO: arvoreta; TIPO VEGETACIONAL: Floresta Ombrófila Densa","BRA:UNIVILLE:JOI:0000016079",NA,"Citharexylum solanaceum Cham.",NA,NA,295,-28.717484,-28.717484,"centroide mpo"
"33",NA,"UFRGS","ICN","175447","Citharexylum solanaceum Cham.","Verbenaceae","Citharexylum","solanaceum",NA,"Cham.",NA,NA,NA,"268",NA,"Thode, V",2009,11,6,"brazil","rio grande do sul","caraa","beira da estrada dos Gringos",-50.358056,-29.835278,NA,"BRA:UFRGS:ICN:0000175447",NA,"Citharexylum solanaceum Cham.",NA,NA,89,-29.835278,-50.358056,"original coordinates"
"34",NA,"IAP","PACA-AGP","105722","Citharexylum solanaceum Cham.","Verbenaceae","Citharexylum","solanaceum",NA,"Cham.","J. Mahus","2009-11-27T00:00:00.000+0000",NA,NA,NA,"Mauhs, J.",2009,11,27,"brazil","rio grande do sul","vacaria","P. E. Ibitiriá.",-50.744444,-28.325,"Habitat: Em borda de mata","BRA:IAP:PACA-AGP:0000105722",NA,"Citharexylum solanaceum Cham.",NA,NA,360,-28.325,-50.744444,"original coordinates"
"35",NA,"Universidade Regional de Blumenau, FURB","FURB","9191","Citharexylum solanaceum Cham.","Verbenaceae","Citharexylum","solanaceum",NA,"Cham.","Sobral, M","2008-04-01T00:00:00.000+0000",NA,"321",NA,"Verdi, M.",2008,2,21,"brazil","santa catarina","curitibanos","Estrada do Lucro / Fazenda Bela Vista.",-50.671389,-27.269167,"IFFSC 450/N/24.","BRA:FURB:FURB:0000009191",NA,"Citharexylum solanaceum Cham.",NA,NA,594,-27.269167,-50.671389,"original coordinates"
"36",NA,"Instituto Plantarum de Estudos da Flora Ltda (HPL)","HPL","10231","Citharexylum solanaceum Cham.","Verbenaceae","Citharexylum","solanaceum",NA,"Cham.","R. Tsuji","2008-03-02T00:00:00.000+0000",NA,"2469",NA,"R. Tsuji",2008,3,2,"brazil","parana","sao lourenco do oeste","Coletado nas proximidades do município de São Lourenço do Oeste, sentido Santa Catarina (lado direito antes da curva de velocidade máx. de 40km por hora).",NA,NA,NA,"BRA:JBP:HPL:0000010231",NA,"Citharexylum solanaceum Cham.",NA,NA,NA,NA,NA,"centroide mpo"
"37",NA,"UFRGS","ICN","155622","Citharexylum solanaceum Cham.","Verbenaceae","Citharexylum","solanaceum",NA,"Cham.","Lima, LF",NA,NA,"536",NA,"Lima, LF; M dos Santos, MF",2008,6,14,"brazil","rio grande do sul","sao francisco de paula","Floresta Nacional de São Francisco de Paula",0,0,"Frutos alaranjados; Borda de mata, ao longo de rio","BRA:UFRGS:ICN:0000155622",NA,"Citharexylum solanaceum Cham.",NA,NA,221,-29.199375,-50.559952,"centroide mpo (0)"
"38",NA,"Universidade Regional de Blumenau, FURB","FURB","14784","Citharexylum solanaceum Cham.","Verbenaceae","Citharexylum","solanaceum",NA,"Cham.","Meyer, FS","2008-12-01T00:00:00.000+0000",NA,"832",NA,"Meyer, F.S.",2008,11,22,"brazil","santa catarina","sao bento do sul","Cepa - Rugendas, Univille.",-49.378611,-26.250556,NA,"BRA:FURB:FURB:0000014784",NA,"Citharexylum solanaceum Cham.",NA,NA,787,-26.250556,-49.378611,"original coordinates"
"39",NA,"UFRGS","ICN","183560","Citharexylum solanaceum Cham.","Verbenaceae","Citharexylum","solanaceum",NA,"Cham.","Seger, GDS",NA,NA,"674",NA,"Seger, GDS",2008,12,8,"brazil","rio grande do sul","sao francisco de paula","Floresta Nacional (FLONA-SFP) Morro dos Cavalos",0,0,"Duplicata doada a HUCS; Flores brancas, ca. de 3m; Borda de mata nativa","BRA:UFRGS:ICN:0000183560",NA,"Citharexylum solanaceum Cham.",NA,NA,221,-29.199375,-50.559952,"centroide mpo (0)"
