"","modified","institutionCode","collectionCode","catalogNumber","scientificName","family","genus","specificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLongitude","decimalLatitude","occurrenceRemarks","occurrenceID","bibliographicCitation","acceptedNameUsage","identificationQualifier","infraspecificEpithet","fieldNumber","comments"
"1","2008-05-27T22:02:00.000+0000","MO","MO","3309794","Licania fritschii Prance","Chrysobalanaceae","Licania","fritschii","Prance","G.T. Prance","1990-01-01T00:00:00.000+0000",NA,"Cid Ferreira 8268","C.A. Cid Ferreira|et al.",1986,10,23,"Brazil",NA,NA,"Planta do Amazonas. Parinari. Município de Jutaí, margem direita do Rio Solimoes, localidade Copessu, logo abaixo da cidade de Jutaí a +/- 5 km da margem. Mata de terra firme, solo argiloso.",-66.7,-2.71666,NA,"urn:catalog:MO:Tropicos:3309794","http://www.tropicos.org/Specimen/3309794","Licania fritschii Prance",NA,NA,NA,NA
"2",NA,"NY","NY","01253090","Licania fritschii Prance","Chrysobalanaceae","Licania","fritschii","Prance","G. T. Prance","1990-01-01T00:00:00.000+0000",NA,"8268","C. A. Cid Ferreira",1986,10,23,"Brazil","Amazonas",NA,"Margem direita do Rio Solimões, localidade Capessu, logo abaixo da cidade de Jutaí a ± 5 km da margem.",-66.7,-2.716667,NA,"5fe2b73d-10cd-4651-acc6-c08475afd738",NA,"Licania fritschii Prance",NA,NA,NA,NA
"3",NA,"UFPB","JPB","16738","Licania fritschii Prance","Chrysobalanaceae","Licania","fritschii","Prance","Barbosa-Silva, RG","2017-12-01T00:00:00.000+0000",NA,"8268","Cid Ferreira, CA; et al.",1986,10,23,"Brazil","Amazonas","Jutaí",NA,0,0,"Arbóreo ; DE","BRA:UFPB:JPB:0000016738",NA,"Licania fritschii Prance",NA,NA,NA,NA
"4",NA,"NY","NY","01292557","Licania fritschii Prance","Chrysobalanaceae","Licania","fritschii","Prance","G. T. Prance","1990-01-01T00:00:00.000+0000",NA,"8268","C. A. Cid Ferreira",1986,10,23,"Brazil","Amazonas",NA,"Margem direita do Rio Solimões, localidade Capessu, logo abaixo da cidade de Jutaí a ± 5 km da margem.",-66.7,-2.716667,NA,"b712cab3-5e6f-4efe-9f5a-d96a12c4bf4c",NA,"Licania fritschii Prance",NA,NA,NA,NA
"5",NA,"NY","NY","428400","Licania fritschii Prance","Chrysobalanaceae","Licania","fritschii","Prance",NA,NA,"HOLOTYPE","6731","J. M. Pires",1956,1,NA,"Brazil","ParÃ¡",NA,"IAN: Reserva  florestal do Mucambo",-48.417263,-1.440264,NA,"d83be2ff-3094-403c-8957-8d8c01e75ac1",NA,"Licania fritschii Prance",NA,NA,NA,NA
"6",NA,"UnB","UB","2067","Licania fritschii Prance","Chrysobalanaceae","Licania","fritschii","Prance","Prance, GT",NA,"ISOTYPE","6731","Pires, JM; Silva, NT",1956,1,NA,"Brazil","Pará","Belém","Reserva Florestal do Mucambo",0,0,"Tipo.; Árvore; .","BRA:UnB:UB:0000002067",NA,"Licania fritschii Prance",NA,NA,NA,NA
"7",NA,"NY","NY","01253091","Licania fritschii Prance","Chrysobalanaceae","Licania","fritschii","Prance",NA,NA,NA,"8850","B. A. Krukoff",1936,10,26,"Brazil","Amazonas",NA,"Basin of Rio Solimoes, basin of creek BelÃ©m",0,0,NA,"ebe93253-ee17-4f17-a113-8c6a3b871a72",NA,"Licania fritschii Prance",NA,NA,NA,NA
"8","2017-10-17T16:56:03.000+0000","JBRJ","RB","RB00537070","Licania fritschii Prance","Chrysobalanaceae","Licania","fritschii","Prance","G.T. Prance",NA,"PARATYPE",NA,"Ducke, A.",1935,11,8,"Brazil","Amazonas","Borba","Rio Madeira.",NA,NA,"Árv. bast. gr.; fl. brancacenta. rio madeira","urn:catalog:JBRJ:RB:537070",NA,"Licania fritschii Prance",NA,NA,NA,NA
"9","2017-10-17T17:55:25.000+0000","JBRJ","RB","RB00538901","Licania fritschii Prance","Chrysobalanaceae","Licania","fritschii","Prance","G.T. Prance",NA,"PARATYPE",NA,"Ducke, A.",1935,11,8,"Brazil","Amazonas","Borba","Rio Madeira.",NA,NA,"Árv. bast. gr.; fl. brancacenta. rio madeira","urn:catalog:JBRJ:RB:538901",NA,"Licania fritschii Prance",NA,NA,NA,NA
"10","2017-10-18T16:30:54.000+0000","JBRJ","RB","RB00537071","Licania fritschii Prance","Chrysobalanaceae","Licania","fritschii","Prance","G.T. Prance",NA,"PARATYPE",NA,"Ducke, A.",1927,7,5,"Brazil","Pará","Belém","Mata da 2º estrada de Val de Cães, mata de terra firme.",NA,NA,"Árv. mediana; fl. pardecenta.","urn:catalog:JBRJ:RB:537071",NA,"Licania fritschii Prance",NA,NA,NA,NA
"11","2017-10-18T17:09:17.000+0000","JBRJ","RB","RB00540086","Licania fritschii Prance","Chrysobalanaceae","Licania","fritschii","Prance","G.T. Prance",NA,"PARATYPE",NA,"Ducke, A.",1927,7,5,"Brazil","Pará","Belém","Mata da 2º estrada de Val de Cães, mata de terra firme.",NA,NA,"Árv. mediana; fl. pardecenta.","urn:catalog:JBRJ:RB:540086",NA,"Licania fritschii Prance",NA,NA,NA,NA
"12","2017-10-18T16:35:25.000+0000","JBRJ","RB","RB00537195","Licania fritschii Prance","Chrysobalanaceae","Licania","fritschii","Prance","G.T. Prance",NA,"PARATYPE",NA,"Ducke, A.",1927,7,5,"Brazil","Pará","Belém","Mata da 2º estrada de Val de Cães, mata de terra firme.",NA,NA,"Árv. mediana; fl. pardecenta.","urn:catalog:JBRJ:RB:537195",NA,"Licania fritschii Prance",NA,NA,NA,NA
"13",NA,"F","Botany","V0185894F","Licania fritschii Prance","Chrysobalanaceae","Licania","fritschii","Prance",NA,NA,NA,NA,NA,NA,NA,NA,"Brazil",NA,NA,NA,-52.8731,-10.8339,NA,"f5c5c23f-a5d3-4893-90bb-e03a40e1fc0e",NA,"Licania fritschii Prance",NA,NA,NA,NA
