"","modified","institutionCode","collectionCode","catalogNumber","scientificName","family","genus","specificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLongitude","decimalLatitude","occurrenceRemarks","occurrenceID","acceptedNameUsage","identificationQualifier","infraspecificEpithet","fieldNumber","comments","bibliographicCitation"
"1","2017-10-15T15:48:13.000+0000","JBRJ","RB","RB00068363","Couepia cidiana Prance","Chrysobalanaceae","Couepia","cidiana","Prance","J.T. Prance","1987-01-21T00:00:00.000+0000",NA,"7052","G. Martinelli; C. Davidson; C.D.A. Mota",1980,6,22,"Brazil","Pará","Oriximiná","Rio Cachorro, Serra do Cachorro, 16 Km NW de cachoeira Porteira.",NA,NA,"Árvore, 10 m, crescendo na base da serra de !salitre"", local úmido; folhas na face ventral verde, face dorsal argentes; flores passadas com pedicelo e calice amarelo-ferrugíneo, piloso; estames passados castanho-escuros.","urn:catalog:JBRJ:RB:68363","Couepia cidiana Prance",NA,NA,NA,NA,NA
"2","2014-09-26T00:00:00.000+0000","Instituto Nacional de Pesquisas da Amazônia (INPA)","Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)","101648","Couepia cidiana Prance","Chrysobalanaceae","Couepia","cidiana","Prance","Prance, G.T.","1987-01-21T00:00:00.000+0000",NA,"7052","Mike Hopkins",1980,6,22,"Brazil","Pará",NA,"Rio Cachorro, Serra do Cachorro, 16 km NW de Cachoeira Porteira. Mata de terra firme.",NA,NA,NA,"urn:catalog:inpa:herbarium:98103","Couepia cidiana Prance",NA,NA,NA,NA,NA
"3",NA,"US","Botany","2985757","Couepia cidiana Prance","Chrysobalanaceae","Couepia","cidiana","Prance",NA,NA,"ISOTYPE","2261","C. A. Cid Ferreira",1980,7,9,"Brazil","Pará",NA,"Rio Paru do Oeste.",NA,NA,NA,"http://n2t.net/ark:/65665/344c396db-42e0-464b-b119-f45870f065f3","Couepia cidiana Prance",NA,NA,NA,NA,NA
"4","2014-09-26T00:00:00.000+0000","Instituto Nacional de Pesquisas da Amazônia (INPA)","Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)","96502","Couepia cidiana Prance","Chrysobalanaceae","Couepia","cidiana","Prance","Prance, G.T.","1982-01-01T00:00:00.000+0000",NA,"2261","Mike Hopkins",1980,9,7,"Brazil","Pará",NA,"Rio Paru do Oeste, margem esquerda da cachoeira Chuvisco. Mata de terra firme. Solo argilo-arenoso.",NA,NA,NA,"urn:catalog:inpa:herbarium:46697","Couepia cidiana Prance",NA,NA,NA,NA,NA
"5","2009-08-17T11:07:02.000+0000","JBRJ","RB","RB00068351","Couepia cidiana Prance","Chrysobalanaceae","Couepia","cidiana","Prance","C. Sothers","2004-04-16T00:00:00.000+0000","ISOTYPE","2261","C.A. Cid; J. Ramos; C.D. Mota & N. Rosas.",1980,9,7,"Brazil","Pará","Oriximiná","Rio Paru do Oeste, margem esquerda da cachoeira Chuvisco.",NA,NA,"Arvoreta de 8m de altura; flores brancas.","urn:catalog:JBRJ:RB:68351","Couepia cidiana Prance",NA,NA,NA,NA,NA
"6",NA,NA,"Botany","U  0001062","Couepia cidiana Prance","Chrysobalanaceae","Couepia","cidiana","Prance","Prance GT",NA,"ISOTYPE",NA,"Cid Ferreira CA; Ramos J; Mota CD; Rosas N",1980,9,7,"Brazil","Pará",NA,"Planta do ParáMunicípio de Oriximiná, rio Paru do Oeste, margem esquerda da cachoeira Chuvisco.",NA,NA,NA,"http://data.biodiversitydata.nl/naturalis/specimen/U%20%200001062","Couepia cidiana Prance",NA,NA,NA,NA,NA
"7",NA,"NY","NY","428069","Couepia cidiana Prance","Chrysobalanaceae","Couepia","cidiana","Prance",NA,NA,"ISOTYPE","2261","C. A. Cid Ferreira",1908,7,9,"Brazil","Pará",NA,"Rio Paru do Oeste, margem esquerda da cachoiera Chuvisco",-56.0783,-0.9997,NA,"460af01d-457e-4417-967a-df57cc6fa76a","Couepia cidiana Prance",NA,NA,NA,NA,NA
