"","modified","institutionCode","collectionCode","catalogNumber","scientificName","family","genus","specificEpithet","scientificNameAuthorship","identifiedBy","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLongitude","decimalLatitude","occurrenceRemarks","occurrenceID","bibliographicCitation","acceptedNameUsage","identificationQualifier","infraspecificEpithet","dateIdentified","comments"
"1","2011-08-15T11:04:00.000+0000","MO","MO","3045647","Couepia reflexa Ducke","Chrysobalanaceae","Couepia","reflexa","Ducke",NA,NA,"Loizeau 387",NA,"Pierre A. Loizeau",1985,10,15,"Peru","Loreto",NA,"Spécimen récolté dans le cadre de la convention CJBG - IC - IIAP au Centre de Recherche de Jenaro Herrera.",-73.75,-4.91666,NA,"urn:catalog:MO:Tropicos:3045647","http://www.tropicos.org/Specimen/3045647","Couepia reflexa Ducke",NA,NA,NA,NA
"2","2011-08-15T11:04:00.000+0000","MO","MO","3045646","Couepia reflexa Ducke","Chrysobalanaceae","Couepia","reflexa","Ducke",NA,NA,"Loizeau 391",NA,"Pierre A. Loizeau",1985,10,15,"Peru","Loreto",NA,"Spécimen récolté dans le cadre de la convention CJBG - IC - IIAP au Centre de Recherche de Jenaro Herrera.",-73.75,-4.91666,NA,"urn:catalog:MO:Tropicos:3045646","http://www.tropicos.org/Specimen/3045646","Couepia reflexa Ducke",NA,NA,NA,NA
"3","2011-08-15T11:04:00.000+0000","MO","MO","3045644","Couepia reflexa Ducke","Chrysobalanaceae","Couepia","reflexa","Ducke",NA,NA,"Loizeau 409",NA,"Pierre A. Loizeau",1985,10,17,"Peru","Loreto",NA,"Spécimen récolté dans le cadre de la convention CJBG - IC - IIAP au Centre de Recherche de Jenaro Herrera.",-73.75,-4.91666,NA,"urn:catalog:MO:Tropicos:3045644","http://www.tropicos.org/Specimen/3045644","Couepia reflexa Ducke",NA,NA,NA,NA
"4",NA,"US","Botany","1441635","Couepia reflexa Ducke","Chrysobalanaceae","Couepia","reflexa","Ducke",NA,"ISOTYPE","19757",NA,"A. Ducke",1927,7,29,"Brazil","Pará",NA,"Juruty Velho.",NA,NA,NA,"http://n2t.net/ark:/65665/39a33fc37-9284-4db2-8f50-ef71eb413093",NA,"Couepia reflexa Ducke",NA,NA,NA,NA
"5","2015-04-11T10:12:42.000+0000","S","VascularPlants","S-R-8168","Couepia reflexa Ducke","Chrysobalanaceae","Couepia","reflexa","Ducke",NA,NA,"19757","19757","Ducke, A.",1927,7,29,"Brazil","Pará",NA,"[Brazil] Pará, Juruty Velho",NA,NA,"[Label head: JARDIM BOTANICO DO RIO DE JANEIRO Herbario]","S:VascularPlants:S-R-8168",NA,"Couepia reflexa Ducke",NA,NA,NA,NA
"6",NA,NA,"Botany","U  0001081","Couepia reflexa Ducke","Chrysobalanaceae","Couepia","reflexa","Ducke","Ducke A","ISOTYPE",NA,NA,"Ducke A",1927,7,29,"Brazil","Pará",NA,"Juruty Velho (civ. Pará)",NA,NA,NA,"http://data.biodiversitydata.nl/naturalis/specimen/U%20%200001081",NA,"Couepia reflexa Ducke",NA,NA,NA,NA
"7","2017-10-18T17:12:58.000+0000","JBRJ","RB","RB00537025","Couepia reflexa Ducke","Chrysobalanaceae","Couepia","reflexa","Ducke",NA,"HOLOTYPE",NA,NA,"Ducke, A.",1927,7,29,"Brazil","Pará","Juruti","Juruty Velho, cabeceira Janary, mata do planalto argiloso.",NA,NA,"Árvore media, flor verde, estames brancos.","urn:catalog:JBRJ:RB:537025",NA,"Couepia reflexa Ducke",NA,NA,NA,NA
"8","2015-10-06T18:16:22.000+0000","MNHN","P","P00741107","Couepia reflexa Ducke","Chrysobalanaceae","Couepia","reflexa","Ducke","Ducke","ISOTYPE",NA,"19757","Ducke, A.",1927,7,29,"Brazil",NA,NA,NA,NA,NA,NA,"http://coldb.mnhn.fr/catalognumber/mnhn/p/p00741107",NA,"Couepia reflexa Ducke",NA,NA,NA,NA
"9","2011-10-10T16:22:31.000+0000","MNHN","P","P00741106","Couepia reflexa Ducke","Chrysobalanaceae","Couepia","reflexa","Ducke","Ducke","ISOTYPE",NA,"19757","Ducke, A.",1927,7,29,"Brazil",NA,NA,NA,NA,NA,NA,"http://coldb.mnhn.fr/catalognumber/mnhn/p/p00741106",NA,"Couepia reflexa Ducke",NA,NA,NA,NA
"10",NA,"F","Botany",NA,"Couepia reflexa Ducke","Chrysobalanaceae","Couepia","reflexa","Ducke",NA,"ISOTYPE",NA,NA,"A. Ducke",1927,7,29,"Brazil",NA,NA,NA,-52.8731,-10.8339,NA,"a2a28e35-2a2f-46bb-af3e-c404c98b17e4",NA,"Couepia reflexa Ducke",NA,NA,NA,NA
"11",NA,"G","Geneva Herbarium – General Collection (G)","G-G-261926/3","Couepia reflexa Ducke","Chrysobalanaceae","Couepia","reflexa","Ducke","Ducke, A.","ISOTYPE",NA,NA,"Ducke, A. (Coll. Barbey-Boissier)",1927,7,29,"Brazil",NA,NA,"Pará - Juruty Velho (Pará)/Estado do Pará",-52.53,-5.64861,NA,NA,NA,"Couepia reflexa Ducke",NA,NA,NA,NA
