"","modified","institutionCode","collectionCode","catalogNumber","scientificName","family","genus","specificEpithet","scientificNameAuthorship","identifiedBy","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLongitude","decimalLatitude","occurrenceRemarks","occurrenceID","bibliographicCitation","acceptedNameUsage","identificationQualifier","infraspecificEpithet","dateIdentified","comments"
"1",NA,"US","Botany","1441635","Couepia reflexa Ducke","Chrysobalanaceae","Couepia","reflexa","Ducke",NA,"ISOTYPE","19757",NA,"A. Ducke",1927,7,29,"Brazil","Pará",NA,"Juruty Velho.",NA,NA,NA,"http://n2t.net/ark:/65665/39a33fc37-9284-4db2-8f50-ef71eb413093",NA,"Couepia reflexa Ducke",NA,NA,NA,NA
"3",NA,NA,"Botany","U  0001081","Couepia reflexa Ducke","Chrysobalanaceae","Couepia","reflexa","Ducke","Ducke A","ISOTYPE",NA,NA,"Ducke A",1927,7,29,"Brazil","Pará",NA,"Juruty Velho (civ. Pará)",NA,NA,NA,"http://data.biodiversitydata.nl/naturalis/specimen/U%20%200001081",NA,"Couepia reflexa Ducke",NA,NA,NA,NA
"5","2015-10-06T18:16:22.000+0000","MNHN","P","P00741107","Couepia reflexa Ducke","Chrysobalanaceae","Couepia","reflexa","Ducke","Ducke","ISOTYPE",NA,19757,"Ducke, A.",1927,7,29,"Brazil",NA,NA,NA,NA,NA,NA,"http://coldb.mnhn.fr/catalognumber/mnhn/p/p00741107",NA,"Couepia reflexa Ducke",NA,NA,NA,NA
"9","2007-05-22T13:41:01.000+0000","K","Herbarium","K000220975","Couepia reflexa Ducke","Chrysobalanaceae","Couepia","reflexa","Ducke","Ducke, A.",NA,"19757",NA,"Ducke, A.",1927,7,29,"Brazil",NA,NA,"Juruty Velho (civ. Pará)",NA,NA,NA,"http://specimens.kew.org/herbarium/K000220975",NA,"Couepia reflexa Ducke",NA,NA,NA,NA
"10",NA,"B","FMNH-B-Types","18294","Couepia reflexa Ducke","Chrysobalanaceae","Couepia","reflexa","Ducke",NA,"ISOTYPE","s.n.",NA,"A. Ducke",1927,7,29,"Brazil",NA,NA,NA,NA,NA,NA,NA,NA,"Couepia reflexa Ducke",NA,NA,NA,NA
"12","2009-07-17T09:47:00.000+0000","MO","MO","3157130","Couepia reflexa Ducke","Chrysobalanaceae","Couepia","reflexa","Ducke","A Ducke",NA,"Ducke 19757",NA,"A. Ducke",1927,NA,NA,"Brazil",NA,NA,"Juruty Velho ( civ. Parn) terri eleratis silva primaria.",NA,NA,NA,"urn:catalog:MO:Tropicos:3157130","http://www.tropicos.org/Specimen/3157130","Couepia reflexa Ducke",NA,NA,NA,NA
"13",NA,"F","Botany",NA,"Couepia reflexa Ducke","Chrysobalanaceae","Couepia","reflexa","Ducke",NA,"ISOTYPE",NA,NA,"A. Ducke",NA,NA,NA,"Brazil",NA,NA,NA,-52.8731,-10.8339,NA,"e2de5cb3-a971-46e4-a4a3-ca1181ee4297",NA,"Couepia reflexa Ducke",NA,NA,NA,NA
