"","modified","institutionCode","collectionCode","catalogNumber","scientificName","family","genus","specificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","recordedBy","year","month","day","country","stateProvince","locality","decimalLongitude","decimalLatitude","occurrenceRemarks","occurrenceID","bibliographicCitation","acceptedNameUsage","identificationQualifier","infraspecificEpithet","fieldNumber","municipality","comments"
"1",NA,"NY","NY","42851","Licania teixeirae Prance","Chrysobalanaceae","Licania","teixeirae","Prance",NA,NA,"ISOTYPE","728","L. O. A. Teixeira",1982,2,25,"Brazil","RondÃ´nia","Municipio de Santa Barbara, Rondovia BR 364, km 120, 10 km ao Norte da Sede da Mineracao",-63.12,-9.17,NA,"a7db0db0-6f73-4d97-b0aa-17a7f5baccaa",NA,"Licania teixeirae Prance",NA,NA,NA,NA,NA
"3",NA,"F","Botany","V0054076F","Licania teixeirae Prance","Chrysobalanaceae","Licania","teixeirae","Prance",NA,NA,"ISOTYPE","728","L. O. A. Teixeira et al.",1982,5,25,"Brazil",NA,NA,-52.8731,-10.8339,NA,"5435d2c6-740e-4d10-9a4d-df498343185a",NA,"Licania teixeirae Prance",NA,NA,NA,NA,NA
"4","2014-09-26T00:00:00.000+0000","Instituto Nacional de Pesquisas da Amazônia (INPA)","Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)","104465","Licania teixeirae Prance","Chrysobalanaceae","Licania","teixeirae","Prance","Prance, G.T.","1984-01-01T00:00:00.000+0000",NA,"728","Teixeira, LOA",1982,5,25,"Brazil","Rondônia","Rodovia BR 364, km 120, 10 km ao Norte da Sede da Mineração. Mata de beira de estrada.",-63.12,-9.166667,NA,"urn:catalog:inpa:herbarium:196742",NA,"Licania teixeirae Prance",NA,NA,NA,NA,NA
"6","2011-10-24T04:58:00.000+0000","MO","MO","1820571","Licania teixeirae Prance","Chrysobalanaceae","Licania","teixeirae","Prance","G.T. Prance","1984-01-01T00:00:00.000+0000","ISOTYPE","Teixeira 728","L.O. Adão Teixeira",1982,5,25,"Brazil",NA,"Município de Santa Barbara, Rodovia BR 364, km. 120. 10 km. ao Norte da Sede da Mineracão. Mata na beira da estrada.",-63.11666,-9.16666,NA,"urn:catalog:MO:Tropicos:1820571","http://www.tropicos.org/Specimen/1820571","Licania teixeirae Prance",NA,NA,NA,NA,NA
