"","institutionCode","collectionCode","catalogNumber","scientificName","family","genus","specificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLongitude","decimalLatitude","occurrenceRemarks","occurrenceID","acceptedNameUsage"
"1","UFRB","HURB","13883","Licania bahiensis Prance","Chrysobalanaceae","Licania","bahiensis","Prance",NA,NA,NA,"280","Victor Jr., V.",2013,1,18,"Brazil","Bahia","Ibirapitanga","Serra do Papuã; APA do Pratigi",NA,NA,NA,"BRA:UFRB:HURB:0000013883","Licania bahiensis Prance"
"2","UFRB","HURB","13884","Licania bahiensis Prance","Chrysobalanaceae","Licania","bahiensis","Prance",NA,NA,NA,"992","Victor Jr., V.",2013,1,11,"Brazil","Bahia","Ibirapitanga","Serra do Papuã; APA do Pratigi",NA,NA,NA,"BRA:UFRB:HURB:0000013884","Licania bahiensis Prance"
"3","NY","NY","378410","Licania bahiensis Prance","Chrysobalanaceae","Licania","bahiensis","Prance","G. T. Prance","1978-09-01T00:00:00.000+0000",NA,"2078","R. S. Pinheiro",1973,4,2,"Brazil","Bahia",NA,"Km 25 da rod Guaratinga/Sao Paulinho",-39.78,-16.58,NA,"2c2092b9-5e35-4eba-8320-25b9ec652f69","Licania bahiensis Prance"
"4","MN","R-TIPOS","41365","Licania bahiensis Prance","Chrysobalanaceae","Licania","bahiensis","Prance",NA,NA,"HOLOTYPE","736","Velloso, H.P.",1944,3,21,"Brazil","Bahia","Ilhéus","Repartimento",NA,NA,NA,"BRA:MN:R-TIPOS:0000041365","Licania bahiensis Prance"
"5","MN","R-TIPOS","41365C","Licania bahiensis Prance","Chrysobalanaceae","Licania","bahiensis","Prance",NA,NA,"ISOTYPE","736","Velloso, H.P.",1944,3,21,"Brazil","Bahia","Ilhéus","Repartimento",NA,NA,NA,"BRA:MN:R-TIPOS:000041365C","Licania bahiensis Prance"
"6","MN","R-TIPOS","41365B","Licania bahiensis Prance","Chrysobalanaceae","Licania","bahiensis","Prance",NA,NA,"ISOTYPE","736","Velloso, H.P.",1944,3,21,"Brazil","Bahia","Ilhéus","Repartimento",NA,NA,NA,"BRA:MN:R-TIPOS:000041365B","Licania bahiensis Prance"
"7","NY","NY","428342","Licania bahiensis Prance","Chrysobalanaceae","Licania","bahiensis","Prance",NA,NA,"ISOTYPE","736","H. P. Velloso",1944,3,21,"Brazil","Bahia",NA,"Repartimento (Fortuna)",-39.0490868076529,-14.7929067831182,NA,"3e741c77-541f-4f69-83c7-1647e18201fb","Licania bahiensis Prance"
"8","MN","R-TIPOS","41365A","Licania bahiensis Prance","Chrysobalanaceae","Licania","bahiensis","Prance",NA,NA,"ISOTYPE","736","Velloso, H.P.",1944,3,21,"Brazil","Bahia","Ilhéus","Repartimento",NA,NA,NA,"BRA:MN:R-TIPOS:000041365A","Licania bahiensis Prance"
"9","MN","R-TIPOS","41365D","Licania bahiensis Prance","Chrysobalanaceae","Licania","bahiensis","Prance",NA,NA,"ISOTYPE","736","Velloso, H.P.",1944,3,21,"Brazil","Bahia","Ilhéus","Repartimento",NA,NA,NA,"BRA:MN:R-TIPOS:000041365D","Licania bahiensis Prance"
"10","Comissão Executiva do Plano da Lavoura Cacaueira (CEPLAC)","CEPEC","9175","Licania bahiensis Prance","Chrysobalanaceae","Licania","bahiensis","Prance","G. T. Prance",NA,NA,"2078","R. S. Pinheiro",NA,NA,NA,"Brazil","Bahia","guaratinga","Km 25 Rod. p/ S. Paulinho.",NA,NA,"Ambiente: Mata. Habito: Árvore maior que 5m e menor 20m","BRA:CEPLAC:CEPEC:0000009175","Licania bahiensis Prance"
