"","modified","institutionCode","collectionCode","catalogNumber","scientificName","family","genus","specificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLongitude","decimalLatitude","occurrenceRemarks","occurrenceID","bibliographicCitation","acceptedNameUsage","identificationQualifier","infraspecificEpithet","fieldNumber","comments"
"1","2017-10-19T10:54:28.000+0000","JBRJ","RB","RB00537033","Hirtella barrosoi Prance","Chrysobalanaceae","Hirtella","barrosoi","Prance","Braga, J.M.A.",NA,"PARATYPE",NA,"Victorio",1930,8,28,"Brazil","Rio de Janeiro","Rio de Janeiro","Horto Florestal.",NA,NA,"Árvore de 5-8 m de altura.","urn:catalog:JBRJ:RB:537033",NA,"Hirtella barrosoi Prance",NA,NA,NA,NA
"2","2017-10-18T15:36:20.000+0000","JBRJ","RB","RB00537156","Hirtella barrosoi Prance","Chrysobalanaceae","Hirtella","barrosoi","Prance",NA,NA,"ISOTYPE",NA,"Pessoal do Horto Florestal",1928,5,26,"Brazil","Rio de Janeiro","Rio de Janeiro","Matta do Teixeira Borges, perto da sede do Horto Florestal.",NA,NA,"Árvore de 5-7 m de altura; pétalas alvadiças, estames roxos acima do meio.","urn:catalog:JBRJ:RB:537156",NA,"Hirtella barrosoi Prance",NA,NA,NA,NA
"3","2017-10-18T14:52:46.000+0000","JBRJ","RB","RB00537250","Hirtella barrosoi Prance","Chrysobalanaceae","Hirtella","barrosoi","Prance",NA,NA,"ISOTYPE",NA,"Pessoal do Horto Florestal",1928,5,26,"Brazil","Rio de Janeiro","Rio de Janeiro","Matta do Teixeira Borges, perto da sede do Horto Florestal.",NA,NA,"Árvore de 5-7 m de altura; pétalas alvadiças, estames roxos acima do meio.","urn:catalog:JBRJ:RB:537250",NA,"Hirtella barrosoi Prance",NA,NA,NA,NA
"4",NA,"USP","SPF","187423","Hirtella barrosoi Prance","Chrysobalanaceae","Hirtella","barrosoi","Prance","Anônimo",NA,NA,"s.n.","Pessoal do Horto Florestal",1928,5,26,"Brazil","Rio de Janeiro","Rio de Janeiro",NA,0,0,NA,"BRA:USP:SPF:0000187423",NA,"Hirtella barrosoi Prance",NA,NA,NA,NA
"5","2017-10-18T14:51:10.000+0000","JBRJ","RB","RB00537032","Hirtella barrosoi Prance","Chrysobalanaceae","Hirtella","barrosoi","Prance","E.C. Dalcin",NA,"ISOTYPE",NA,"Pessoal do Horto Florestal",1928,5,26,"Brazil","Rio de Janeiro","Rio de Janeiro","Matta do Teixeira Borges, perto da sede do Horto Florestal.",NA,NA,"Árvore de 5-7 m de altura; pétalas alvadiças, estames roxos acima do meio.","urn:catalog:JBRJ:RB:537032",NA,"Hirtella barrosoi Prance",NA,NA,NA,NA
"6",NA,"Instituto de Botânica, IBT","SP","413167","Hirtella barrosoi Prance","Chrysobalanaceae","Hirtella","barrosoi","Prance","Prance, GT","1972-01-01T00:00:00.000+0000","ISOTYPE","s.n.","Pessoal do Horto Florestal",1928,5,26,"Brazil","Rio de Janeiro","Rio de Janeiro","Matta do Teixeira Borges, perto da sede do Horto Florestal",0,0,"Árvore de 5-7 m de alt.; pétalas alvadiças, estames roxos acima do meio","BRA:IBt:SP:0000413167",NA,"Hirtella barrosoi Prance",NA,NA,NA,NA
"7",NA,"NY","NY","1085719","Hirtella barrosoi Prance","Chrysobalanaceae","Hirtella","barrosoi","Prance",NA,NA,"ISOTYPE","s.n.","Pessoal do Horto Florestal",1928,5,26,"Brazil","Rio de Janeiro",NA,"Rio de Janeiro. Matta do Teixeira Borges, perto da sede do Horto Florestal.",0,0,NA,"c52b1c31-9cc4-4beb-a5b1-601bcfd8e347",NA,"Hirtella barrosoi Prance",NA,NA,NA,NA
"8","2015-03-10T10:49:55.000+0000","MNHN","P","P00753692","Hirtella barrosoi Prance","Chrysobalanaceae","Hirtella","barrosoi","Prance",NA,NA,"ISOTYPE",NA,"Pessoal do Horto Florestal",1928,5,26,"Brazil",NA,NA,NA,NA,NA,NA,"http://coldb.mnhn.fr/catalognumber/mnhn/p/p00753692",NA,"Hirtella barrosoi Prance",NA,NA,NA,NA
"9",NA,"Comissão Executiva do Plano da Lavoura Cacaueira (CEPLAC)","CEPEC","122199","Hirtella barrosoi Prance","Chrysobalanaceae","Hirtella","barrosoi","Prance","Pessoal do Horto Florestal",NA,"PARATYPE",NA,"Pessoal do Horto Florestal",NA,NA,NA,"Brazil","Rio de Janeiro","RIO DE JANEIRO","Mata do Teixeira Borges, perto da sede do Horto Florestal.",NA,NA,"Ambiente: Mata. Habito: Árvore, 5-7m.","BRA:CEPLAC:CEPEC:0000122199",NA,"Hirtella barrosoi Prance",NA,NA,NA,NA
