"","institutionCode","catalogNumber","recordedBy"
"1","Instituto Nacional de Pesquisas da Amazônia (INPA)","205182","Andrade, PM"
"2","Instituto Nacional de Pesquisas da Amazônia (INPA)","195564","Hatschbach, GG"
