"","modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLongitude","decimalLatitude","occurrenceRemarks","occurrenceID","bibliographicCitation","acceptedNameUsage"
"36","2/06/17 16:16","INPA","INPA","17039","Siparuna glycycarpa",NA,"Siparunaceae","Siparuna",NA,"(Ducke) S.S.Renner","Jangoux, JJ",NA,NA,NA,NA,NA,NA,NA,NA,"Brasil","Amazonas",NA,"Reserva Florestal Adolfo Ducke, Reserva Florestal Ducke, Q. XIV",NA,NA,NA,NA,NA,"Siparuna glycycarpa (Ducke) S.S.Renner"
"37","2/06/17 16:16","INPA","INPA","181178","Siparuna glycycarpa",NA,"Siparunaceae","Siparuna",NA,"(Ducke) S.S.Renner","Ramos, JF",NA,NA,NA,NA,NA,NA,NA,NA,"Brasil","Acre",NA,"Seringal Porongaba. Coloca̤̣o Ṣo Jos̩. 25 Km N of Km 4 Brasil̩ia-Assis Brasil road.",NA,NA,NA,NA,NA,"Siparuna glycycarpa (Ducke) S.S.Renner"
"38","2/06/17 16:16","INPA","INPA","181187","Siparuna glycycarpa",NA,"Siparunaceae","Siparuna",NA,"(Ducke) S.S.Renner","Ramos, JF",NA,NA,NA,NA,NA,NA,NA,NA,"Brasil","Acre",NA,"Seringal Porongaba. Coloca̤̣o Ṣo Jos̩. 25 Km N of Km 4 Brasil̩ia-Assis Brasil road.",NA,NA,NA,NA,NA,"Siparuna glycycarpa (Ducke) S.S.Renner"
"39","2/06/17 16:16","INPA","INPA","183671","Siparuna glycycarpa",NA,"Siparunaceae","Siparuna",NA,"(Ducke) S.S.Renner","Renner, SS",NA,NA,NA,NA,NA,NA,NA,NA,"Brasil","Amazonas",NA,"Reserva Florestal Adolfo Ducke",NA,NA,NA,NA,NA,"Siparuna glycycarpa (Ducke) S.S.Renner"
"40","2/06/17 16:16","INPA","INPA","183686","Siparuna glycycarpa",NA,"Siparunaceae","Siparuna",NA,"(Ducke) S.S.Renner","Renner, SS",NA,NA,NA,NA,NA,NA,NA,NA,"Brasil","Amazonas",NA,"Reserva Florestal Adolfo Ducke, Pr�_ximo a estrada para Torre.",NA,NA,NA,NA,NA,"Siparuna glycycarpa (Ducke) S.S.Renner"
"41","2/06/17 16:16","INPA","INPA","183687","Siparuna glycycarpa",NA,"Siparunaceae","Siparuna",NA,"(Ducke) S.S.Renner","Renner, SS",NA,NA,NA,NA,NA,NA,NA,NA,"Brasil","Amazonas",NA,"Reserva Florestal Adolfo Ducke, Trilha da divisa, entre meteorologia e Ig. do Barro Branco.",NA,NA,NA,NA,NA,"Siparuna glycycarpa (Ducke) S.S.Renner"
"42","2/06/17 16:16","INPA","INPA","183688","Siparuna glycycarpa",NA,"Siparunaceae","Siparuna",NA,"(Ducke) S.S.Renner","Renner, SS",NA,NA,NA,NA,NA,NA,NA,NA,"Brasil","Amazonas",NA,"Reserva Florestal Adolfo Ducke, Sabi�� 2-Lateral sul.",NA,NA,NA,NA,NA,"Siparuna glycycarpa (Ducke) S.S.Renner"
"43","2/06/17 16:16","INPA","INPA","183695","Siparuna glycycarpa",NA,"Siparunaceae","Siparuna",NA,"(Ducke) S.S.Renner","Renner, SS",NA,NA,NA,NA,NA,NA,NA,NA,"Brasil","Amazonas",NA,"Reserva Florestal Adolfo Ducke, Trilha da divisa, entre meteorologia e Ig. do Barro Branco.",NA,NA,NA,NA,NA,"Siparuna glycycarpa (Ducke) S.S.Renner"
"44","2/06/17 16:16","INPA","INPA","184059","Siparuna glycycarpa",NA,"Siparunaceae","Siparuna",NA,"(Ducke) S.S.Renner","Renner, SS",NA,NA,NA,NA,NA,NA,NA,NA,"Brasil","Amazonas",NA,"Reserva Florestal Adolfo Ducke",NA,NA,NA,NA,NA,"Siparuna glycycarpa (Ducke) S.S.Renner"
"45","2/06/17 16:16","INPA","INPA","188333","Siparuna glycycarpa",NA,"Siparunaceae","Siparuna",NA,"(Ducke) S.S.Renner","Renner, SS",NA,NA,NA,NA,NA,NA,NA,NA,"Brasil","Amazonas",NA,"Reserva Florestal Adolfo Ducke, Pr�_ximo a estrada para Torre.",NA,NA,NA,NA,NA,"Siparuna glycycarpa (Ducke) S.S.Renner"
