"","modified","institutionCode","collectionCode","catalogNumber","scientificName","family","genus","specificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLongitude","decimalLatitude","occurrenceRemarks","occurrenceID","bibliographicCitation","acceptedNameUsage","identificationQualifier","infraspecificEpithet","typeStatus","comments"
"1",NA,"Universidade Federal de Minas Gerais (UFMG)","BHCB","182764","Athenaea cuspidata Witasek","Solanaceae","Aureliana","cuspidata","Witasek",NA,"2016-09-12T00:00:00.000+0000","6394",NA,"Stehmann, JR",2016,9,12,"Brazil","Espírito Santo","Pedra Menina",NA,-41.801667,-20.548,"Arbusto, ca. 2,5 m , na beira da estrada, na borda de fragmento de floresta estacional semidecidual perturbada. Corola com manchas arroxeadas.","BRA:UFMG:BHCB:0000182764",NA,"Athenaea cuspidata Witasek",NA,NA,NA,NA
"2","2017-10-13T00:00:00.000+0000","NHMUK","BOT","BM001120404","Athenaea cuspidata Witasek","Solanaceae","Aureliana","cuspidata","Witasek","I M. Rodrigues",NA,"1249",1249,"L L. Giacomin, T M. Machado, F S. Souza",2011,2,10,"Brazil","Espírito Santo",NA,"Parque Nacional do Caparaó, trilha para Pedra Escorada",-41.762222,-20.555556,NA,"02555dfd-242c-4502-9412-fe1bfb529911",NA,"Athenaea cuspidata Witasek",NA,NA,NA,NA
"3",NA,"Universidade Federal de Minas Gerais (UFMG)","BHCB","147108","Athenaea cuspidata Witasek","Solanaceae","Aureliana","cuspidata","Witasek",NA,NA,"52",NA,"Venda, AKL; Forzza, RC; Stehmann, JR; Amorim, AMA",2010,12,3,"Brazil","Minas Gerais","Alto Jequitibá","Parque Nacional do Caparaó, Estrada para Cachoeira Bonita.",-41.843222,-20.409264,"Arbusto. Folhas verdes, cálice verde, fruto verde.","BRA:UFMG:BHCB:0000147108",NA,"Athenaea cuspidata Witasek",NA,NA,NA,NA
"4",NA,"MBML","MBML-HERBARIO","41432","Athenaea cuspidata Witasek","Solanaceae","Aureliana","cuspidata","Witasek","J.R. Stehmann/03-12-2010",NA,"52",NA,"A.K.L. Venda; R.C. Forzza, J.R. Stehmann & A.M. Amorim",2010,12,3,"Brazil","Minas Gerais","Alto Jequitibá","Parque Nacional do Caparaó, Estrada para Cachoeira Bonita",-41.843333,-20.409167,"Arbusto. Folhas verdes, cálice verde, fruto verde","BRA:MBML:MBML-HERBARIO:0000041432",NA,"Athenaea cuspidata Witasek",NA,NA,NA,NA
"5","2017-10-19T07:16:12.000+0000","JBRJ","RB","RB00707354","Athenaea cuspidata Witasek","Solanaceae","Aureliana","cuspidata","Witasek","Stehmann, J.R",NA,"52",NA,"Venda, A.K.L; Forzza, R.C; Stehmann, J.R & Amorim, A.M",2010,12,3,"Brazil","Minas Gerais","Alto Jequitibá","Parque Nacional do Caparaó, Estrada para Cachoeira Bonita.",-41.843333,-20.409167,"Arbusto. Folhas verdes, cálice verde, fruto verde.","urn:catalog:JBRJ:RB:707354",NA,"Athenaea cuspidata Witasek",NA,NA,NA,NA
"6","2014-07-07T18:37:50.000+0000","JBRJ","RB","RB00550059","Athenaea cuspidata Witasek","Solanaceae","Aureliana","cuspidata","Witasek","Stehmann, J.R.",NA,"4812",NA,"Stehmann, J.R.; Viana, P.L.; Zamberlan, P.",2007,10,24,"Brazil","São Paulo","Biritiba-Mirim","Estação Biológica de Boracéia.",-45.885278,-23.652778,"Planta viscosa, 1,5m de altura, em barranco de estrada, na borda da Floresta Ombrófila Densa. Frutos imaturos verdes, cálice muito ampliado, sépalas cordadas.","urn:catalog:JBRJ:RB:550059",NA,"Athenaea cuspidata Witasek",NA,NA,NA,NA
"7",NA,"Universidade Federal de Minas Gerais (UFMG)","BHCB","151142","Aureliana cuspidata (Witasek) I.M.C.Rodrigues & Stehmann","Solanaceae","Aureliana","cuspidata","(Witasek) I.M.C.Rodrigues & Stehmann",NA,NA,"3073",NA,"Leoni, LS; et al.",1995,9,29,"Brazil","Minas Gerais",NA,"Parque Nacional do Caparaó, Parque Nacional, Vale Verde. do lado do córrego, abaixo do abrigo",0,0,NA,"BRA:UFMG:BHCB:0000151142",NA,"Aureliana cuspidata (Witasek) I.M.C.Rodrigues & Stehmann",NA,NA,NA,NA
"8",NA,"UEFS","HUEFS","41647","Athenaea cuspidata Witasek","Solanaceae","Aureliana","cuspidata","Witasek","J.R.Stehmann","1999-08-01T00:00:00.000+0000","1939",NA,"Souza, V.C.",1990,7,8,"Brazil","São Paulo","Ilhabela","Ilha de São Sebastião. Estrada entre a Vila de Ilhabela e a Praia de Castelhanos.",NA,NA,"Beira de Mata.","BRA:UEFS:HUEFS:0000041647",NA,"Athenaea cuspidata Witasek",NA,NA,NA,NA
"9",NA,"Instituto de Botânica, IBT","SP","192240","Aureliana cuspidata (Witasek) I.M.C.Rodrigues & Stehmann","Solanaceae","Aureliana","cuspidata","(Witasek) I.M.C.Rodrigues & Stehmann","Stehmann, JR",NA,"300",NA,"Sugiyama, M; Custodio Filho, A",1983,7,7,"Brazil","São Paulo","Biritiba-Mirim","Estação Biológica de Boracéia",-45.866667,-23.633333,NA,"BRA:IBt:SP:0000192240",NA,"Aureliana cuspidata (Witasek) I.M.C.Rodrigues & Stehmann",NA,NA,NA,NA
"10",NA,"NY","NY","1184676","Aureliana cuspidata (Witasek) I.M.C.Rodrigues & Stehmann","Solanaceae","Aureliana","cuspidata","(Witasek) I.M.C.Rodrigues & Stehmann","I. M. C. Rodrigues","2013-01-01T00:00:00.000+0000","45171",NA,"G. G. Hatschbach",1982,7,21,"Brazil","EspÃ­rito Santo",NA,"Rod. BR-262.",-41.4131438377716,-20.4682197189775,NA,"0887cf71-14e1-4cd2-abab-20e4654dbb1d",NA,"Aureliana cuspidata (Witasek) I.M.C.Rodrigues & Stehmann",NA,NA,NA,NA
"11",NA,"Instituto de Botânica, IBT","SP","304539","Aureliana cuspidata (Witasek) I.M.C.Rodrigues & Stehmann","Solanaceae","Aureliana","cuspidata","(Witasek) I.M.C.Rodrigues & Stehmann",NA,NA,"s.n.",NA,"Bartolomeu, J",1951,7,17,"Brazil","São Paulo","Registro","Sitio N. S. da Vitória. Morro.",0,0,NA,"BRA:IBt:SP:0000304539",NA,"Aureliana cuspidata (Witasek) I.M.C.Rodrigues & Stehmann",NA,NA,NA,NA
"12",NA,"Universidade Federal de Minas Gerais (UFMG)","BHCB","36826","Aureliana cuspidata (Witasek) I.M.C.Rodrigues & Stehmann","Solanaceae","Aureliana","cuspidata","(Witasek) I.M.C.Rodrigues & Stehmann",NA,"2013-01-01T00:00:00.000+0000","s.n.",NA,"Bartolomeu, J",1951,7,17,"Brazil","São Paulo",NA,"Registro, Sítio N.S. da Vitória. Morro. Próximo a Registro.",0,0,NA,"BRA:UFMG:BHCB:0000036826",NA,"Aureliana cuspidata (Witasek) I.M.C.Rodrigues & Stehmann",NA,NA,NA,NA
"13",NA,"WU","Herbarium WU","0062927","Athenaea cuspidata Witasek","Solanaceae","Aureliana","cuspidata","Witasek","J. A. Witasek",NA,NA,NA,"Wettstein,R. & Schiffner,V.",1901,6,NA,"Brazil",NA,NA,"Brasilia. Prov. Sao Paulo. Prope Raiz de Serra. 20-50 m.",NA,NA,NA,NA,NA,"Athenaea cuspidata Witasek",NA,NA,NA,NA
"14",NA,"WU","Herbarium WU","266263","Athenaea cuspidata Witasek","Solanaceae","Aureliana","cuspidata","Witasek","J. A. Witasek",NA,NA,NA,"Wettstein,R. & Schiffner,V. Expedition der kaiserl",1901,6,NA,"Brazil",NA,NA,"Brasilia. Prov. Sao Paulo. Prope Raiz de Serra. 20-50 m.",NA,NA,NA,NA,NA,"Athenaea cuspidata Witasek",NA,NA,NA,NA
"15",NA,"WU","Herbarium WU","0062928","Athenaea cuspidata Witasek","Solanaceae","Aureliana","cuspidata","Witasek","J. A. Witasek",NA,NA,NA,"Wettstein,R. & Schiffner,V.",1901,6,NA,"Brazil",NA,NA,"Brasilia. Prov. Sao Paulo. Prope Raiz de Serra. 20-50 m.",NA,NA,NA,NA,NA,"Athenaea cuspidata Witasek",NA,NA,NA,NA
"16",NA,"WU","Herbarium WU","266259","Athenaea cuspidata Witasek","Solanaceae","Aureliana","cuspidata","Witasek","J. A. Witasek",NA,NA,NA,"Wettstein,R. & Schiffner,V. Expedition der kaiserl",1901,6,NA,"Brazil",NA,NA,"Brasilia. Prov. Sao Paulo. Prope Raiz de Serra. 20-50 m.",NA,NA,NA,NA,NA,"Athenaea cuspidata Witasek",NA,NA,NA,NA
"17",NA,"WU","Herbarium WU","266258","Athenaea cuspidata Witasek","Solanaceae","Aureliana","cuspidata","Witasek","J. A. Witasek",NA,NA,NA,"Wettstein,R. & Schiffner,V. Expedition der kaiserl",1901,6,NA,"Brazil",NA,NA,"Brasilia. Prov. Sao Paulo. Prope Raiz de Serra. 20-50 m.",NA,NA,NA,NA,NA,"Athenaea cuspidata Witasek",NA,NA,NA,NA
"18",NA,"Z","Herbaria of the University and ETH Zürich","Z-000028477","Athenaea cuspidata Witasek","Solanaceae","Aureliana","cuspidata","Witasek",NA,NA,NA,NA,"von Wettstein",1901,NA,NA,"Brazil",NA,NA,"São Paulo, Prov. Saô Paulo, prope Raiz de Serra",NA,NA,NA,NA,NA,"Athenaea cuspidata Witasek",NA,NA,NA,NA
