"","modified","institutionCode","collectionCode","catalogNumber","scientificName","family","genus","specificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLongitude","decimalLatitude","occurrenceID","acceptedNameUsage","identificationQualifier","infraspecificEpithet","occurrenceRemarks","comments","bibliographicCitation"
"1",NA,"US","Botany","79184","Macrolobium froesii R.S.Cowan","Fabaceae","Macrolobium","froesii","R.S.Cowan",NA,NA,"ISOTYPE",22232,NA,"R. L. Fróes",1947,4,26,"Brazil","Amazonas",NA,"Rio icana, afl. of rio negro; cachoeira macarice",NA,NA,"http://n2t.net/ark:/65665/30ee4b01f-c753-488f-8a8f-70dbfbd35ac3","Macrolobium froesii R.S.Cowan",NA,NA,NA,NA,NA
"4",NA,NA,"Botany","U  0003255","Macrolobium froesii R.S.Cowan","Fabaceae","Macrolobium","froesii","R.S.Cowan","Cowan RS",NA,"ISOTYPE",NA,NA,"Lemos Fróes R de",1947,4,26,"Brazil","Amazonas",NA,"Estado do AmazonasRio Negro, Içana, Cach. Maçarico",NA,NA,"http://data.biodiversitydata.nl/naturalis/specimen/U%20%200003255","Macrolobium froesii R.S.Cowan",NA,NA,NA,NA,NA
"5","2012-09-18T00:00:00.000+0000","K","Herbarium","K000834786","Macrolobium froesii R.S.Cowan","Fabaceae","Macrolobium","froesii","R.S.Cowan","Cowan, R.S.",NA,NA,35186,NA,"Ducke, A.",1936,11,30,"Brazil",NA,NA,"Rio Curicuriari affl. R. Negro (civ. Amazonas) ad ripam innudabilem prope cataractam Cuina.",NA,NA,"http://specimens.kew.org/herbarium/K000834786","Macrolobium froesii R.S.Cowan",NA,NA,NA,NA,NA
"6","2014-07-22T08:23:27.000+0000","JBRJ","RB","RB00145683","Macrolobium froesii R.S.Cowan","Fabaceae","Macrolobium","froesii","R.S.Cowan",NA,"1938-01-01T00:00:00.000+0000",NA,NA,NA,"A. Ducke",1936,11,30,"Brazil","Amazonas","Amazonas","Rio Negro.",NA,NA,"urn:catalog:JBRJ:RB:145683","Macrolobium froesii R.S.Cowan",NA,NA,NA,NA,NA
