"","modified","institutionCode","collectionCode","catalogNumber","scientificName","family","genus","specificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","recordNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLongitude","decimalLatitude","occurrenceRemarks","occurrenceID","acceptedNameUsage"
"1",NA,"Universidade Federal de Santa Catarina (UFSC)","FLOR","55751","Lonchocarpus grazielae M.J.Silva & A.M.G.Azevedo","Fabaceae","Muellera","grazielae","M.J.Silva & A.M.G.Azevedo","Mello, A.S.","2014-10-03T00:00:00.000+0000","1189","Nuernberg, A.",2014,1,3,"Brazil","Santa Catarina","Florianópolis","Rio Tavares, em canteiro da Rua Recanto das Gaivotas na Lagoinha Pequena.",NA,NA,"hábito arbustivo, fruto verde","BRA:UFSC:FLOR:0000055751","Lonchocarpus grazielae M.J.Silva & A.M.G.Azevedo"
"2",NA,"Universidade Federal de Santa Catarina (UFSC)","FLOR","55740","Lonchocarpus grazielae M.J.Silva & A.M.G.Azevedo","Fabaceae","Muellera","grazielae","M.J.Silva & A.M.G.Azevedo","Mello, A.S.","2014-11-20T00:00:00.000+0000","746","Mello, A.S.",2014,11,20,"Brazil","Santa Catarina","Florianópolis","Rua Recanto das Gaviotas-Rio Tavares.",NA,NA,"arvoreta, flor roxa","BRA:UFSC:FLOR:0000055740","Lonchocarpus grazielae M.J.Silva & A.M.G.Azevedo"
"3",NA,"Universidade Federal de Santa Catarina (UFSC)","FLOR","54490","Muellera grazielae (M.J.Silva & al.) M.J.Silva & A.M.G.Azevedo","Fabaceae","Muellera","grazielae","(M.J.Silva & al.) M.J.Silva & A.M.G.Azevedo","Nuernberg, A.","2013-06-20T00:00:00.000+0000","1004","Nuernberg, A.",2013,2,21,"Brazil","Santa Catarina","Porto Belo","Área de Proteção Ambiental da Ponta do Araçá.",-48.517222,-27.121944,"arbustivo, flores rosa arroxeadas. Coordenadas aproximadas.","BRA:UFSC:FLOR:0000054490","Muellera grazielae (M.J.Silva & al.) M.J.Silva & A.M.G.Azevedo"
"4",NA,"Universidade Regional de Blumenau, FURB","FURB","35694","Muellera grazielae (M.J.Silva & al.) M.J.Silva & A.M.G.Azevedo","Fabaceae","Muellera","grazielae","(M.J.Silva & al.) M.J.Silva & A.M.G.Azevedo","Camargo, RA","2011-07-22T00:00:00.000+0000","3366","Verdi, M.",2010,4,3,"Brazil","Santa Catarina","Laguna","Laranjeiras.",-48.87,-28.44,"Regeneração IFFSC 81 /S/14","BRA:FURB:FURB:0000035694","Muellera grazielae (M.J.Silva & al.) M.J.Silva & A.M.G.Azevedo"
"5",NA,"Universidade Regional de Blumenau, FURB","FURB","34928","Muellera grazielae (M.J.Silva & al.) M.J.Silva & A.M.G.Azevedo","Fabaceae","Muellera","grazielae","(M.J.Silva & al.) M.J.Silva & A.M.G.Azevedo","Camargo, RA","2010-01-01T00:00:00.000+0000","3337","Stival-Santos, A.",2009,12,14,"Brazil","Santa Catarina","São João Batista","Canudos.",-48.8675,-27.359722,"Voucher estéril IFFSC 428 (Regeneração)","BRA:FURB:FURB:0000034928","Muellera grazielae (M.J.Silva & al.) M.J.Silva & A.M.G.Azevedo"
"6",NA,"Universidade Regional de Blumenau, FURB","FURB","7469","Muellera grazielae (M.J.Silva & al.) M.J.Silva & A.M.G.Azevedo","Fabaceae","Muellera","grazielae","(M.J.Silva & al.) M.J.Silva & A.M.G.Azevedo","Oliveira, AA de","2011-07-01T00:00:00.000+0000",NA,"Zimmer, E.",2008,6,25,"Brazil","Santa Catarina","Penha","Praia Vermelha.",-48.594722,-26.803889,NA,"BRA:FURB:FURB:0000007469","Muellera grazielae (M.J.Silva & al.) M.J.Silva & A.M.G.Azevedo"
"7","2013-06-20T00:00:00.000+0000","K","Herbarium","K000921614","Muellera grazielae (M.J.Silva & al.) M.J.Silva & A.M.G.Azevedo","Fabaceae","Muellera","grazielae","(M.J.Silva & al.) M.J.Silva & A.M.G.Azevedo",NA,NA,"79604","Hatschbach, G.G.; Barbosa, E.",2006,8,17,"Brazil",NA,"Rancho Queimado","Rod. BR-262, próximo de Rancho Queimado.",NA,NA,NA,"http://specimens.kew.org/herbarium/K000921614","Muellera grazielae (M.J.Silva & al.) M.J.Silva & A.M.G.Azevedo"
"8","2013-06-21T00:00:00.000+0000","K","Herbarium","K000921613","Muellera grazielae (M.J.Silva & al.) M.J.Silva & A.M.G.Azevedo","Fabaceae","Muellera","grazielae","(M.J.Silva & al.) M.J.Silva & A.M.G.Azevedo","Shimizu, G.H.",NA,"71873","Hatschbach, G.G.; Barbosa, E.; Cervi, A.C.",2000,12,13,"Brazil",NA,"Laguna","Praia do Sol.",NA,NA,NA,"http://specimens.kew.org/herbarium/K000921613","Muellera grazielae (M.J.Silva & al.) M.J.Silva & A.M.G.Azevedo"
"9",NA,"UFRGS","ICN","060731","Muellera grazielae (M.J.Silva & al.) M.J.Silva & A.M.G.Azevedo","Fabaceae","Muellera","grazielae","(M.J.Silva & al.) M.J.Silva & A.M.G.Azevedo","Silva, MJ","2010-07-22T00:00:00.000+0000","8537","Klein, RM; Bresolin, A",1970,1,20,"Brazil","Sc","Florianópolis","Tapera",0,0,"Árvore de 15m, flor roxa; mata","BRA:UFRGS:ICN:0000060731","Muellera grazielae (M.J.Silva & al.) M.J.Silva & A.M.G.Azevedo"
"10",NA,"UFRGS","ICN","060669","Muellera grazielae (M.J.Silva & al.) M.J.Silva & A.M.G.Azevedo","Fabaceae","Muellera","grazielae","(M.J.Silva & al.) M.J.Silva & A.M.G.Azevedo","Silva, MJ","2010-07-22T00:00:00.000+0000","8657","Klein, S",1970,4,1,"Brazil","Sc","Florianópolis","Lagoa do Piri",0,0,"arvoreta de 6m, fruto imaturo verde; mata","BRA:UFRGS:ICN:0000060669","Muellera grazielae (M.J.Silva & al.) M.J.Silva & A.M.G.Azevedo"
"11",NA,"NY","NY","1747410","Muellera grazielae (M.J.Silva & al.) M.J.Silva & A.M.G.Azevedo","Fabaceae","Muellera","grazielae","(M.J.Silva & al.) M.J.Silva & A.M.G.Azevedo","M. J. da Silva","2010-01-01T00:00:00.000+0000","5136","R. Reitz",1953,1,8,"Brazil","Santa Catarina",NA,"Praia Braba.",-48.644872,-26.946812,NA,"9cb47e7d-3f19-47f6-8b0a-1e582bf6245c","Muellera grazielae (M.J.Silva & al.) M.J.Silva & A.M.G.Azevedo"
"12",NA,"UNICAMP","UEC","146787","Muellera grazielae (M.J.Silva & al.) M.J.Silva & A.M.G.Azevedo","Fabaceae","Muellera","grazielae","(M.J.Silva & al.) M.J.Silva & A.M.G.Azevedo","Silva, M.J.","2010-07-22T00:00:00.000+0000","3401","Duarte, A.P.; Falcão, J.I.A.",1950,12,8,"Brazil","Santa Catarina","Florianópolis",NA,0,0,"Pequena árvore, segundo informação fornece madeira de primeira qualidade.","BRA:UNICAMP:UEC:0000146787","Muellera grazielae (M.J.Silva & al.) M.J.Silva & A.M.G.Azevedo"
"13",NA,"NY","HERB","286128","Lonchocarpus grazielae M.J.Silva & A.M.G.Azevedo","Fabaceae","Muellera","grazielae","M.J.Silva & A.M.G.Azevedo","-",NA,NA,"da Silva, M. J.",NA,NA,NA,"Brazil","Santa Catarina",NA,"bairro do Bananal",NA,NA,NA,NA,"Lonchocarpus grazielae M.J.Silva & A.M.G.Azevedo"
"14",NA,"UEC","HERB","286127","Lonchocarpus grazielae M.J.Silva & A.M.G.Azevedo","Fabaceae","Muellera","grazielae","M.J.Silva & A.M.G.Azevedo","-",NA,NA,"da Silva, M. J.",NA,NA,NA,"Brazil","Santa Catarina",NA,"bairro do Bananal",NA,NA,NA,NA,"Lonchocarpus grazielae M.J.Silva & A.M.G.Azevedo"
