"","modified","institutionCode","collectionCode","catalogNumber","scientificName","family","genus","specificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLongitude","decimalLatitude","occurrenceRemarks","occurrenceID","acceptedNameUsage","identificationQualifier","infraspecificEpithet","typeStatus","comments","bibliographicCitation"
"1",NA,"UEFS","HUEFS","198040","Muellera leptobotrys M.J.Silva & A.M.G.Azevedo","Fabaceae","Muellera","leptobotrys","M.J.Silva & A.M.G.Azevedo","L.P.Queiroz","2016-10-01T00:00:00.000+0000",2611,NA,"Carvalho-Sobrinho, J.G.de",2010,1,28,"Brazil","Bahia","Umburanas","Barra dos Alegres, caminho para Riacho da Barra PNBO.",-41.441944,-10.617778,NA,"BRA:UEFS:HUEFS:0000198040","Muellera leptobotrys M.J.Silva & A.M.G.Azevedo",NA,NA,NA,NA,NA
"2",NA,"UEFS","HUEFS","132066","Muellera leptobotrys M.J.Silva & A.M.G.Azevedo","Fabaceae","Muellera","leptobotrys","M.J.Silva & A.M.G.Azevedo","L.P.Queiroz","2016-10-01T00:00:00.000+0000",2308,NA,"Cardoso, D.",2008,1,17,"Brazil","Bahia","Monte Santo","ca. 20 km da rodovia sentido Euclides da Cunha - Monte Santo.",-39.080556,-10.483611,"Área de caatinga degradada com mata ciliar.","BRA:UEFS:HUEFS:0000132066","Muellera leptobotrys M.J.Silva & A.M.G.Azevedo",NA,NA,NA,NA,NA
"3",NA,"UEFS","HUEFS","118513","Muellera leptobotrys M.J.Silva & A.M.G.Azevedo","Fabaceae","Muellera","leptobotrys","M.J.Silva & A.M.G.Azevedo","L.P.Queiroz","2016-10-01T00:00:00.000+0000",13016,NA,"Queiroz, L.P.de",2007,4,13,"Brazil","Bahia","Jequié","Morro da Torre.",-40.122222,-13.890833,"Floresta estacional com caatinga na base.","BRA:UEFS:HUEFS:0000118513","Muellera leptobotrys M.J.Silva & A.M.G.Azevedo",NA,NA,NA,NA,NA
"4","2013-06-20T00:00:00.000+0000","K","Herbarium","K000921615","Muellera leptobotrys M.J.Silva & A.M.G.Azevedo","Fabaceae","Muellera","leptobotrys","M.J.Silva & A.M.G.Azevedo",NA,NA,9804,NA,"Costa, T.A.B.; Queiroz, L.P.; Rapini, A.; Cardoso, D.",2004,11,14,"Brazil",NA,"Ruy Barbosa","Estrada para Barro Duro.",-40.46,-12.3,NA,"http://specimens.kew.org/herbarium/K000921615","Muellera leptobotrys M.J.Silva & A.M.G.Azevedo",NA,NA,NA,NA,NA
"5",NA,"UEFS","HUEFS","30821","Muellera leptobotrys M.J.Silva & A.M.G.Azevedo","Fabaceae","Muellera","leptobotrys","M.J.Silva & A.M.G.Azevedo","L.P.Queiroz","2016-10-01T00:00:00.000+0000",2475,NA,"França, F.",1997,11,2,"Brazil","Bahia","Piritiba","França Ca. 8 km de França na estrada para Piritiba.",-40.605278,-11.470278,"Capoeira alta.","BRA:UEFS:HUEFS:0000030821","Muellera leptobotrys M.J.Silva & A.M.G.Azevedo",NA,NA,NA,NA,NA
"6",NA,"UEFS","HUEFS","23883","Muellera leptobotrys M.J.Silva & A.M.G.Azevedo","Fabaceae","Muellera","leptobotrys","M.J.Silva & A.M.G.Azevedo","L.P.Queiroz","2016-10-01T00:00:00.000+0000",1864,NA,"França, F.",1996,9,29,"Brazil","Bahia","Itatim","Morro do Agenor.",-39.766667,-12.7,"Orla interna da mata da base do Inselberg.","BRA:UEFS:HUEFS:0000023883","Muellera leptobotrys M.J.Silva & A.M.G.Azevedo",NA,NA,NA,NA,NA
"7","2014-01-08T11:57:41.000+0000","K","Herbarium","K000187516","Muellera leptobotrys M.J.Silva & A.M.G.Azevedo","Fabaceae","Muellera","leptobotrys","M.J.Silva & A.M.G.Azevedo","Tozzi, A.M.G.A.","2013-07-05T00:00:00.000+0000",11226,NA,"Mori, S.A.; Santos, T.S.; Thompson, C.B.",1978,11,19,"Brazil",NA,"Jequié","Estrada Jequié-Lafayete Coutinho, 11-17km W de Jequié",NA,NA,NA,"http://specimens.kew.org/herbarium/K000187516","Muellera leptobotrys M.J.Silva & A.M.G.Azevedo",NA,NA,NA,NA,NA
"8","2015-09-04T02:42:13.000+0000","MNHN","P","P02926844","Muellera leptobotrys M.J.Silva & A.M.G.Azevedo","Fabaceae","Muellera","leptobotrys","M.J.Silva & A.M.G.Azevedo","Shimizu",NA,NA,12592,"Glaziou, A.",NA,NA,NA,"Brazil",NA,NA,NA,NA,NA,NA,"http://coldb.mnhn.fr/catalognumber/mnhn/p/p02926844","Muellera leptobotrys M.J.Silva & A.M.G.Azevedo",NA,NA,NA,NA,NA
"9",NA,"Comissão Executiva do Plano da Lavoura Cacaueira (CEPLAC)","CEPEC","103010","Muellera leptobotrys M.J.Silva & A.M.G.Azevedo","Fabaceae","Muellera","leptobotrys","M.J.Silva & A.M.G.Azevedo","W. São Mateus",NA,244,NA,"D. L. Santana",NA,NA,NA,"Brazil","Bahia","ITAETÉ","Paraguaçu, Itaeté. Assentamento Baixão. Final (leste-sul), área de loteamento.",-41.033333,-13.166667,"Ambiente: Mata. Habito: Árvore 7m.","BRA:CEPLAC:CEPEC:0000103010","Muellera leptobotrys M.J.Silva & A.M.G.Azevedo",NA,NA,NA,NA,NA
"10","2015-09-04T02:42:13.000+0000","MNHN","P","P02926843","Muellera leptobotrys M.J.Silva & A.M.G.Azevedo","Fabaceae","Muellera","leptobotrys","M.J.Silva & A.M.G.Azevedo","Shimizu",NA,NA,12592,"Glaziou, A.",NA,NA,NA,"Brazil",NA,NA,NA,NA,NA,NA,"http://coldb.mnhn.fr/catalognumber/mnhn/p/p02926843","Muellera leptobotrys M.J.Silva & A.M.G.Azevedo",NA,NA,NA,NA,NA
