"","modified","institutionCode","collectionCode","catalogNumber","scientificName","family","genus","specificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLongitude","decimalLatitude","occurrenceRemarks","occurrenceID","acceptedNameUsage"
"1",NA,"Universidade Federal da Bahia (UFBA)","ALCB","126413","Swartzia revoluta R.B.Pinto, Torke & Mansano","Fabaceae","Swartzia","revoluta","R.B.Pinto, Torke & Mansano","Guedes, ML","2017-02-01T00:00:00.000+0000",NA,25171,"Guedes, ML; Alunos de Botânica BIO C05",2016,10,22,"Brazil","Bahia","Mata de São João","Ponto 01.",-38.283333,-12.516667,"Folíolos coriáceos, discolores, glabros. Flores passadas. Frutos jovens.","BRA:UFBA:ALCB:0000126413","Swartzia revoluta R.B.Pinto, Torke & Mansano"
"2",NA,"UEFS","HUEFS","180488","Swartzia revoluta R.B.Pinto, Torke & Mansano","Fabaceae","Swartzia","revoluta","R.B.Pinto, Torke & Mansano",NA,NA,NA,329,"Matos, E.N.de",2011,7,30,"Brazil","Bahia","Entre Rios","Areal de Subauma.",-49.779167,-12.238056,"Campestre e moitas","BRA:UEFS:HUEFS:0000180488","Swartzia revoluta R.B.Pinto, Torke & Mansano"
"3",NA,"UEFS","HUEFS","180524","Swartzia revoluta R.B.Pinto, Torke & Mansano","Fabaceae","Swartzia","revoluta","R.B.Pinto, Torke & Mansano",NA,NA,NA,790,"Matos, E.N.de",2011,11,18,"Brazil","Bahia","Mata de São João","Imbassaí (loteamento do Mirante).",-37.978333,-12.5125,"Arbustiva","BRA:UEFS:HUEFS:0000180524","Swartzia revoluta R.B.Pinto, Torke & Mansano"
"4","2017-10-18T18:03:33.000+0000","JBRJ","RB","RB00595584","Swartzia revoluta R.B.Pinto, Torke & Mansano","Fabaceae","Swartzia","revoluta","R.B.Pinto, Torke & Mansano","V.F. Mansano",NA,"PARATYPE",120,"R.B.Pinto; T.C.Arantes",2010,7,21,"Brazil","Bahia","Bahia","Massarandupió. Dunas próximas a área de brejo sazonal que antecede a praia. Beira da estrada de terra. Dunas de areia branca.",-37.933889,-12.451944,"Arvoreta ca 1,5m.","urn:catalog:JBRJ:RB:595584","Swartzia revoluta R.B.Pinto, Torke & Mansano"
"5","2017-10-18T18:21:21.000+0000","JBRJ","RB","RB01205839","Swartzia revoluta R.B.Pinto, Torke & Mansano","Fabaceae","Swartzia","revoluta","R.B.Pinto, Torke & Mansano","V.F. Mansano",NA,"PARATYPE",121,"R.B.Pinto; T.C.Arantes",2010,7,21,"Brazil","Bahia","Bahia","Vila de Santo Antônio. RPPN Dunas de Sto. Antônio.",-37.938055,-12.441944,"Arvoreta ca 1,5m.","urn:catalog:JBRJ:RB:1205839","Swartzia revoluta R.B.Pinto, Torke & Mansano"
"6","2017-10-18T17:51:11.000+0000","JBRJ","RB","RB00595585","Swartzia revoluta R.B.Pinto, Torke & Mansano","Fabaceae","Swartzia","revoluta","R.B.Pinto, Torke & Mansano","V.F. Mansano",NA,"PARATYPE",119,"R.B.Pinto; T.C.Arantes",2010,7,21,"Brazil","Bahia","Bahia","Vila de Santo Antônio. RPPN Dunas de Sto. Antônio.",-37.9375,-12.442222,"Arvoreta ca 1,5m. Frutos amarelados.","urn:catalog:JBRJ:RB:595585","Swartzia revoluta R.B.Pinto, Torke & Mansano"
"9",NA,"UNICAMP","UEC","155688","Swartzia revoluta R.B.Pinto, Torke & Mansano","Fabaceae","Swartzia","revoluta","R.B.Pinto, Torke & Mansano","Mansano, V.F.","2016-01-12T00:00:00.000+0000",NA,642,"Mansano, V.F.; Pinto, R.B.; Barros, M.",2009,11,21,"Brazil","Bahia",NA,"Vila de Sto. Antônio, Vila de Sto. Antônio, RPPN Dunas de Santo Antônio. Entrada no Km 71, estrada do côco BA-009.",-37.933333,-12.436111,"Frequente na restinga, caule descamante, cinza, exudato avermelhado. Altura 2m. Arbusto.; Restinga, Dunas.","BRA:UNICAMP:UEC:0000155688","Swartzia revoluta R.B.Pinto, Torke & Mansano"
"12",NA,"UEFS","HUEFS","104896","Swartzia revoluta R.B.Pinto, Torke & Mansano","Fabaceae","Swartzia","revoluta","R.B.Pinto, Torke & Mansano","R.B.Pinto & V.F.Mansano","2011-01-01T00:00:00.000+0000",NA,5415,"Miranda, A.M.",2006,1,24,"Brazil","Bahia","Mata de São João","Praia do Forte.",NA,NA,NA,"BRA:UEFS:HUEFS:0000104896","Swartzia revoluta R.B.Pinto, Torke & Mansano"
"13",NA,"Universidade Federal Rural de Pernambuco, UFRPE","HST","13397","Swartzia revoluta R.B.Pinto, Torke & Mansano","Fabaceae","Swartzia","revoluta","R.B.Pinto, Torke & Mansano","A.M.Miranda","2011-09-22T00:00:00.000+0000",NA,5417,"A.M.Miranda; et al.",2006,1,24,"Brazil","Bahia","Mata de São João","Praia do Forte",NA,NA,"Arbusto ca. 1,60 m alt.; caule marron, fissurado; foliolos coriáceos, discolores, abaxialmete verde mais claro, levemente naviforme; frutos imaturos verde-amarronzado.","BRA:UFRPE:HST:0000013397","Swartzia revoluta R.B.Pinto, Torke & Mansano"
"15",NA,"Universidade Federal Rural de Pernambuco, UFRPE","HST","13383","Swartzia revoluta R.B.Pinto, Torke & Mansano","Fabaceae","Swartzia","revoluta","R.B.Pinto, Torke & Mansano","A.M.Miranda","2011-09-22T00:00:00.000+0000",NA,5355,"A.M.Miranda; et al.",2006,1,23,"Brazil","Bahia","Mata de São João","Praia do Forte",NA,NA,"Arbusto ca. 1 m alt.; caule enegrecido; folhas coriáceas, discolores, adaxialmete verde-brilhante; flores com cálice verde-amarronzado, corola e estames brancos.","BRA:UFRPE:HST:0000013383","Swartzia revoluta R.B.Pinto, Torke & Mansano"
