"","modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLongitude","decimalLatitude","occurrenceRemarks","occurrenceID","bibliographicCitation","acceptedNameUsage"
"1","2015-02-10T14:02:32.000+0000","JBRJ","RB","RB00190239","Swartzia tomentifera Ducke",NA,"Fabaceae","Swartzia","tomentifera",NA,"Ducke",NA,NA,NA,"1858","Ribeiro,J.E.L.S; Perera,E. Da C.;Assunção,P.A.C.L",1996,11,19,"Brazil","Amazonas","Itacoatiara","Reserva Florestal Ducke,Manaus,km 26.",NA,NA,"Arvore.Dossel.28m alt.Tronco cilindrico,base digitada.Ritidoma marrom,estriado,desprendimento em grumos.Casca viva marron-clara. Alburno creme-amarelado.Resina vermelha,entre a casca viva e alburno ,pegajosa. Calice verde,ovario castanho,petala arroxeada,filetes de base branca e apice arroxeado,antera branca.Muito perfumadas(coletada no final da tarde)","urn:catalog:JBRJ:RB:190239",NA,"Swartzia tomentifera Ducke"
"2",NA,"Instituto de Botânica, IBT","SP","341652","Swartzia tomentifera Ducke",NA,"Fabaceae","Swartzia","tomentifera",NA,"Ducke","Hopkins, MJG; Mesquita, MR",NA,NA,"1858","Ribeiro, JELS; Pereira, EC; Assunção, PACL",1996,11,19,"Brazil","Amazonas","Manaus","Reserva Florestal Ducke, Manaus - Itacoatiara, km 26. Floresta de Vertente. Solo argiloso",-59.966667,-2.883333,NA,"BRA:IBt:SP:0000341652",NA,"Swartzia tomentifera Ducke"
"3",NA,"NY","NY","02431277","Swartzia tomentifera Ducke",NA,"Fabaceae","Swartzia","tomentifera",NA,"Ducke",NA,NA,NA,"1858","J. E. L. S. Ribeiro",1996,11,19,"Brazil","Amazonas",NA,"Reserva Florestal Ducke, Manaus-Itacoatira, km 26.",0,0,NA,"1a812d29-646e-4c6e-811b-e1763c7c7c95",NA,"Swartzia tomentifera Ducke"
"4","2017-10-17T11:51:51.000+0000","JBRJ","RB","RB00191258","Swartzia tomentifera Ducke",NA,"Fabaceae","Swartzia","tomentifera",NA,"Ducke",NA,NA,NA,"16","Mesquita,M.R.; Hopkins,M.J.G;Assunção,P.A.C.L;Procopio,L.C",1996,12,6,"Brazil","Amazonas","Itacoatiara","Reserva Florestal Ducke,km 26.",-59.966667,-2.883333,"Arvore.Tronco circular,25m de altura,35cm de DAP,dossel.Base pouco dilatada,sem raizes superficiais.Ritidoma marrom claro,rigido e todo estriado,sem lenticelas.Desprendimento em laminas fiabs,virando po. Corte: casca morta marrom,1mm.Casca viva laranja com pontos pretos,espessa,quase 1cm;oxidaçao imperceptivel,odor suave de leguminosa;não fibrosa.Alburno amarelo claro,oxidando para amarelo mais escuro.Exudaçao abundante,vermelho sangue,pegajosa,originada da casca viva","urn:catalog:JBRJ:RB:191258",NA,"Swartzia tomentifera Ducke"
"5","2017-10-10T22:36:00.000+0000","JBRJ","RB","RB00188806","Swartzia tomentifera Ducke",NA,"Fabaceae","Swartzia","tomentifera",NA,"Ducke","D. Corêa",NA,NA,"1073","S.G Egler; J. Ribeiro, J.B. Rocha,J.Ramos",1993,3,NA,"Brazil","Amazonas","Manaus","Rio Cuieiars.",NA,NA,"Arvore,Altura 14,5 m. DAP 23,3 cm","urn:catalog:JBRJ:RB:188806",NA,"Swartzia tomentifera Ducke"
"6",NA,"Instituto de Botânica, IBT","SP","320770","Swartzia tomentifera Ducke",NA,"Fabaceae","Swartzia","tomentifera",NA,"Ducke","Corrêa, D",NA,NA,"s.n.","Egler, SG; Ribeiro, J; Rocha, JB; Ramos, J",1993,3,NA,"Brazil","Amazonas","Manaus","Rio Cuieiras. Solo arenoso",0,0,NA,"BRA:IBt:SP:0000320770",NA,"Swartzia tomentifera Ducke"
"7","2017-10-10T22:36:00.000+0000","JBRJ","RB","RB00188380","Swartzia tomentifera Ducke",NA,"Fabaceae","Swartzia","tomentifera",NA,"Ducke","D. Corêa",NA,NA,"1001","S.G Egler; J.Ribeiro,J.B. Rocha,J. Ramos",1992,10,NA,"Brazil","Amazonas","Manaus","Rua Cuieiras.",NA,NA,"Arvore.Altura 14,3 m. DAP 22 cm","urn:catalog:JBRJ:RB:188380",NA,"Swartzia tomentifera Ducke"
"8",NA,"Instituto de Botânica, IBT","SP","320772","Swartzia tomentifera Ducke",NA,"Fabaceae","Swartzia","tomentifera",NA,"Ducke","Corrêa, D",NA,NA,"s.n.","Egler, SG; et al.",1992,10,NA,"Brazil","Amazonas","Manaus","Rio Cuieiras. Solo argiloso",0,0,NA,"BRA:IBt:SP:0000320772",NA,"Swartzia tomentifera Ducke"
"9",NA,"US","Botany","3282390","Swartzia tomentifera Ducke",NA,"Fabaceae","Swartzia","tomentifera",NA,"Ducke",NA,NA,NA,"67","M. Pacheco, E. Palheta & S. Souza",1988,11,7,"Brazil","Amazonas",NA,"Agropecuario",-60.0833,-2.3167,NA,"http://n2t.net/ark:/65665/3d7fefa01-8105-4d88-b64d-90a2529608d6",NA,"Swartzia tomentifera Ducke"
"10","2014-09-26T00:00:00.000+0000","Instituto Nacional de Pesquisas da Amazônia (INPA)","Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)","44697","Swartzia tomentifera Ducke",NA,"Fabaceae","Swartzia","tomentifera",NA,"Ducke","Cowan, R.S.","1976-01-01T00:00:00.000+0000",NA,"20718","Mike Hopkins",1974,3,19,"Brazil","Amazonas",NA,"Manaus-Porto Velho highway, km 253. Disturbed forest on terra firme beside clearing",NA,NA,NA,"urn:catalog:inpa:herbarium:142676",NA,"Swartzia tomentifera Ducke"
