"","modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLongitude","decimalLatitude","occurrenceRemarks","acceptedNameUsage","occurrenceID","comments","bibliographicCitation"
"73",NA,NA,"PACA-AGP","55193","Inga edwallii (Harms) T.D.Penn.",NA,"Fabaceae","Affonsea","edwallii",NA,"(Harms) T.D.Penn.","F. C. P. Garcia","1999-02-01",NA,"5134",NA,"Reitz, R.",1953,1,8,"brazil","Santa Catarina","Itajaí","Praia Braba",-48.752558,-26.968315,"HBR 6411. 3m de altura e frutos amarelos. Habitat: in silva litoranea Fenofase: fruto semievoluto Hábito: arbusto","Inga edwallii (Harms) T.D.Penn.",NA,"centroide mpo OK","GBIF"
"74",NA,NA,"NY","419484","Inga edwallii (Harms) T.D.Penn.",NA,"Fabaceae","Affonsea","edwallii",NA,"(Harms) T.D.Penn.","","",NA,"681",NA,"R. M. Klein",1953,10,26,"brazil","Santa Catarina","","",-49.5184229581099,-27.0608031135342,"","Inga edwallii (Harms) T.D.Penn.",NA,"original coordinates outside municipality original in  falls in ibirama","GBIF"
"75",NA,NA,"Botany","2841615","Inga edwallii (Harms) T.D.Penn.",NA,"Fabaceae","Affonsea","edwallii",NA,"(Harms) T.D.Penn.","","",NA,"1405",NA,"Reitz & Klein, --",1953,11,12,"brazil","Santa Catarina","","Praia Braba, Itajai, Oupoeira, perto do regato [interpreted]",NA,NA,"","Inga edwallii (Harms) T.D.Penn.",NA,NA,"GBIF"
"76",NA,NA,"RB","RB00159263","Inga edwallii (Harms) T.D.Penn.",NA,"Fabaceae","Affonsea","edwallii",NA,"(Harms) T.D.Penn.","Marli P. Morim de Lima","2006-01-01",NA,"1403",NA,"Reitz; Klein",1953,11,12,"brazil","Santa Catarina","Itajaí","Praia Braba.",-48.752558,-26.968315,"Árvore, 6m, flor branca.","Inga edwallii (Harms) T.D.Penn.",NA,"centroide mpo OK","GBIF"
"77",NA,NA,"SP","46968","Inga edwallii (Harms) T.D.Penn.",NA,"Fabaceae","Affonsea","edwallii",NA,"(Harms) T.D.Penn.","","",NA,"s.n.",NA,"Handro, O",1937,9,25,"brazil","São Paulo","Santo André","E.B. do Alto da Serra de Paranapiacaba, (via férrea São Paulo - Santos)",-46.443939,-23.726284,"","Inga edwallii (Harms) T.D.Penn.",NA,"centroide mpo (0) outside municipality original in santo andre falls in ribeirao pires","GBIF"
"78",NA,NA,"Herbarium","K000877070","Inga edwallii (Harms) T.D.Penn.",NA,"Fabaceae","Affonsea","edwallii",NA,"(Harms) T.D.Penn.","Pennington, T.D.","",NA,"738",NA,"Hoehne, F.C.; Gehrt, A.",1936,10,6,"brazil","","","Est. Bio., A. Serra.",NA,NA,"","Inga edwallii (Harms) T.D.Penn.",NA,NA,"GBIF"
"79",NA,NA,"NY","419487","Inga edwallii (Harms) T.D.Penn.",NA,"Fabaceae","Affonsea","edwallii",NA,"(Harms) T.D.Penn.","","",NA,"738",NA,"F. C. Hoehne",1936,10,6,"brazil","SÃ£o Paulo","","Est. Biol., A. Serra",-46.4100916355625,-23.7138667659755,"","Inga edwallii (Harms) T.D.Penn.",NA,"original coordinates outside municipality original in  falls in ribeirao pires","GBIF"
"80",NA,NA,"Botany","U.1306612","Inga edwallii (Harms) T.D.Penn.",NA,"Fabaceae","Affonsea","edwallii",NA,"(Harms) T.D.Penn.","","",NA,"",NA,"Kuhlmann JG",1922,10,2,"brazil","","","Jardim Botanico Do Rio De Janeiro.",NA,NA,"","Inga edwallii (Harms) T.D.Penn.",NA,NA,"GBIF"
"81",NA,NA,"RB","RB00161450","Inga edwallii (Harms) T.D.Penn.",NA,"Fabaceae","Affonsea","edwallii",NA,"(Harms) T.D.Penn.","","",NA,"",NA,"J.G. Kuhlmann",1922,10,2,"brazil","São Paulo","Campo Grande","Estação Biológica do Alto da Serra. Estação Biológica do Alto da Serra",NA,NA,"Árvore pequena, fl. alvacenta.","Inga edwallii (Harms) T.D.Penn.",NA,NA,"GBIF"
"82",NA,NA,"SP","863","Inga edwallii (Harms) T.D.Penn.",NA,"Fabaceae","Affonsea","edwallii",NA,"(Harms) T.D.Penn.","Pennington, TD","1997-01-01",NA,"s.n.",NA,"Hoehne, FC",1918,10,19,"brazil","São Paulo","Santo André","Alto da Serra, Mata da Estação Biológica",-46.443939,-23.726284,"","Inga edwallii (Harms) T.D.Penn.",NA,"centroide mpo (0) outside municipality original in santo andre falls in ribeirao pires","GBIF"
