"","modified","institutionCode","collectionCode","catalogNumber","scientificName","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLongitude","decimalLatitude","occurrenceRemarks","occurrenceID","bibliographicCitation","acceptedNameUsage","identificationQualifier","fieldNumber","comments"
"1",NA,"Universidade Federal da Bahia (UFBA)","ALCB","132406","Copaifera cearensis Huber ex Ducke","Fabaceae","Copaifera","cearensis",NA,"Huber ex Ducke","Guedes, ML","2018-08-01T00:00:00.000+0000",NA,"30338","Guedes, ML; Guaré, F; Rocha, E",2018,2,19,"Brazil","Bahia","Tucano","Nordeste, Buraco do Vento.",-39.3,-11.966667,"de ca 5 m de altura. Folíolos coriáceos. Inflorescência com botões e flores passadas.","BRA:UFBA:ALCB:0000132406",NA,"Copaifera cearensis Huber ex Ducke",NA,NA,NA
"2",NA,"UEFS","HUEFS","239352","Copaifera arenicola (Ducke) J.Costa & L.P.Queiroz","Fabaceae","Copaifera","arenicola",NA,"(Ducke) J.Costa & L.P.Queiroz",NA,NA,NA,"4174","Cardoso, D.",2017,2,27,"Brazil","Bahia","Canudos","Estação Biológica de Canudos, Toca Velha.",-39.019722,-9.953611,NA,"BRA:UEFS:HUEFS:0000239352",NA,"Copaifera arenicola (Ducke) J.Costa & L.P.Queiroz",NA,NA,NA
"3",NA,"UEFS","HUEFS","233598","Copaifera cearensis Huber ex Ducke","Fabaceae","Copaifera","cearensis",NA,"Huber ex Ducke","R.T.Pennington","2017-11-01T00:00:00.000+0000",NA,"644","Moonlight, P.W.",2017,3,29,"Brazil","Ceará","Crateús","Serra das Almas, around plot 1.",-40.928333,-5.146667,"Dry forest with canopy of 5-10m. Dense shrub layer (mostly Croton sp). Sparse herb layer and sparse bromeliad ground cover. Deep clay-sand soil.","BRA:UEFS:HUEFS:0000233598",NA,"Copaifera cearensis Huber ex Ducke",NA,NA,NA
"4",NA,"Universidade Federal da Bahia (UFBA)","ALCB","128344","Copaifera arenicola (Ducke) J.Costa & L.P.Queiroz","Fabaceae","Copaifera","arenicola",NA,"(Ducke) J.Costa & L.P.Queiroz","Jardim, JG","2016-01-01T00:00:00.000+0000",NA,"1668","Roque, AA",2016,1,19,"Brazil","Rio Grande do Norte","Natal","Parque da Cidade Dom Nivaldo Monte.",-35.226111,-55.102778,"ca. 2,5 m de altura. Folíolos verde-escuros. botões esverdeados. Frutos imaturos verdes.; Restinga.","BRA:UFBA:ALCB:0000128344",NA,"Copaifera arenicola (Ducke) J.Costa & L.P.Queiroz",NA,NA,NA
"6",NA,"Universidade Federal do Ceará, UFC","EAC","61281","Copaifera arenicola (Ducke) J.Costa & L.P.Queiroz","Fabaceae","Copaifera","arenicola",NA,"(Ducke) J.Costa & L.P.Queiroz",NA,NA,NA,"931","Moura, E.O.",2016,6,17,"Brazil","Rio Grande do Norte","Rio do Fogo",NA,-35.353889,-5.314444,"Árvore ca. 2,5m. Folhas subcoriáceas com face adaxial verde brilhante. Frutos passados enegrecidos.; Restinga arbustiva.","BRA:UFC:EAC:0000061281",NA,"Copaifera arenicola (Ducke) J.Costa & L.P.Queiroz",NA,NA,NA
"7",NA,"UNIVASF","HVASF","23082","Copaifera arenicola (Ducke) J.Costa & L.P.Queiroz","Fabaceae","Copaifera","arenicola",NA,"(Ducke) J.Costa & L.P.Queiroz","J.A. Siqueira Filho","2016-08-15T00:00:00.000+0000",NA,"3754","J.A. Siqueira Filho",2016,8,1,"Brazil","Bahia","Canudos","Estação Biológica de Canudos, trilha em direção à Toca Velha",-39.006111,-9.933361,"Árvore ca. 3m alt. Copa frondosa e esgalhada. Folhas coriáceas. Flores alvas inconspícuas. Frutos secos deiscentes.","BRA:UNIVASF:HVASF:0000023082",NA,"Copaifera arenicola (Ducke) J.Costa & L.P.Queiroz",NA,NA,NA
"8",NA,"UEFS","HUEFS","226996","Copaifera arenicola (Ducke) J.Costa & L.P.Queiroz","Fabaceae","Copaifera","arenicola",NA,"(Ducke) J.Costa & L.P.Queiroz",NA,NA,NA,"9640","Fontana, A.P.",2016,9,28,"Brazil","Pernambuco","Moreilândia","Chapada do Araripe, Serra da Mata Grande, propriedade do Sr. Zé Miranda e Luiz Soares de Brito.",NA,NA,"Savana Estépica. Latossolo Vermelho-Amarelo Distrófico","BRA:UEFS:HUEFS:0000226996",NA,"Copaifera arenicola (Ducke) J.Costa & L.P.Queiroz",NA,NA,NA
"10",NA,"Universidade Federal de Sergipe, UFS","ASE","37067","Copaifera arenicola (Ducke) J.Costa & L.P.Queiroz","Fabaceae","Copaifera","arenicola",NA,"(Ducke) J.Costa & L.P.Queiroz","Mota, AC","2015-09-24T00:00:00.000+0000",NA,"ASE","Gama, DC; N-Junior, JM",2015,4,20,"Brazil","Bahia","Ribeira do Pombal","Fazenda Juliana, Aproximadamente a 04 km de distância da cidade. Solo arenoso, profundo.",-38.332926,-10.514611,"Árvore.; Caatinga.","BRA:UFS:ASE:0000037067",NA,"Copaifera arenicola (Ducke) J.Costa & L.P.Queiroz",NA,NA,NA
"11",NA,"Empresa Brasileira de Pesquisa Agropecuária (EMBRAPA)","HTSA","6306","Copaifera arenicola (Ducke) J.Costa & L.P.Queiroz","Fabaceae","Copaifera","arenicola",NA,"(Ducke) J.Costa & L.P.Queiroz","Fontana, A.P.; Cotarelli, V.","2015-12-11T00:00:00.000+0000",NA,"s.n.","Kiill L.H.P.",2015,8,25,"Brazil","Bahia","CASA NOVA",NA,0,0,NA,"BRA:CPATSA:HTSA:0000006306",NA,"Copaifera arenicola (Ducke) J.Costa & L.P.Queiroz",NA,NA,NA
"12",NA,"Empresa Brasileira de Pesquisa Agropecuária (EMBRAPA)","HTSA","6066","Copaifera arenicola (Ducke) J.Costa & L.P.Queiroz","Fabaceae","Copaifera","arenicola",NA,"(Ducke) J.Costa & L.P.Queiroz","Fontana, A.P.","2014-05-25T00:00:00.000+0000",NA,"8067","Fontana, A.P.; Pimentel, L.B.",2014,5,25,"Brazil","Pernambuco","Petrolina","Alphaville, Avenida Pedrinhas",-40.758333,-9.600278,"Arbusto. Frutos imaturos verdes.","BRA:CPATSA:HTSA:0000006066",NA,"Copaifera arenicola (Ducke) J.Costa & L.P.Queiroz",NA,NA,NA
