"","modified","institutionCode","collectionCode","catalogNumber","scientificName","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLongitude","decimalLatitude","occurrenceRemarks","occurrenceID","acceptedNameUsage","identificationQualifier","fieldNumber","comments","bibliographicCitation"
"1","2017-10-19T01:14:05.000+0000","JBRJ","RB","RB00332843","Enterolobium glaziovii (Benth.) Mesquita","Fabaceae","Enterolobium","glaziovii",NA,"(Benth.) Mesquita","Iganei.J.R.V.","2006-05-05T00:00:00.000+0000",NA,"2199","M.G. Bovini; et al",2002,10,22,"Brazil","Rio de Janeiro","Nova Iguaçu","Distrito de Tinguá, Reserva Biologica, mata do Macuco. Tinguá",NA,NA,"Árvore ca 10m semi-heliófila, folíolos membranáceos, cálice e corola verdes e filetes alvos","urn:catalog:JBRJ:RB:332843","Enterolobium glaziovii (Benth.) Mesquita",NA,NA,NA,NA
"2","2017-10-19T22:07:44.000+0000","JBRJ","RB","RB00160746","Enterolobium glaziovii (Benth.) Mesquita","Fabaceae","Enterolobium","glaziovii",NA,"(Benth.) Mesquita",NA,NA,NA,"5953","H. C. de Lima; L. Sylvestre & W. da Silva",2001,11,16,"Brazil","Rio de Janeiro","Nova Iguaçu","Rebio. Tinguá, Boa Esperança, estrada para a represa. . Tinguá",NA,NA,"Árvore alta com 28m de altura. Tronco com casca lisa, alvo-pardacento, DAP ca. 1cm. Frutos passados. Ocasional.","urn:catalog:JBRJ:RB:160746","Enterolobium glaziovii (Benth.) Mesquita",NA,NA,NA,NA
"3",NA,"USP","SPF","183806","Enterolobium glaziovii (Benth.) Mesquita","Fabaceae","Enterolobium","glaziovii",NA,"(Benth.) Mesquita","Anônimo",NA,NA,"510","Luchiari, C",1994,8,25,"Brazil","Rio de Janeiro","Silva Jardim","Reserva Biológica de Poço das Antas",-42.25,-22.5,NA,"BRA:USP:SPF:0000183806","Enterolobium glaziovii (Benth.) Mesquita",NA,NA,NA,NA
"4","2014-07-08T04:37:13.000+0000","JBRJ","RB","RB00160816","Enterolobium glaziovii (Benth.) Mesquita","Fabaceae","Enterolobium","glaziovii",NA,"(Benth.) Mesquita","A. L. Mesquita","1990-04-24T00:00:00.000+0000",NA,"107","J. Spada",1972,11,30,"Brazil","Espírito Santo","Linhares","Reserva Florestal de Linhares - CVRD. Próximo Estrada 161 Talhão 601. Reserva Florestal de Linhares - CVRD",NA,NA,"Árvore com ca. 34m de altura com fuste de ca. 23m de altura.","urn:catalog:JBRJ:RB:160816","Enterolobium glaziovii (Benth.) Mesquita",NA,NA,NA,NA
"5","2014-08-22T12:50:41.000+0000","K","Herbarium","K000091765","Enterolobium glaziovii (Benth.) Mesquita","Fabaceae","Enterolobium","glaziovii",NA,"(Benth.) Mesquita","Mesquita, A.L.",NA,NA,"413","Pinheiro, R.S.; Santos 76, T.S.",1967,11,10,"Brazil",NA,"Itapebí","Itambé-Potiraguá.",NA,NA,NA,"http://specimens.kew.org/herbarium/K000091765","Enterolobium glaziovii (Benth.) Mesquita",NA,NA,NA,NA
"6","2014-08-22T12:50:20.000+0000","K","Herbarium","K000091764","Enterolobium glaziovii (Benth.) Mesquita","Fabaceae","Enterolobium","glaziovii",NA,"(Benth.) Mesquita","Mesquita, A.L.",NA,NA,"413","Pinheiro, R.S.; Santos 76, T.S.",1967,11,10,"Brazil",NA,"Itapebí","Itambé-Potiraguá.",NA,NA,NA,"http://specimens.kew.org/herbarium/K000091764","Enterolobium glaziovii (Benth.) Mesquita",NA,NA,NA,NA
"7",NA,"Instituto de Botânica, IBT","SP","20926A","Enterolobium glaziovii (Benth.) Mesquita","Fabaceae","Enterolobium","glaziovii",NA,"(Benth.) Mesquita","Mesquita, AL","1987-02-02T00:00:00.000+0000",NA,"s.n.","Nunes, GM",1928,3,NA,"Brazil","Rio de Janeiro","Avelar",NA,0,0,NA,"BRA:IBt:SP:000020926A","Enterolobium glaziovii (Benth.) Mesquita",NA,NA,NA,NA
"8","2014-07-08T04:35:18.000+0000","JBRJ","RB","RB00160787","Enterolobium glaziovii (Benth.) Mesquita","Fabaceae","Enterolobium","glaziovii",NA,"(Benth.) Mesquita","A. L. Mesquita",NA,NA,NA,"P. do H. Florestal",1927,7,7,"Brazil","Rio de Janeiro","Rio de Janeiro","Horto Florestal.",NA,NA,"Cultivado; árvore de 10-15 mts.; fls. alvas.","urn:catalog:JBRJ:RB:160787","Enterolobium glaziovii (Benth.) Mesquita",NA,NA,NA,NA
"9",NA,"W","Herbarium W","2004-0011703","Enterolobium glaziovii (Benth.) Mesquita","Fabaceae","Enterolobium","glaziovii",NA,"(Benth.) Mesquita",NA,NA,NA,NA,"REFLORA provisional entry",NA,NA,NA,"Brazil",NA,NA,NA,NA,NA,NA,NA,"Enterolobium glaziovii (Benth.) Mesquita",NA,NA,NA,NA
"10",NA,"UFES","VIES","19681","Enterolobium glaziovii (Benth.) Mesquita","Fabaceae","Enterolobium","glaziovii",NA,"(Benth.) Mesquita","Chagas, A.P.","2014-03-01T00:00:00.000+0000",NA,"5335","Folli, D.A.",2006,8,3,"Brazil","Espírito Santo","Linhares","Reserva Natural Vale.",NA,NA,"Fruto maduro preto, fruto imaturo verde, terrestre.","BRA:UFES:VIES:0000019681","Enterolobium glaziovii (Benth.) Mesquita",NA,NA,NA,NA
"11",NA,"Reserva Natural Vale (CVRD)","CVRD","1178","Enterolobium glaziovii (Benth.) Mesquita","Fabaceae","Enterolobium","glaziovii",NA,"(Benth.) Mesquita","A. L. Meaquita","1989-03-22T00:00:00.000+0000",NA,"46","Farias, G.L.",1984,11,26,"Brazil","Es","LINHARES",NA,NA,NA,"<ll>dwc_commonname:</ll> Orelha de macaco","BRA:CVRD:CVRD:0000001178","Enterolobium glaziovii (Benth.) Mesquita",NA,NA,NA,NA
