"","modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLongitude","decimalLatitude","occurrenceRemarks","occurrenceID","bibliographicCitation","acceptedNameUsage"
"1","2018-06-30T19:04:52.000+0000","JBRJ","RB","RB01382328","Pseudopiptadenia inaequalis (Benth.) Rauschert",NA,"Fabaceae","Pseudopiptadenia","inaequalis","(Benth.) Rauschert","H.C. Lima","2018-06-30T00:00:00.000+0000","1348",NA,"C. Baez; E. Fernandez, R. Gomes, D. Maurenza",2018,1,19,"Brazil","Rio de Janeiro","Cachoeiras de Macacu","Guapiaçu. Trilha verde. Parque Estadual dos Três Picos/ Reserva Ecológica de Guapiaçu",-42.736111,-22.414722,"Árvore matriz nº 51; CAP 200 cm; Faízes tabulares. Corte estriado vermelho e branco. Tronco com estrias verticais. Frutos verdes e quando maduros marrons. Ramos com lenticelas. Folhas glabras, verdes, discolores, com nectários na raque","urn:catalog:JBRJ:RB:1382328",NA,"Pseudopiptadenia inaequalis (Benth.) Rauschert"
"2","2018-05-10T15:11:47.000+0000","JBRJ","RB","RB01386436","Pseudopiptadenia inaequalis (Benth.) Rauschert",NA,"Fabaceae","Pseudopiptadenia","inaequalis","(Benth.) Rauschert","C. Baez",NA,"1587",NA,"C. Baez; E. P. Fernandez & R. C. Gomes",2018,4,7,"Brazil","Rio de Janeiro","Cachoeiras de Macacu","Guapiaçu. REGUA - Trilha verde-claro. Parque Estadual dos Três Picos/Reserva Ecológica de Guapiaçu",-42.744722,-22.408333,"Árvore matriz nº 165; CAP 229 cm; Corte estriado. Folhas discolores com nectários verdes. Frutos verdes com ""verrugas"" pardacentas.","urn:catalog:JBRJ:RB:1386436",NA,"Pseudopiptadenia inaequalis (Benth.) Rauschert"
"3","2018-08-21T16:39:48.000+0000","JBRJ","RB","RB01396487","Pseudopiptadenia inaequalis (Benth.) Rauschert",NA,"Fabaceae","Pseudopiptadenia","inaequalis","(Benth.) Rauschert","H.C. de Lima",NA,"8727",NA,"Haroldo C. de Lima; P.F.F.P. Rodrigues, A.Q. Lobão, F.F. Negreiros, L.B. do Nascimento, A.F.N. Brand, M. Iguatemy, R.P.N. Albuquerque e B.F. Borja",2018,8,7,"Brazil","Rio de Janeiro","Nova Iguaçu","Tinguá, Boa Esperança, ORBEL II, Trilha da CEDAE. Floresta de encosta. Reserva Biológica do Tinguá",-43.398611,-22.575,"Árvore com 19 m alt. DAP ca. 71 cm.  Tronco com casca lisa, levemente estriado-sulcada, pardacenta. frutos castanho-esverdeados. Frequente. Amostras de madeira para xiloteca e em sílica-gel para banco DNA.","urn:catalog:JBRJ:RB:1396487",NA,"Pseudopiptadenia inaequalis (Benth.) Rauschert"
"4","2017-11-19T09:18:36.000+0000","JBRJ","RB","RB01188708","Pseudopiptadenia inaequalis (Benth.) Rauschert",NA,"Fabaceae","Pseudopiptadenia","inaequalis","(Benth.) Rauschert","D.A. Folli",NA,"7418",NA,"D.A. Folli",2015,10,8,"Brazil","Espírito Santo","Cachoeiro de Itapemirim","Flona  de  Pacotuba.  Trilha  da  Centenária.    260945  /  7703742",NA,NA,NA,"urn:catalog:JBRJ:RB:1188708",NA,"Pseudopiptadenia inaequalis (Benth.) Rauschert"
"5",NA,"Reserva Natural Vale (CVRD)","CVRD","15515","Pseudopiptadenia inaequalis (Benth.) Rauschert",NA,"Fabaceae","Pseudopiptadenia","inaequalis","(Benth.) Rauschert","Domingos A. Folli","2015-10-08T00:00:00.000+0000","7418",NA,"Folli, D.A.",2015,10,8,"Brazil","Es","CACHOEIRO DE ITAPEMIRIM",NA,NA,NA,"<ll>dwc_commonname:</ll> Angico amarelo","BRA:CVRD:CVRD:0000015515",NA,"Pseudopiptadenia inaequalis (Benth.) Rauschert"
"6","2014-08-25T11:01:03.000+0000","JBRJ","RB","RB00841383","Pseudopiptadenia inaequalis (Benth.) Rauschert",NA,"Fabaceae","Pseudopiptadenia","inaequalis","(Benth.) Rauschert","H.C. de Lima",NA,"7790",NA,"Haroldo C. de Lima; W.S. da Costa, P.J.F.P. Rodrigues & M.A. Iguatemy",2014,3,25,"Brazil","Rio de Janeiro","Nova Iguaçu","Reserva Biológica do Tinguá, Boa Esperança, Duto Orbel II. Mata de encosta e área degradada.",-43.400833,-22.569722,"Árvore com 12 metros de altura. Tronco com casca lisa e pardacenta, DAP  com aproximadamente 15 cm. Estéril. Material para DNA  e xiloteca. Frequente.","urn:catalog:JBRJ:RB:841383",NA,"Pseudopiptadenia inaequalis (Benth.) Rauschert"
"8",NA,"UFES","VIES","40199","Pseudopiptadenia inaequalis (Benth.) Rauschert",NA,"Fabaceae","Pseudopiptadenia","inaequalis","(Benth.) Rauschert",NA,NA,"500",NA,"Silva, L.A.; Alves-Araújo.; A. & Freitas, J.",2014,9,25,"Brazil","Espírito Santo","Água Doce do Norte",NA,NA,NA,NA,"BRA:UFES:VIES:0000040199",NA,"Pseudopiptadenia inaequalis (Benth.) Rauschert"
"9","2017-10-18T14:43:44.000+0000","JBRJ","RB","RB00781781","Pseudopiptadenia inaequalis (Benth.) Rauschert",NA,"Fabaceae","Pseudopiptadenia","inaequalis","(Benth.) Rauschert","H.C. de Lima",NA,"1272",NA,"Neves, D.R.M.; Pennington, R.T.; Lima, H.C.; Prieto, P.",2013,5,29,"Brazil","Rio de Janeiro","Nova Iguaçu","Reserva Biológica do Tinguá, próximo à ETA Barrelão, descendo a trilha gramada. Borda de Floresta Ombrófila.",-43.429167,-22.584722,"Árvore 10m. Material banco DNA.","urn:catalog:JBRJ:RB:781781",NA,"Pseudopiptadenia inaequalis (Benth.) Rauschert"
"10","2014-08-25T11:00:37.000+0000","JBRJ","RB","RB00702263","Pseudopiptadenia inaequalis (Benth.) Rauschert",NA,"Fabaceae","Pseudopiptadenia","inaequalis","(Benth.) Rauschert","Haroldo C. de Lima","2012-05-14T00:00:00.000+0000","7469",NA,"Haroldo C. de Lima; Sérgio C. Sodré, Camila & Fabiano",2012,5,14,"Brazil","Rio de Janeiro","Saquarema","Reserva Jacarepiá, Itaunas, estrada da reserva. Mata de restinga, solo arenoso.",NA,NA,"Árvore com 12 metros alt. Tronco com casca lisa, levemente fissurada, acizentada. DAP 25+ 21+ 20 cm. Frutos pardo-esverdeados. Ocasional.","urn:catalog:JBRJ:RB:702263",NA,"Pseudopiptadenia inaequalis (Benth.) Rauschert"
"11","2017-10-18T12:42:27.000+0000","JBRJ","RB","RB00585623","Pseudopiptadenia inaequalis (Benth.) Rauschert",NA,"Fabaceae","Pseudopiptadenia","inaequalis","(Benth.) Rauschert","Michel Barros","2010-04-15T00:00:00.000+0000","66",NA,"Barros, M. J. F.; Nadruz, M., L. A. F. Santos Filho & R. S. Couto",2010,3,31,"Brazil","Rio de Janeiro","Teresópolis","Parque Nacional da Serra dos Órgãos, Trilha principal para o Dedo de Deus. Arbusto ca. 2 m, em local sombreado na lateral da trilha, no interior da mata. OBS.: VOUCHER PARA DNA.",NA,NA,NA,"urn:catalog:JBRJ:RB:585623",NA,"Pseudopiptadenia inaequalis (Benth.) Rauschert"
"12",NA,"Pontifícia Universidade Católica do Rio de Janeiro (PUC-RIO)","FCAB","7723","Pseudopiptadenia inaequalis (Benth.) Rauschert",NA,"Fabaceae","Pseudopiptadenia","inaequalis","(Benth.) Rauschert","R.D. Ribeiro",NA,"131",NA,"J.M. Freire; R.R. Oliveira; B.L. Rosendo",2009,8,13,"Brazil","Rio de Janeiro","Camorim","Maciço da Pedra Branca 4.4",-75.0235,-66.381667,"Árvore com 20 m de altura, com 85 cm de CAP.","BRA:PUC-RIO:FCAB:0000007723",NA,"Pseudopiptadenia inaequalis (Benth.) Rauschert"
"13","2014-08-25T11:00:36.000+0000","JBRJ","RB","RB00584486","Pseudopiptadenia inaequalis (Benth.) Rauschert",NA,"Fabaceae","Pseudopiptadenia","inaequalis","(Benth.) Rauschert","H. C. Lima & R. D. Ribeiro",NA,NA,NA,"T. A. Amorim ; M. O. Ribeiro, F. Guerra & C. R. P. Silva",2008,4,27,"Brazil","Rio de Janeiro","Teresópolis","Parque Nacional da Serra dos Órgãos. Estrada da Barragem. À 30 m da pousada.",NA,NA,"Arbusto ca. 5 m. Parcela A6-19.","urn:catalog:JBRJ:RB:584486",NA,"Pseudopiptadenia inaequalis (Benth.) Rauschert"
"14","2017-10-18T15:21:31.000+0000","JBRJ","RB","RB00529651","Pseudopiptadenia inaequalis (Benth.) Rauschert",NA,"Fabaceae","Pseudopiptadenia","inaequalis","(Benth.) Rauschert","H.C. Lima",NA,"2048",NA,"C.N. Fraga; R. Goldenberg, A. M. Amorim, A. P. Fontana, M. M. Saavedra & W. São-Mateus",2008,5,6,"Brazil","Espírito Santo","Cariacica","São Paulo Viana, beira da estrada. Floresta Ombrófila Densa Montana. Reserva Biológica de Duas Bocas",-40.533333,-20.3,"Árvore, ca. 15m. Frutos verde escuro","urn:catalog:JBRJ:RB:529651",NA,"Pseudopiptadenia inaequalis (Benth.) Rauschert"
"15",NA,"Reserva Natural Vale (CVRD)","CVRD","11706","Pseudopiptadenia inaequalis (Benth.) Rauschert",NA,"Fabaceae","Pseudopiptadenia","inaequalis","(Benth.) Rauschert","Robson D. Ribeiro","2010-04-08T00:00:00.000+0000","6203",NA,"Folli, D.A.",2008,10,3,"Brazil","Es","CACHOEIRO DE ITAPEMIRIM",NA,-41.292484,-20.737002,"<ll>dwc_commonname:</ll> Angico amarelo","BRA:CVRD:CVRD:0000011706",NA,"Pseudopiptadenia inaequalis (Benth.) Rauschert"
"18",NA,"USP","SPF","181818","Pseudopiptadenia inaequalis (Benth.) Rauschert",NA,"Fabaceae","Pseudopiptadenia","inaequalis","(Benth.) Rauschert","Nunes, NLA","2007-05-01T00:00:00.000+0000","18",NA,"Nunes, NLA",2007,3,16,"Brazil","Rio de Janeiro","Nova Iguaçu","Reserva Biológica do Tinguá",-43.466667,-22.546944,NA,"BRA:USP:SPF:0000181818",NA,"Pseudopiptadenia inaequalis (Benth.) Rauschert"
"19",NA,"NY","NY","1015513","Pseudopiptadenia inaequalis (Benth.) Rauschert",NA,"Fabaceae","Pseudopiptadenia","inaequalis","(Benth.) Rauschert",NA,NA,"17",NA,"N. L. de A. Nunes",2007,3,16,"Brazil","Rio de Janeiro",NA,"Reserva BiolÃ³gica do TinguÃ¡. Estrada do ComÃ©rcio.",-43.4667,-22.5469,NA,"5202b077-024a-4aa7-9d9d-61f5713017ce",NA,"Pseudopiptadenia inaequalis (Benth.) Rauschert"
"23","2017-10-18T12:52:01.000+0000","JBRJ","RB","RB00519182","Pseudopiptadenia inaequalis (Benth.) Rauschert",NA,"Fabaceae","Pseudopiptadenia","inaequalis","(Benth.) Rauschert","R. Dias",NA,"3101",NA,"A.A.M. de Barros; N. Coqueiro",2006,3,8,"Brazil","Rio de Janeiro","Niterói","Parque Estadual da Serra da Tiririca, Morro do Telégrafo, trilha da Cumeeira. Indivíduo 93 do Transect TB3. CAP 13,0 cm. Caule rugoso-fissurado de cor avermelhado. Folíolos cartáceos discolores verdes. Estéril.",-43.003056,-22.946667,NA,"urn:catalog:JBRJ:RB:519182",NA,"Pseudopiptadenia inaequalis (Benth.) Rauschert"
"24","2017-10-19T22:17:29.000+0000","JBRJ","RB","RB00323022","Pseudopiptadenia inaequalis (Benth.) Rauschert",NA,"Fabaceae","Pseudopiptadenia","inaequalis","(Benth.) Rauschert","Seele, C.","2005-11-18T00:00:00.000+0000","1222",NA,"Seele, C.CS",2005,3,21,"Brazil","Rio de Janeiro","Teresópolis","Parque Nacional da Serra dos Órgãos, valley of the Rio Beija-flor. Near to the river, downwards from the barrage. Parque Nacional da Serra dos Órgãos",-43,-22.454167,"Treelet, > 5 m high","urn:catalog:JBRJ:RB:323022",NA,"Pseudopiptadenia inaequalis (Benth.) Rauschert"
"25","2014-07-08T04:49:39.000+0000","JBRJ","RB","RB00166838","Pseudopiptadenia inaequalis (Benth.) Rauschert",NA,"Fabaceae","Pseudopiptadenia","inaequalis","(Benth.) Rauschert",NA,NA,"138",NA,"R. D. Ribeiro; et al",2004,3,25,"Brazil","Rio de Janeiro","Araruama","Aurora.",NA,NA,"àrv. ramificada com fr. passados","urn:catalog:JBRJ:RB:166838",NA,"Pseudopiptadenia inaequalis (Benth.) Rauschert"
"26","2014-07-08T01:51:22.000+0000","JBRJ","RB","RB00297769","Pseudopiptadenia inaequalis (Benth.) Rauschert",NA,"Fabaceae","Pseudopiptadenia","inaequalis","(Benth.) Rauschert",NA,NA,"302",NA,"Robson D. Ribeiro; et al.",2004,7,3,"Brazil","Rio de Janeiro","Rio de Janeiro","Parque Ecológico da Prainha, entre Grumari e Recreio.",NA,NA,"Árvore com 8 metros de alt., freqüente na parte alta da reserva. Folhas bipenadas, bifolioladas concolores. Frutos foliculo de cor marrom claro, passadas.","urn:catalog:JBRJ:RB:297769",NA,"Pseudopiptadenia inaequalis (Benth.) Rauschert"
"27",NA,"Pontifícia Universidade Católica do Rio de Janeiro (PUC-RIO)","FCAB","6248","Pseudopiptadenia inaequalis (Benth.) Rauschert",NA,"Fabaceae","Pseudopiptadenia","inaequalis","(Benth.) Rauschert",NA,NA,"01",NA,"F.V. Santos",2004,9,30,"Brazil","Rio de Janeiro","Rio de Janeiro","Maciço da Pedra Branca, Floresta do Camorim, Bacia",0,0,"Em floresta com estágio sucessional de aproximadamente 50 anos.&nf;Árvore de aproximadamente 10 metros de altura, com diâmetro a altura do peito de 0,36 m.","BRA:PUC-RIO:FCAB:0000006248",NA,"Pseudopiptadenia inaequalis (Benth.) Rauschert"
