"","modified","institutionCode","collectionCode","catalogNumber","scientificName","family","genus","specificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLongitude","decimalLatitude","occurrenceID","acceptedNameUsage"
"1",NA,"NY","NY","4457","Macrolobium froesii R.S.Cowan","Fabaceae","Macrolobium","froesii","R.S.Cowan",NA,NA,"HOLOTYPE",22232,NA,"R. de Lemos FrÃ³es",1947,4,26,"Brazil","Amazonas",NA,"Rio IÃ§ana, afl. do Rio Negro; cachoeira MaÃ§arico.",0,0,"34a55915-5add-4cd3-b535-019a5ce03577","Macrolobium froesii R.S.Cowan"
"2","2011-01-15T15:45:37.000+0000","Harvard University","GH","barcode-00065230","Macrolobium froesii R.S.Cowan","Fabaceae","Macrolobium","froesii","R.S.Cowan",NA,"1986-01-01T00:00:00.000+0000","ISOTYPE",22232,22232,"R. L. Fróes",1947,4,26,"Brazil","Amazonas",NA,"Rio Içana, afl. de Rio Negro, cachoeira Maçarice",NA,NA,NA,"Macrolobium froesii R.S.Cowan"
