"","modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","recordNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLongitude","decimalLatitude","occurrenceRemarks","occurrenceID","bibliographicCitation","acceptedNameUsage"
"1",NA,"UEFS","HUEFS","234355","Tachigali paratyensis (Vell.) H.C.Lima",NA,"Fabaceae","Tachigali","paratyensis","(Vell.) H.C.Lima",NA,NA,"8496","Lima, H.C.de",2017,2,7,"Brazil","Rio de Janeiro","Rio de Janeiro","P.N. Tijuca, Estrada das Palmeiras, após o grupamento de Defesa Ambiental.",-43.205,-22.945278,"Ocasional afloramento de encosta.","BRA:UEFS:HUEFS:0000234355",NA,"Tachigali paratyensis (Vell.) H.C.Lima"
"2",NA,"UFPB","JPB","61412","Tachigali paratyensis (Vell.) H.C.Lima",NA,"Fabaceae","Tachigali","paratyensis","(Vell.) H.C.Lima","Lima, HC","2015-12-07T00:00:00.000+0000","4717","Nusbaumer, L; et al.",2015,10,30,"Brazil","Pernambuco","Jaqueira","Serra de Urubu, Localité de Jaqueira. Serra de Pedra d'Anta.",-35.849954,-8.713983,"arbre, 30 m, 1 m DBH; f. vert pâle à 1 seule graine beige sèche, les cotylédons vert-pâle entouré d'un manchon siliconeux, translucide; récolte photogr. in situ; récolté avec José Antônio V. Filho et Flávio dos Santos Pereira; échanti","BRA:UFPB:JPB:0000061412",NA,"Tachigali paratyensis (Vell.) H.C.Lima"
"3",NA,"UFPB","JPB","61472","Tachigali paratyensis (Vell.) H.C.Lima",NA,"Fabaceae","Tachigali","paratyensis","(Vell.) H.C.Lima","Lima, HC","2015-12-07T00:00:00.000+0000","4777","Nusbaumer, L",2015,11,10,"Brazil","Alagoas","Quebrangulo","Reserva Biológica da Pedra Talhada, Localité de Quebrangulo.",-36.421974,-9.253006,"arbre, 37 m, 80 cm DBH; f. vert pâle à 1 seule graine beige, sèche, les cotylédons vert-pâle entouré d'un manchon siliconeux, trasparent; récolte photogr. in situ; récolté avec Flávio dos Santos Pereira; échantillon séché à l'air chau","BRA:UFPB:JPB:0000061472",NA,"Tachigali paratyensis (Vell.) H.C.Lima"
"4",NA,"UEFS","HUEFS","208620","Tachigali paratyensis (Vell.) H.C.Lima",NA,"Fabaceae","Tachigali","paratyensis","(Vell.) H.C.Lima",NA,NA,"7749","Lima, H.C.de",2014,1,28,"Brazil","Rio de Janeiro","Rio de Janeiro","Jardim Botânico do Rio de Janeiro, Canteiro 32 E.",NA,NA,NA,"BRA:UEFS:HUEFS:0000208620",NA,"Tachigali paratyensis (Vell.) H.C.Lima"
"5",NA,"MBML","MBML-HERBARIO","47739","Tachigali paratyensis (Vell.) H.C.Lima",NA,"Fabaceae","Tachigali","paratyensis","(Vell.) H.C.Lima","Haroldo C. de Lima/28-01-2014",NA,"7749","H. C. de Lima; Ricardo Mateus",2014,1,28,"Brazil","Rio de Janeiro",NA,"Jardim Botânico do Rio de Janeiro, Canteiro 32 E",NA,NA,"Árvore ca 18m alt., tronco com casca lisa e pardo-acinzentada, CAP 25,4cm. Infl., erectas com botões e cálice verde-canescentes, corola amarelo vivo na pré-antese e amarelo creme na antese, estames com filetes amarelo-creme e creme esv","BRA:MBML:MBML-HERBARIO:0000047739",NA,"Tachigali paratyensis (Vell.) H.C.Lima"
"6",NA,"USP","SPF","217146","Tachigali paratyensis (Vell.) H.C.Lima",NA,"Fabaceae","Tachigali","paratyensis","(Vell.) H.C.Lima","Lima, HC","2014-01-01T00:00:00.000+0000","7749","Lima, HC",2014,1,28,"Brazil","Rio de Janeiro","Rio de Janeiro","Jardim Botânico do Rio de Janeiro, Canteiro 32 E.",0,0,NA,"BRA:USP:SPF:0000217146",NA,"Tachigali paratyensis (Vell.) H.C.Lima"
"7","2014-07-08T07:23:30.000+0000","JBRJ","RB","RB00826723","Tachigali paratyensis (Vell.) H.C.Lima",NA,"Fabaceae","Tachigali","paratyensis","(Vell.) H.C.Lima","Haroldo C. de Lima","2014-01-28T00:00:00.000+0000","7749","Haroldo C. de Lima; Ricardo Mateus",2014,1,28,"Brazil","Rio de Janeiro","Rio de Janeiro","Jardim Botânico do Rio de Janeiro, Canteiro 32 E.",NA,NA,"Árvore ca. 18 metros alt. Tronco com casca lisa e pardo-acinzentada, CAP 25,4 cm. Infl. erectas com botões e cálice verde-canescentes, corola amarelo vivo na pré-antese e amarelo creme na antese, estames com filetes amarelo-creme  e anteras creme-acastanhadas, gineceu com ovário fulvescente e estilete creme-esverdeadas.  Injurias de formigas na base do raque da inflorescência e dos pecíolo. Material alcool 70% e banco DNA. Fotos CN.","urn:catalog:JBRJ:RB:826723",NA,"Tachigali paratyensis (Vell.) H.C.Lima"
"8",NA,"NY","NY","1184237","Tachigali paratyensis (Vell.) H.C.Lima",NA,"Fabaceae","Tachigali","paratyensis","(Vell.) H.C.Lima",NA,NA,"1298","R. D. Ribeiro",2009,9,19,"Brazil","Rio de Janeiro",NA,"Fragemento florestal no bairro. Parque SÃ£o Vincente.",-43.1787660708117,-22.5088534048423,NA,"dbfbbeb9-24a2-43a5-8fdb-5e078153dd15",NA,"Tachigali paratyensis (Vell.) H.C.Lima"
"9",NA,"USP","SPF","204468","Tachigali paratyensis (Vell.) H.C.Lima",NA,"Fabaceae","Tachigali","paratyensis","(Vell.) H.C.Lima","Anônimo",NA,"6869","Lima, HC",2008,2,17,"Brazil","Rio de Janeiro","Nova Friburgo","Macaé de Cima",-42.952778,-22.637778,NA,"BRA:USP:SPF:0000204468",NA,"Tachigali paratyensis (Vell.) H.C.Lima"
"10",NA,"NY","NY","1018757","Tachigali paratyensis (Vell.) H.C.Lima",NA,"Fabaceae","Tachigali","paratyensis","(Vell.) H.C.Lima",NA,NA,"6869","H. C. de Lima",2008,2,17,"Brazil","Rio de Janeiro",NA,"MacaÃ© de Cima, Estrada Rio-Friburgo (Rod - 116). Rodoviaria Teodora de Oliveira, ca. 2.5 km do Posto da Policia.",-42.9528,-22.6378,NA,"49a7c218-da14-41f7-991b-d044e45b53bb",NA,"Tachigali paratyensis (Vell.) H.C.Lima"
"11",NA,"MBM","MBM","343128","Tachigali paratyensis (Vell.) H.C.Lima",NA,"Fabaceae","Tachigali","paratyensis","(Vell.) H.C.Lima",NA,NA,"6869","Lima, HC de",2008,2,17,"Brazil","Rio de Janeiro","Nova Friburgo","Macaé de Cima, Estrada Rio-Friburgo (Rod. 116), Rodoviária Teodorp de Oliveira, ca. 2,5 km do Posto da Polícia. Mata de encosta montana.",0,0,"Árvore com 19-20 metros de altura. Tronco com casca lisa e pardacenta. DAP com aproximadamente 50 cm. Inflorescência eréctas e excertas na copa, botões verde-flurescentes, flores com cálice verde fulvescentes e corola alvo-amarelada.","BRA:MBM:MBM:0000343128",NA,"Tachigali paratyensis (Vell.) H.C.Lima"
"12",NA,"USP","SPF","200410","Tachigali paratyensis (Vell.) H.C.Lima",NA,"Fabaceae","Tachigali","paratyensis","(Vell.) H.C.Lima","Serafim, H; Lima, HC","2009-01-01T00:00:00.000+0000","39","Serafim, H",2008,12,28,"Brazil","São Paulo","São José do Barreiro",NA,-44.656667,-22.642778,NA,"BRA:USP:SPF:0000200410",NA,"Tachigali paratyensis (Vell.) H.C.Lima"
"13",NA,"Instituto de Botânica, IBT","SP","396919","Tachigali paratyensis (Vell.) H.C.Lima",NA,"Fabaceae","Tachigali","paratyensis","(Vell.) H.C.Lima",NA,NA,"6491","Lima, HC; et al.",2007,1,26,"Brazil","Rio de Janeiro","Rio de Janeiro","Cultivada no Jardim Botânico, canteiro 32-E",0,0,NA,"BRA:IBt:SP:0000396919",NA,"Tachigali paratyensis (Vell.) H.C.Lima"
"14",NA,"NY","NY","01132037","Tachigali paratyensis (Vell.) H.C.Lima",NA,"Fabaceae","Tachigali","paratyensis","(Vell.) H.C.Lima",NA,NA,"6491","H. C. de Lima",2007,1,26,"Brazil","Rio de Janeiro",NA,"Jardim BotÃ¢nico do Rio do Janeiro",-43.2076685470805,-22.9069598238154,NA,"03622d8d-4954-4025-8759-31c8fed86b0b",NA,"Tachigali paratyensis (Vell.) H.C.Lima"
"15",NA,"UNICAMP","UEC","146830","Tachigali paratyensis (Vell.) H.C.Lima",NA,"Fabaceae","Tachigali","paratyensis","(Vell.) H.C.Lima",NA,NA,"6491","Lima, H.C.; Tavares, D.C.; Faria, C.P.",2007,1,26,"Brazil","Rio de Janeiro","Rio de Janeiro","Jardim Botânico do Rio de Janeiro.",0,0,"Árvore com aproximadamente 20 metros de altura. DAP 86 cm. Tronco com casca levemente fissurada, tênue-escamosa, pardacenta. inflorescência erécta, flores levemente perfumadas, cálice creme-pardacento, corola com pétalas sub-iguais,","BRA:UNICAMP:UEC:0000146830",NA,"Tachigali paratyensis (Vell.) H.C.Lima"
"16","2017-11-19T09:33:26.000+0000","JBRJ","RB","RB00271932","Tachigali paratyensis (Vell.) H.C.Lima",NA,"Fabaceae","Tachigali","paratyensis","(Vell.) H.C.Lima",NA,NA,"6400","Haroldo C. de Lima; Robson D. Ribeiro & Walter Silva",2006,1,24,"Brazil","Rio de Janeiro","Nova Iguaçu","Mun.  Nova  Iguaçu.  Rebio,  Tinguá.Estrada  da  Reunião,  ponto  da  bananeira,ca  300  metros  da  Estação  de  Tratamento  da  CEADAE. Rebio Tinguá",-43.430833,-22.581944,"Árvore com 20 metros de altura. Tronco com casca lisa, levemente verrucosa, pardo escuro, DAP 50 cm. Inflorescência passada. Muito frequente.","urn:catalog:JBRJ:RB:271932",NA,"Tachigali paratyensis (Vell.) H.C.Lima"
"17",NA,"USP","SPF","160143","Tachigali paratyensis (Vell.) H.C.Lima",NA,"Fabaceae","Tachigali","paratyensis","(Vell.) H.C.Lima","Lima, HC","2007-09-01T00:00:00.000+0000","296","França, GS",2003,4,8,"Brazil","Minas Gerais","Marliéria","Estância dos Jequitibás",-42.741667,-19.651667,NA,"BRA:USP:SPF:0000160143",NA,"Tachigali paratyensis (Vell.) H.C.Lima"
"18",NA,"MBM","MBM","282740","Tachigali paratyensis (Vell.) H.C.Lima",NA,"Fabaceae","Tachigali","paratyensis","(Vell.) H.C.Lima","Silva, LFG",NA,"296","França, GS; et al.",2003,4,8,"Brazil","Minas Gerais","Mariléria","Estância dos Jequitibas",0,0,NA,"BRA:MBM:MBM:0000282740",NA,"Tachigali paratyensis (Vell.) H.C.Lima"
"19",NA,"Universidade Federal de Minas Gerais (UFMG)","BHCB","80121","Tachigali paratyensis (Vell.) H.C.Lima",NA,"Fabaceae","Tachigali","paratyensis","(Vell.) H.C.Lima",NA,NA,"296","França, GS; Stehmann, JR",2003,4,8,"Brazil","Minas Gerais","Marliéria","Estância dos Jequitibás",-42.741667,-19.651667,"Arbóreo - 20m, cálice bege, pétalas amarelas.","BRA:UFMG:BHCB:0000080121",NA,"Tachigali paratyensis (Vell.) H.C.Lima"
