"","modified","institutionCode","collectionCode","catalogNumber","scientificName","family","genus","specificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLongitude","decimalLatitude","occurrenceRemarks","occurrenceID","acceptedNameUsage","identificationQualifier","infraspecificEpithet","comments","bibliographicCitation"
"1",NA,"Universidade Federal da Bahia (UFBA)","ALCB","129147","Aldina polyphylla Ducke","Fabaceae","Aldina","polyphylla","Ducke","Mansano, FV","2006-03-01T00:00:00.000+0000",NA,"14601",NA,"Martinelli, G; Ramos, J",1991,7,29,"Brazil","Amazonas","São Gabriel da Cachoeira","Rio Curicuriari",0,0,"11 m de altura. Folhas na face ventral verde, face dorsal verde-acinzentado, botões florais argenteo-alvacento.; Matas de Igapó","BRA:UFBA:ALCB:0000129147","Aldina polyphylla Ducke",NA,NA,NA,NA
"3",NA,"UEFS","HUEFS","146568","Aldina polyphylla Ducke","Fabaceae","Aldina","polyphylla","Ducke",NA,NA,NA,"14601",NA,"Martinelli, G.",1961,3,7,"Brazil","Amazonas","São Gabriel da Cachoeira","Rio Curucuriari.",NA,NA,NA,"BRA:UEFS:HUEFS:0000146568","Aldina polyphylla Ducke",NA,NA,NA,NA
"4","2017-10-18T18:23:51.000+0000","JBRJ","RB","RB00539368","Aldina polyphylla Ducke","Fabaceae","Aldina","polyphylla","Ducke",NA,NA,"SYNTYPE",NA,NA,"Ducke, A.",1937,6,10,"Brazil","Amazonas","Santa Isabel do Rio Negro","Rio Negro, margem inundável.",NA,NA,"Árvore grande, flor branca.","urn:catalog:JBRJ:RB:539368","Aldina polyphylla Ducke",NA,NA,NA,NA
"6",NA,"US","Botany","1694206","Aldina polyphylla Ducke","Fabaceae","Aldina","polyphylla","Ducke",NA,NA,"ISOSYNTYPE","35083",NA,"A. Ducke",1936,1,14,"Brazil","Amazonas",NA,"Rio Negro, Uarura [Uaruma? Uarupia?], upper Uanauaca.",NA,NA,NA,"http://n2t.net/ark:/65665/33e01d6cd-4bd5-4915-bf92-47f4b41e7472","Aldina polyphylla Ducke",NA,NA,NA,NA
"7","2007-10-26T16:35:40.000+0000","K","Herbarium","K000500831","Aldina polyphylla Ducke","Fabaceae","Aldina","polyphylla","Ducke","Ducke, A.",NA,NA,"35.082",NA,"Ducke, A.",1936,6,10,"Brazil",NA,NA,"Santa Izabel, Rio Negro",NA,NA,"Nome vulgar ""macucú""","http://specimens.kew.org/herbarium/K000500831","Aldina polyphylla Ducke",NA,NA,NA,NA
"8",NA,"US","Botany","1694205","Aldina polyphylla Ducke","Fabaceae","Aldina","polyphylla","Ducke",NA,NA,"ISOSYNTYPE","25082",NA,"A. Ducke",1936,6,10,"Brazil","Amazonas",NA,"Santa Izabel, Rio Negro.",NA,NA,NA,"http://n2t.net/ark:/65665/3bb85b62e-7d4c-41f9-9810-5df63a495658","Aldina polyphylla Ducke",NA,NA,NA,NA
"13","2007-10-26T16:35:28.000+0000","K","Herbarium","K000500832","Aldina polyphylla Ducke","Fabaceae","Aldina","polyphylla","Ducke","Ducke, A.",NA,NA,"35.083",NA,"Ducke, A.",1936,11,14,"Brazil",NA,NA,"Uarurá, Rio Negro super Uanauacá",NA,NA,NA,"http://specimens.kew.org/herbarium/K000500832","Aldina polyphylla Ducke",NA,NA,NA,NA
"16","2012-12-05T15:01:28.000+0000","K","Herbarium","K000858684","Aldina polyphylla Ducke","Fabaceae","Aldina","polyphylla","Ducke","Ducke, A.",NA,"SYNTYPE","s.n.",NA,"Ducke, A.",1936,11,14,"Brazil",NA,NA,"Rio Negro acima de Uauanacá, logar Uarurá.",NA,NA,"Herbario do Jardim Botanico do Rio de Janeiro, Registro RB 35083.","http://specimens.kew.org/herbarium/K000858684","Aldina polyphylla Ducke",NA,NA,NA,NA
"19",NA,"W","Herbarium W","1958-0015291","Aldina polyphylla Ducke","Fabaceae","Aldina","polyphylla","Ducke",NA,NA,NA,NA,NA,"REFLORA provisional entry",NA,NA,NA,"Brazil",NA,NA,NA,NA,NA,NA,NA,"Aldina polyphylla Ducke",NA,NA,NA,NA
