"","modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLongitude","decimalLatitude","occurrenceRemarks","occurrenceID","bibliographicCitation","acceptedNameUsage"
"1","2016-09-13T14:45:07.000+0000","JBRJ","RB","RB00873159","Swartzia multijuga Vogel",NA,"Fabaceae","Swartzia","multijuga",NA,"Vogel","V.F. Mansano",NA,NA,"1599",NA,"Neves, D.M.; Hattori, E.K.O; Pezzini, F.; Taucce, P.",2014,1,6,"Brazil","Minas Gerais","João Monlevade","RPPN Acelor Mittal.",-43.128056,-19.847222,"Arvore 3m","urn:catalog:JBRJ:RB:873159",NA,"Swartzia multijuga Vogel"
"2",NA,"Reserva Natural Vale (CVRD)","CVRD","14732","Swartzia multijuga Vogel",NA,"Fabaceae","Swartzia","multijuga",NA,"Vogel","Geovane S. Siqueira","2014-01-27T00:00:00.000+0000",NA,"7171",NA,"Folli, D.A.",2014,1,16,"Brazil","Es","MUCURICÍ",NA,NA,NA,"<ll>dwc_commonname:</ll> Saco de macaco","BRA:CVRD:CVRD:0000014732",NA,"Swartzia multijuga Vogel"
"4","2016-12-12T09:33:39.000+0000","JBRJ","RB","RB00945227","Swartzia parvipetala (R.S.Cowan) Mansano",NA,"Fabaceae","Swartzia","parvipetala",NA,"(R.S.Cowan) Mansano","V.F.MANSANO",NA,NA,"3927",NA,"J.E.Q. Faria",2014,3,15,"Brazil","Goiás","Alto Horizonte","Região da Sururuca. Fazenda Cajás.",NA,NA,"Árvore 8 m, botão verde","urn:catalog:JBRJ:RB:945227",NA,"Swartzia parvipetala (R.S.Cowan) Mansano"
"5","2017-10-15T13:53:34.000+0000","JBRJ","RB","RB01121536","Swartzia parvipetala (R.S.Cowan) Mansano",NA,"Fabaceae","Swartzia","parvipetala",NA,"(R.S.Cowan) Mansano","V.F.MANSANO",NA,NA,"4037",NA,"J.E.Q. Faria",2014,4,22,"Brazil","Goiás","Alto Horizonte","Região da Sururuca, fazenda Carajás, proprietário senhor Jair Eustáquio.",-49.295555,-14.196667,"Árvore ca de 8 m de alt, botões florais verdes, flores cremes co estigmas verdes.","urn:catalog:JBRJ:RB:1121536",NA,"Swartzia parvipetala (R.S.Cowan) Mansano"
"6","2015-09-28T12:56:43.000+0000","JBRJ","RB","RB01001505","Swartzia multijuga Vogel",NA,"Fabaceae","Swartzia","multijuga",NA,"Vogel","Giseli A. Nobrega","2015-08-18T00:00:00.000+0000",NA,"14090",NA,"O. J. Samor",2014,6,13,"Brazil","Rio de Janeiro","São Fidélis","Conglomerado 266-Ex-2. UTM E (232883m) N (7609231m). Fuso do GPS (24K).",NA,NA,"Árvore, com 4,0 metros de altura, base reta. Resina vermelha, pouco abundante e liquida. Casca interna amarelada c/ fibras escuras, externa marrom, fina, e fissurada. Fruto imaturo, com 2,5 centímetros, forma claviforme, internamente branco, externamente verde, carnoso e com polpa.","urn:catalog:JBRJ:RB:1001505",NA,"Swartzia multijuga Vogel"
"7","2017-10-19T11:25:35.000+0000","JBRJ","RB","RB00892427","Swartzia multijuga Vogel",NA,"Fabaceae","Swartzia","multijuga",NA,"Vogel","E.M.Saddi","2014-09-20T00:00:00.000+0000",NA,"1000",NA,"E.M.Saddi; Eduardo de Paiva & Pablo Gomes",2014,8,21,"Brazil","Minas Gerais","Santa Luzia","Parcela P52 referente aos estudos para o EIA da LT 500 Kv Itabirito - Vespasiano.",-43.898055,-19.7325,"Árvore com cerca de 4m de altura. Frutos imaturos verdes.","urn:catalog:JBRJ:RB:892427",NA,"Swartzia multijuga Vogel"
"8",NA,"Cenargen","CEN","89076","Swartzia parvipetala (R.S.Cowan) Mansano",NA,"Fabaceae","Swartzia","parvipetala",NA,"(R.S.Cowan) Mansano","R. de Paula",NA,NA,"122",NA,"Rodolfo de Paula Oliveira",2013,2,27,"Brazil","Df","BRASILIA","Fazenda Sucupira (C. Riacho Fundo)",-48.012777,-15.906388,NA,"BRA:Cenargen:CEN:0000089076",NA,"Swartzia parvipetala (R.S.Cowan) Mansano"
"9",NA,"UEFS","HUEFS","211009","Swartzia multijuga Vogel",NA,"Fabaceae","Swartzia","multijuga",NA,"Vogel",NA,NA,NA,"1454",NA,"Neves, D.M.",2013,7,9,"Brazil","Minas Gerais","Araçuaí","20km northwest of Aracuai.",-42.225833,-16.751944,NA,"BRA:UEFS:HUEFS:0000211009",NA,"Swartzia multijuga Vogel"
"11",NA,"USP","SPF","218904","Swartzia multijuga Vogel",NA,"Fabaceae","Swartzia","multijuga",NA,"Vogel","Siniscalchi, CM","2012-05-01T00:00:00.000+0000",NA,"303",NA,"Siniscalchi, CM",2012,4,29,"Brazil","Minas Gerais","Santana do Riacho","Serra do Cipó, Parque Nacional da Serra do Cipó, entrada pela portaria do Retiro. Início da estrada que leva às trilhas.",0,0,"Árvore ca. 4 m alt., tronco ereto e copa arrendondada. Folíolos discolores, raques aladas. Inflorescências caulifloras, eixos e botões cobertos por indumento marrom-esverdeado. Flor unipetalóide, pétala alva, estames alvos, anteras a","BRA:USP:SPF:0000218904",NA,"Swartzia multijuga Vogel"
"12",NA,"USP","SPF","218947","Swartzia multijuga Vogel",NA,"Fabaceae","Swartzia","multijuga",NA,"Vogel","Siniscalchi, CM","2011-09-01T00:00:00.000+0000",NA,"246",NA,"Siniscalchi, CM",2011,9,3,"Brazil","Minas Gerais","Santana do Riacho","Serra do Cipó, Estrada de terra que liga Serra do Cipó (Cardeal Mota) à Santana do Riacho; 4,2 km após a ponte de ferro.",-43.650722,-19.262222,"Árvore ca. 4 m alt. Ramos acinzentados. Folhas discolores, verde-escuras na face adaxial, verde-alvescente na face abaxial. Inflorescências caulifloras, sempre mais basais no ramo do que as folhas, frutos pêndulos. Frutos imaturos ve","BRA:USP:SPF:0000218947",NA,"Swartzia multijuga Vogel"
