"","modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLongitude","decimalLatitude","occurrenceRemarks","occurrenceID","bibliographicCitation","acceptedNameUsage"
"1",NA,"UFES","VIES","24289","Swartzia alternifoliolata Mansano",NA,"Fabaceae","Swartzia","alternifoliolata","Mansano","V.F. MANSANO","2014-10-01T00:00:00.000+0000",NA,"1023","V.F. Mansano",2014,10,15,"Brazil","Espírito Santo","Pinheiros","Reserva Natural Victório Orletti. Reserva Natural Victório Orletti.",-40.206111,-18.38,"Árvore quebrada no ápice, 8m, tronco cinza com placas retangulares, flores com cálice verde, corola amarela, estames amarelos e gineceu verde.","BRA:UFES:VIES:0000024289",NA,"Swartzia alternifoliolata Mansano"
"2",NA,"MBML","MBML-HERBARIO","52932","Swartzia alternifoliolata Mansano",NA,"Fabaceae","Swartzia","alternifoliolata","Mansano","V.F. Mansano/X-2014",NA,NA,"1023","V.F. Mansano",2014,10,15,"Brazil","Espírito Santo","Pinheiros","Reserva Natural Victório Orletti",-40.206111,-18.38,"Árvore quebrada no ápice, 8m, tronco cinza com placas retangulares. Flores com cálice verde, corola amarela, estames amarelos e gineceu verde. Habitat: Mata de Tabuleiros. Hábito/Forma de vida: Árvore","BRA:MBML:MBML-HERBARIO:0000052932",NA,"Swartzia alternifoliolata Mansano"
"3",NA,"UNICAMP","UEC","151934","Swartzia alternifoliolata Mansano",NA,"Fabaceae","Swartzia","alternifoliolata","Mansano",NA,NA,NA,"669","Mansano, V.F.; Barros, M.",2009,11,26,"Brazil","Espírito Santo","Pinheiro","Beira da estrada de terra.",0,0,"Troco avermelhado, descamante, flores jovens com cálice e gineceu amarelos frutos jovens esverdeados. Altura: 6m Habitat: Mata higrófila.","BRA:UNICAMP:UEC:0000151934",NA,"Swartzia alternifoliolata Mansano"
"4","2017-10-14T12:44:27.000+0000","JBRJ","RB","RB00897607","Swartzia alternifoliolata Mansano",NA,"Fabaceae","Swartzia","alternifoliolata","Mansano","D.A. Folli","2009-12-12T00:00:00.000+0000",NA,"6516","D.A. Folli",2009,12,12,"Brazil","Espírito Santo","Pinheiros","Reserva Biológica Córrego do Veado. Estrada Fazenda Orlete. Propriedade Orlete.",NA,NA,"Terrestre; porte arbóreo; flor amarela; fruto imaturo verde; exsudação vermelho; descamação em escamas","urn:catalog:JBRJ:RB:897607",NA,"Swartzia alternifoliolata Mansano"
"5","2014-07-07T20:19:05.000+0000","JBRJ","RB","RB00604473","Swartzia alternifoliolata Mansano",NA,"Fabaceae","Swartzia","alternifoliolata","Mansano","Vidal de Freitas Mansano & Rafael Barbosa Pinto","2011-01-21T00:00:00.000+0000",NA,"6027","D.A. Folli",2008,5,10,"Brazil","Espírito Santo","Pinheiros","Propriedade do Orlete. Córrego Santa Rita.",-40.146389,-18.339167,"Porte arbóreo. Fruto maduro amarelado, fruto imaturo verde. Exsudação seiva incolor. Descamação ausente. Casca áspera. Fuste cilíndrico com 5 metros de altura. CAP. do fuste 88 centímetros. Copa com 5 metros de diâmetro. Coordenadas UTM 23K Long.:373023 - Lat.:7967278.","urn:catalog:JBRJ:RB:604473",NA,"Swartzia alternifoliolata Mansano"
"6","2014-07-22T19:28:18.000+0000","JBRJ","RB","RB00528667","Swartzia alternifoliolata Mansano",NA,"Fabaceae","Swartzia","alternifoliolata","Mansano","V.F. Mansano",NA,NA,"6027","D.A. Folli",2008,5,10,"Brazil","Espírito Santo","Pinheiros","Propriedade do Orlete. Córrego Santa Rita.",NA,NA,"Porte Árboreo, fruto amarelado maduro, fruto imaturo verde, seiva incolor, descamação ausente. CAPFuste 88 cm. Diametro da copa 5 metros Forma do fuste. cilindrico. Altura do fuste 4 metros. Coordenadas UTM: X: 373023 Y: 7967287.","urn:catalog:JBRJ:RB:528667",NA,"Swartzia alternifoliolata Mansano"
"7","2007-11-07T12:37:21.000+0000","K","Herbarium","K000500977","Swartzia alternifoliolata Mansano",NA,"Fabaceae","Swartzia","alternifoliolata","Mansano",NA,NA,"ISOTYPE","265","Souza, V.",1991,11,23,"Brazil",NA,NA,"Córrego Santa Rita da Cássia, Pinheiros, ES [Espirito Santo].",NA,NA,"No. de Registro 3595","http://specimens.kew.org/herbarium/K000500977",NA,"Swartzia alternifoliolata Mansano"
"8",NA,"UNICAMP","UEC","112237","Swartzia alternifoliolata Mansano",NA,"Fabaceae","Swartzia","alternifoliolata","Mansano","Mansano, V.F.",NA,"HOLOTYPE","265","Souza, V.C.",1991,11,23,"Brazil","Espírito Santo","Pinheiro","Córrego Santa Rita de Cássia",0,0,"Árvore em floresta alta, +- 12 m de altura e fuste de 5 m, DAP 23,2 cm, Diametro da copa +- 8 m. Com flor amarela e botão verde - claro. Fuste cilíndrico e casca escamosa","BRA:UNICAMP:UEC:0000112237",NA,"Swartzia alternifoliolata Mansano"
"9",NA,"UESC","UESC","4643","Swartzia alternifoliolata Mansano",NA,"Fabaceae","Swartzia","alternifoliolata","Mansano",NA,NA,NA,"4324","Santos, T.S.",1987,11,28,"Brazil","Bahia","Belmonte",NA,NA,NA,"Árvore, 20 m x 30 cm.","BRA:UESC:UESC:0000004643",NA,"Swartzia alternifoliolata Mansano"
"10",NA,"UEFS","HUEFS","65617","Swartzia alternifoliolata Mansano",NA,"Fabaceae","Swartzia","alternifoliolata","Mansano","V.F.Mansano","2007-02-01T00:00:00.000+0000",NA,"12749","Lima, D.P.",1971,11,26,"Brazil","Bahia","Santa Cruz Cabrália","Matas da Fazenda Embiruçú.",NA,NA,NA,"BRA:UEFS:HUEFS:0000065617",NA,"Swartzia alternifoliolata Mansano"
