"","modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","recordNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLongitude","decimalLatitude","occurrenceRemarks","occurrenceID","bibliographicCitation","acceptedNameUsage"
"1","2018-03-07T13:22:21.000+0000","JBRJ","RB","RB01382693","Tachigali paratyensis (Vell.) H.C.Lima",NA,"Fabaceae","Tachigali","paratyensis","(Vell.) H.C.Lima","H.C. de Lima",NA,"8624","Haroldo C. de Lima; G.A. de Queiroz",2018,3,2,"Brazil","Rio de Janeiro","Casimiro de Abreu","Rodovia BR-101, cerca 3 km antes do portão principal. Mata de baixada. Reserva Biológica União",-42.050556,-22.446667,"Árvore ca. 15 m alt. Tronco com casca escura, rugosa, DAP ca. 40 cm. Inflorescência eréta; flores levemente perfumadas, cálice fulvo com nuances rosados, corola amarela, estames com filetes alvo-esverdeados, anteras alvo-amareladas e conectivo acastanhado, gineceu fulvo-tomentoso. Ocasional nas áreas em estado avançado de regeneração.  Fotos HCL, amostras em álcool 70 e sílica-gel.","urn:catalog:JBRJ:RB:1382693",NA,"Tachigali paratyensis (Vell.) H.C.Lima"
"2","2018-03-07T12:50:01.000+0000","JBRJ","RB","RB01351232","Tachigali paratyensis (Vell.) H.C.Lima",NA,"Fabaceae","Tachigali","paratyensis","(Vell.) H.C.Lima",NA,NA,"8496","Haroldo C. de Lima",2017,2,7,"Brazil","Rio de Janeiro","Rio de Janeiro","P.N.Tijuca, Estrada das Palmeiras, após o grupamento de Defesa Ambiental",-43.205,-22.945278,"Troco com casca lisa e pardo. Flores com cálice esverdeado e corola amarela, gineceu pardo-esverdeado. Fotos HCL. Material alcool 70.","urn:catalog:JBRJ:RB:1351232",NA,"Tachigali paratyensis (Vell.) H.C.Lima"
"3","2017-08-11T16:09:37.000+0000","JBRJ","RB","RB01351224","Tachigali paratyensis (Vell.) H.C.Lima",NA,"Fabaceae","Tachigali","paratyensis","(Vell.) H.C.Lima",NA,NA,"8495","Haroldo C. de Lima",2017,2,7,"Brazil","Rio de Janeiro","Rio de Janeiro","Aboreto, cant. XXXII-D",-41.227778,-22.965556,"Flores com cálice creme-esverdeado, corola amarela, estames com filetes creme-alvacentos e anteras amarelas, estilete alvo-esverdeado. Cultivado","urn:catalog:JBRJ:RB:1351224",NA,"Tachigali paratyensis (Vell.) H.C.Lima"
"5",NA,"IMA","MAC","61656","Tachigali paratyensis (Vell.) H.C.Lima",NA,"Fabaceae","Tachigali","paratyensis","(Vell.) H.C.Lima","H.C.Lima","2015-12-07T00:00:00.000+0000","4717","L.Nusbaumer",2015,10,30,"Brazil","Pernambuco","Jaqueira","Serra do Urubu.",-36.42765,-9.194397,"Árvore ca. 30 m. Fruto verde.; Mata Atlântica.","BRA:IMA:MAC:0000061656",NA,"Tachigali paratyensis (Vell.) H.C.Lima"
"7",NA,"IMA","MAC","58421","Tachigali paratyensis (Vell.) H.C.Lima",NA,"Fabaceae","Tachigali","paratyensis","(Vell.) H.C.Lima","H.C.Lima","2015-12-07T00:00:00.000+0000","4777","L.Nusbaumer",2015,11,10,"Brazil","Alagoas","Quebrangulo","Reserva Biológica Federal da Pedra Talhada.",-36.786389,-9.541389,"Árvore ca. 37m. Semente bege, cotilédones verdes.; Mata Atlântica.","BRA:IMA:MAC:0000058421",NA,"Tachigali paratyensis (Vell.) H.C.Lima"
"9",NA,"NY","NY","2480175","Tachigali paratyensis (Vell.) H.C.Lima",NA,"Fabaceae","Tachigali","paratyensis","(Vell.) H.C.Lima",NA,NA,"7749","H. C. de Lima",2014,1,28,"Brazil","Rio de Janeiro",NA,"Jardim BotÃ¢nico do Rio de Janeiro, canteiro 32E",0,0,NA,"fc44cb6e-df00-48a0-86f5-e4110f19496a",NA,"Tachigali paratyensis (Vell.) H.C.Lima"
"14","2017-10-18T15:29:40.000+0000","JBRJ","RB","RB00781710","Tachigali paratyensis (Vell.) H.C.Lima",NA,"Fabaceae","Tachigali","paratyensis","(Vell.) H.C.Lima","H.C. de Lima","2013-05-30T00:00:00.000+0000","7675","Haroldo C. de Lima; Pennington, R.T.; Neves, D.R.M.; Fraga, C.N.",2013,5,30,"Brazil","Rio de Janeiro","Nova Iguaçu","Rebio. Tinguá, Estrada do Comércio, próximo a ponte do Jequitibá. Mata de encosta.",NA,NA,"Árvore com 15 m alt. Tronco com casca lisa, levemente escamosa, pardacenta, DAP ca. 40 cm. Estéril. Material banco DNA.","urn:catalog:JBRJ:RB:781710",NA,"Tachigali paratyensis (Vell.) H.C.Lima"
"15","2017-11-19T08:32:22.000+0000","JBRJ","RB","RB00675527","Tachigali paratyensis (Vell.) H.C.Lima",NA,"Fabaceae","Tachigali","paratyensis","(Vell.) H.C.Lima","H. C. de Lima",NA,"7436","Haroldo C. de Lima; Frederico P. F. Pereira & W. da Silva",2012,1,6,"Brazil","Rio de Janeiro","Paraty","Rodovia  BR-101,cerca  de  3,5  Km  de  Parati,  Toca  do  Corumbê.  Floresta  ombrofila  em  elevação  litorânea.",NA,NA,"Árvore, 23m alt. Tronco c/ casca escamosa e pardacenta, DAP ca. 90 cm. Estéril. Ocasional. Material banco DNA. Foto HCL.","urn:catalog:JBRJ:RB:675527",NA,"Tachigali paratyensis (Vell.) H.C.Lima"
"16","2014-07-07T22:20:54.000+0000","JBRJ","RB","RB00670145","Tachigali paratyensis (Vell.) H.C.Lima",NA,"Fabaceae","Tachigali","paratyensis","(Vell.) H.C.Lima","Haroldo C. de Lima",NA,"7414","Haroldo C. de Lima; Aline S. de Oliveira",2011,11,12,"Brazil","Rio de Janeiro","Nova Friburgo","São Pedro da Serra, próx. a Pousada Recanto do Eucalipto. Mata de encosta degradada.",NA,NA,"Árvore cerca de 20 metros de altura. Tronco com casca escamosa, placas pequenas, pardo-acizentada, DAP com aproximadamente 80 cm. Estéril. Material para DNA. Ocasional.","urn:catalog:JBRJ:RB:670145",NA,"Tachigali paratyensis (Vell.) H.C.Lima"
"17",NA,"Comissão Executiva do Plano da Lavoura Cacaueira (CEPLAC)","CEPEC","140372","Tachigali paratyensis (Vell.) H.C.Lima",NA,"Fabaceae","Tachigali","paratyensis","(Vell.) H.C.Lima",NA,NA,NA,"Carvalho, G. M.",2010,5,NA,"Brazil","Bahia","Porto Seguro","RPPN Estação Veracel",-39.133333,-16.333333,"Floresta Ombrófila Densa","BRA:CEPLAC:CEPEC:0000140372",NA,"Tachigali paratyensis (Vell.) H.C.Lima"
