"","modified","institutionCode","collectionCode","catalogNumber","scientificName","family","genus","specificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLongitude","decimalLatitude","occurrenceRemarks","occurrenceID","bibliographicCitation","acceptedNameUsage"
"37","2017-10-19T03:25:13.000+0000","JBRJ","RB","RB00366985","Diplotropis ferruginea Benth.","Fabaceae","Diplotropis","ferruginea","Benth.","D.Cardoso & H.C. de Lima",NA,NA,"3161",NA,"J.G.Jardim; S.C.de Sant´Ana, F.Juchum",2000,11,3,"Brazil","Bahia","Ribeirão do Largo","Rod. Itambé/Encruzilhada, entrada para fazendas de café 22,3 km Região do Tomba.",-40.751111,-15.328333,"Árvore ca 15m alt, folhas verde escuras, face inferior mais clara, flores com corola rosea, calice marrom perfumadas, flroes em alcool 70%","urn:catalog:JBRJ:RB:366985",NA,"Diplotropis ferruginea Benth."
"38",NA,"UFPB","JPB","63006","Diplotropis ferruginea Benth.","Fabaceae","Diplotropis","ferruginea","Benth.","Agra, MF","2001-01-01T00:00:00.000+0000",NA,"5558",NA,"Agra, MF; Almeida, D",1999,11,8,"Brazil","Rio Grande do Norte","Carnaúbas dos Dantas","Sitio Jaharé",0,0,NA,"BRA:UFPB:JPB:0000063006",NA,"Diplotropis ferruginea Benth."
"39",NA,"UESC","UESC","7755","Diplotropis ferruginea Benth.","Fabaceae","Diplotropis","ferruginea","Benth.","L.P. de Queiroz","2001-11-01T00:00:00.000+0000",NA,"162",NA,"Jesus, N.G.",1997,10,18,"Brazil","Bahia","Entre Rios",NA,-40.215556,-12.915278,"Árvore, 23,50 m, CAP 0,93 m; casca grossa marrom, fissuras longitudinais.","BRA:UESC:UESC:0000007755",NA,"Diplotropis ferruginea Benth."
"40",NA,"UESC","UESC","7766","Diplotropis ferruginea Benth.","Fabaceae","Diplotropis","ferruginea","Benth.",NA,NA,NA,"177",NA,"Jesus, N.G.",1997,11,8,"Brazil","Bahia","Entre Rios",NA,-40.215556,-12.915278,"Subperenifolia.; Árvore 23,50 m X 0,90 m. Casca rígida, marrom-escuro.","BRA:UESC:UESC:0000007766",NA,"Diplotropis ferruginea Benth."
"41",NA,"UESC","UESC","7816","Diplotropis ferruginea Benth.","Fabaceae","Diplotropis","ferruginea","Benth.",NA,NA,NA,"211",NA,"Jesus, N.G.",1997,11,22,"Brazil","Bahia","Entre Rios",NA,-40.215556,-12.915278,"Floresta subperenífolia.; Árvore 23,50 x 0,90 m.","BRA:UESC:UESC:0000007816",NA,"Diplotropis ferruginea Benth."
"42","2007-03-15T11:14:39.000+0000","K","Herbarium","K000188040","Diplotropis ferruginea Benth.","Fabaceae","Diplotropis","ferruginea","Benth.","Lewis, G.P.",NA,NA,"62",NA,"Garcia, F.C.P.; Klitgaard, B.B.",1994,1,2,"Brazil",NA,NA,"On road BR-415, Itambé-Vitória da Conquista, pasture",NA,NA,NA,"http://specimens.kew.org/herbarium/K000188040",NA,"Diplotropis ferruginea Benth."
"43","2002-11-13T12:53:48.000+0000","K","Spirit Collection","64331.000","Diplotropis ferruginea Benth.","Fabaceae","Diplotropis","ferruginea","Benth.","Lewis, G.P.","1994-01-24T00:00:00.000+0000",NA,"62",NA,"Garcia, F.C.P.; Klitgaard, B.B.",1994,1,2,"Brazil",NA,NA,"State: Bahia. On rd BR415, Itambe - Vitoria da Conquista.",NA,NA,NA,"http://specimens.kew.org/herbarium/64331.000",NA,"Diplotropis ferruginea Benth."
"44",NA,"NY","NY","600409","Diplotropis ferruginea Benth.","Fabaceae","Diplotropis","ferruginea","Benth.","G. P. Lewis","1994-01-24T00:00:00.000+0000",NA,"62",NA,"B. B. Klitgaard",1994,1,2,"Brazil","Bahia",NA,"On rd. BR 415, ItambÃ© - VitÃ³ria da Conquista",0,0,"Add. mat. in K/RB/AAU: dry fruits, fruits and leaves in FAA, leaves in silicagel, and photos","27a62103-641e-4efa-86d2-3488bf28d033",NA,"Diplotropis ferruginea Benth."
"45","2017-10-17T18:45:05.000+0000","JBRJ","RB","RB00175513","Diplotropis ferruginea Benth.","Fabaceae","Diplotropis","ferruginea","Benth.","G.P.LEWIS","1994-01-24T00:00:00.000+0000",NA,"62",NA,"B..BKLITGAARD; F.C.P.GARCIA",1994,1,2,"Brazil","Bahia","Bahia","ON RD BR 415, ITAMBÉ - VITORIA DA CONQUISTA.",NA,NA,"TREE, 10-12 M  X 40 CM D.B.H., BARNCHED FROM 1 M, WITH OPEN CROWN, AND WITH MATURE FRUITS. ADD. MAT. IN K/RB/AUU: DRY FRUITS, FRUITS AND LVS IN FAA, LVS IN SILICAGEL","urn:catalog:JBRJ:RB:175513",NA,"Diplotropis ferruginea Benth."
"46",NA,"USP","SPF","118254","Diplotropis ferruginea Benth.","Fabaceae","Diplotropis","ferruginea","Benth.","Anônimo",NA,NA,"s.n.",NA,"Costa, LV",1992,10,27,"Brazil","Minas Gerais","Sabinópolis",NA,0,0,NA,"BRA:USP:SPF:0000118254",NA,"Diplotropis ferruginea Benth."
