"","modified","institutionCode","collectionCode","catalogNumber","scientificName","family","genus","specificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLongitude","decimalLatitude","occurrenceRemarks","occurrenceID","bibliographicCitation","acceptedNameUsage"
"1",NA,"UEFS","HUEFS","188747","Swartzia thomasii R.B.Pinto, Torke & Mansano","Fabaceae","Swartzia","thomasii","R.B.Pinto, Torke & Mansano","V.F.Mansano","2017-11-01T00:00:00.000+0000",NA,"2314","Matos, E.N.de",2011,10,22,"Brazil","Bahia","Una","Fazenda Bolandeira",-39.005,-15.309722,"Restinga. Floresta.","BRA:UEFS:HUEFS:0000188747",NA,"Swartzia thomasii R.B.Pinto, Torke & Mansano"
"2",NA,"UEFS","HUEFS","172494","Swartzia thomasii R.B.Pinto, Torke & Mansano","Fabaceae","Swartzia","thomasii","R.B.Pinto, Torke & Mansano","V.F.Mansano","2014-10-01T00:00:00.000+0000",NA,"5","Daneu, L.",2009,3,4,"Brazil","Bahia","Uruçuca","Parque Estadual da Serra do Condurú.",-39.083333,-14.416667,"Floresta Ombrófila Densa.","BRA:UEFS:HUEFS:0000172494",NA,"Swartzia thomasii R.B.Pinto, Torke & Mansano"
"3",NA,"UEFS","HUEFS","77519","Swartzia thomasii R.B.Pinto, Torke & Mansano","Fabaceae","Swartzia","thomasii","R.B.Pinto, Torke & Mansano","V.F.Mansano","2017-11-01T00:00:00.000+0000",NA,"998","Nunes, T.S.",2004,1,24,"Brazil","Bahia","Uruçuca","4,6 Km de Serra Grande em direção a Itacaré.",-39.053611,-14.430556,NA,"BRA:UEFS:HUEFS:0000077519",NA,"Swartzia thomasii R.B.Pinto, Torke & Mansano"
"4",NA,"Universidade Federal Rural de Pernambuco, UFRPE","HST","12514","Swartzia thomasii R.B.Pinto, Torke & Mansano","Fabaceae","Swartzia","thomasii","R.B.Pinto, Torke & Mansano","L.P.Queiroz","2014-12-01T00:00:00.000+0000",NA,"4156","A.M.Miranda; et al.",2003,8,26,"Brazil","Bahia","Ilhéus","Fazenda Recreio",NA,NA,"Árvore ca. 6 m alt.; caule amarronzado; folhas subpapiráceas; frutos alaranjados.","BRA:UFRPE:HST:0000012514",NA,"Swartzia thomasii R.B.Pinto, Torke & Mansano"
"5",NA,"UNICAMP","UEC","133740","Swartzia thomasii R.B.Pinto, Torke & Mansano","Fabaceae","Swartzia","thomasii","R.B.Pinto, Torke & Mansano","Mansano, V.F.","2016-01-12T00:00:00.000+0000",NA,"2652","Amorim, A.M.A.; Sant'Ana, S.C.; Mansano, V.F.",1998,11,11,"Brazil","Bahia","Itacaré","Rodovia Itacaré - Ilhéus",0,0,"Árvore ca 10m altura. Fol;iolos verdes, a face superior brilhante. Ramos e pecíolo nigrescentes. Botões muito jovens, aarelados. Coleta testemunho para estudo ontogenético.","BRA:UNICAMP:UEC:0000133740",NA,"Swartzia thomasii R.B.Pinto, Torke & Mansano"
"6",NA,"US","Botany","3332134","Swartzia thomasii R.B.Pinto, Torke & Mansano","Fabaceae","Swartzia","thomasii","R.B.Pinto, Torke & Mansano","Torke, B. M.; Pinto, R. B.",NA,"ISOTYPE","9182","W. W. Thomas, A. M. Carvalho, A. M. Amorim, S. C. Sant' Ana, J. Jardim & J. Gebhards",1992,5,7,"Brazil","Bahia",NA,"Bahia: Mun. Uruçuca. 7.3 km N of Serra Grande on rd to Itacaré",-39.0167,-14.4167,NA,"http://n2t.net/ark:/65665/38591a5fd-afcb-434a-82ce-6c4a0c644247",NA,"Swartzia thomasii R.B.Pinto, Torke & Mansano"
"8","2014-09-17T05:30:00.000+0000","MO","MO","3220992","Swartzia thomasii R.B.Pinto, Torke & Mansano","Fabaceae","Swartzia","thomasii","R.B.Pinto, Torke & Mansano","Pinto et al., TYPE",NA,"ISOTYPE","Thomas 9182","W. Wayt Thomas|A. Carvalho|André M. Amorim|Sérgio C. de Sant'Ana|Jomar G. Jardim|J. Gebhards",1992,5,7,"Brazil","Bahia",NA,"Mun. Urucuca. 7.3 km N of Serra Grande on rd to Itacaré. Atlantic coastal forest; study site revisited.",-39.016667,-14.416667,NA,"urn:catalog:MO:Tropicos:3220992","http://www.tropicos.org/Specimen/3220992","Swartzia thomasii R.B.Pinto, Torke & Mansano"
"9","2016-12-12T14:57:19.000+0000","JBRJ","RB","RB00185978","Swartzia thomasii R.B.Pinto, Torke & Mansano","Fabaceae","Swartzia","thomasii","R.B.Pinto, Torke & Mansano","V.F. Mansano",NA,"PARATYPE","919","A. M. Amorim; T. S. dos Santos, S. C. Sant´ Ana & J. G. Jardim",1992,12,14,"Brazil","Bahia","Itacaré","Estrada Itacaré/Taboquinhas, ca. 6 km de Itacaré. Loteamento da Marambaia. .",NA,NA,"Árvore com ca. 8m de alt. Folhas verdes concolores. Flores com cálice verde, corola alvacenta, estames amarelos.","urn:catalog:JBRJ:RB:185978",NA,"Swartzia thomasii R.B.Pinto, Torke & Mansano"
"10","2017-10-15T14:15:27.000+0000","JBRJ","RB","RB00184359","Swartzia thomasii R.B.Pinto, Torke & Mansano","Fabaceae","Swartzia","thomasii","R.B.Pinto, Torke & Mansano","V.F. Mansano",NA,"PARATYPE","18437","R. M. Harley; S. J. Mayo, R. M. Storr, T .S. Santos & R. S. Pinheiro",1977,1,31,"Brazil","Bahia","Bahia","Ca. 8 km SW of Itacaré along side road S from main Itacaré-Ubaitaba road, S of the mouth of the Rio de Contas.",-39.05,-14.333333,"Tree to 10m. Trunk, 20cm diam. Leaves very large, coriaceous with leaflets rather bright green, paler beneath. Buds green. Petals white. Anthers orange.","urn:catalog:JBRJ:RB:184359",NA,"Swartzia thomasii R.B.Pinto, Torke & Mansano"
"12","2017-10-15T14:15:44.000+0000","JBRJ","RB","RB00184368","Swartzia thomasii R.B.Pinto, Torke & Mansano","Fabaceae","Swartzia","thomasii","R.B.Pinto, Torke & Mansano","V.F. Mansano",NA,"PARATYPE","18364","R. M. Harley; S. J. Mayo, R. M. Storr, T. S. Santos & R. S. Pinheiro",1977,1,29,"Brazil","Bahia","Bahia","Ca. 6 km SW of Itacaré. On side road S from the main Itacaré-Ubaitaba road, S of the mouth of the Rio de Contas.",-39.016667,-14.316667,"Tree to 8m with huge very coriaceous leaves. Leaflets glossy above, rather bright green, paler glossy beneath. Buds green.","urn:catalog:JBRJ:RB:184368",NA,"Swartzia thomasii R.B.Pinto, Torke & Mansano"
