"","modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLongitude","decimalLatitude","occurrenceRemarks","acceptedNameUsage","occurrenceID","comments","bibliographicCitation"
"45",NA,NA,"CGMS","1709","Peltogyne rigida Ducke",NA,"Fabaceae","Peltogyne","rigida",NA,"Ducke","A. Ducke; H.S. Irwin","1965-01-01",NA,"",NA,"Luiz",1955,5,24,"brazil","Amazonas","Manaus","Bosque do Parque 10. Solo úmido.",-60.025,-3.101944,"HABITAT:Solo úmido.; HABITO:Árvore. 6,00m de altura.;FLOR:Flor alva;","Peltogyne rigida Ducke",NA,"original coordinates OK","GBIF"
"46",NA,NA,"Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)","3024","Peltogyne campestris var. rigida (Ducke) M.F.Silva",NA,"Fabaceae","Peltogyne","campestris",NA,"var. rigida (Ducke) M.F.Silva","Silva, M.F. da","1975-01-01",NA,"INPA3024",NA,"",1955,6,NA,"brazil","Amazonas","","Bosque do Parque Dez.",NA,NA,"","Peltogyne campestris var. rigida (Ducke) M.F.Silva",NA,NA,"GBIF"
"47",NA,NA,"Botany","1875314","Peltogyne campestris var. rigida (Ducke) M.F.Silva",NA,"Fabaceae","Peltogyne","campestris",NA,"var. rigida (Ducke) M.F.Silva","","",NA,"154",NA,"A. Ducke",1943,3,20,"brazil","Amazonas","","Manaos, pensador",NA,NA,"","Peltogyne campestris var. rigida (Ducke) M.F.Silva",NA,NA,"GBIF"
"48",NA,NA,"R","54577","Peltogyne campestris var. rigida (Ducke) M.F.Silva",NA,"Fabaceae","Peltogyne","campestris",NA,"var. rigida (Ducke) M.F.Silva","Silva, M.F.","1975-01-01",NA,"s.n.",NA,"Ducke, W.A.",1936,4,1,"brazil","Amazonas","Manaus","",-60.251153,-2.607107,"","Peltogyne campestris var. rigida (Ducke) M.F.Silva",NA,"centroide mpo OK","GBIF"
"49",NA,NA,"Herbarium","K000834159","Peltogyne rigida Ducke",NA,"Fabaceae","Peltogyne","rigida",NA,"Ducke","","",NA,"154",NA,"Ducke",1936,4,1,"brazil","","Manaus","Loco Pensador .",NA,NA,"","Peltogyne rigida Ducke",NA,NA,"GBIF"
"50",NA,NA,"MO","3254561","Peltogyne campestris Huber ex Ducke",NA,"Fabaceae","Peltogyne","campestris",NA,"Huber ex Ducke","M.F. Silva, Outubro","1975-01-01",NA,"Ducke 154",NA,"A. Ducke",1936,4,1,"brazil","Amazonas","","Manaos, loco Pensador, silva now inundabili prope rivulum.",NA,NA,"","Peltogyne campestris Huber ex Ducke",NA,NA,"GBIF"
"51",NA,NA,"VascularPlants","S-R-8704","Peltogyne campestris Huber ex Ducke",NA,"Fabaceae","Peltogyne","campestris",NA,"Huber ex Ducke","","",NA,"23847",NA,"A. Ducke",1932,3,19,"brazil","","","[Brazil] Manáos, civ. Amazonas, Estrada do Aleixo",NA,NA,"","Peltogyne campestris Huber ex Ducke",NA,NA,"GBIF"
"52",NA,NA,"Botany","V0057904F","Peltogyne rigida Ducke",NA,"Fabaceae","Peltogyne","rigida",NA,"Ducke","","",NA,"80",NA,"A. Ducke",1932,3,19,"brazil","","","",-52.8731,-10.8339,"","Peltogyne rigida Ducke",NA,"original coordinates outside municipality original in  falls in sao jose do xingu","GBIF"
"53",NA,NA,"RB","RB00539673","Peltogyne campestris var. rigida (Ducke) M.F.Silva",NA,"Fabaceae","Peltogyne","campestris",NA,"var. rigida (Ducke) M.F.Silva","","",NA,"",NA,"Ducke, A.",1932,3,19,"brazil","Amazonas","Manaus","mata da terra firme úmida, perto d´um riacho no caminho do José Romão.",-60.251153,-2.607107,"Árvore mediana, cálice verde claro, pétalas róseas, estames brancos.","Peltogyne campestris var. rigida (Ducke) M.F.Silva",NA,"centroide mpo OK","GBIF"
"54",NA,NA,"Botany","1518539","Peltogyne campestris var. campestris",NA,"Fabaceae","Peltogyne","campestris",NA,"var. campestris","","",NA,"23274",NA,"A. Ducke",1929,6,26,"brazil","Amazonas","","Manaos, rio negro near ponta negra",NA,NA,"","Peltogyne campestris var. campestris",NA,NA,"GBIF"
"55",NA,NA,"RB","RB00146373","Peltogyne campestris Huber ex Ducke",NA,"Fabaceae","Peltogyne","campestris",NA,"Huber ex Ducke","M. F. Silva","1975-01-01",NA,"",NA,"A. Ducke",1927,1,10,"brazil","Pará","Pará","Cachoeira Porteira, Rio Trombetas.",NA,NA,"Árvore pequena.","Peltogyne campestris Huber ex Ducke",NA,NA,"GBIF"
"56",NA,NA,"Botany","1442442","Peltogyne campestris var. campestris",NA,"Fabaceae","Peltogyne","campestris",NA,"var. campestris","","",NA,"5610",NA,"A. Ducke",1926,6,17,"brazil","Pará","","Lago de faro",NA,NA,"","Peltogyne campestris var. campestris",NA,NA,"GBIF"
"57",NA,NA,"Botany","U.1316959","Peltogyne campestris Huber ex Ducke",NA,"Fabaceae","Peltogyne","campestris",NA,"Huber ex Ducke","","",NA,"",NA,"Ducke A",1926,6,17,"brazil","","","Campina do Infiry prope Lago de Faro, prov. Pará.",NA,NA,"","Peltogyne campestris Huber ex Ducke",NA,NA,"GBIF"
"58",NA,NA,"Herbarium","K000555195","Peltogyne campestris Huber ex Ducke",NA,"Fabaceae","Peltogyne","campestris",NA,"Huber ex Ducke","M.F. Silva","",NA,"5610",NA,"Ducke, A.",1926,6,17,"brazil","","","Campina do Infiry prope Lago de Faro",NA,NA,"","Peltogyne campestris Huber ex Ducke",NA,NA,"GBIF"
"59",NA,NA,"Botany","1040537","Peltogyne campestris var. campestris",NA,"Fabaceae","Peltogyne","campestris",NA,"var. campestris","","",NA,"11660",NA,"A. Ducke",1911,5,19,"brazil","Pará","","Lago de faro",NA,NA,"","Peltogyne campestris var. campestris",NA,NA,"GBIF"
"60",NA,NA,"BOT","BM000952268","Peltogyne campestris Huber ex Ducke",NA,"Fabaceae","Peltogyne","campestris",NA,"Huber ex Ducke","M F. Silva","",NA,"11660",NA,"Walter Adolpho Ducke",1911,5,19,"brazil","","","",-53.08982,-10.773109,"","Peltogyne campestris Huber ex Ducke",NA,"original coordinates outside municipality original in  falls in sao jose do xingu","GBIF"
"61",NA,NA,"NY","1135668","Peltogyne campestris var. rigida (Ducke) M.F.Silva",NA,"Fabaceae","Peltogyne","campestris",NA,"var. rigida (Ducke) M.F.Silva","","",NA,"154",NA,"W. A. Ducke",NA,NA,NA,"brazil","Amazonas","","",NA,NA,"","Peltogyne campestris var. rigida (Ducke) M.F.Silva",NA,NA,"GBIF"
"62",NA,NA,"Botany","U.1316960","Peltogyne campestris var. rigida (Ducke) M.F.Silva",NA,"Fabaceae","Peltogyne","campestris",NA,"var. rigida (Ducke) M.F.Silva","Silva MFF da","1975-10-01",NA,"",NA,"Prance GT",NA,NA,NA,"brazil","Amazonas","","",NA,NA,"","Peltogyne campestris var. rigida (Ducke) M.F.Silva",NA,NA,"GBIF"
"63",NA,NA,"Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)","49078","Peltogyne campestris var. rigida (Ducke) M.F.Silva",NA,"Fabaceae","Peltogyne","campestris",NA,"var. rigida (Ducke) M.F.Silva","Silva, M.F. da","1975-05-01",NA,"1849",NA,"",NA,NA,NA,"brazil","Amazonas","","Parque Dez de Novembro.",NA,NA,"""Arvoreta de 8 m; flores amarelo-ferrugíneo em botões; frutos jovens. Na margem do igarapé, solo arenoso.""","Peltogyne campestris var. rigida (Ducke) M.F.Silva",NA,NA,"GBIF"
"64",NA,NA,"NY","4581","Peltogyne rigida Ducke",NA,"Fabaceae","Peltogyne","rigida",NA,"Ducke","","",NA,"80",NA,"W. A. Ducke",NA,NA,NA,"brazil","","","",NA,NA,"","Peltogyne rigida Ducke",NA,NA,"GBIF"
"65",NA,NA,"NY","1135674","Peltogyne campestris var. rigida (Ducke) M.F.Silva",NA,"Fabaceae","Peltogyne","campestris",NA,"var. rigida (Ducke) M.F.Silva","","",NA,"755",NA,"C. S. RosÃ¡rio",NA,NA,NA,"brazil","ParÃ¡","","",NA,NA,"","Peltogyne campestris var. rigida (Ducke) M.F.Silva",NA,NA,"GBIF"
