"","modified","institutionCode","collectionCode","catalogNumber","scientificName","family","genus","specificEpithet","scientificNameAuthorship","identifiedBy","recordNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLongitude","decimalLatitude","occurrenceRemarks","occurrenceID","acceptedNameUsage","identificationQualifier","infraspecificEpithet","dateIdentified","typeStatus","fieldNumber","comments","bibliographicCitation"
"1","2017-10-18T13:35:59.000+0000","JBRJ","RB","RB00930010","Swartzia capixabensis Mansano","Fabaceae","Swartzia","capixabensis","Mansano","V.F.MANSANO",8071,"R.C. Forzza; R. Goldenberg, P.H. Labiak, A.M. Amorim, L. Freitas, F. Obermüller & R.G. Barbosa-Silva",2014,4,23,"Brazil","Amazonas","Barcelos","Margens do Igarapé Preto. Parque Estadual da Serra do Aracá",-63.328056,0.836944,"Árvore, cauliflora, ca. 8 m alt. Botões verdes. Frutos ócre.","urn:catalog:JBRJ:RB:930010","Swartzia capixabensis Mansano",NA,NA,NA,NA,NA,NA,NA
"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
