"","modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLongitude","decimalLatitude","occurrenceRemarks","occurrenceID","acceptedNameUsage","infraspecificEpithet","comments","bibliographicCitation"
"13",NA,"Universidade Federal do Ceará, UFC","EAC","24602","Muellera montana (MJ.Silva & Amg.Azevedo) MJ.Silva & Amg.Azevedo",NA,"Fabaceae","Muellera","montana","(MJ.Silva & Amg.Azevedo) MJ.Silva & Amg.Azevedo","Loiola, M.I.B.","2015-04-01T00:00:00.000+0000",NA,"2866",NA,"Pereira, B.A.S.",1995,8,16,"Brazil","Tocantins","Aurora do Norte","Floresta decídua do km 30 da estrada Taguatinga/Aurora do Norte.",-46.5,-12.833333,"Arbórea","BRA:UFC:EAC:0000024602","Muellera montana (MJ.Silva & Amg.Azevedo) MJ.Silva & Amg.Azevedo",NA,NA,NA
"14",NA,"UnB","UB","22626","Muellera montana (MJ.Silva & Amg.Azevedo) MJ.Silva & Amg.Azevedo",NA,"Fabaceae","Muellera","montana","(MJ.Silva & Amg.Azevedo) MJ.Silva & Amg.Azevedo","Silva, MJ","2010-07-28T00:00:00.000+0000",NA,"7434",NA,"Ratter, JA",1994,11,12,"Brazil","Goiás",NA,"18km from Alto Paraíso de Goiás on the road to Nova Roma.",-47.4,-14.033333,NA,"BRA:UnB:UB:0000022626","Muellera montana (MJ.Silva & Amg.Azevedo) MJ.Silva & Amg.Azevedo",NA,NA,NA
"15","2017-10-10T17:39:47.000+0000","JBRJ","RB","RB00178506","Lonchocarpus montanus A.M.G.Azevedo ex M.J.Silva & A.M.G.Azevedo",NA,"Fabaceae","Muellera","montanus","A.M.G.Azevedo ex M.J.Silva & A.M.G.Azevedo","B.A.S PEREIRA",NA,NA,"1717",NA,"B.A.S PEREIRA; D.ALVARENGA",1991,9,13,"Brazil","Tocantins","Tocantins",NA,NA,NA,"ÁRVORE DECÍDUA. FLORES BRANCAS , MUITO ORNAMENTAIS. FOLÓLOS (POUCOS) GLABROS.","urn:catalog:JBRJ:RB:178506","Lonchocarpus montanus A.M.G.Azevedo ex M.J.Silva & A.M.G.Azevedo",NA,NA,NA
"16",NA,"UNICAMP","UEC","060404","Muellera montana (MJ.Silva & Amg.Azevedo) MJ.Silva & Amg.Azevedo",NA,"Fabaceae","Muellera","montana","(MJ.Silva & Amg.Azevedo) MJ.Silva & Amg.Azevedo","Silva, M.J.","2010-07-28T00:00:00.000+0000",NA,"1971",NA,"Pereira, B.A.S.; Alvarenga, D.; Oliveira, F.C.A.",1991,12,4,"Brazil","Tocantins",NA,"km 44 da estrada ara COMBINADO/TAGUATINGA.",0,0,"Árvore ca. 10 metros de altura. Fruto imaturo cor verde. Mata próxima ao afloramento de calcário.","BRA:UNICAMP:UEC:0000060404","Muellera montana (MJ.Silva & Amg.Azevedo) MJ.Silva & Amg.Azevedo",NA,NA,NA
"17",NA,"UNICAMP","UEC","143528","Muellera montana (MJ.Silva & Amg.Azevedo) MJ.Silva & Amg.Azevedo",NA,"Fabaceae","Muellera","montana","(MJ.Silva & Amg.Azevedo) MJ.Silva & Amg.Azevedo","Silva, M.J.","2010-07-28T00:00:00.000+0000",NA,"s.n.",NA,"Fernandes, A.; Matos",1982,5,14,"Brazil","Piauí","Cristalândia do Piauí",NA,0,0,"Árvore, Mata","BRA:UNICAMP:UEC:0000143528","Muellera montana (MJ.Silva & Amg.Azevedo) MJ.Silva & Amg.Azevedo",NA,NA,NA
"18",NA,"UNICAMP","UEC","143529","Muellera montana (MJ.Silva & Amg.Azevedo) MJ.Silva & Amg.Azevedo",NA,"Fabaceae","Muellera","montana","(MJ.Silva & Amg.Azevedo) MJ.Silva & Amg.Azevedo","Silva, M.J.","2010-07-28T00:00:00.000+0000",NA,"s.n.",NA,"Fernandes, A.; Nunes, E.",1981,11,18,"Brazil","Piauí","Caracol","Caatinga",0,0,"árvore 7-9 metros","BRA:UNICAMP:UEC:0000143529","Muellera montana (MJ.Silva & Amg.Azevedo) MJ.Silva & Amg.Azevedo",NA,NA,NA
"19",NA,"NY","NY","01057556","Muellera montana (MJ.Silva & Amg.Azevedo) MJ.Silva & Amg.Azevedo",NA,"Fabaceae","Muellera","montana","(MJ.Silva & Amg.Azevedo) MJ.Silva & Amg.Azevedo",NA,NA,NA,"22003",NA,"R. M. Harley",1980,5,1,"Brazil","Bahia",NA,"5 km. to the N. of Tabocas, which is 10 km. N.W. of Serra Dourada. E3",-44.03,-12.65,NA,"1d379a11-13aa-4a6b-82dd-0368335134d8","Muellera montana (MJ.Silva & Amg.Azevedo) MJ.Silva & Amg.Azevedo",NA,NA,NA
"20",NA,"UNICAMP","UEC","32807","Muellera montana (MJ.Silva & Amg.Azevedo) MJ.Silva & Amg.Azevedo",NA,"Fabaceae","Muellera","montana","(MJ.Silva & Amg.Azevedo) MJ.Silva & Amg.Azevedo","Silva, M.J.","2010-07-28T00:00:00.000+0000",NA,"119",NA,"Silva, S.B.",1980,11,16,"Brazil","Minas Gerais","Itacarambi",NA,-44.066667,-15.083333,"árvore. Frequência fraca. vegetação secundária (Floresta Estacional Semidecidual)","BRA:UNICAMP:UEC:0000032807","Muellera montana (MJ.Silva & Amg.Azevedo) MJ.Silva & Amg.Azevedo",NA,NA,NA
"21",NA,"UEFS","HUEFS","7882","Muellera montana (MJ.Silva & Amg.Azevedo) MJ.Silva & Amg.Azevedo",NA,"Fabaceae","Muellera","montana","(MJ.Silva & Amg.Azevedo) MJ.Silva & Amg.Azevedo","M.J.Silva","2010-07-01T00:00:00.000+0000",NA,NA,NA,"Silva, S.J.G.da",NA,NA,NA,"Brazil","Minas Gerais","Itacarambi",NA,-44.066667,-15.083333,"Secundária (Floresta Estacional Semidecidual).","BRA:UEFS:HUEFS:0000007882","Muellera montana (MJ.Silva & Amg.Azevedo) MJ.Silva & Amg.Azevedo",NA,NA,NA
"22",NA,"Universidade Federal do Ceará, UFC","EAC","10906","Muellera montana (MJ.Silva & Amg.Azevedo) MJ.Silva & Amg.Azevedo",NA,"Fabaceae","Muellera","montana","(MJ.Silva & Amg.Azevedo) MJ.Silva & Amg.Azevedo","Loiola, M.I.B.","2015-04-01T00:00:00.000+0000",NA,"s.n.",NA,"Fernandes, A.",1981,11,18,"Brazil","Piauí","Caracol",".",0,0,"Árvore de 7 a 9 metros..; Caatinga","BRA:UFC:EAC:0000010906","Muellera montana (MJ.Silva & Amg.Azevedo) MJ.Silva & Amg.Azevedo",NA,NA,NA
"23","2015-09-04T02:42:59.000+0000","MNHN","P","P00759107","Muellera montana (MJ.Silva & Amg.Azevedo) MJ.Silva & Amg.Azevedo",NA,"Fabaceae","Muellera","montana","(MJ.Silva & Amg.Azevedo) MJ.Silva & Amg.Azevedo","Shimizu",NA,NA,NA,NA,"Saint-Hilaire, A. de",NA,NA,NA,"Brazil",NA,NA,NA,NA,NA,NA,"http://coldb.mnhn.fr/catalognumber/mnhn/p/p00759107","Muellera montana (MJ.Silva & Amg.Azevedo) MJ.Silva & Amg.Azevedo",NA,NA,NA
