"","modified","institutionCode","collectionCode","catalogNumber","scientificName","family","genus","specificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLongitude","decimalLatitude","occurrenceRemarks","occurrenceID","bibliographicCitation","acceptedNameUsage"
"1",NA,"FZB-BH","BHZB","10632","Dimorphandra exaltata Schott","Fabaceae","Dimorphandra","exaltata","Schott",NA,NA,NA,"419","Fernandes, F.M.",2014,11,19,"Brazil","Mg","Florestal","Fazenda do Nativo",NA,NA,"; Habitat: Floresta Estacional semidecídua; Flor: com botões; Fruto: com frutos; Bioma: Cerrado","BRA:FZB-BH:BHZB:0000010632",NA,"Dimorphandra exaltata Schott"
"2",NA,"FZB-BH","BHZB","10633","Dimorphandra exaltata Schott","Fabaceae","Dimorphandra","exaltata","Schott",NA,NA,NA,"420","Fernandes, F.M.",2014,11,19,"Brazil","Mg","Contagem","Fazenda das Abóboras",NA,NA,"; Habitat: Floresta Estacional semidecídua; Flor: com flores; Fruto: com frutos; Bioma: Cerrado","BRA:FZB-BH:BHZB:0000010633",NA,"Dimorphandra exaltata Schott"
"3",NA,"Universidade Federal de Minas Gerais (UFMG)","BHCB","174517","Dimorphandra exaltata Schott","Fabaceae","Dimorphandra","exaltata","Schott",NA,"2014-11-19T00:00:00.000+0000",NA,"s.n.","Fernandes, FM; Lemos Filho, JP",2014,11,19,"Brazil","Minas Gerais","Contagem","Fazenda das Abóboras",-44.078611,-19.860278,"Área de pasto próximo a fragmento de mata. Ecótone Cerrado/Mata Altântica.","BRA:UFMG:BHCB:0000174517",NA,"Dimorphandra exaltata Schott"
"4",NA,"FZB-BH","BHZB","10274","Dimorphandra exaltata Schott","Fabaceae","Dimorphandra","exaltata","Schott",NA,NA,NA,"409","Fernandes, F.M.",2013,7,2,"Brazil","Mg","Lagoa da Prata","APP da mata do Roberto",-45.033056,-19.053333,"; Habitat: Mata ciliar do Rio S. Fco; Bioma: Cerrado","BRA:FZB-BH:BHZB:0000010274",NA,"Dimorphandra exaltata Schott"
"5",NA,"UFV","VIC","40541","Dimorphandra exaltata Schott","Fabaceae","Dimorphandra","exaltata","Schott","Fernandes, J.M.","2013-06-13T00:00:00.000+0000",NA,"340","Simão, M.V.R.C.",2012,10,16,"Brazil","Minas Gerais","Viçosa","Mata do Paraíso",0,0,"Árvore, 14 m, botão floral ferrugíneo, fruto imaturo marrom enegrecido.","BRA:UFV:VIC:0000040541",NA,"Dimorphandra exaltata Schott"
"6",NA,"FZB-BH","BHZB","8162","Dimorphandra exaltata Schott","Fabaceae","Dimorphandra","exaltata","Schott",NA,NA,NA,"264","Fernandes, F.M. et al",2011,4,12,"Brazil","Mg","Carmo do Cajurú",NA,-44.708611,-20.160833,"; Fruto: Fruto presente; Bioma: Cerrado","BRA:FZB-BH:BHZB:0000008162",NA,"Dimorphandra exaltata Schott"
"7",NA,"FZB-BH","BHZB","8082","Dimorphandra exaltata Schott","Fabaceae","Dimorphandra","exaltata","Schott",NA,NA,NA,"270","Fernandes, F.M.",2011,5,31,"Brazil","Mg","Serro","Proximidades à ""Mato Grosso"". Perto da sede da fazenda Sr. José Geraldo Faria",NA,NA,"; Fruto: Frutos imaturos; Bioma: Mata Atlântica","BRA:FZB-BH:BHZB:0000008082",NA,"Dimorphandra exaltata Schott"
"8",NA,"FZB-BH","BHZB","8418","Dimorphandra exaltata Schott","Fabaceae","Dimorphandra","exaltata","Schott",NA,NA,NA,"291","Fernandes, F.M.",2011,10,25,"Brazil","Mg","Florestal",NA,-44.410556,-19.907222,"; Flor: Flor amarela; Bioma: Cerrado","BRA:FZB-BH:BHZB:0000008418",NA,"Dimorphandra exaltata Schott"
"9",NA,"FZB-BH","BHZB","7931","Dimorphandra exaltata Schott","Fabaceae","Dimorphandra","exaltata","Schott",NA,NA,NA,"226","Fernandes, F.M.",2010,4,7,"Brazil","Mg","Florestal","Fazenda Cachoeira - Proprietário: Liberal",-44.483056,-19.840278,"; Fruto: Material com frutos; Bioma: Cerrado","BRA:FZB-BH:BHZB:0000007931",NA,"Dimorphandra exaltata Schott"
"10",NA,"FZB-BH","BHZB","7930","Dimorphandra exaltata Schott","Fabaceae","Dimorphandra","exaltata","Schott",NA,NA,NA,"225","Fernandes, F.M.",2010,4,7,"Brazil","Mg","Florestal","Fazenda Cachoeira - Proprietário: Liberal",-44.480556,-19.837222,"; Fruto: Botões florais; Bioma: Cerrado","BRA:FZB-BH:BHZB:0000007930",NA,"Dimorphandra exaltata Schott"
"11",NA,"FZB-BH","BHZB","7786","Dimorphandra exaltata Schott","Fabaceae","Dimorphandra","exaltata","Schott",NA,NA,NA,"1686","Ordones, J. et al.",2009,8,25,"Brazil","Mg","Florestal","Sítio Grota das Vacas.",-44.495278,-19.915,"; Habitat: Cerrado; Bioma: Cerrado","BRA:FZB-BH:BHZB:0000007786",NA,"Dimorphandra exaltata Schott"
"12",NA,"FZB-BH","BHZB","7773","Dimorphandra exaltata Schott","Fabaceae","Dimorphandra","exaltata","Schott",NA,NA,NA,"1682","Ordones, J. et al.",2009,8,24,"Brazil","Mg","Matozinhos","Fazenda Figueiredo.",-44.1,-19.59,"; Bioma: Cerrado","BRA:FZB-BH:BHZB:0000007773",NA,"Dimorphandra exaltata Schott"
"13",NA,"FZB-BH","BHZB","7787","Dimorphandra exaltata Schott","Fabaceae","Dimorphandra","exaltata","Schott",NA,NA,NA,"1687","Ordones, J. et al.",2009,8,25,"Brazil","Mg","Florestal","Sítio Grota das Vacas.",-44.495556,-19.915,"; Habitat: Cerrado; Flor: Botões florais.; Bioma: Cerrado","BRA:FZB-BH:BHZB:0000007787",NA,"Dimorphandra exaltata Schott"
"14",NA,"FZB-BH","BHZB","7785","Dimorphandra exaltata Schott","Fabaceae","Dimorphandra","exaltata","Schott",NA,NA,NA,"1685","Ordones, J. et al.",2009,8,25,"Brazil","Mg","Florestal","Sítio Grota das Vacas. Próximo à casa.",-44.486667,-19.915,"; Habitat: Cerrado; Bioma: Cerrado","BRA:FZB-BH:BHZB:0000007785",NA,"Dimorphandra exaltata Schott"
"15",NA,"FZB-BH","BHZB","7784","Dimorphandra exaltata Schott","Fabaceae","Dimorphandra","exaltata","Schott",NA,NA,NA,"1684","Ordones, J. et al.",2009,8,25,"Brazil","Mg","Florestal","Sítio Grota das Vacas.",-44.494167,-19.914444,"; Bioma: Cerrado","BRA:FZB-BH:BHZB:0000007784",NA,"Dimorphandra exaltata Schott"
