"","modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLongitude","decimalLatitude","occurrenceRemarks","occurrenceID","bibliographicCitation","acceptedNameUsage","infraspecificEpithet","typeStatus","comments"
"1",NA,"F","Botany","V0288501F","Pseudopiptadenia inaequalis (Benth.) Rauschert",NA,"Fabaceae","Pseudopiptadenia","inaequalis","(Benth.) Rauschert",NA,NA,NA,NA,NA,NA,NA,NA,"Brazil",NA,NA,NA,-52.8731,-10.8339,NA,"4b3f33cf-ab4c-47ce-aa65-5c8083312cfe",NA,"Pseudopiptadenia inaequalis (Benth.) Rauschert",NA,NA,NA
"2",NA,"F","Botany","V0288499F","Pseudopiptadenia inaequalis (Benth.) Rauschert",NA,"Fabaceae","Pseudopiptadenia","inaequalis","(Benth.) Rauschert",NA,NA,NA,NA,NA,NA,NA,NA,"Brazil",NA,NA,NA,-52.8731,-10.8339,NA,"d27e3555-4bda-4011-b09c-d5a71d5bde16",NA,"Pseudopiptadenia inaequalis (Benth.) Rauschert",NA,NA,NA
"3",NA,"F","Botany","V0288500F","Pseudopiptadenia inaequalis (Benth.) Rauschert",NA,"Fabaceae","Pseudopiptadenia","inaequalis","(Benth.) Rauschert",NA,NA,NA,NA,NA,NA,NA,NA,"Brazil",NA,NA,NA,-52.8731,-10.8339,NA,"2159a80b-091f-4cc0-9dcd-915bca7e3c88",NA,"Pseudopiptadenia inaequalis (Benth.) Rauschert",NA,NA,NA
"4","2015-09-04T02:32:42.000+0000","MNHN","P","P02931319","Piptadenia inaequalis Benth.",NA,"Fabaceae","Pseudopiptadenia","inaequalis","Benth.","Ribeiro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"http://coldb.mnhn.fr/catalognumber/mnhn/p/p02931319",NA,"Piptadenia inaequalis Benth.",NA,NA,NA
"5",NA,"F","Botany","V0288497F","Pseudopiptadenia inaequalis (Benth.) Rauschert",NA,"Fabaceae","Pseudopiptadenia","inaequalis","(Benth.) Rauschert",NA,NA,NA,NA,NA,NA,NA,NA,"Brazil",NA,NA,NA,-52.8731,-10.8339,NA,"f1bddad4-1cf4-407a-a64d-d7e4c36eddc7",NA,"Pseudopiptadenia inaequalis (Benth.) Rauschert",NA,NA,NA
"6",NA,"F","Botany","V0288502F","Pseudopiptadenia inaequalis (Benth.) Rauschert",NA,"Fabaceae","Pseudopiptadenia","inaequalis","(Benth.) Rauschert",NA,NA,NA,NA,NA,NA,NA,NA,"Brazil",NA,NA,NA,-52.8731,-10.8339,NA,"02459a57-6bef-4c76-b7b6-1ab922dee730",NA,"Pseudopiptadenia inaequalis (Benth.) Rauschert",NA,NA,NA
"7",NA,"F","Botany","V0288498F","Pseudopiptadenia inaequalis (Benth.) Rauschert",NA,"Fabaceae","Pseudopiptadenia","inaequalis","(Benth.) Rauschert",NA,NA,NA,NA,NA,NA,NA,NA,"Brazil",NA,NA,NA,-52.8731,-10.8339,NA,"ee6635f3-707c-40cc-91d6-4d311144c0c8",NA,"Pseudopiptadenia inaequalis (Benth.) Rauschert",NA,NA,NA
"8","2012-09-25T12:13:16.000+0000","MEL","MEL","MEL 0256567A","Piptadenia inaequalis Benth.",NA,"Fabaceae","Pseudopiptadenia","inaequalis","Benth.","Liesner, R.","1985-01-01T00:00:00.000+0000","3977-85","3977-85","Johnson, C.D.",1985,2,12,"Venezuela, Bolivarian Republic of",NA,NA,"Bolivar, 14 km southeast of Upata.",NA,NA,"ex hb. Missouri Botanical Garden.","9d5f03ea-6a8f-4289-8ee5-3f60727d5604",NA,"Piptadenia inaequalis Benth.",NA,NA,NA
"9",NA,NA,"Botany","U.1308068","Pseudopiptadenia inaequalis (Benth.) Rauschert",NA,"Fabaceae","Pseudopiptadenia","inaequalis","(Benth.) Rauschert",NA,NA,NA,NA,"Kuhlmann JG",1920,11,19,"unknown or invalid",NA,NA,NA,NA,NA,NA,"http://data.biodiversitydata.nl/naturalis/specimen/U.1308068",NA,"Pseudopiptadenia inaequalis (Benth.) Rauschert",NA,NA,NA
"10",NA,"MBM","MBM","74065","Piptadenia inaequalis Benth.",NA,"Fabaceae","Pseudopiptadenia","inaequalis","Benth.","Guevara, Lourdes C de",NA,"724",NA,"Marcano Berti, L",NA,NA,NA,"Venezuela, Bolivarian Republic of",NA,NA,NA,0,0,NA,"BRA:MBM:MBM:0000074065",NA,"Piptadenia inaequalis Benth.",NA,NA,NA
