"","modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLongitude","decimalLatitude","occurrenceRemarks","occurrenceID","acceptedNameUsage"
"1","2017-10-15T14:19:18.000+0000","JBRJ","RB","RB01349978","Muellera montana (MJ.Silva & Amg.Azevedo) MJ.Silva & Amg.Azevedo",NA,"Fabaceae","Muellera","montana","(MJ.Silva & Amg.Azevedo) MJ.Silva & Amg.Azevedo","M.A. da Silva","2015-11-18T00:00:00.000+0000",NA,"8428",NA,"M.A. da Silva; D. Alvarenga; G.D. Silva",2015,10,25,"Brazil","Goiás","Posse","BR-020, km 183, distante 20 km de Simlândia-GO. Folha-SD-23-Y-B",-46.445555,-14.298333,NA,"urn:catalog:JBRJ:RB:1349978","Muellera montana (MJ.Silva & Amg.Azevedo) MJ.Silva & Amg.Azevedo"
"2",NA,"UnB","UB","160769","Muellera montana (MJ.Silva & Amg.Azevedo) MJ.Silva & Amg.Azevedo",NA,"Fabaceae","Muellera","montana","(MJ.Silva & Amg.Azevedo) MJ.Silva & Amg.Azevedo","Silva, MJ","2012-07-18T00:00:00.000+0000",NA,"3612",NA,"Pereira, BAS; Alvarenga, D",2009,10,3,"Brazil","Goiás","Guarani de Goiás","Bacia do Rio Tocantins. Vila Claretiana",-46.516667,-13.8,"Árvore 6-8m. Flores alvas ou beges, com guias de néctar arroxeadas.; Relevo plano a inclinado. Solo argilo-arenoso, eutrófico, com blocos de rocha calcária. Floresta estacional decídua convertida em pastagem","BRA:UnB:UB:0000160769","Muellera montana (MJ.Silva & Amg.Azevedo) MJ.Silva & Amg.Azevedo"
"3",NA,"Universidade Federal da Bahia (UFBA)","ALCB","85061","Muellera montana (MJ.Silva & Amg.Azevedo) MJ.Silva & Amg.Azevedo",NA,"Fabaceae","Muellera","montana","(MJ.Silva & Amg.Azevedo) MJ.Silva & Amg.Azevedo","Guedes, ML","2016-09-01T00:00:00.000+0000",NA,"14557",NA,"Guedes, ML; Gomes, FS",2008,5,24,"Brazil","Bahia","Caetité","Serra Geral, Bloco 01, parcela 03",-42.516667,-14.013889,"de ca 6,0 m de altura. Folíolos cartáceos, discolores. Material estéril. Ind, nº 20.","BRA:UFBA:ALCB:0000085061","Muellera montana (MJ.Silva & Amg.Azevedo) MJ.Silva & Amg.Azevedo"
"4",NA,"UNITINS","HUTO","2381","Lonchocarpus montanus A.M.G.Azevedo ex M.J.Silva & A.M.G.Azevedo",NA,"Fabaceae","Muellera","montanus","A.M.G.Azevedo ex M.J.Silva & A.M.G.Azevedo","Haidar, R.F.","2008-11-04T00:00:00.000+0000",NA,"1043",NA,"Haidar, R.F.",2008,11,3,"Brazil","Tocantins",NA,"Sub-bacia do rio Palma",-46.462222,-12.756389,"Árvore com cerca de 5 m de altura e 30 cm de DAP. Casca do tronco branca e lisa. Vagem com única semente; Floresta estacional decidual","BRA:UNITINS:HUTO:0000002381","Lonchocarpus montanus A.M.G.Azevedo ex M.J.Silva & A.M.G.Azevedo"
"5",NA,"UNICAMP","UEC","146785","Muellera montana (MJ.Silva & Amg.Azevedo) MJ.Silva & Amg.Azevedo",NA,"Fabaceae","Muellera","montana","(MJ.Silva & Amg.Azevedo) MJ.Silva & Amg.Azevedo","Silva, M.J.","2010-07-28T00:00:00.000+0000",NA,"12771",NA,"Queiroz, L.P.; et al.",2007,4,11,"Brazil","Bahia","Coribe","ca. 27 km S de S. Félix do Coribe na estrada para Jaborandi. Floresta Estacional. Alt 545 m",0,0,"Árvore ca. 10 m alt., copada. Folíolos papiráceos. Frutos amarronzados. Material coletado: DNA","BRA:UNICAMP:UEC:0000146785","Muellera montana (MJ.Silva & Amg.Azevedo) MJ.Silva & Amg.Azevedo"
"7",NA,"UEFS","HUEFS","122652","Muellera montana (MJ.Silva & Amg.Azevedo) MJ.Silva & Amg.Azevedo",NA,"Fabaceae","Muellera","montana","(MJ.Silva & Amg.Azevedo) MJ.Silva & Amg.Azevedo","L.P.de Queiroz","2012-09-01T00:00:00.000+0000",NA,"1715",NA,"Santos, R.M.",2007,7,2,"Brazil","Bahia","São Desidério","BR 135.",-44.968889,-12.376944,"Caatinga arbórea e afloramento de calcário.","BRA:UEFS:HUEFS:0000122652","Muellera montana (MJ.Silva & Amg.Azevedo) MJ.Silva & Amg.Azevedo"
"8",NA,"UNICAMP","UEC","8860","Lonchocarpus montanus A.M.G.Azevedo ex M.J.Silva & A.M.G.Azevedo",NA,"Fabaceae","Muellera","montanus","A.M.G.Azevedo ex M.J.Silva & A.M.G.Azevedo","Silva, M.J.","2006-08-28T00:00:00.000+0000",NA,"3212",NA,"Pereira, B.A.S.; Alvarenga, D.",2006,9,13,"Brazil","Goiás","Nova Roma","Km 11 da estrada Nova Roma/Terezinha de Goias.",-46.916667,-13.916667,"Árvore cerca de 10m de altura. Flores brancas. Testemunha de mata estacional.","BRA:UNICAMP:UEC:0000008860","Lonchocarpus montanus A.M.G.Azevedo ex M.J.Silva & A.M.G.Azevedo"
"9",NA,"Cenargen","CEN","55074","Muellera montana (MJ.Silva & Amg.Azevedo) MJ.Silva & Amg.Azevedo",NA,"Fabaceae","Muellera","montana","(MJ.Silva & Amg.Azevedo) MJ.Silva & Amg.Azevedo","M. Simon",NA,NA,"2231",NA,"Aécio Amaral-Santos",2004,3,9,"Brazil","Go","SAO DOMINGOS","Fazenda São Vicente. Afloramento 3.",-46.483055,-13.517222,NA,"BRA:Cenargen:CEN:0000055074","Muellera montana (MJ.Silva & Amg.Azevedo) MJ.Silva & Amg.Azevedo"
"10",NA,"Cenargen","CEN","77286","Muellera montana (MJ.Silva & Amg.Azevedo) MJ.Silva & Amg.Azevedo",NA,"Fabaceae","Muellera","montana","(MJ.Silva & Amg.Azevedo) MJ.Silva & Amg.Azevedo","M. Simon",NA,NA,"8282",NA,"Glocimar Pereira-Silva",2003,12,7,"Brazil","Go","FLORES DE GOIAS","Fazenda Regalito.",-46.904444,-14.476944,NA,"BRA:Cenargen:CEN:0000077286","Muellera montana (MJ.Silva & Amg.Azevedo) MJ.Silva & Amg.Azevedo"
"11",NA,"Cenargen","CEN","60636","Muellera montana (MJ.Silva & Amg.Azevedo) MJ.Silva & Amg.Azevedo",NA,"Fabaceae","Muellera","montana","(MJ.Silva & Amg.Azevedo) MJ.Silva & Amg.Azevedo","M. Simon",NA,NA,"11",NA,"Luciana Álvares da Silva",2001,3,28,"Brazil","Go","SAO DOMINGOS","Fazenda São José - Vale do Paranã.",-46.69861,-13.82611,NA,"BRA:Cenargen:CEN:0000060636","Muellera montana (MJ.Silva & Amg.Azevedo) MJ.Silva & Amg.Azevedo"
"12",NA,"Cenargen","CEN","59740","Muellera montana (MJ.Silva & Amg.Azevedo) MJ.Silva & Amg.Azevedo",NA,"Fabaceae","Muellera","montana","(MJ.Silva & Amg.Azevedo) MJ.Silva & Amg.Azevedo","M. Simon",NA,NA,"2039",NA,"Anderson Cássio Sevilha",2001,3,29,"Brazil","Go","SAO DOMINGOS","Fazenda Flor do Ermo na divisa com Traçadol (porteira).",-46.77778,-13.58917,NA,"BRA:Cenargen:CEN:0000059740","Muellera montana (MJ.Silva & Amg.Azevedo) MJ.Silva & Amg.Azevedo"
"13",NA,"UNICAMP","UEC","121065","Muellera montana (MJ.Silva & Amg.Azevedo) MJ.Silva & Amg.Azevedo",NA,"Fabaceae","Muellera","montana","(MJ.Silva & Amg.Azevedo) MJ.Silva & Amg.Azevedo","Silva, M.J.","2010-07-28T00:00:00.000+0000",NA,"2452",NA,"Fonseca, M.L.; Cardoso, E.; Silva, M.A.",2001,3,7,"Brazil","Goiás","Posse","Fazenda Sabonete. Prop.: Silvio Santos L",-46.486667,-14.605556,"fruto, Vegetação Mata seca de encosta. Árvore heliófita ca. 0,8m alt. e 0,24m DAP. Casca cor cinza, folhas verde, frutos imaturos cor verde. Comum. (Mata 2, linha 4, parcela 24, árvore s/nº)","BRA:UNICAMP:UEC:0000121065","Muellera montana (MJ.Silva & Amg.Azevedo) MJ.Silva & Amg.Azevedo"
"14",NA,"Cenargen","CEN","41662","Muellera montana (MJ.Silva & Amg.Azevedo) MJ.Silva & Amg.Azevedo",NA,"Fabaceae","Muellera","montana","(MJ.Silva & Amg.Azevedo) MJ.Silva & Amg.Azevedo","M. Simon",NA,NA,"2917",NA,"Marina de Lourdes Fonseca Resende",2001,10,17,"Brazil","Go","IACIARA","Fazenda Sabonete. (Mata 2). Proprietário: Sr. Silvio Lacerda.",-46.48639,-14.06639,"Folhagem nova, verde. (linha 1, parcela 2, árvore 70). Doação do Herbário IBGE - Reserva Ecológica do IBGE. - Plantas do Goiás.","BRA:Cenargen:CEN:0000041662","Muellera montana (MJ.Silva & Amg.Azevedo) MJ.Silva & Amg.Azevedo"
"15",NA,"Cenargen","CEN","45505","Muellera montana (MJ.Silva & Amg.Azevedo) MJ.Silva & Amg.Azevedo",NA,"Fabaceae","Muellera","montana","(MJ.Silva & Amg.Azevedo) MJ.Silva & Amg.Azevedo","M. Simon",NA,NA,"4516",NA,"Roberta Cunha de Mendonça",2001,10,21,"Brazil","Go","MONTE ALEGRE DE GOIAS","Fazenda Nica, prop. Sr. Cordeirinho.",-46.825,-13.149166,"Mata sobre morro com alforamento calcário. Solo com textura areno-argiloso. Tronco com casca lisa, folhas cartáceas, discolor verde. Fruto seco. Doação do Herbário IBGE - Reserva Ecológica do IBGE. Pl","BRA:Cenargen:CEN:0000045505","Muellera montana (MJ.Silva & Amg.Azevedo) MJ.Silva & Amg.Azevedo"
"16","2017-10-19T07:03:16.000+0000","JBRJ","RB","RB00952261","Lonchocarpus montanus A.M.G.Azevedo ex M.J.Silva & A.M.G.Azevedo",NA,"Fabaceae","Muellera","montanus","A.M.G.Azevedo ex M.J.Silva & A.M.G.Azevedo","M.L. Fonseca",NA,NA,"4516",NA,"R.C. Mendonça et. al.;",2001,10,21,"Brazil","Goiás","Monte Alegre de Goiás","Fazenda Nica. Proprietário Sr. Cordeirinho.",-46.65,-13.133333,"Árvore semi-ciofila ca 10 m alt; e 10 cm DAP, tronco de casca losa. folhas cartáceas, discolor verde, fruto imaturo verde, seco","urn:catalog:JBRJ:RB:952261","Lonchocarpus montanus A.M.G.Azevedo ex M.J.Silva & A.M.G.Azevedo"
