"","modified","institutionCode","collectionCode","catalogNumber","scientificName","family","genus","specificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLongitude","decimalLatitude","occurrenceRemarks","occurrenceID","acceptedNameUsage","identificationQualifier","infraspecificEpithet","comments","bibliographicCitation"
"62",NA,NA,"Botany","U  0008305","Elizabetha speciosa Ducke","Fabaceae","Elizabetha","speciosa","Ducke","Cowan RS","1975-10-01T00:00:00.000+0000","ISOTYPE",NA,NA,"Ducke A",1932,10,2,"Brazil","Amazonas",NA,"Manaos.",NA,NA,NA,"http://data.biodiversitydata.nl/naturalis/specimen/U%20%200008305","Elizabetha speciosa Ducke",NA,NA,NA,NA
"63","2017-10-17T13:00:25.000+0000","JBRJ","RB","RB00539599","Elizabetha speciosa Ducke","Fabaceae","Elizabetha","speciosa","Ducke",NA,NA,"HOLOTYPE",NA,NA,"Ducke, A.",1932,10,2,"Brazil","Amazonas","Manaus","Estrada do Aleixo, Km 12, mata da terra firme perto de um riachinho negro.",NA,NA,"Árv. peq. até média, botões vegetativos vermelhos, folhas novas róseas, flores rubras  (cor de sangue), fr. rubro. Estrada do Aleixo, Km 12","urn:catalog:JBRJ:RB:539599","Elizabetha speciosa Ducke",NA,NA,NA,NA
"64",NA,"MN","R-TIPOS","28777B","Elizabetha speciosa Ducke","Fabaceae","Elizabetha","speciosa","Ducke","Cowan, R.S.","1975-10-01T00:00:00.000+0000","ISOTYPE","HJBR 23730",NA,"Ducke, W.A.",1932,10,2,"Brazil","Amazonas","Manaus",NA,NA,NA,NA,"BRA:MN:R-TIPOS:000028777B","Elizabetha speciosa Ducke",NA,NA,NA,NA
"65",NA,"Instituto de Botânica, IBT","SP","429597","Elizabetha speciosa Ducke","Fabaceae","Elizabetha","speciosa","Ducke","Cowan, RS","1975-10-01T00:00:00.000+0000","ISOTYPE","s.n.",NA,"Ducke, A",1932,10,2,"Brazil","Amazonas","Manaus","Estrada do Aleixo, km 12. Mata perto d'um riachinho negro",0,0,"Árvore pequena até mediana, flores rubras","BRA:IBt:SP:0000429597","Elizabetha speciosa Ducke",NA,NA,NA,NA
"66","2014-09-26T00:00:00.000+0000","Instituto Nacional de Pesquisas da Amazônia (INPA)","Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)","234503","Elizabetha speciosa Ducke","Fabaceae","Elizabetha","speciosa","Ducke","Cowan, R.S.","1975-10-01T00:00:00.000+0000",NA,"s.n.",NA,"Mike Hopkins",1932,10,2,"Brazil","Amazonas",NA,"Estrada do Aleixo, km 12. Mata perto de um riachinho negro.",NA,NA,NA,"urn:catalog:inpa:herbarium:217015","Elizabetha speciosa Ducke",NA,NA,NA,NA
"67","2017-10-17T13:05:42.000+0000","JBRJ","RB","RB00585843","Elizabetha speciosa Ducke","Fabaceae","Elizabetha","speciosa","Ducke",NA,NA,"HOLOTYPE",NA,NA,"Ducke, A.",1932,10,2,"Brazil","Amazonas","Manaus","Estrada do Aleixo, Km 12, mata da terra firme perto de um riachinho negro.",NA,NA,"Árv. peq. até média, botões vegetativos vermelhos, folhas novas róseas, flores rubras  (cor de sangue), fr. rubro. Estrada do Aleixo, Km 12","urn:catalog:JBRJ:RB:585843","Elizabetha speciosa Ducke",NA,NA,NA,NA
"68",NA,"F","Botany","V0057798F","Elizabetha speciosa Ducke","Fabaceae","Elizabetha","speciosa","Ducke",NA,NA,"ISOTYPE","169",NA,"A. Ducke",1932,10,2,"Brazil",NA,NA,NA,-52.8731,-10.8339,NA,"711e6e7f-fdcb-43b1-b488-9d6c5263b37d","Elizabetha speciosa Ducke",NA,NA,NA,NA
"69","2017-10-17T13:06:23.000+0000","JBRJ","RB","RB00585841","Elizabetha speciosa Ducke","Fabaceae","Elizabetha","speciosa","Ducke",NA,NA,"HOLOTYPE",NA,NA,"Ducke, A.",1932,10,2,"Brazil","Amazonas","Manaus","Estrada do Aleixo, Km 12, mata da terra firme perto de um riachinho negro.",NA,NA,"Árv. peq. até média, botões vegetativos vermelhos, folhas novas róseas, flores rubras  (cor de sangue), fr. rubro. Estrada do Aleixo, Km 12","urn:catalog:JBRJ:RB:585841","Elizabetha speciosa Ducke",NA,NA,NA,NA
"70",NA,"NY","NY","4375","Elizabetha speciosa Ducke","Fabaceae","Elizabetha","speciosa","Ducke",NA,NA,"ISOTYPE","RB23730",NA,"W. A. Ducke",1932,10,2,"Brazil","Amazonas",NA,"Manaos [Manaus], Estrada do Aleixo",-59.955906,-3.075656,NA,"5b9569d2-bd4a-4a6f-a6b2-8b5c335cf041","Elizabetha speciosa Ducke",NA,NA,NA,NA
"71",NA,"NY","NY","803813","Elizabetha speciosa Ducke","Fabaceae","Elizabetha","speciosa","Ducke","K. M. Redden","2004-01-01T00:00:00.000+0000","ISOTYPE","Herb. RB No. 23730",NA,"W. A. Ducke",1932,10,2,"Brazil","Amazonas",NA,"Manaos.",-59.995308,-3.067324,NA,"68533044-d6be-4c53-8b7b-55d22fa5d9bb","Elizabetha speciosa Ducke",NA,NA,NA,NA
