"","modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLongitude","decimalLatitude","occurrenceRemarks","occurrenceID","bibliographicCitation","acceptedNameUsage","infraspecificEpithet","fieldNumber","comments"
"1",NA,"UEFS","HUEFS","211031","Swartzia micrantha R.S.Cowan",NA,"Fabaceae","Swartzia","micrantha","R.S.Cowan",NA,NA,NA,"1810","Neves, D.M.",2014,3,18,"Brazil","Espírito Santo","Linhares","Reserva Natural Vale.",-39.959167,-19.1875,NA,"BRA:UEFS:HUEFS:0000211031",NA,"Swartzia micrantha R.S.Cowan",NA,NA,NA
"2","2016-09-13T14:45:43.000+0000","JBRJ","RB","RB00846633","Swartzia micrantha R.S.Cowan",NA,"Fabaceae","Swartzia","micrantha","R.S.Cowan","Lima, H.C.; Queiroz, L.P.; Lewis, G.P.","2014-03-18T00:00:00.000+0000",NA,"1811","Neves, D.M.; Lima, H.C.; Queiroz, L.P.; Pennington, R.T.; Lewis, G.P.; Siqueira, G.; Pezzini, F.",2014,3,18,"Brazil","Espírito Santo","Linhares","Reserva Natural Vale  .",-39.959167,-19.1875,"Arvore 18m, botoes amarelo-amarronzados, flores com petalas beges","urn:catalog:JBRJ:RB:846633",NA,"Swartzia micrantha R.S.Cowan",NA,NA,NA
"3","2017-10-04T12:04:52.000+0000","JBRJ","RB","RB00846638","Swartzia micrantha R.S.Cowan",NA,"Fabaceae","Swartzia","micrantha","R.S.Cowan","Lima, H.C.; Queiroz, L.P.; Lewis, G.P.","2014-03-18T00:00:00.000+0000",NA,"1810","Neves, D.M.; Lima, H.C.; Queiroz, L.P.; Pennington, R.T.; Lewis, G.P.; Siqueira, G.; Pezzini, F.",2014,3,18,"Brazil","Espírito Santo","Linhares","Reserva Natural Vale.",-39.959167,-19.1875,"Arvore 20m","urn:catalog:JBRJ:RB:846638",NA,"Swartzia micrantha R.S.Cowan",NA,NA,NA
"4",NA,"Reserva Natural Vale (CVRD)","CVRD","14497","Swartzia micrantha R.S.Cowan",NA,"Fabaceae","Swartzia","micrantha","R.S.Cowan","Geovane S. Siqueira","2014-03-21T00:00:00.000+0000",NA,"890","Siqueira, G.S.",2013,9,16,"Brazil","Es","JAGUARÉ",NA,-40.143167,-18.905972,"<ll>dwc_commonname:</ll> Laranjinha amarela","BRA:CVRD:CVRD:0000014497",NA,"Swartzia micrantha R.S.Cowan",NA,NA,NA
"5",NA,"UEFS","HUEFS","208915","Swartzia micrantha R.S.Cowan",NA,"Fabaceae","Swartzia","micrantha","R.S.Cowan",NA,NA,NA,"890","Siqueira, G.S.",2013,9,16,"Brazil","Espírito Santo","Jaguaré",NA,-40.143056,-18.906111,"Capoeirão.","BRA:UEFS:HUEFS:0000208915",NA,"Swartzia micrantha R.S.Cowan",NA,NA,NA
"6",NA,"Reserva Natural Vale (CVRD)","CVRD","14208","Swartzia micrantha R.S.Cowan",NA,"Fabaceae","Swartzia","micrantha","R.S.Cowan","Domingos A. Folli","2014-03-17T00:00:00.000+0000",NA,"6925","Folli, D.A.",2012,10,16,"Brazil","Es","LINHARES",NA,NA,NA,"<ll>dwc_commonname:</ll> Laranjinha amarela","BRA:CVRD:CVRD:0000014208",NA,"Swartzia micrantha R.S.Cowan",NA,NA,NA
"7",NA,"Escola Superior de Agricultura Luiz de Queiroz, ESALQ","ESA","ESA115224","Swartzia micrantha R.S.Cowan",NA,"Fabaceae","Swartzia","micrantha","R.S.Cowan","Pinto, R.B.",NA,NA,"287","Lopes, J.C.",2011,4,20,"Brazil","Espírito Santo","Linhares",NA,NA,NA,NA,"BRA:ESALQ:ESA:0ESA115224",NA,"Swartzia micrantha R.S.Cowan",NA,NA,NA
"8",NA,"Escola Superior de Agricultura Luiz de Queiroz, ESALQ","ESA","ESA115225","Swartzia micrantha R.S.Cowan",NA,"Fabaceae","Swartzia","micrantha","R.S.Cowan","Pinto, R.B.",NA,NA,"288","Lopes, J.C.",2011,4,20,"Brazil","Espírito Santo","Linhares",NA,NA,NA,NA,"BRA:ESALQ:ESA:0ESA115225",NA,"Swartzia micrantha R.S.Cowan",NA,NA,NA
"9",NA,"UEFS","HUEFS","193900","Swartzia micrantha R.S.Cowan",NA,"Fabaceae","Swartzia","micrantha","R.S.Cowan",NA,NA,NA,"287","Lopes, J.C.",2011,4,20,"Brazil","Espírito Santo","Linhares","Reserva Natural da Vale. Estrada Jueirana Vermelho Km 2,4, antes da casa da guarda. Mussununga.",-40,-19,NA,"BRA:UEFS:HUEFS:0000193900",NA,"Swartzia micrantha R.S.Cowan",NA,NA,NA
"10",NA,"UNICAMP","UEC","175562","Swartzia micrantha R.S.Cowan",NA,"Fabaceae","Swartzia","micrantha","R.S.Cowan","Pinto, R.B.","2011-05-12T00:00:00.000+0000",NA,"287","Lopes, J.C.; Martins, E.R.; et al.",2011,4,20,"Brazil","Espírito Santo","Linhares","Reserva Natural da Vale./&nf;Mussununga. 19,08222s 39,88689w.&nf;Alt.: 11m",0,0,"Árvore, ca. 4m alt. Corola alva, gineceu verde, estames menores com anteras amarelas, filetes menores brancos, estames maiores com anteras creme. Botões florais castanho- dourados.; Caulifloria.","BRA:UNICAMP:UEC:0000175562",NA,"Swartzia micrantha R.S.Cowan",NA,NA,NA
