"","modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","occurrenceRemarks","occurrenceID","bibliographicCitation","acceptedNameUsage","infraspecificEpithet","decimalLongitude","decimalLatitude","comments"
"1","2013-06-21T00:00:00.000+0000","K","Herbarium","K000921616","Muellera longiunguiculata (MJ.Silva & Amg.Azevedo) MJ.Silva & Amg.Azevedo",NA,"Fabaceae","Muellera","longiunguiculata","(MJ.Silva & Amg.Azevedo) MJ.Silva & Amg.Azevedo","Shimizu, G.H.",NA,NA,"2452",NA,"Pereira, B.A.S.",1993,3,9,"Brazil",NA,NA,"Januária. km 38 da estrada Pandeiros/Januária.",NA,"http://specimens.kew.org/herbarium/K000921616",NA,"Muellera longiunguiculata (MJ.Silva & Amg.Azevedo) MJ.Silva & Amg.Azevedo",NA,NA,NA,NA
"2","2014-07-22T09:19:22.000+0000","JBRJ","RB","RB00178756","Muellera longiunguiculata (MJ.Silva & Amg.Azevedo) MJ.Silva & Amg.Azevedo",NA,"Fabaceae","Muellera","longiunguiculata","(MJ.Silva & Amg.Azevedo) MJ.Silva & Amg.Azevedo","Marcos José da Silva","2010-09-16T00:00:00.000+0000",NA,"357",NA,"T.S. dos Santos",1969,1,30,"Brazil","Bahia","Itaju do Colônia","Km 8 da estrada Itajú/Pau Brasil, 4 Km do Ramal à direita.","Árvore, 12m x 8cm. Flor roxa, estigma branco, antera amarelada, cálice roxo.","urn:catalog:JBRJ:RB:178756",NA,"Muellera longiunguiculata (MJ.Silva & Amg.Azevedo) MJ.Silva & Amg.Azevedo",NA,NA,NA,NA
"3","2014-07-08T04:36:08.000+0000","JBRJ","RB","RB00167793","Muellera longiunguiculata (MJ.Silva & Amg.Azevedo) MJ.Silva & Amg.Azevedo","cf.","Fabaceae","Muellera","longiunguiculata","(MJ.Silva & Amg.Azevedo) MJ.Silva & Amg.Azevedo","Marcos José da Silva","2010-07-22T00:00:00.000+0000",NA,"15268",NA,"Mendes Magalhaes",1959,4,8,"Brazil","Minas Gerais","Araçuaí","Baixa Quente.","Árvores com 4-6 metros de altura muito esparsas na área. Frutos","urn:catalog:JBRJ:RB:167793",NA,"Muellera longiunguiculata (MJ.Silva & Amg.Azevedo) MJ.Silva & Amg.Azevedo",NA,NA,NA,NA
"4","2012-07-30T09:05:00.000+0000","MO","MO","100503301","Muellera longiunguiculata (MJ.Silva & Amg.Azevedo) MJ.Silva & Amg.Azevedo",NA,"Fabaceae","Muellera","longiunguiculata","(MJ.Silva & Amg.Azevedo) MJ.Silva & Amg.Azevedo",NA,NA,"HOLOTYPE","Glaziou 14658",NA,"Auguste F.M. Glaziou",1883,2,8,"Brazil","Minas Gerais",NA,"Ouro Branco, Serra do Ouro Branco",NA,"urn:catalog:MO:Tropicos:100503301","http://www.tropicos.org/Specimen/100503301","Muellera longiunguiculata (MJ.Silva & Amg.Azevedo) MJ.Silva & Amg.Azevedo",NA,NA,NA,NA
"5","2014-03-07T16:13:00.000+0000","MNHN","P","P02089010","Muellera longiunguiculata (MJ.Silva & Amg.Azevedo) MJ.Silva & Amg.Azevedo",NA,"Fabaceae","Muellera","longiunguiculata","(MJ.Silva & Amg.Azevedo) MJ.Silva & Amg.Azevedo","Silva",NA,NA,NA,14658,"s.c.",1883,2,4,"Brazil",NA,NA,NA,NA,"http://coldb.mnhn.fr/catalognumber/mnhn/p/p02089010",NA,"Muellera longiunguiculata (MJ.Silva & Amg.Azevedo) MJ.Silva & Amg.Azevedo",NA,NA,NA,NA
"7",NA,"Comissão Executiva do Plano da Lavoura Cacaueira (CEPLAC)","CEPEC","6567","Muellera longiunguiculata (MJ.Silva & Amg.Azevedo) MJ.Silva & Amg.Azevedo",NA,"Fabaceae","Muellera","longiunguiculata","(MJ.Silva & Amg.Azevedo) MJ.Silva & Amg.Azevedo","M. J. da Silva",NA,NA,"1139",NA,"R. S. Pinheiro",NA,NA,NA,"Brazil","Bahia","ALMADINA","Rodovia para Ibitupã.","Ambiente: Plantação de cacau. Habito: Árvorre, 5m. X 10cm.","BRA:CEPLAC:CEPEC:0000006567",NA,"Muellera longiunguiculata (MJ.Silva & Amg.Azevedo) MJ.Silva & Amg.Azevedo",NA,NA,NA,NA
"8","2015-09-04T02:43:07.000+0000","MNHN","P","P03088128","Muellera longiunguiculata (MJ.Silva & Amg.Azevedo) MJ.Silva & Amg.Azevedo",NA,"Fabaceae","Muellera","longiunguiculata","(MJ.Silva & Amg.Azevedo) MJ.Silva & Amg.Azevedo","Shimizu",NA,NA,NA,12597,"Glaziou, A.",NA,NA,NA,"Brazil","Minas Gerais",NA,NA,". . Herbier de A. Glaziou. Donné par Mme Simart, sa fille, en 1907","http://coldb.mnhn.fr/catalognumber/mnhn/p/p03088128",NA,"Muellera longiunguiculata (MJ.Silva & Amg.Azevedo) MJ.Silva & Amg.Azevedo",NA,NA,NA,NA
"9",NA,"Comissão Executiva do Plano da Lavoura Cacaueira (CEPLAC)","CEPEC","5076","Muellera longiunguiculata (MJ.Silva & Amg.Azevedo) MJ.Silva & Amg.Azevedo",NA,"Fabaceae","Muellera","longiunguiculata","(MJ.Silva & Amg.Azevedo) MJ.Silva & Amg.Azevedo","M. J. da Silva",NA,NA,"357",NA,"T. S. dos Santos",NA,NA,NA,"Brazil","Bahia","ITAJÚ DO COLÔNIA","Kim 8 da estrada Itajú do Colônia/Pau Brasil, 4Km do ramal à direita.","Ambiente: Mata. Habito: Árvore, 12m X 8cm.","BRA:CEPLAC:CEPEC:0000005076",NA,"Muellera longiunguiculata (MJ.Silva & Amg.Azevedo) MJ.Silva & Amg.Azevedo",NA,NA,NA,NA
