"","modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLongitude","decimalLatitude","occurrenceRemarks","occurrenceID","comments","bibliographicCitation","acceptedNameUsage"
"1","","","EFC","16365","Dahlstedtia floribunda (Vogel) M.J.Silva & A.M.G.Azevedo","","Fabaceae","Dahlstedtia","floribunda","","(Vogel) M.J.Silva & A.M.G.Azevedo","Miller, D.Z.","2017-04-20","","","","Miller, D.Z.","2017","4","20","brazil","Paraná","Curitiba","Capão do CIFLOMA","-49.2403","-25.4481","Árvore 10 m, em Floresta Ombrófila Mista Montana","","original coordinates","GBIF","Dahlstedtia floribunda (Vogel) M.J.Silva & A.M.G.Azevedo"
"2","","","RB","RB01189990","Dahlstedtia floribunda (Vogel) M.J.Silva & A.M.G.Azevedo","","Fabaceae","Dahlstedtia","floribunda","","(Vogel) M.J.Silva & A.M.G.Azevedo","Neves, D.M.","2016-03-16","","2084","","Neves, D.M.; Bittencourt, P.","2016","3","16","brazil","Minas Gerais","Itueta","Estrada para Quatituba.","-41.261667","-19.424722","Arvore 10m, foliolos membranaceos, frutos imaturos verdes e maduros castanhos.","","original coordinates","GBIF","Dahlstedtia floribunda (Vogel) M.J.Silva & A.M.G.Azevedo"
"3","","","SP","497378","Dahlstedtia floribunda (Vogel) M.J.Silva & A.M.G.Azevedo","","Fabaceae","Dahlstedtia","floribunda","","(Vogel) M.J.Silva & A.M.G.Azevedo","Brotto, ML","2016-01-01","","8761","","Silva, JM","2015","2","25","brazil","Paraná","Cerro Azul","Ribeirão da Rocha","-49.131131","-24.715289","","","original coordinates","GBIF","Dahlstedtia floribunda (Vogel) M.J.Silva & A.M.G.Azevedo"
"4","","","MBM","402101","Dahlstedtia floribunda (Vogel) M.J.Silva & A.M.G.Azevedo","","Fabaceae","Dahlstedtia","floribunda","","(Vogel) M.J.Silva & A.M.G.Azevedo","Barboza, E","2016-01-01","","8845","","Silva, JM; Martins, L","2015","4","1","brazil","Paraná","Curitiba","Jardim Botânico Municipal","-49.404722","-25.739167","Árvore de 5m. Frutos imaturos. Cultivada.","","original coordinates","GBIF","Dahlstedtia floribunda (Vogel) M.J.Silva & A.M.G.Azevedo"
"5","","","CVRD","14890","Dahlstedtia floribunda (Vogel) M.J.Silva & A.M.G.Azevedo","","Fabaceae","Dahlstedtia","floribunda","","(Vogel) M.J.Silva & A.M.G.Azevedo","Geovane S. Siqueira","2015-03-04","","7192","","Folli, D.A.","2014","4","14","brazil","Mg","ITUETA","","-41.261667","-19.424722","Mata ciliar <ll>dwc_commonname:</ll> Óleo grande","","original coordinates","GBIF","Dahlstedtia floribunda (Vogel) M.J.Silva & A.M.G.Azevedo"
"6","","","MBM","399701","Dahlstedtia floribunda (Vogel) M.J.Silva & A.M.G.Azevedo","","Fabaceae","Dahlstedtia","floribunda","","(Vogel) M.J.Silva & A.M.G.Azevedo","Cordeiro, J","2015-01-01","","5836","","Caxambu, MG","2014","12","4","brazil","Paraná","Fênix","RPPN Muricy, Propriedade de José Candido da Silva Muricy Neto","-52.012667","-23.865","Arvoreta ca. 5m, heliófita. Flores róseas.; Solo: Latossolo vermelho. Relevo: suave-ondulado. Vegetação: Floresta Estacional Semidecidual Submontana.","","original coordinates","GBIF","Dahlstedtia floribunda (Vogel) M.J.Silva & A.M.G.Azevedo"
"7","","","HCF","15971","Dahlstedtia floribunda (Vogel) M.J.Silva & A.M.G.Azevedo","","Fabaceae","Dahlstedtia","floribunda","","(Vogel) M.J.Silva & A.M.G.Azevedo","J. Cordeiro","2015-01-01","","5836","","M.G. Caxambu","2014","12","4","brazil","Pr","Fênix","RPPN Muricy - Propriedade de José","-52.012667","-23.865","arvoreta ca. 5 m, heliófita. Flores róseas.","","original coordinates","GBIF","Dahlstedtia floribunda (Vogel) M.J.Silva & A.M.G.Azevedo"
"8","","","CVRD","14373","Dahlstedtia floribunda (Vogel) M.J.Silva & A.M.G.Azevedo","","Fabaceae","Dahlstedtia","floribunda","","(Vogel) M.J.Silva & A.M.G.Azevedo","Geovane S. Siqueira","2015-03-04","","7021","","Folli, D.A.","2013","2","26","brazil","Es","ITAGUAÇÚ","","-40.864669","-19.727743","<ll>dwc_commonname:</ll> Óleo grande","","centroide mpo","GBIF","Dahlstedtia floribunda (Vogel) M.J.Silva & A.M.G.Azevedo"
"9","","","SPSF","50868","Dahlstedtia floribunda (Vogel) M.J.Silva & A.M.G.Azevedo","","Fabaceae","Dahlstedtia","floribunda","","(Vogel) M.J.Silva & A.M.G.Azevedo","","","","5424","","M.J.Silva et al.","2013","10","10","brazil","Go","Alto Paraíso de Goiás","Chapada dos Veadeiros","-47.487778","-14.213889","COLETA: Sub arbusto ereto, 35 cm, caule castanho avermelhado, inflorescência e frutos viscosos, flores com cálice vináceo, pétalas amarelo-escuro; GEOGRAFIA: Km 155 GO 118&nf;Cerrado s.str. de encosta, solo argiloso próximo a fendas das rochas;","","original coordinates","GBIF","Dahlstedtia floribunda (Vogel) M.J.Silva & A.M.G.Azevedo"
"10","","","UEC","200627","Dahlstedtia floribunda (Vogel) M.J.Silva & A.M.G.Azevedo","","Fabaceae","Dahlstedtia","floribunda","","(Vogel) M.J.Silva & A.M.G.Azevedo","Reis, T.R.","2012-03-01","","76","","Reis, T.R.; Silva, E.D.; Galvão, J.C.; Palmeira, J.; Escobar, N.A.G.","2012","1","13","brazil","São Paulo","Cabreúva","Estrada para a torre","-47.032778","-23.323056","Árvore, 10m Frutos verdes.","","original coordinates","GBIF","Dahlstedtia floribunda (Vogel) M.J.Silva & A.M.G.Azevedo"
