"","modified","institutionCode","collectionCode","catalogNumber","scientificName","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLongitude","decimalLatitude","occurrenceRemarks","occurrenceID","acceptedNameUsage","identificationQualifier","fieldNumber","comments","bibliographicCitation"
"1","2016-09-13T14:45:28.000+0000","JBRJ","RB","RB00852236","Dimorphandra jorgei M.F.Silva","Fabaceae","Dimorphandra","jorgei",NA,"M.F.Silva","Lima, H.C.; Queiroz, L.P.; Lewis, G.P.","2014-03-13T00:00:00.000+0000",NA,"1740","Neves, D.M.; Lima, H.C.; Queiroz, L.P.; Pennington, R.T.; Lewis, G.P.; Vivas, C.V.; Paixao, J.L.",2014,3,13,"Brazil","Bahia","Porto Seguro","Estação Pau-Brasil, CEPLAC.",-39.181389,-16.386389,"Árvore 30m, legumes coletados do chão. Carp. nº 7745","urn:catalog:JBRJ:RB:852236","Dimorphandra jorgei M.F.Silva",NA,NA,NA,NA
"3",NA,"UESC","UESC","16374","Dimorphandra jorgei M.F.Silva","Fabaceae","Dimorphandra","jorgei",NA,"M.F.Silva",NA,NA,NA,"4","Magalhães, J.C.,",2014,11,13,"Brazil","Bahia","Ilhéus",NA,NA,NA,"Floresta Mara Higrófila; Árvore, ca. De 21m de altura, Folhas esverdeadas em ambas as faces.","BRA:UESC:UESC:0000016374","Dimorphandra jorgei M.F.Silva",NA,NA,NA,NA
"4",NA,"UEFS","HUEFS","208468","Dimorphandra jorgei M.F.Silva","Fabaceae","Dimorphandra","jorgei",NA,"M.F.Silva",NA,NA,NA,"1011","Nascimento, F.H.F.",2012,7,30,"Brazil","Bahia","Ituberá","Reserva Michelin- Mata da Vila V.",-39.203889,-13.807778,"Floresta Ombrófila Densa.","BRA:UEFS:HUEFS:0000208468","Dimorphandra jorgei M.F.Silva",NA,NA,NA,NA
"5",NA,"UEFS","HUEFS","208469","Dimorphandra jorgei M.F.Silva","Fabaceae","Dimorphandra","jorgei",NA,"M.F.Silva",NA,NA,NA,"1012","Nascimento, F.H.F.",2012,7,30,"Brazil","Bahia","Ituberá","Reserva Michelin- Mata da Vila V.",-39.203889,-13.807778,"Floresta Ombrófila Densa.","BRA:UEFS:HUEFS:0000208469","Dimorphandra jorgei M.F.Silva",NA,NA,NA,NA
"6",NA,"MBML","MBML-HERBARIO","44454","Dimorphandra jorgei M.F.Silva","Fabaceae","Dimorphandra","jorgei",NA,"M.F.Silva","G.M. Carvalho/Março-2010",NA,NA,"327","G.M. Carvalho; L.C. Gomes & L. Daneu",2010,3,17,"Brazil","Bahia","Porto Seguro","RPPN Estação Veracel. Floresta de Tabuleiros. Floresta Alta",-39.25,-16.5,"Árvore ca 15m alt., folhas discolores. Frutos imaturos verdes. Borda de floresta alta, platô","BRA:MBML:MBML-HERBARIO:0000044454","Dimorphandra jorgei M.F.Silva",NA,NA,NA,NA
"10",NA,"Comissão Executiva do Plano da Lavoura Cacaueira (CEPLAC)","CEPEC","135775","Dimorphandra jorgei M.F.Silva","Fabaceae","Dimorphandra","jorgei",NA,"M.F.Silva",NA,NA,NA,NA,"Carvalho, G. M.",2010,5,NA,"Brazil","Bahia","Porto Seguro","RPPN Estação Veracel",-39.133333,-16.333333,"Floresta Ombrófila Densa","BRA:CEPLAC:CEPEC:0000135775","Dimorphandra jorgei M.F.Silva",NA,NA,NA,NA
"11",NA,"UEFS","HUEFS","144312","Dimorphandra jorgei subsp. da Silva","Fabaceae","Dimorphandra","jorgei","da","subsp. da Silva",NA,NA,NA,"6902","Lima, H.C.de",2008,7,22,"Brazil","Bahia","Mucuri","BA-698, rodovia para Mucurí, Km 27.",-39.624722,-18.047222,NA,"BRA:UEFS:HUEFS:0000144312","Dimorphandra jorgei subsp. da Silva",NA,NA,NA,NA
"13",NA,"Comissão Executiva do Plano da Lavoura Cacaueira (CEPLAC)","CEPEC","126198","Dimorphandra jorgei M.F.Silva","Fabaceae","Dimorphandra","jorgei",NA,"M.F.Silva",NA,NA,NA,"5418","Jardim, J. G.",2008,10,16,"Brazil","Bahia","Ilhéus","Ceplac, Rod. Ilhéus/Itabuna km 22. Centro de Pesquisa de cacau. Arboreto.",NA,NA,NA,"BRA:CEPLAC:CEPEC:0000126198","Dimorphandra jorgei M.F.Silva",NA,NA,NA,NA
"15",NA,"Instituto Plantarum de Estudos da Flora Ltda (HPL)","HPL","13653","Dimorphandra jorgei M.F.Silva","Fabaceae","Dimorphandra","jorgei",NA,"M.F.Silva",NA,NA,NA,"5418","J.G. Jardim; L.C. Gomes; G. Carvalho",2008,10,16,"Brazil","Ba","Ilhéus","Ceplac, Rod. Ilhéus/Itabuna km 22. Centro de pesquisa de cacau. CEPLAC-126198",NA,NA,NA,"BRA:JBP:HPL:0000013653","Dimorphandra jorgei M.F.Silva",NA,NA,NA,NA
"16",NA,"Universidade Federal de Sergipe, UFS","ASE","20563","Dimorphandra jorgei M.F.Silva","Fabaceae","Dimorphandra","jorgei",NA,"M.F.Silva","Gibau, A","2018-08-01T00:00:00.000+0000",NA,"125","Matos, IS; Santos, E",2008,12,15,"Brazil","Sergipe","Itaporanga d'Ajuda","Fazenda Trapsa, Borda da Mata.",-37.1147,-11.115,"Árvore com cerca de 5 metros. Frutos maduros pretos. Flores amarronzadas.; Árvore com cerca de 5 metros. Frutos maduros pretos. Flores amarronzadas.","BRA:UFS:ASE:0000020563","Dimorphandra jorgei M.F.Silva",NA,NA,NA,NA
