"","modified","institutionCode","collectionCode","catalogNumber","scientificName","family","genus","specificEpithet","scientificNameAuthorship","identifiedBy","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLongitude","decimalLatitude","occurrenceRemarks","occurrenceID","acceptedNameUsage"
"1",NA,"G","Geneva Herbarium – General Collection (G)","G-G-276601/1","Macrolobium palustre Ducke","Fabaceae","Macrolobium","palustre","Ducke","Ducke, A. (1938)","ISOTYPE",NA,NA,"Ducke, A. (Coll. Delessert)",1935,9,19,"Brazil",NA,NA,"Amazonas - Rio Negro (civ. Amazonas), Igarapé Macacuny ad ripas inundatas",-65.08583,-4.14444,NA,NA,"Macrolobium palustre Ducke"
"2","2015-06-01T12:21:30.000+0000","S","VascularPlants","S-R-8721","Macrolobium palustre Ducke","Fabaceae","Macrolobium","palustre","Ducke",NA,NA,35193,35193,"A. Ducke",1935,9,19,"Brazil","Amazonas",NA,"[Brazil] Cucuhy, Rio Negro, civ. Amazonas, Igarapé Macacuny",NA,NA,NA,"S:VascularPlants:S-R-8721","Macrolobium palustre Ducke"
"3","2017-10-19T13:48:52.000+0000","JBRJ","RB","RB00539657","Macrolobium palustre Ducke","Fabaceae","Macrolobium","palustre","Ducke",NA,"HOLOTYPE",NA,NA,"Ducke, A.",1935,9,19,"Brazil","Amazonas","Amazonas","Cuenhy, igarapé Macacuny, margem inundada.",NA,NA,"Árvore pequena, pétalas brancas, esames purpúreos. Cucuhy (Rio Negro), Igarape Macacury","urn:catalog:JBRJ:RB:539657","Macrolobium palustre Ducke"
