"","modified","institutionCode","collectionCode","catalogNumber","scientificName","family","genus","specificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLongitude","decimalLatitude","occurrenceRemarks","occurrenceID","bibliographicCitation","acceptedNameUsage","identificationQualifier","infraspecificEpithet","typeStatus","comments"
"1",NA,"Universidade Federal de Juiz de Fora (UFJF)","CESJ","65390","Dalbergia hortensis Heringer, Rizzini & A.Mattos","Fabaceae","Dalbergia","hortensis","Heringer, Rizzini & A.Mattos","B.E. Conde","2014-07-06T00:00:00.000+0000","402",NA,"B.E. Conde",2013,6,26,"Brazil","Minas Gerais","Santos Dumont","São Bento, Coletada em Floresta de fronte a casa do Sr. Alberto do Nascimento à 800 m da casa do Sr. Alberto e na trilha de acesso ao capoeirão.",0,0,"Arbórea (aprox 12m), flores brancas e madeira de aroma de amendoim. Utilizada localmente para a produção de colheres para angú.","BRA:UFJF:CESJ:0000065390",NA,"Dalbergia hortensis Heringer, Rizzini & A.Mattos",NA,NA,NA,NA
"2",NA,"Universidade Federal de Juiz de Fora (UFJF)","CESJ","65415","Dalbergia hortensis Heringer, Rizzini & A.Mattos","Fabaceae","Dalbergia","hortensis","Heringer, Rizzini & A.Mattos","B.E. Conde","2014-07-06T00:00:00.000+0000","427",NA,"B.E. Conde",2013,7,3,"Brazil","Minas Gerais","Santos Dumont","São Sebastião da Boa Vista, Coletada em meio a mata que beira a nascente da cachoeira.",0,0,"Arbórea (aprox 10m), flores brancas e madeira de aroma de amendoim. Utilizada localmente para a produção de colheres para angú e para demais usos ritualísticos, como banhos de descarrego e proteção espiritual..","BRA:UFJF:CESJ:0000065415",NA,"Dalbergia hortensis Heringer, Rizzini & A.Mattos",NA,NA,NA,NA
"3","2014-07-07T18:39:25.000+0000","JBRJ","RB","RB00554841","Dalbergia hortensis Heringer, Rizzini & A.Mattos","Fabaceae","Dalbergia","hortensis","Heringer, Rizzini & A.Mattos",NA,NA,"2217",NA,"Cardoso, D.; E. Mitch",2007,11,1,"Brazil","Rio de Janeiro","Rio de Janeiro","Arboreto do Jardim Botânico.",NA,NA,"Árvore ca. 8 m alt. Folíolos cartáceos. Estéril. DNA.","urn:catalog:JBRJ:RB:554841",NA,"Dalbergia hortensis Heringer, Rizzini & A.Mattos",NA,NA,NA,NA
"5",NA,"NY","NY","00983910","Dalbergia hortensis Heringer, Rizzini & A.Mattos","Fabaceae","Dalbergia","hortensis","Heringer, Rizzini & A.Mattos","A. M. V. de Carvalho","1999-01-01T00:00:00.000+0000","2032",NA,"T. B. Cavalcanti",1996,7,12,"Brazil","GoiÃ¡s",NA,"Fazenda Santo Antonio do Fundao; as margens do Rio Santo Antonio. Bacia de inundaÃ§Ã£o",-48.5,-17.87,NA,"6842f4c2-ca99-4c21-995d-f4078ce4c4c1",NA,"Dalbergia hortensis Heringer, Rizzini & A.Mattos",NA,NA,NA,NA
"6",NA,"Cenargen","CEN","26879","Dalbergia hortensis Heringer, Rizzini & A.Mattos","Fabaceae","Dalbergia","hortensis","Heringer, Rizzini & A.Mattos","A. M. de Carvalho","1999-01-01T00:00:00.000+0000","2032",NA,"Taciana Barbosa Cavalcanti",1996,7,12,"Brazil","Go","IPAMERI","Fazenda Santo Antônio do Fundão; As margens do Rio Santo Antônio. Bacia de inundação.",-48.5,-17.86667,"(Det. in dupl. NY)","BRA:Cenargen:CEN:0000026879",NA,"Dalbergia hortensis Heringer, Rizzini & A.Mattos",NA,NA,NA,NA
"7",NA,"UEFS","HUEFS","48017","Dalbergia hortensis Heringer, Rizzini & A.Mattos","Fabaceae","Dalbergia","hortensis","Heringer, Rizzini & A.Mattos","H.C.Lima","2008-07-01T00:00:00.000+0000","2032",NA,"Cavalcanti, T.B.",1996,7,12,"Brazil","Goiás","Ipameri","Fazenda Santo Antônio do Fundão; as margens do rio Santo antônio. Bacia de inundação",NA,NA,"Mata de Galeria","BRA:UEFS:HUEFS:0000048017",NA,"Dalbergia hortensis Heringer, Rizzini & A.Mattos",NA,NA,NA,NA
"8",NA,"Jardim Botânico de Brasília (JBB)","HEPH","6211","Dalbergia hortensis Heringer, Rizzini & A.Mattos","Fabaceae","Dalbergia","hortensis","Heringer, Rizzini & A.Mattos","Rizzini, CM","1980-01-01T00:00:00.000+0000","2758",NA,"Heringer, EP",1979,11,14,"Brazil","Distrito Federal","Brasília","FAL Fazenda Água Limpa",0,0,"plantado em quintal; Árvore; flores e botões florais alvos e perfumados,;","BRA:JBB:HEPH:0000006211",NA,"Dalbergia hortensis Heringer, Rizzini & A.Mattos",NA,NA,NA,NA
"10",NA,"Universidade Federal de Minas Gerais (UFMG)","BHCB","17295","Dalbergia hortensis Heringer, Rizzini & A.Mattos","Fabaceae","Dalbergia","hortensis","Heringer, Rizzini & A.Mattos",NA,NA,"s.n.",NA,"Heringer, EP; Filgueiras, TS",1979,11,14,"Brazil","Distrito Federal","Brasília","UNB - Fazenda Água Limpa",0,0,NA,"BRA:UFMG:BHCB:0000017295",NA,"Dalbergia hortensis Heringer, Rizzini & A.Mattos",NA,NA,NA,NA
"11",NA,"Instituto de Botânica, IBT","SP","219760","Dalbergia hortensis Heringer, Rizzini & A.Mattos","Fabaceae","Dalbergia","hortensis","Heringer, Rizzini & A.Mattos","Carvalho, AM","1997-01-01T00:00:00.000+0000","17134",NA,"Heringer, EP",1978,9,10,"Brazil","Distrito Federal","Brasília","Fazenda Água Limpa, UnB",0,0,NA,"BRA:IBt:SP:0000219760",NA,"Dalbergia hortensis Heringer, Rizzini & A.Mattos",NA,NA,NA,NA
"12",NA,"US","Botany","2937934","Dalbergia hortensis Heringer, Rizzini & A.Mattos","Fabaceae","Dalbergia","hortensis","Heringer, Rizzini & A.Mattos",NA,NA,"15390",NA,"E. P. Heringer",1976,2,28,"Brazil","Federal District",NA,"Brasilia, DF. UnB. Cultivada na Estacao Biologica do Instituto de Biologia, com 10 anos.",NA,NA,NA,"http://n2t.net/ark:/65665/36c652efb-29db-4977-af7d-4312b3988c0f",NA,"Dalbergia hortensis Heringer, Rizzini & A.Mattos",NA,NA,NA,NA
"13",NA,"Comissão Executiva do Plano da Lavoura Cacaueira (CEPLAC)","CEPEC","38537","Dalbergia hortensis Heringer, Rizzini & A.Mattos","Fabaceae","Dalbergia","hortensis","Heringer, Rizzini & A.Mattos","A. M. de Carvalho",NA,"11951",NA,"H. C. de Lima",1972,12,3,"Brazil","Minas Gerais","JUIZ DE FORA","Juiz de Fora/Linhares.",NA,NA,"Habito: Árvore sem medida","BRA:CEPLAC:CEPEC:0000038537",NA,"Dalbergia hortensis Heringer, Rizzini & A.Mattos",NA,NA,NA,NA
"14","2017-10-10T23:26:41.000+0000","JBRJ","RB","RB00173682","Dalbergia hortensis Heringer, Rizzini & A.Mattos","Fabaceae","Dalbergia","hortensis","Heringer, Rizzini & A.Mattos","A.M. DE CARVALHO",NA,"4",NA,"LINO  TATTO",1950,12,NA,"Brazil",NA,"Brasil","MUN DE PARACATÚ.",NA,NA,NA,"urn:catalog:JBRJ:RB:173682",NA,"Dalbergia hortensis Heringer, Rizzini & A.Mattos",NA,NA,NA,NA
"15",NA,"NY","NY","00983934","Dalbergia hortensis Heringer, Rizzini & A.Mattos","Fabaceae","Dalbergia","hortensis","Heringer, Rizzini & A.Mattos","A. M. V. de Carvalho","1993-11-01T00:00:00.000+0000","4",NA,"L. T. Costa",1950,12,NA,"Brazil","Minas Gerais",NA,NA,-46.8748063213152,-17.2259522392293,NA,"851d335e-b9e1-4b3c-8124-b66f592820a3",NA,"Dalbergia hortensis Heringer, Rizzini & A.Mattos",NA,NA,NA,NA
"16","2014-07-22T09:05:35.000+0000","JBRJ","RB","RB00173675","Dalbergia hortensis Heringer, Rizzini & A.Mattos","Fabaceae","Dalbergia","hortensis","Heringer, Rizzini & A.Mattos","AM. DE CARVALHO",NA,"1896",NA,"PE. KRIEGER",1949,2,3,"Brazil","Minas Gerais","Minas Gerais","JUIZ DE FORA.",NA,NA,"ÁRVORE GRANDE . CULTIVADA AEM PARQUE  FL .CREME","urn:catalog:JBRJ:RB:173675",NA,"Dalbergia hortensis Heringer, Rizzini & A.Mattos",NA,NA,NA,NA
"17",NA,"Comissão Executiva do Plano da Lavoura Cacaueira (CEPLAC)","CEPEC","38535","Dalbergia hortensis Heringer, Rizzini & A.Mattos","Fabaceae","Dalbergia","hortensis","Heringer, Rizzini & A.Mattos","A. M. de Carvalho",NA,"0",NA,"L. Krieger",1949,3,3,"Brazil","Minas Gerais","JUIZ DE FORA","Academia.",NA,NA,"Ambiente: Zona urbana. Habito: Árvore sem medida","BRA:CEPLAC:CEPEC:0000038535",NA,"Dalbergia hortensis Heringer, Rizzini & A.Mattos",NA,NA,NA,NA
"18",NA,"NY","NY","00983899","Dalbergia hortensis Heringer, Rizzini & A.Mattos","Fabaceae","Dalbergia","hortensis","Heringer, Rizzini & A.Mattos","A. M. V. de Carvalho","1989-06-01T00:00:00.000+0000","2397",NA,"E. P. Heringer",1946,7,26,"Brazil","Minas Gerais",NA,"Coronel Pacheco, Mata da Fazenda  Boa Ventura",-43.2657709556419,-21.5919380587105,NA,"05c43a4a-b0d9-4a9f-8e76-a6acadbe54ce",NA,"Dalbergia hortensis Heringer, Rizzini & A.Mattos",NA,NA,NA,NA
"22","2007-03-15T11:08:06.000+0000","K","Herbarium","K000207182","Dalbergia hortensis Heringer, Rizzini & A.Mattos","Fabaceae","Dalbergia","hortensis","Heringer, Rizzini & A.Mattos","Carvalho, A.M.",NA,"2397",NA,"Heringer, E.P.",1946,7,26,"Brazil",NA,NA,"Fazenda Boa Ventura",NA,NA,NA,"http://specimens.kew.org/herbarium/K000207182",NA,"Dalbergia hortensis Heringer, Rizzini & A.Mattos",NA,NA,NA,NA
"23","2013-04-12T00:00:00.000+0000","K","Herbarium","K000909162","Dalbergia hortensis Heringer, Rizzini & A.Mattos","Fabaceae","Dalbergia","hortensis","Heringer, Rizzini & A.Mattos",NA,NA,"s.n.",NA,"Kuhlmann",1944,4,4,"Brazil",NA,NA,NA,NA,NA,"Material da árvore cult. no J.B.?","http://specimens.kew.org/herbarium/K000909162",NA,"Dalbergia hortensis Heringer, Rizzini & A.Mattos",NA,NA,NA,NA
"24",NA,"IPA","IPA","7752","Dalbergia hortensis Heringer, Rizzini & A.Mattos","Fabaceae","Dalbergia","hortensis","Heringer, Rizzini & A.Mattos","Carvalho, A.M. de","1988-01-01T00:00:00.000+0000","s.n.",NA,"Filho, A.M.",1944,11,NA,"Brazil","Distrito Federal","Brasília","Jardim Botânico",0,0,"Árvore ca. 20m de altura; circunferência próximo do solo 1,40m; diâmetro do cerne 0,25m; espessura alburno 0,10m. (Há um exemplar nativo nas matas do jardim)","BRA:IPA:IPA:0000007752",NA,"Dalbergia hortensis Heringer, Rizzini & A.Mattos",NA,NA,NA,NA
