"","modified","institutionCode","collectionCode","catalogNumber","scientificName","family","genus","specificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLongitude","decimalLatitude","occurrenceRemarks","occurrenceID","acceptedNameUsage"
"1",NA,NA,"Botany","U.1082559","Unonopsis bauxitae Maas, Westra & Mello-Silva","Annonaceae","Unonopsis","bauxitae","Maas, Westra & Mello-Silva","Maas PJM; Westra LYT",NA,NA,NA,"Forzza RC; Scalon VR; Meireles LD; Menini-Neto L; Almeida VR; Assis LCS",2002,9,22,"Brazil","Minas Gerais",NA,"Minas Gerais. Descoberto. Reserva Biológica da Represa do Grama.",NA,NA,NA,"http://data.biodiversitydata.nl/naturalis/specimen/U.1082559","Unonopsis bauxitae Maas, Westra & Mello-Silva"
"2",NA,"Universidade Federal de Juiz de Fora (UFJF)","CESJ","38779","Unonopsis bauxitae Maas, Westra & Mello-Silva","Annonaceae","Unonopsis","bauxitae","Maas, Westra & Mello-Silva",NA,NA,NA,2222,"R.C. Forzza; V.R. Scalon; L.D. Meireles; L. Menini Neto; V.R. Almeida; L.C.S. Assis",2002,9,22,"Brazil","Minas Gerais","Descoberto","Reserva Biológica da Represa do Grama",0,0,"Árvore ca. 7m altura, em borda de mata. Botães florais verdes.&nf;PARATYPUS","BRA:UFJF:CESJ:0000038779","Unonopsis bauxitae Maas, Westra & Mello-Silva"
"4",NA,"Universidade Federal de Juiz de Fora (UFJF)","CESJ","35500","Unonopsis bauxitae Maas, Westra & Mello-Silva","Annonaceae","Unonopsis","bauxitae","Maas, Westra & Mello-Silva",NA,NA,"ISOTYPE",745,"R.M. Castro; L.S. Fermandes; B.K.S. Franco; V.R. Almeida; M.O.D. Pivari; D.S. Pifano",2001,7,9,"Brazil","Minas Gerais","Descoberto","Reserva Biológica da Represa do Grama",0,0,"Árvore no interir da mata heliófita no declive ca 17m. Frequente. Flores esverdeadas, anteras creme e geneceu esverdeado. Frutos imaturos verdes. Sobre afloramenta de bauxita.&nf;ISOTYPUS","BRA:UFJF:CESJ:0000035500","Unonopsis bauxitae Maas, Westra & Mello-Silva"
"7",NA,NA,"Botany","U  0093510","Unonopsis bauxitae Maas, Westra & Mello-Silva","Annonaceae","Unonopsis","bauxitae","Maas, Westra & Mello-Silva","Maas PJM; Westra LYT",NA,"ISOTYPE",NA,"Castro RM; Fernandes LS; Franco BKS; Almeida VR; Pivari MOD; Pifano DS",2001,12,9,"Brazil","Minas Gerais",NA,"Minas Gerais. Descoberto. Reserva Biológica da Represa do Grama.",NA,NA,NA,"http://data.biodiversitydata.nl/naturalis/specimen/U%20%200093510","Unonopsis bauxitae Maas, Westra & Mello-Silva"
