"","modified","institutionCode","collectionCode","catalogNumber","scientificName","family","genus","specificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLongitude","decimalLatitude","occurrenceRemarks","occurrenceID","bibliographicCitation","acceptedNameUsage"
"25","2014-09-26T00:00:00.000+0000","Instituto Nacional de Pesquisas da Amazônia (INPA)","Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)","191266","Unonopsis duckei R.E.Fr.","Annonaceae","Unonopsis","duckei","R.E.Fr.","Maas, P.J.M.",NA,NA,"641",NA,"Mike Hopkins",1997,9,9,"Brazil","Amazonas",NA,"Reserva Florestal Adolfo Ducke",-59.97,-2.883333,NA,"urn:catalog:inpa:herbarium:10883",NA,"Unonopsis duckei R.E.Fr."
"27","2014-09-26T00:00:00.000+0000","Instituto Nacional de Pesquisas da Amazônia (INPA)","Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)","191267","Unonopsis duckei R.E.Fr.","Annonaceae","Unonopsis","duckei","R.E.Fr.","Maas, P.J.M.",NA,NA,"683",NA,"Mike Hopkins",1997,10,1,"Brazil","Amazonas",NA,"Reserva Florestal Adolfo Ducke",-59.97,-2.883333,NA,"urn:catalog:inpa:herbarium:10926",NA,"Unonopsis duckei R.E.Fr."
"29",NA,"NY","NY","1147329","Unonopsis duckei R.E.Fr.","Annonaceae","Unonopsis","duckei","R.E.Fr.","P. J. M. Maas","1995-01-01T00:00:00.000+0000",NA,"2170",NA,"G. T. Prance",1996,9,2,"Brazil","Amazonas",NA,"Manaus-Itacoatiara Highway. Reserva Florestal Ducke, km 26. Forest on terra firme.",-59.928188,-2.95487,NA,"f9cd34d4-2537-468d-9e1f-a1310e9f595b",NA,"Unonopsis duckei R.E.Fr."
"31",NA,"Faculdade São Lucas (FSL)","HFSL","2038","Unonopsis duckei R.E.Fr.","Annonaceae","Unonopsis","duckei","R.E.Fr.","Maas, P.J.M.; Westra, L.Y.T.","1995-10-01T00:00:00.000+0000",NA,"1205",NA,"Vicentini, A.; Pereira, E da C & Silva, C.F. da",1996,12,4,"Brazil","Amazonas","Manaus","Reserva Florestal Adolfo Ducke, Reserva Florestal Ducke, Manaus-Itacoatiara, km 26. Igarapé do Barro branco a montante do alojamento. Floresta de Vertente.",-59.966667,-2.883333,"Árvore. DAP=16cm. Solo areno-argiloso. Dossel. Caule cilíndrico, base reta. Ritidoma fissurado, marrom-claro, rígido, desprendimento pulverulento. Casca viva com estrias marrons finas, formando raios, alaranjado entre eles, odor suave, 8mm espess. Al; DE","BRA:FSL:HFSL:0000002038",NA,"Unonopsis duckei R.E.Fr."
"33",NA,NA,"Botany","U.1082566","Unonopsis duckei R.E.Fr.","Annonaceae","Unonopsis","duckei","R.E.Fr.","Maas PJM; Westra LYT",NA,NA,NA,NA,"Vicentini A; Pereira E. da C; Silva CF da",1996,12,4,"Brazil",NA,NA,"Manaus-Itacoatiara, km 26, Reserva Florestal Ducke. Igarapédo Barro branco a montante do alojamento.",-59.966667,-2.883333,NA,"http://data.biodiversitydata.nl/naturalis/specimen/U.1082566",NA,"Unonopsis duckei R.E.Fr."
"34",NA,NA,"Botany","U.1082574","Unonopsis duckei R.E.Fr.","Annonaceae","Unonopsis","duckei","R.E.Fr.","Maas PJM; Westra LYT",NA,NA,NA,NA,"Miralha JMS; Maas PJM; Maas-van de Kamer H",1995,10,6,"Brazil","Amazonas",NA,"Reserva Florestal Ducke, Manaus-Itacoatiara, km 26",-59.966667,-2.883333,NA,"http://data.biodiversitydata.nl/naturalis/specimen/U.1082574",NA,"Unonopsis duckei R.E.Fr."
"36",NA,"Universidade Federal dos Vales do Jequitinhonha e Mucuri (UFVJM)","HDJF","18","Unonopsis duckei R.E.Fr.","Annonaceae","Unonopsis","duckei","R.E.Fr.","Maas, PJM","1995-10-06T00:00:00.000+0000",NA,"s.n.",NA,"Miralha, JMS; Maas, PJM; Maas, H",1995,10,6,"Brazil","Amazonas","Manaus","Reserva Florestal Ducke. Manaus-Itacoiatira km 26.",-59.916667,-2.95,"Exemplar obtido por doação (INPA #?# Rg. 183081). 25 m de altura e DAP de 22 cm. Solo areno-argiloso. Dossel. Caule cilíndrico. Ritidoma fissurado, fissuras largas, rígido, desprendimento pulverulento, marrom. Casca viva castanho-avermelhada, entre cas","BRA:UFVJM:HDJF:0000000018",NA,"Unonopsis duckei R.E.Fr."
"38",NA,"Instituto de Botânica, IBT","SP","331483","Unonopsis duckei R.E.Fr.","Annonaceae","Unonopsis","duckei","R.E.Fr.","Maas, PJM","1995-10-01T00:00:00.000+0000",NA,"267",NA,"Miralha, JMS; Maas, PJM; Maas, H",1995,10,6,"Brazil","Amazonas","Manaus","Reserva Florestal Ducke, Manaus-Itacoatiara, km 26",-59.966667,-2.883333,NA,"BRA:IBt:SP:0000331483",NA,"Unonopsis duckei R.E.Fr."
"40","2014-09-26T00:00:00.000+0000","Instituto Nacional de Pesquisas da Amazônia (INPA)","Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)","183081","Unonopsis duckei R.E.Fr.","Annonaceae","Unonopsis","duckei","R.E.Fr.","Maas, P.J.M.","1995-10-01T00:00:00.000+0000",NA,"269",NA,"Mike Hopkins",1995,10,6,"Brazil","Amazonas",NA,"Reserva Florestal Adolfo Ducke",-59.97,-2.883333,NA,"urn:catalog:inpa:herbarium:102902",NA,"Unonopsis duckei R.E.Fr."
"42","2014-04-05T06:07:00.000+0000","MO","MO","3113702","Unonopsis duckei R.E.Fr.","Annonaceae","Unonopsis","duckei","R.E.Fr.","P.J.M. Maas & L.Y.Th. Westra","2006-01-01T00:00:00.000+0000",NA,"Vicentini 612",NA,"Alberto Vicentini|P. A. Costa Lima Assunção",1994,7,15,"Brazil","Amazonas",NA,"Reserva Florestal Ducke, Manaus-Itacoatiara, km 26.",-59.96666,-2.88333,NA,"urn:catalog:MO:Tropicos:3113702","http://www.tropicos.org/Specimen/3113702","Unonopsis duckei R.E.Fr."
"43","2014-09-26T00:00:00.000+0000","Instituto Nacional de Pesquisas da Amazônia (INPA)","Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)","179087","Unonopsis duckei R.E.Fr.","Annonaceae","Unonopsis","duckei","R.E.Fr.","Maas, P.J.M.",NA,NA,"612",NA,"Mike Hopkins",1994,7,15,"Brazil","Amazonas",NA,"Reserva Florestal Adolfo Ducke, Próximo a estação meteorológica.",-59.97,-2.883333,NA,"urn:catalog:inpa:herbarium:201302",NA,"Unonopsis duckei R.E.Fr."
"44",NA,NA,"Botany","U.1082565","Unonopsis duckei R.E.Fr.","Annonaceae","Unonopsis","duckei","R.E.Fr.","Maas PJM; Westra LYT",NA,NA,NA,NA,"Vicentini A; Assunção PACL",1994,7,15,"Brazil","Amazonas",NA,"Reserva Florestal Ducke, Manaus-Itacoatiara, km 26Proximo a estacao meteorologica",-59.966667,-2.883333,NA,"http://data.biodiversitydata.nl/naturalis/specimen/U.1082565",NA,"Unonopsis duckei R.E.Fr."
"46",NA,"UNESPSJRP","SJRP","08500","Unonopsis duckei R.E.Fr.","Annonaceae","Unonopsis","duckei","R.E.Fr.",NA,NA,NA,"11121",NA,"W. Rodrigues",1993,4,6,"Brazil","Maranhão","Amazonas","campus do INPA, no parquinho ao lado da casa do diretor",NA,NA,"Geografia: árvore mediana. flores amareladas, frutos verdes.;","BRA:UNESPSJRP:SJRP:0000008500",NA,"Unonopsis duckei R.E.Fr."
"47",NA,"UFPR","UPCB","21175","Unonopsis duckei R.E.Fr.","Annonaceae","Unonopsis","duckei","R.E.Fr.",NA,NA,NA,"11121",NA,"Rodrigues, W.A.",1993,6,6,"Brazil","Amazonas","Manaus","Campus do INPA - no parquinho ao lado da casa do diretor",NA,NA,"Árvore mediana. Flores amareladas e frutos verdes..","BRA:UFPR:UPCB:0000021175",NA,"Unonopsis duckei R.E.Fr."
"48","2014-09-26T00:00:00.000+0000","Instituto Nacional de Pesquisas da Amazônia (INPA)","Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)","171366","Unonopsis duckei R.E.Fr.","Annonaceae","Unonopsis","duckei","R.E.Fr.","Maas, P.J.M.","1995-01-01T00:00:00.000+0000",NA,"170",NA,"Mike Hopkins",1991,10,24,"Brazil","Amazonas",NA,"Distrito Agropecuário, ZF3, Distrito Agropecuário, 90 km NNE de Manaus. Reserva 1501 (Km 41). Projeto Dinâmica Biológica de Fragmentos Florestais. Mata de terra firme.",-59.73,-2.407222,NA,"urn:catalog:inpa:herbarium:117235",NA,"Unonopsis duckei R.E.Fr."
"50","2008-05-27T22:02:00.000+0000","MO","MO","750681","Unonopsis duckei R.E.Fr.","Annonaceae","Unonopsis","duckei","R.E.Fr.","P.J.M. Maas (U)","2007-01-01T00:00:00.000+0000",NA,"Gentry 69263",308,"Alwyn H. Gentry|Bruce W. Nelson",1990,1,19,"Brazil","Amazonas",NA,"Ducke Reserve, Km 26 Manaus-Itacoatiara Hwy. Transect 8",-59.96666,-3,NA,"urn:catalog:MO:Tropicos:750681","http://www.tropicos.org/Specimen/750681","Unonopsis duckei R.E.Fr."
"51",NA,"NY","NY","1147339","Unonopsis duckei R.E.Fr.","Annonaceae","Unonopsis","duckei","R.E.Fr.","W. Milliken",NA,NA,"754",NA,"R. P. Miller",1989,9,5,"Brazil","Amazonas",NA,"Ãrea IndÃ­gena Waimiri Atroari, Rio CamanaÃº. Vicinity of Aldeia MarÃ©. Terra firme forest on yellow clay latosol.",-61.25,-1.75,NA,"c25059ac-f249-4e0a-9991-40cb988ddaf0",NA,"Unonopsis duckei R.E.Fr."
