"","modified","institutionCode","collectionCode","catalogNumber","scientificName","family","genus","specificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLongitude","decimalLatitude","occurrenceRemarks","occurrenceID","acceptedNameUsage"
"1",NA,"MBML","MBML-HERBARIO","50200","Xylopia decorticans D.M.Johnson & Lobão","Annonaceae","Xylopia","decorticans","D.M.Johnson & Lobão",NA,NA,NA,233,"A.D. Ferreira; P.J. Coelho",2015,4,11,"Brazil","Espírito Santo","Santa Teresa","RPPN Vale do Sol, Floresta Ombrófila Densa, borda da mata, morro do eucalipto ""cachorro""",NA,NA,"Árvore 7 a 8m, frutos no caule","BRA:MBML:MBML-HERBARIO:0000050200","Xylopia decorticans D.M.Johnson & Lobão"
"2",NA,"MBML","MBML-HERBARIO","49524","Xylopia decorticans D.M.Johnson & Lobão","Annonaceae","Xylopia","decorticans","D.M.Johnson & Lobão","F. Z. Saiter",NA,NA,506,"F. Z. Saiter",2015,5,27,"Brazil","Espírito Santo","Santa Teresa","Reserva Biológica Augusto Ruschi, próximo à estação de rádio.",NA,NA,"Arvoreta com 4 metros de altura. Frutos verdes.","BRA:MBML:MBML-HERBARIO:0000049524","Xylopia decorticans D.M.Johnson & Lobão"
"3",NA,"Reserva Natural Vale (CVRD)","CVRD","13888","Xylopia decorticans D.M.Johnson & Lobão","Annonaceae","Xylopia","decorticans","D.M.Johnson & Lobão","Geovane S. Siqueira","2012-09-11T00:00:00.000+0000",NA,787,"Siqueira, G.S.",2012,9,7,"Brazil","Es","CONCEIÇÃO DO CASTELO",NA,-41.293278,-20.366972,"col. Adic. ( Fabio Mareto, Cabelo Mareto, Alemão Mareto, Felipe de Tássio Gonçalves) <ll>dwc_commonname:</ll> Pindaíba mulato","BRA:CVRD:CVRD:0000013888","Xylopia decorticans D.M.Johnson & Lobão"
"4","2014-07-08T01:08:01.000+0000","JBRJ","RB","RB00777988","Xylopia decorticans D.M.Johnson & Lobão","Annonaceae","Xylopia","decorticans","D.M.Johnson & Lobão","Siqueira, G.S",NA,NA,787,"Siqueira, G.S; Fabio Mareto, Cabelo Mareto, Alemão Mareto & Felipe de Tássio Gonçalves",2012,9,7,"Brazil","Espírito Santo","Conceição do Castelo","Conceição do Castelo. Mata de altitude.",-41.382778,-20.369722,"Porte arboreo. Terrestre. Fruto imaturo verde claro. Exsudação incolor, descamação ausente. Fuste cilindrico.","urn:catalog:JBRJ:RB:777988","Xylopia decorticans D.M.Johnson & Lobão"
"5",NA,"Escola Superior de Agricultura Luiz de Queiroz, ESALQ","ESA","ESA119527","Xylopia decorticans D.M.Johnson & Lobão","Annonaceae","Xylopia","decorticans","D.M.Johnson & Lobão","Lopes, J.C.","2011-11-14T00:00:00.000+0000",NA,352,"Lopes, J.C.",2011,11,14,"Brazil","Espírito Santo","Santa Teresa","Reserva Biológica Augusto Ruschi, na beira da estrada para Goiabapa-Açu, partindo da sede.",-40.54925,-19.907917,NA,"BRA:ESALQ:ESA:0ESA119527","Xylopia decorticans D.M.Johnson & Lobão"
"8",NA,"Reserva Natural Vale (CVRD)","CVRD","13589","Xylopia decorticans D.M.Johnson & Lobão","Annonaceae","Xylopia","decorticans","D.M.Johnson & Lobão","J.C. Lopes","2011-11-14T00:00:00.000+0000",NA,353,"Lopes, J.C.",2011,11,14,"Brazil","Es","SANTA TERESA","Na beira da estrada para Goiabapa-açu partindo da sede da reserva.",-40.532694,-19.914056,"Árvore ca. 4 m alt. Ramos descamantes castanho-avermelhados. Frutos verdes. <ll>dwc_commonname:</ll> Pindaíba mulato","BRA:CVRD:CVRD:0000013589","Xylopia decorticans D.M.Johnson & Lobão"
"9",NA,"USP","SPF","213071","Xylopia decorticans D.M.Johnson & Lobão","Annonaceae","Xylopia","decorticans","D.M.Johnson & Lobão","Lopes, JC","2014-11-01T00:00:00.000+0000",NA,6004,"Fontana, AP",2009,5,5,"Brazil","Espírito Santo","Santa Teresa","Estação Biológica de Santa Lúcia",-43.521389,-19.995278,NA,"BRA:USP:SPF:0000213071","Xylopia decorticans D.M.Johnson & Lobão"
"11",NA,NA,"Botany","WAG.1922886","Xylopia decorticans D.M.Johnson & Lobão","Annonaceae","Xylopia","decorticans","D.M.Johnson & Lobão","Maas PJM",NA,NA,NA,"Fontana AP; Maas PJM; Maas-van de Kamer H; Westra LYT; Scharf U; Andel TR",2009,5,5,"Brazil","Espírito Santo",NA,"municipality de Santa Teresa, Valsugana Velha, Estacão Biologica de Santa Lúcia, trilha do Túmulo.",-43.521389,-19.995278,NA,"http://data.biodiversitydata.nl/naturalis/specimen/WAG.1922886","Xylopia decorticans D.M.Johnson & Lobão"
"12",NA,"MBML","MBML-HERBARIO","30115","Xylopia decorticans D.M.Johnson & Lobão","Annonaceae","Xylopia","decorticans","D.M.Johnson & Lobão","P. J. M. Maas/2009",NA,"PARATYPE",3105,"A. P. Fontana",2007,3,23,"Brazil","Espírito Santo","Santa Maria de Jetibá","Rio das Pedras",-40.725556,-20.069167,NA,"BRA:MBML:MBML-HERBARIO:0000030115","Xylopia decorticans D.M.Johnson & Lobão"
"14",NA,"MBML","MBML-HERBARIO","29718","Xylopia decorticans D.M.Johnson & Lobão","Annonaceae","Xylopia","decorticans","D.M.Johnson & Lobão","P. J. M. Maas/2009",NA,NA,3697,"V. Demuner; T. Cruz, M. Belizário e Elias Bausen.",2007,4,19,"Brazil","Espírito Santo","Santa Leopoldina","Bragança, Mata do Tyrol, propr.: Elcio Tomazini",-40.549444,-20.136944,"Arvoreta 7m frutos verdes. Interior de mata.","BRA:MBML:MBML-HERBARIO:0000029718","Xylopia decorticans D.M.Johnson & Lobão"
"15","2017-10-19T11:20:19.000+0000","JBRJ","RB","RB00534168","Xylopia decorticans D.M.Johnson & Lobão","Annonaceae","Xylopia","decorticans","D.M.Johnson & Lobão","A.Lobão",NA,"PARATYPE",1283,"Lobão, A.; M.C. Souza, B. Chiavegatto & M.C.Silva",2006,8,9,"Brazil","Espírito Santo","Santa Teresa","Estação Biológica Santa Lúcia, trilha para o túmulo Augusto Ruschi.",NA,NA,"Arvoreta com 3 m de alt. Ramos escandentes vermelhos, botões imaturos verdes com manchas vinho. Frutos imaturos verdes. Cauliflora. Frequente.","urn:catalog:JBRJ:RB:534168","Xylopia decorticans D.M.Johnson & Lobão"
"16",NA,"MBML","MBML-HERBARIO","19009","Xylopia decorticans D.M.Johnson & Lobão","Annonaceae","Xylopia","decorticans","D.M.Johnson & Lobão","A. Lobão & D. M. Johnson/Set.2007",NA,"PARATYPE",1640,"R.R. Vervloet; et al",2003,1,8,"Brazil","Espírito Santo","Santa Teresa","Reserva Biológica Augusto Ruschi - Nova Lombardia",-40.553056,-19.9075,"Árvore, com 6m, flores com sépalas verde, pétalas vermelhas, dossel 15m.","BRA:MBML:MBML-HERBARIO:0000019009","Xylopia decorticans D.M.Johnson & Lobão"
"17",NA,"MBML","MBML-HERBARIO","16868","Xylopia decorticans D.M.Johnson & Lobão","Annonaceae","Xylopia","decorticans","D.M.Johnson & Lobão","A. Lobão & D. M. Johnson/Set.2007",NA,"PARATYPE",220,"R.R. Vervloet; et al",2002,4,30,"Brazil","Espírito Santo","Santa Teresa","Reserva Biológica Augusto Ruschi - Nova Lombardia",-40.553056,-19.9075,"Arvoreta 3m de altura, beira de brejo, dossel com aproximado 20m, tronco marrom avermelhado, frutos imaturos de cor verde, baixada.","BRA:MBML:MBML-HERBARIO:0000016868","Xylopia decorticans D.M.Johnson & Lobão"
"19",NA,"MBML","MBML-HERBARIO","18345","Xylopia decorticans D.M.Johnson & Lobão","Annonaceae","Xylopia","decorticans","D.M.Johnson & Lobão","A. Lobão & D. M. Johnson/Set.2007",NA,"PARATYPE",1188,"R.R. Vervloet; et al",2002,10,9,"Brazil","Espírito Santo","Santa Teresa","Reserva Biológica Augusto Ruschi - Nova Lombardia",-40.553056,-19.9075,"Arbusto com 2m, topo de morro, dossel 22m, frutos imaturos de cor verde, altitude 850m.","BRA:MBML:MBML-HERBARIO:0000018345","Xylopia decorticans D.M.Johnson & Lobão"
"20","2017-10-17T18:01:10.000+0000","JBRJ","RB","RB00534167","Xylopia decorticans D.M.Johnson & Lobão","Annonaceae","Xylopia","decorticans","D.M.Johnson & Lobão","A.Lobão",NA,"ISOTYPE",1172,"Vervlost, R.R.; E. Bausen & W. Pizziolo",2002,10,8,"Brazil","Espírito Santo","Santa Teresa","Nova Lombardia, Reserva Biológica Augusto Ruschi, trilha da tronqueira.",NA,NA,"Arvoreta com 6 m de alt. Topo do  morro, dossel 22 m. Frutos imaturos de cor verde.","urn:catalog:JBRJ:RB:534167","Xylopia decorticans D.M.Johnson & Lobão"
