"","modified","institutionCode","collectionCode","catalogNumber","scientificName","family","genus","specificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLongitude","decimalLatitude","occurrenceRemarks","occurrenceID","bibliographicCitation","acceptedNameUsage","identificationQualifier","infraspecificEpithet","typeStatus","comments"
"1",NA,"Instituto Federal de Educação, Ciência e Tecnologia (IFAM)","EAFM","14622","Guatteriopsis friesiana W.A.Rodrigues","Annonaceae","Guatteria","friesiana","W.A.Rodrigues","Marra, D.M.; Carneiro, V.M.C.","2011-05-12T00:00:00.000+0000","239",NA,"Marra, D.M.; Neves, A.F. & Souza, I.G.",2011,5,12,"Brazil","Amazonas","Manaus, Presidente Figueiredo","Ramal ZF5 (SUFRAMA), BR-174, Km 83, Parcelas permanentes instaladas ao longo de transectos que cruzam uma floresta de terra-firme (ca. 900 hectares) atingida por uma tempestade de vento ocorrida no ano de 1996",-60.307194,-2.40915,"árvore, DAP = 10 cm; Floresta de terra-firme ; HA","BRA:IFAM - CMZL:EAFM:0000014622",NA,"Guatteriopsis friesiana W.A.Rodrigues",NA,NA,NA,NA
"2","2014-09-26T00:00:00.000+0000","Instituto Nacional de Pesquisas da Amazônia (INPA)","Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)","222578","Guatteria friesiana (W.A.Rodrigues) Erkens & Maas","Annonaceae","Guatteria","friesiana","(W.A.Rodrigues) Erkens & Maas","Castilho, C.V. de","2007-11-01T00:00:00.000+0000","109",NA,"Souza, SS da",2004,8,14,"Brazil","Amazonas",NA,"Reserva Florestal Adolfo Ducke, Reserva Florestal Adolpho Ducke. Rodovia Manaus-Itacoatiara, Trilha L-O1, km 3. Solo muito argiloso.",-59.97,-2.883333,NA,"urn:catalog:inpa:herbarium:10",NA,"Guatteria friesiana (W.A.Rodrigues) Erkens & Maas",NA,NA,NA,NA
"3","2014-09-26T00:00:00.000+0000","Instituto Nacional de Pesquisas da Amazônia (INPA)","Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)",NA,"Guatteria friesiana (W.A.Rodrigues) Erkens & Maas","Annonaceae","Guatteria","friesiana","(W.A.Rodrigues) Erkens & Maas","""Maas, P.J.M.; Miralha, J.M.S.""",NA,"284",NA,"Setz, EZP",1995,10,NA,"Brazil","Amazonas",NA,"Reserva Florestal Adolfo Ducke",-59.97,-2.883333,NA,"urn:catalog:inpa:herbarium:102918",NA,"Guatteria friesiana (W.A.Rodrigues) Erkens & Maas",NA,NA,NA,NA
"22","2014-09-26T00:00:00.000+0000","Instituto Nacional de Pesquisas da Amazônia (INPA)","Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)",NA,"Guatteria friesiana (W.A.Rodrigues) Erkens & Maas","Annonaceae","Guatteria","friesiana","(W.A.Rodrigues) Erkens & Maas","""Maas, P.J.M.; Miralha, J.M.S.""",NA,"283",NA,"Setz, EZP",1995,10,NA,"Brazil","Amazonas",NA,"Reserva Florestal Adolfo Ducke, Na beira da estrada que vai para a torre.",-59.97,-2.883333,NA,"urn:catalog:inpa:herbarium:102917",NA,"Guatteria friesiana (W.A.Rodrigues) Erkens & Maas",NA,NA,NA,NA
"41","2014-09-26T00:00:00.000+0000","Instituto Nacional de Pesquisas da Amazônia (INPA)","Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)","179051","Guatteria friesiana (W.A.Rodrigues) Erkens & Maas","Annonaceae","Guatteria","friesiana","(W.A.Rodrigues) Erkens & Maas","Maas, P.J.M.",NA,"1208",NA,"Ribeiro, JELS",1994,3,1,"Brazil","Amazonas",NA,"Reserva Florestal Adolfo Ducke, Próximo ao alojamento. Solo argiloso.",-59.97,-2.883333,NA,"urn:catalog:inpa:herbarium:153248",NA,"Guatteria friesiana (W.A.Rodrigues) Erkens & Maas",NA,NA,NA,NA
"42","2014-09-16T10:56:52.000+0000","Harvard University","GH","barcode-00310836","Guatteria friesiana (W.A.Rodrigues) Erkens & Maas","Annonaceae","Guatteria","friesiana","(W.A.Rodrigues) Erkens & Maas",NA,"2011-01-01T00:00:00.000+0000","5","5","Chris Dick & E. Palheta",1992,2,25,"Brazil",NA,NA,"Est. do Amazonas, Mun. de Manaus, ca. 80 km. N de Manaus, Distrito Agropecuário da SUFRAMA, Rodovia BR 174, km 64, depois 21 km leste na ZF3, Fazenda Porto Alegre.",-59.9,-2.416667,NA,NA,NA,"Guatteria friesiana (W.A.Rodrigues) Erkens & Maas",NA,NA,NA,NA
"43","2014-09-26T00:00:00.000+0000","Instituto Nacional de Pesquisas da Amazônia (INPA)","Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)","175082","Guatteria friesiana (W.A.Rodrigues) Erkens & Maas","Annonaceae","Guatteria","friesiana","(W.A.Rodrigues) Erkens & Maas","Maas, P.J.M.","1995-01-01T00:00:00.000+0000","5",NA,"Dick, C",1992,2,25,"Brazil","Amazonas",NA,"Distrito Agropecuário, ZF3, Ca. 90 km N de Manaus, Distrito Agropecuário da SUFRAMA, Rodovia BR 174, km 64, depois 21 km lesste na ZF3, Fazenda Porta Alegre. Projeto Dinâmica Biológica de Fragmentos, Reserva número 3402",-59.9,-2.416667,NA,"urn:catalog:inpa:herbarium:39791",NA,"Guatteria friesiana (W.A.Rodrigues) Erkens & Maas",NA,NA,NA,NA
"44",NA,NA,"Botany","U.1661691","Guatteria friesiana (W.A.Rodrigues) Erkens & Maas","Annonaceae","Guatteria","friesiana","(W.A.Rodrigues) Erkens & Maas","Maas PJM; Westra LYT",NA,NA,NA,"Dick C; Palheta E",1992,2,25,"Brazil","Amazonas",NA,NA,-59.9,-2.416667,NA,"http://data.biodiversitydata.nl/naturalis/specimen/U.1661691",NA,"Guatteria friesiana (W.A.Rodrigues) Erkens & Maas",NA,NA,NA,NA
"48",NA,"NY","NY","1136330","Guatteria friesiana (W.A.Rodrigues) Erkens & Maas","Annonaceae","Guatteria","friesiana","(W.A.Rodrigues) Erkens & Maas","P. J. M. Maas; H. Maas-van de Kamer; R. H. J. Erkens","2012-01-01T00:00:00.000+0000","79",NA,"C. Dick",1992,3,26,"Brazil","Amazonas",NA,"Ca. 90 km N de Manaus, Distrito AgropecuÃ¡rio da SUFRAMA, Rodovia BR 174, km 72, depois 6 km oeste da BR, Fazenda Dimona. Projeto DinÃ¢mica BiolÃ³gica de Fragmentos",-60.091744,-2.326638,NA,"bd591c2d-d279-4887-ac66-2014a71ae09f",NA,"Guatteria friesiana (W.A.Rodrigues) Erkens & Maas",NA,NA,NA,NA
"50",NA,"NY","NY","1136329","Guatteria friesiana (W.A.Rodrigues) Erkens & Maas","Annonaceae","Guatteria","friesiana","(W.A.Rodrigues) Erkens & Maas","P. J. M. Maas; H. Maas-van de Kamer; R. H. J. Erkens","2012-01-01T00:00:00.000+0000","42887",NA,"M. H. Nee",1992,6,25,"Brazil","Amazonas",NA,"Ca. 80 km NNE de Manaus, Distrito Agropecuário da SUFRAMA, Rodovia BR 174, km 64, depois 34 km leste na ZF3, Fazenda Esteio. Projeto Dinâmica Biológica de Fragmentos",-59.81096,-2.435061,NA,"5f41bf4e-69d4-40ca-a14c-07905e4b6cb0",NA,"Guatteria friesiana (W.A.Rodrigues) Erkens & Maas",NA,NA,NA,NA
