"","modified","institutionCode","collectionCode","catalogNumber","scientificName","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLongitude","decimalLatitude","occurrenceRemarks","occurrenceID","bibliographicCitation","acceptedNameUsage","identificationQualifier","comments"
"1","2018-04-12T17:18:27.000+0000","JBRJ","RB","RB01384818","Annona neosericea H.Rainer","Annonaceae","Annona","neosericea",NA,"H.Rainer","R.R.Völtz",NA,NA,"1346",NA,"R.R.Völtz",2017,3,4,"Brazil","Paraná","Guaraqueçaba","RPPN Salto Morato",-48.307778,-25.178611,NA,"urn:catalog:JBRJ:RB:1384818",NA,"Annona neosericea H.Rainer",NA,NA
"2",NA,"Universidade Regional de Blumenau, FURB","FURB","49537","Annona neosericea H.Rainer","Annonaceae","Annona","neosericea",NA,"H.Rainer","Schwirkowski, P","2016-01-16T00:00:00.000+0000",NA,"1469",NA,"Schwirkowski, P.",2016,1,16,"Brazil","Santa Catarina","São Bento do Sul","Rio Natal. Linha férrea, após o CEPA Rugendas.",-49.313333,-26.324722,NA,"BRA:FURB:FURB:0000049537",NA,"Annona neosericea H.Rainer",NA,NA
"3","2018-04-26T15:39:21.000+0000","JBRJ","RB","RB01385492","Annona neosericea H.Rainer","Annonaceae","Annona","neosericea",NA,"H.Rainer","Schwirkowski, P","2016-01-16T00:00:00.000+0000",NA,"1469",NA,"Schwirkowski, P.",2016,1,16,"Brazil","Santa Catarina","São Bento do Sul","Rio Natal. Linha férrea, após o CEPA Rugendas. Rio Natal. Linha férrea, após o CEPA Rugendas.",-49.313333,-26.324722,NA,"urn:catalog:JBRJ:RB:1385492",NA,"Annona neosericea H.Rainer",NA,NA
"4",NA,"Universidade Regional de Blumenau, FURB","FURB","52267","Annona neosericea H.Rainer","Annonaceae","Annona","neosericea",NA,"H.Rainer","Farias, D.M.","2017-01-25T00:00:00.000+0000",NA,"901",NA,"Uller, H.F.",2016,11,23,"Brazil","Santa Catarina","Abelardo Luz","Papuã.",-52.200556,-26.64,"flores amarelas","BRA:FURB:FURB:0000052267",NA,"Annona neosericea H.Rainer",NA,NA
"5",NA,"IAC","IAC","55030","Rollinia sericea (R.E.Fr.) R.E.Fr.","Annonaceae","Annona","sericea",NA,"(R.E.Fr.) R.E.Fr.","L.B. Évora et al.","2013-11-19T00:00:00.000+0000",NA,"45",NA,"L.B. Évora; L.C. Bernacci & F.D.M. Carvalho",2013,11,19,"Brazil","São Paulo","Campinas","IAC, Fazenda Santa Elisa, Monjolinho, Quadra do Pivo IV, L3, P23.",-47.086761,-22.863721,NA,"BRA:IAC:IAC:0000055030",NA,"Rollinia sericea (R.E.Fr.) R.E.Fr.",NA,NA
"6",NA,"Universidade Regional de Blumenau, FURB","FURB","21004","Annona neosericea H.Rainer","Annonaceae","Annona","neosericea",NA,"H.Rainer","Oliveira, AA de","2010-03-18T00:00:00.000+0000",NA,"3399",NA,"Verdi, M.",2010,1,27,"Brazil","Santa Catarina","Treviso","Cirenaica.",-49.497222,-28.529167,"Fito IFFSC 58 /O/41","BRA:FURB:FURB:0000021004",NA,"Annona neosericea H.Rainer",NA,NA
"7",NA,"Universidade Estadual do Centro-Oeste (UNICENTRO)","HUCO","5398","Annona neosericea H.Rainer","Annonaceae","Annona","neosericea",NA,"H.Rainer","Gasper, A.L.","2010-03-15T00:00:00.000+0000",NA,"1597",NA,"Dreveck, S.",2010,1,26,"Brazil","Santa Catarina","Jaraguá do Sul","Garibaldi, Entorno do fragmento",0,0,"Florística IFFSC 907, FURB 21316; Arvoreta, 3 m, fruto imaturo verde, estádio de sucessão médio; Floresta Ombrófila Densa; HABITAT: Floresta Ombrófila Densa; DESC: Arvoreta, 3 m, fruto imaturo verde, estádio de sucessão médio","BRA:UNICENTRO:HUCO:0000005398",NA,"Annona neosericea H.Rainer",NA,NA
"8",NA,"Universidade Regional de Blumenau, FURB","FURB","21009","Annona neosericea H.Rainer","Annonaceae","Annona","neosericea",NA,"H.Rainer","Oliveira, AA de","2010-03-19T00:00:00.000+0000",NA,"3542",NA,"Verdi, M.",2010,2,1,"Brazil","Santa Catarina","Cocal do Sul","Linha Cabral.",-49.315556,-28.617778,"Fito IFFSC 50 /L/13","BRA:FURB:FURB:0000021009",NA,"Annona neosericea H.Rainer",NA,NA
"9",NA,"Universidade Regional de Blumenau, FURB","FURB","21753","Annona neosericea H.Rainer","Annonaceae","Annona","neosericea",NA,"H.Rainer","Gasper, AL de","2010-03-26T00:00:00.000+0000",NA,"1798",NA,"Dreveck, S.",2010,2,20,"Brazil","Santa Catarina","Jaraguá do Sul",NA,-49.051667,-26.462222,"Florística IFFSC 955 (Arbórea)","BRA:FURB:FURB:0000021753",NA,"Annona neosericea H.Rainer",NA,NA
"10",NA,"Universidade Federal de Santa Catarina (UFSC)","FLOR","44384","Annona neosericea H.Rainer","Annonaceae","Annona","neosericea",NA,"H.Rainer","Stival-Santos, A.","2010-02-20T00:00:00.000+0000",NA,"1778",NA,"Stival-Santos, A.",2010,2,20,"Brazil","Santa Catarina","Águas Mornas","Canto do Schutch.",-48.87,-27.63,"árvore, Fruto Imaturo, verde, 8m altura. Florística IFFSC 316 (arbórea). Floresta Ombrófita Densa.","BRA:UFSC:FLOR:0000044384",NA,"Annona neosericea H.Rainer",NA,NA
"11",NA,"Universidade Regional de Blumenau, FURB","FURB","23328","Annona neosericea H.Rainer","Annonaceae","Annona","neosericea",NA,"H.Rainer","Oliveira, AA de","2010-04-20T00:00:00.000+0000",NA,"2391",NA,"Korte, A.",2010,3,30,"Brazil","Santa Catarina","Rodeio","São Pedro.",-49.411389,-26.910278,"Fito IFFSC 690 /L/33","BRA:FURB:FURB:0000023328",NA,"Annona neosericea H.Rainer",NA,NA
"12",NA,"Universidade Federal de Santa Catarina (UFSC)","FLOR","44531","Annona neosericea H.Rainer","Annonaceae","Annona","neosericea",NA,"H.Rainer","Gasper, A.L. de","2010-03-31T00:00:00.000+0000",NA,"2007",NA,"Stival-Santos, A.",2010,3,10,"Brazil","Santa Catarina","Florianópolis","Parque Nacional Lagoa do Peri, Ilha de Santa Catarina.",-48.5275,-27.7175,"Fruto Imaturo, verde, 7m altura. Florística IFFSC 8003. Floresta Ombrófila Densa Submontana.","BRA:UFSC:FLOR:0000044531",NA,"Annona neosericea H.Rainer",NA,NA
"13",NA,"Universidade Regional de Blumenau, FURB","FURB","22275","Annona neosericea H.Rainer","Annonaceae","Annona","neosericea",NA,"H.Rainer","Gasper, AL de","2010-03-31T00:00:00.000+0000",NA,"2007",NA,"Stival-Santos, A.",2010,3,10,"Brazil","Santa Catarina","Florianópolis","Parque Municipal Lagoa do Peri.",-48.5275,-27.7175,"Florística IFFSC 8003","BRA:FURB:FURB:0000022275",NA,"Annona neosericea H.Rainer",NA,NA
"14",NA,"Universidade Estadual de Londrina, UEL","FUEL","51064","Annona neosericea H.Rainer","Annonaceae","Annona","neosericea",NA,"H.Rainer","Korte, A","2010-04-05T00:00:00.000+0000",NA,"2235",NA,"Korte, A; Kniess, A",2010,3,19,"Brazil","Santa Catarina","Apiúna","Jundiá, Floresta Ombrófila Densa, em interior do fragmento, estágio sucessional avançado",-49.32,-27.09,"Florística IFFSC 576 (Arbórea); hábito arbóreo; altura de 10m; fruto imaturo amarelo.","BRA:UEL:FUEL:0000051064",NA,"Annona neosericea H.Rainer",NA,NA
"15",NA,"Universidade Regional de Blumenau, FURB","FURB","22135","Annona neosericea H.Rainer","Annonaceae","Annona","neosericea",NA,"H.Rainer","Verdi, M","2010-03-30T00:00:00.000+0000",NA,"3931",NA,"Verdi, M.",2010,3,12,"Brazil","Santa Catarina","Orleans","Rio Mirador (próximo ao Parque Estadual da Serra Furada).",-49.41,-28.17,"Florística IFFSC 142 (Arbórea)","BRA:FURB:FURB:0000022135",NA,"Annona neosericea H.Rainer",NA,NA
"16",NA,"MBM","MBM","380190","Annona neosericea H.Rainer","Annonaceae","Annona","neosericea",NA,"H.Rainer","Gaspar, AL","2010-04-29T00:00:00.000+0000",NA,"4395",NA,"Verdi, M; Souza, NL; Klettenberg, DH; Klemz, G",2010,4,12,"Brazil","Santa Catarina","São Bonifácio","Rio Sete",-48.960833,-28.080556,"Fito IFFSC 172/L/25; Árvore 7m, fruto maduro amarela.; Floresta Ombrófila Densa; Estádio Suces.: médio de regeneração; interior do fragmento.","BRA:MBM:MBM:0000380190",NA,"Annona neosericea H.Rainer",NA,NA
"17",NA,"UNIVILLE","JOI","12070","Annona neosericea H.Rainer","Annonaceae","Annona","neosericea",NA,"H.Rainer","A.L. de Gasper","2010-04-29T00:00:00.000+0000",NA,"4395",NA,"Verdi, M.",2010,4,12,"Brazil","Santa Catarina","São Bonifácio","Rio Sete.",-48.960833,-28.080556,"; HABITAT: interior do fragmento; HABITO: arbórea; TIPO VEGETACIONAL: Floresta Ombrófila Densa","BRA:UNIVILLE:JOI:0000012070",NA,"Annona neosericea H.Rainer",NA,NA
"18",NA,"MBM","MBM","380189","Annona neosericea H.Rainer","Annonaceae","Annona","neosericea",NA,"H.Rainer","Oliveira, AA","2010-05-05T00:00:00.000+0000",NA,"4265",NA,"Verdi, M; Souza, NL; Klettenberg, DH; Klemz, G",2010,4,7,"Brazil","Santa Catarina","Armazém","São José dos Macacos/Mineração",-48.959444,-28.2625,"Fito IFFSC 123/L/84; Árvore 12m, fruto maduro amarelo.; Floresta Ombrófila Densa; Estádio Suces.: Médio.","BRA:MBM:MBM:0000380189",NA,"Annona neosericea H.Rainer",NA,NA
"19",NA,"Universidade Estadual de Londrina, UEL","FUEL","51083","Annona neosericea H.Rainer","Annonaceae","Annona","neosericea",NA,"H.Rainer","Verdi, M","2009-06-15T00:00:00.000+0000",NA,"2351",NA,"Verdi, M; Hasckel, RP; Klemz, G",2009,6,15,"Brazil","Santa Catarina","Siderópolis","Reserva Biológica Estadual do Aguaí, Floresta Ombrófila Densa, estágio sucessional avançado",-49.603889,-28.549444,"Florística IFFSC 57 (Arbórea); árvore; altura de 6m.","BRA:UEL:FUEL:0000051083",NA,"Annona neosericea H.Rainer",NA,NA
"20",NA,"Universidade Federal de Santa Catarina (UFSC)","FLOR","44509","Annona neosericea H.Rainer","Annonaceae","Annona","neosericea",NA,"H.Rainer","Korte, A.","2009-10-21T00:00:00.000+0000",NA,"664",NA,"Korte, A.",2009,10,21,"Brazil","Santa Catarina","Blumenau","Bairro Ristow.",-49.154722,-26.939167,"árvore, flor amarela, 8m altura. Floresta Ombrófila Densa.","BRA:UFSC:FLOR:0000044509",NA,"Annona neosericea H.Rainer",NA,NA
"21",NA,"Universidade Estadual do Centro-Oeste (UNICENTRO)","HUCO","5343","Annona neosericea H.Rainer","Annonaceae","Annona","neosericea",NA,"H.Rainer","Korte, A.","2009-10-21T00:00:00.000+0000",NA,"664",NA,"Korte, A.",2009,10,21,"Brazil","Santa Catarina","Blumenau","Bairro Ristow",0,0,"FURB 19529; Arvore, 8m, flor amarela; florestal Ombrófila Densa; HABITAT: florestal Ombrófila Densa; DESC: Arvore, 8m, flor amarela","BRA:UNICENTRO:HUCO:0000005343",NA,"Annona neosericea H.Rainer",NA,NA
"22",NA,"Universidade Regional de Blumenau, FURB","FURB","19541","Annona neosericea H.Rainer","Annonaceae","Annona","neosericea",NA,"H.Rainer","Stival-Santos, A","2009-11-05T00:00:00.000+0000",NA,"1155",NA,"Stival-Santos, A.",2009,11,5,"Brazil","Santa Catarina","Botuverá","Lageado Alto - Recanto Feliz.",-49.14,-27.18,"Florística IFFSC 519 (Arvoreta)","BRA:FURB:FURB:0000019541",NA,"Annona neosericea H.Rainer",NA,NA
"23",NA,"Universidade Regional de Blumenau, FURB","FURB","18930","Annona neosericea H.Rainer","Annonaceae","Annona","neosericea",NA,"H.Rainer","Oliveira, AA de","2010-01-25T00:00:00.000+0000",NA,"3160",NA,"Verdi, M.",2009,11,23,"Brazil","Santa Catarina","Morro Grande","Três Barras.",-49.77,-28.71,"Florística IFFSC 37 (Arvoreta)","BRA:FURB:FURB:0000018930",NA,"Annona neosericea H.Rainer",NA,NA
"24",NA,"Universidade Estadual de Londrina, UEL","FUEL","51050","Annona neosericea H.Rainer","Annonaceae","Annona","neosericea",NA,"H.Rainer","A.A. de Oliveira","2010-01-25T00:00:00.000+0000",NA,"3160",NA,"Verdi, M; Klettenberg, DH; Klemz, G",2009,11,23,"Brazil","Santa Catarina","Morro Grande","Três Barras, Floresta Ombrófila Densa, no entorno do fragmento, estágio sucessional avançado",-49.77,-28.71,"Florística IFFSC 37 (Arvoreta); arvoreta, altura de 6m; flor amarela.","BRA:UEL:FUEL:0000051050",NA,"Annona neosericea H.Rainer",NA,NA
