"","modified","institutionCode","collectionCode","catalogNumber","scientificName","family","genus","specificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLongitude","decimalLatitude","occurrenceRemarks","occurrenceID","bibliographicCitation","acceptedNameUsage"
"1",NA,"NY","NY","03106645","Pseudoxandra spiritus-sancti Maas","Annonaceae","Pseudoxandra","spiritus-sancti","Maas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,"10938997-945c-4929-9cae-a1f71fbfb4b2",NA,"Pseudoxandra spiritus-sancti Maas"
"2",NA,"NY","NY","03106624","Pseudoxandra spiritus-sancti Maas","Annonaceae","Pseudoxandra","spiritus-sancti","Maas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,"2c157d93-4e00-4e91-921a-3af0bbb69223",NA,"Pseudoxandra spiritus-sancti Maas"
"3","2014-09-26T00:00:00.000+0000","Instituto Nacional de Pesquisas da Amazônia (INPA)","Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)","223097","Pseudoxandra spiritus-sancti Maas","Annonaceae","Pseudoxandra","spiritus-sancti","Maas","Maas, P.J.M.","2001-01-01T00:00:00.000+0000",NA,"8833",NA,"Mike Hopkins",1999,2,16,NA,NA,NA,NA,NA,NA,NA,"urn:catalog:inpa:herbarium:678",NA,"Pseudoxandra spiritus-sancti Maas"
"4",NA,NA,"Botany","L.1093896","Pseudoxandra spiritus-sancti Maas","Annonaceae","Pseudoxandra","spiritus-sancti","Maas",NA,NA,NA,NA,NA,"Unknown",NA,NA,NA,"unknown or invalid",NA,NA,NA,NA,NA,NA,"http://data.biodiversitydata.nl/naturalis/specimen/L.1093896",NA,"Pseudoxandra spiritus-sancti Maas"
"5",NA,NA,"Botany","L.1093897","Pseudoxandra spiritus-sancti Maas","Annonaceae","Pseudoxandra","spiritus-sancti","Maas",NA,NA,NA,NA,NA,"Unknown",NA,NA,NA,"unknown or invalid",NA,NA,NA,NA,NA,NA,"http://data.biodiversitydata.nl/naturalis/specimen/L.1093897",NA,"Pseudoxandra spiritus-sancti Maas"
"6",NA,NA,"Botany","L.1093898","Pseudoxandra spiritus-sancti Maas","Annonaceae","Pseudoxandra","spiritus-sancti","Maas",NA,NA,NA,NA,NA,"Unknown",NA,NA,NA,"unknown or invalid",NA,NA,NA,NA,NA,NA,"http://data.biodiversitydata.nl/naturalis/specimen/L.1093898",NA,"Pseudoxandra spiritus-sancti Maas"
"7",NA,NA,"Botany","L.1093899","Pseudoxandra spiritus-sancti Maas","Annonaceae","Pseudoxandra","spiritus-sancti","Maas",NA,NA,NA,NA,NA,"Unknown",NA,NA,NA,"unknown or invalid",NA,NA,NA,NA,NA,NA,"http://data.biodiversitydata.nl/naturalis/specimen/L.1093899",NA,"Pseudoxandra spiritus-sancti Maas"
"8","2/06/17 16:17","INPA","INPA","223097","Pseudoxandra spiritus-sancti","Annonaceae","Pseudoxandra",NA,"Maas","Maas, PJM",NA,NA,NA,NA,NA,NA,NA,NA,"Brasil","Esp�_rito Santo",NA,"Esta̤̣o Biol�_gica de Santa L̼cia. High forest, on brown sand; vegetation with many Palmae and terrestrial and epiphytic Bromeliaceae.",NA,NA,NA,NA,NA,"Pseudoxandra spiritus-sancti Maas"
"9","2/06/17 16:17","INPA","INPA","223097","Pseudoxandra spiritus-sancti","Annonaceae","Pseudoxandra",NA,"Maas","Maas, PJM",NA,"isotype",NA,NA,NA,NA,NA,NA,"Brasil","Amazonas",NA,NA,NA,NA,NA,NA,NA,"Pseudoxandra spiritus-sancti Maas"
