"","modified","institutionCode","collectionCode","catalogNumber","scientificName","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLongitude","decimalLatitude","occurrenceRemarks","occurrenceID","bibliographicCitation","acceptedNameUsage"
"1",NA,"Universidade Regional de Blumenau, FURB","FURB","59978","Annona neosericea H.Rainer","Annonaceae","Annona","neosericea",NA,"H.Rainer","Gebien, W.","2018-07-25T00:00:00.000+0000",NA,"170",NA,"Gebien, W.",2018,4,3,"Brazil","Santa Catarina","Blumenau","interior de fragmento na rua antonio Zendrom. final do caminho próximo à nascente.",-49.087222,-26.957222,NA,"BRA:FURB:FURB:0000059978",NA,"Annona neosericea H.Rainer"
"2",NA,"Universidade Regional de Blumenau, FURB","FURB","52309","Annona neosericea H.Rainer","Annonaceae","Annona","neosericea",NA,"H.Rainer","Oliveira, A. A.","2017-08-31T00:00:00.000+0000",NA,"5810",NA,"Funez, L.A.",2017,1,17,"Brazil","Santa Catarina","Rodeio","Centro, propriedade dos Feler.",-49.38,-26.933889,"Flores amareladas. Frutos imaturos","BRA:FURB:FURB:0000052309",NA,"Annona neosericea H.Rainer"
"3",NA,"Universidade Federal do Paraná, UFPR","EFC","16088","Annona neosericea H.Rainer","Annonaceae","Annona","neosericea",NA,"H.Rainer","Völtz, R.R.","2017-03-04T00:00:00.000+0000",NA,"1346",NA,"Völtz, R.R.",2017,3,4,"Brazil","Paraná","Guaraqueçaba","RPPN Salto Morato",-48.3078,-25.1786,"Árvore 12 m alt.; estrato superior de Floresta Ombrófila Densa Aluvial; frutos verdes, quando maduros amarelados, que encerram sementes negras envoltas em poupa gelatinosa alvacenta.","BRA:UFPR:EFC:0000016088",NA,"Annona neosericea H.Rainer"
"5",NA,"UFRGS","ICN","193688","Annona neosericea H.Rainer","Annonaceae","Annona","neosericea",NA,"H.Rainer","R.; Santos-Jr.","2017-03-12T00:00:00.000+0000",NA,"208",NA,"Rabuske, C; Santos-Jr.; R.",2017,3,12,"Brazil","Sc","Nova Veneza","Área Particular de Preservação Ambiental São Francisco.",-49.608611,-28.647778,"Floresta Ombrófila Densa montana. Morro São Francisco, no início da trilha para o cume.","BRA:UFRGS:ICN:0000193688",NA,"Annona neosericea H.Rainer"
"6",NA,"Universidade Federal do Paraná, UFPR","EFC","15457","Annona neosericea H.Rainer","Annonaceae","Annona","neosericea",NA,"H.Rainer","Völtz, R.R.","2017-04-12T00:00:00.000+0000",NA,"6532",NA,"Kuniyoshi, Y.S.",2017,3,23,"Brazil","Paraná","Paranaguá","Floresta Estadual do Palmito",-48.5337,-25.6049,"Arvoreta restinga com frutos","BRA:UFPR:EFC:0000015457",NA,"Annona neosericea H.Rainer"
"7",NA,"Universidade Regional de Blumenau, FURB","FURB","56750","Annona neosericea H.Rainer","Annonaceae","Annona","neosericea",NA,"H.Rainer","Funez, L.A.","2017-11-28T00:00:00.000+0000",NA,"6703",NA,"Funez, L.A.",2017,11,26,"Brazil","Santa Catarina","Ascurra","Cachoeira das Andorinhas.",-49.310556,-27.001389,"Flores amareladas","BRA:FURB:FURB:0000056750",NA,"Annona neosericea H.Rainer"
"8",NA,"Universidade Regional de Blumenau, FURB","FURB","56586","Annona neosericea H.Rainer","Annonaceae","Annona","neosericea",NA,"H.Rainer","Kassner-Filho, A.","2017-12-03T00:00:00.000+0000",NA,"1969",NA,"Kassner-Filho, A.",2017,12,3,"Brazil","Santa Catarina","São José","Pedra Branca.",NA,NA,"flor amarelada","BRA:FURB:FURB:0000056586",NA,"Annona neosericea H.Rainer"
"9",NA,"Universidade Regional de Blumenau, FURB","FURB","56357","Annona neosericea H.Rainer","Annonaceae","Annona","neosericea",NA,"H.Rainer","Kassner-Filho, A.","2017-12-04T00:00:00.000+0000",NA,"1918",NA,"Kassner-Filho, A.",2017,12,4,"Brazil","Santa Catarina","Águas Mornas",NA,-48.871389,-27.718889,NA,"BRA:FURB:FURB:0000056357",NA,"Annona neosericea H.Rainer"
"10",NA,"Universidade Estadual de Londrina, UEL","FUEL","55466","Annona neosericea H.Rainer","Annonaceae","Annona","neosericea",NA,"H.Rainer","Schwirkowski, P","2016-01-16T00:00:00.000+0000",NA,"1469",NA,"Schwirkowski, P",2016,1,16,"Brazil","Santa Catarina","São Bento do Sul","Rio Natal, Linha férrea, após o CEPA Rugendas",-49.313333,-26.324722,"Árvore, flores amarelas, frutos imaturos; FOD.","BRA:UEL:FUEL:0000055466",NA,"Annona neosericea H.Rainer"
"13",NA,"Universidade Federal de Santa Catarina (UFSC)","FLOR","64421","Annona neosericea H.Rainer","Annonaceae","Annona","neosericea",NA,"H.Rainer","Mondin, C.","2016-10-01T00:00:00.000+0000",NA,"3716",NA,"Mondin, C.",2016,10,NA,"Brazil","Santa Catarina","Itajaí","Local: no aterro sanitátio municipal.",-48.703056,-26.975,"Árvore com cerca de 6m de altura","BRA:UFSC:FLOR:0000064421",NA,"Annona neosericea H.Rainer"
"14","2017-10-15T12:03:52.000+0000","JBRJ","RB","RB01183769","Rollinia sericea var. longisepala R.E.Fr.","Annonaceae","Annona","sericea","longisepala","var. longisepala R.E.Fr.","E. Ramos","2006-10-13T00:00:00.000+0000",NA,"87",NA,"E. Ramos; H.R. Gonçalves",2016,10,13,"Brazil","São Paulo","Ubatuba","Trecho entre praia do Estaleiro e praia Ubatubamirim. -23.435126N -45.064912 L.",NA,NA,NA,"urn:catalog:JBRJ:RB:1183769",NA,"Rollinia sericea var. longisepala R.E.Fr."
"15",NA,"UCS","HUCS","46625","Annona neosericea H.Rainer","Annonaceae","Annona","neosericea",NA,"H.Rainer","Farias, D. .M.","2017-01-25T00:00:00.000+0000",NA,"901",NA,"Uller, H. .F.; Klitzk, A. .R.; Bollmann, G. .O.",2016,11,23,"Brazil","Santa Catarina","Abelardo Luz","Papuã",-52.205556,-26.64,"árvore, flores amarelas - IFFSC - 2/829/coleta extra/árvore - Doação FURB 52267; área de pastagem","BRA:UCS:HUCS:0000046625",NA,"Annona neosericea H.Rainer"
"17",NA,"Universidade Regional de Blumenau, FURB","FURB","45440","Annona neosericea H.Rainer","Annonaceae","Annona","neosericea",NA,"H.Rainer","Oliveira, AA de","2015-01-15T00:00:00.000+0000",NA,"845",NA,"Oliveira, A.A. de",2015,1,15,"Brazil","Santa Catarina","Nova Veneza","São Bento Baixo.",-49.499444,-28.710833,"Fito IFFSC 40 /L/40","BRA:FURB:FURB:0000045440",NA,"Annona neosericea H.Rainer"
"18",NA,"Universidade Regional de Blumenau, FURB","FURB","45824","Annona neosericea H.Rainer","Annonaceae","Annona","neosericea",NA,"H.Rainer","Oliveira, AA de","2015-02-10T00:00:00.000+0000",NA,"1178",NA,"Oliveira, A.A. de",2015,2,10,"Brazil","Santa Catarina","Navegantes","Leiteiro.",-48.778611,-26.8225,"Florística Entorno IFFSC 753","BRA:FURB:FURB:0000045824",NA,"Annona neosericea H.Rainer"
"19",NA,"IAC","IAC","56679","Annona neosericea H.Rainer","Annonaceae","Annona","neosericea",NA,"H.Rainer",NA,"2015-09-16T00:00:00.000+0000",NA,"157",NA,"A.C.O. Souza; L.C. Bernacci; R. Belinelo",2015,9,16,"Brazil","São Paulo","Cunha","Parque Estadual da Serra do Mar #?# Núcleo Cunha",-44.9597,-23.0744,"Vegetativo; Parcela NUC 01 - regeneração após corte raso, seguido de fogo e pastagem; Ind. 917.","BRA:IAC:IAC:0000056679",NA,"Annona neosericea H.Rainer"
"20",NA,"UNIVILLE","JOIW","958","Annona neosericea H.Rainer","Annonaceae","Annona","neosericea",NA,"H.Rainer","J.C.F. Mello Junior",NA,NA,"1184",NA,"J.C.F.Melo Jr.",2014,1,20,"Brazil","Sc","São Francisco do Sul","Praia Grande - Restinga",-48.037417,-26.282806,"Arbusto, h=3.5m","BRA:UNIVILLE:JOIW:0000000958",NA,"Annona neosericea H.Rainer"
"21",NA,"Universidade Regional de Blumenau, FURB","FURB","44461","Annona neosericea H.Rainer","Annonaceae","Annona","neosericea",NA,"H.Rainer","Maçaneiro, JP","2014-02-01T00:00:00.000+0000",NA,"68",NA,"Maçaneiro, J.P.",2014,2,25,"Brazil","Santa Catarina","Indaial","Faxinal do Bepe - Parque Nacional da Serra do Itajaí.",-49.194167,-27.100833,NA,"BRA:FURB:FURB:0000044461",NA,"Annona neosericea H.Rainer"
"22",NA,"UEMA","SLUI","4281","Rollinia sericea (R.E.Fr.) R.E.Fr.","Annonaceae","Annona","sericea",NA,"(R.E.Fr.) R.E.Fr.",NA,NA,NA,"10",NA,"B.O.J. Lima",2014,5,6,"Brazil","Maranhão","São Luís","Reserva Florestal Rosa Mochel - UEMA",-44.209467,-2.5747,NA,"BRA:UEMA:SLUI:0000004281",NA,"Rollinia sericea (R.E.Fr.) R.E.Fr."
