"","modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLongitude","decimalLatitude","occurrenceRemarks","occurrenceID","bibliographicCitation","acceptedNameUsage","infraspecificEpithet","typeStatus","comments"
"1",NA,"NY","NY","02694552","Malmea manausensis Maas & J.M.S.Miralha",NA,"Annonaceae","Malmea","manausensis","Maas & J.M.S.Miralha",NA,NA,"352",NA,"T. L. P. Couvreur",2011,5,20,"Brazil","ParÃ¡",NA,"Parque National do Amazonas, ca. 60 km S/SE of Itaituba.",-56.460278,-4.688611,NA,"afc80ff1-8bb6-43dc-8da2-df585b2f98f0",NA,"Malmea manausensis Maas & J.M.S.Miralha",NA,NA,NA
"2","2017-10-18T15:17:54.000+0000","JBRJ","RB","RB00669347","Malmea manausensis Maas & J.M.S.Miralha",NA,"Annonaceae","Malmea","manausensis","Maas & J.M.S.Miralha","L. W. Chatrou",NA,"352",NA,"Thomas L.P. Couvreur; Benjamin M. Torke and Rafael Pinto",2011,5,20,"Brazil","Pará","Itaituba","Parque National do Amazonas, ca. 60 km S/SE of Itaituba.",-56.460278,-4.688611,"Tree 3 m tall. 2 cm in diameter. Pedicels green, monocarps red.","urn:catalog:JBRJ:RB:669347",NA,"Malmea manausensis Maas & J.M.S.Miralha",NA,NA,NA
"3","2014-07-08T00:59:00.000+0000","JBRJ","RB","RB00767371","Malmea manausensis Maas & J.M.S.Miralha",NA,"Annonaceae","Malmea","manausensis","Maas & J.M.S.Miralha","Rosa, N.A",NA,"450",NA,"Nascimento, M.P. do",2010,6,22,"Brazil","Pará","Santarém","Área do projeto sustentabilidade dos usos da terra na amazonia, B 363, T: 7.",NA,NA,"Árvore de 6 m de altura e 8 cm de DAP, ritidoma marrom escuro, csca morta marrom escuro, casca viva avermelhada, alburno bege claro, fruto maduro.","urn:catalog:JBRJ:RB:767371",NA,"Malmea manausensis Maas & J.M.S.Miralha",NA,NA,NA
"4","2014-09-26T00:00:00.000+0000","Instituto Nacional de Pesquisas da Amazônia (INPA)","Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)","227132","Malmea manausensis Maas & J.M.S.Miralha",NA,"Annonaceae","Malmea","manausensis","Maas & J.M.S.Miralha",NA,NA,"7118",NA,"Zartman, CE",2007,5,22,"Brazil","Amazonas",NA,"Rebio Uatumã., grade do PPBio.",-59,-1,NA,"urn:catalog:inpa:herbarium:214163",NA,"Malmea manausensis Maas & J.M.S.Miralha",NA,NA,NA
"5","2014-07-08T07:22:56.000+0000","JBRJ","RB","RB00822654","Malmea manausensis Maas & J.M.S.Miralha",NA,"Annonaceae","Malmea","manausensis","Maas & J.M.S.Miralha","A. Lobão",NA,"1560",NA,"J.G. de Carvalho-Sobrinho; J.R. Mesquita",2007,6,9,"Brazil","Amazonas","Presidente Figueiredo","Rebio Uatumã, grade do PPBio.",NA,NA,"Arvoreta ca. 6m alt. DAP ca. 3cm. Botões florais verdes. Capídios com pedicelo vermelho e exocarpo verde","urn:catalog:JBRJ:RB:822654",NA,"Malmea manausensis Maas & J.M.S.Miralha",NA,NA,NA
"8","2014-09-26T00:00:00.000+0000","Instituto Nacional de Pesquisas da Amazônia (INPA)","Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)","178999","Malmea manausensis Maas & J.M.S.Miralha",NA,"Annonaceae","Malmea","manausensis","Maas & J.M.S.Miralha",NA,NA,"161",NA,NA,1995,1,18,"Brazil","Amazonas",NA,"Reserva Florestal Adolfo Ducke",-59.97,-2.883333,NA,"urn:catalog:inpa:herbarium:10386",NA,"Malmea manausensis Maas & J.M.S.Miralha",NA,NA,NA
"9",NA,NA,"Botany","U.1073803","Malmea manausensis Maas & J.M.S.Miralha",NA,"Annonaceae","Malmea","manausensis","Maas & J.M.S.Miralha","Chatrou LW",NA,NA,NA,"Ribeiro JELS",1995,5,10,"Brazil","Amazonas",NA,NA,NA,NA,NA,"http://data.biodiversitydata.nl/naturalis/specimen/U.1073803",NA,"Malmea manausensis Maas & J.M.S.Miralha",NA,NA,NA
"10","2014-09-26T00:00:00.000+0000","Instituto Nacional de Pesquisas da Amazônia (INPA)","Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)","189690","Malmea manausensis Maas & J.M.S.Miralha",NA,"Annonaceae","Malmea","manausensis","Maas & J.M.S.Miralha","""Maas, P.J.M.; Miralha, J.M.S.""","1995-10-01T00:00:00.000+0000","1826",NA,"Ribeiro, JELS",1995,5,10,"Brazil","Amazonas",NA,"Reserva Florestal Adolfo Ducke",-59.97,-2.883333,NA,"urn:catalog:inpa:herbarium:153875",NA,"Malmea manausensis Maas & J.M.S.Miralha",NA,NA,NA
"12","2016-03-03T00:00:00.000+0000","K","Herbarium","K001186329","Malmea manausensis Maas & J.M.S.Miralha",NA,"Annonaceae","Malmea","manausensis","Maas & J.M.S.Miralha",NA,NA,"1826",NA,"Ribeiro, J.E.L.S.",1995,5,10,"Brazil",NA,"Manaus","Reserva Florestal Ducke, Manaus-Itacoatiara, km 26. .",NA,NA,NA,"http://specimens.kew.org/herbarium/K001186329",NA,"Malmea manausensis Maas & J.M.S.Miralha",NA,NA,NA
"13","2014-09-26T00:00:00.000+0000","Instituto Nacional de Pesquisas da Amazônia (INPA)","Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)","179099","Malmea manausensis Maas & J.M.S.Miralha",NA,"Annonaceae","Malmea","manausensis","Maas & J.M.S.Miralha",NA,NA,"204",NA,NA,1995,6,10,"Brazil","Amazonas",NA,"Reserva Florestal Adolfo Ducke",-59.97,-2.883333,NA,"urn:catalog:inpa:herbarium:10431",NA,"Malmea manausensis Maas & J.M.S.Miralha",NA,NA,NA
