"","modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLongitude","decimalLatitude","occurrenceRemarks","occurrenceID","bibliographicCitation","acceptedNameUsage"
"1","2014-09-26T00:00:00.000+0000","Instituto Nacional de Pesquisas da Amazônia (INPA)","Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)","225095","Malmea manausensis Maas & J.M.S.Miralha",NA,"Annonaceae","Malmea","manausensis","Maas & J.M.S.Miralha","Lobão, A.Q.","2013-12-01T00:00:00.000+0000","1560",NA,"Mike Hopkins",2007,6,9,"Brazil","Amazonas",NA,"Rebio Uatumã., grade do PPBio.",-59,-1,NA,"urn:catalog:inpa:herbarium:213960",NA,"Malmea manausensis Maas & J.M.S.Miralha"
"2",NA,"Instituto de Botânica, IBT","SP","331110","Malmea manausensis Maas & J.M.S.Miralha",NA,"Annonaceae","Malmea","manausensis","Maas & J.M.S.Miralha","Maas, PJM; Miralha, JMS","1995-10-01T00:00:00.000+0000","1826",NA,"Ribeiro, JELS; Pereira, EC; Silva, CF",1995,5,10,"Brazil","Amazonas","Manaus","Reserva Florestal Ducke, Manaus-Itacoatiara, Km 26",-59.966667,-2.883333,NA,"BRA:IBt:SP:0000331110",NA,"Malmea manausensis Maas & J.M.S.Miralha"
"3",NA,"Empresa Brasileira de Pesquisa Agropecuária (EMBRAPA)","HTSA","4206","Malmea manausensis Maas & J.M.S.Miralha",NA,"Annonaceae","Malmea","manausensis","Maas & J.M.S.Miralha",NA,NA,"1180",NA,"Ribeiro, J.E.L.S.; Prance, G.T.; Assunção, P.A.C.L.; Vicentini, A. & Hopkins, M.J.",1993,11,24,"Brazil","Amazonas","Manaus","Reserva Florestal Ducke, Próximo ao alojamento.",0,0,"3m de altura. Frutos imaturos verdes, pedúnculo vermelho.","BRA:CPATSA:HTSA:0000004206",NA,"Malmea manausensis Maas & J.M.S.Miralha"
"4",NA,NA,"Botany","U.1073806","Malmea manausensis Maas & J.M.S.Miralha",NA,"Annonaceae","Malmea","manausensis","Maas & J.M.S.Miralha","Chatrou LW",NA,NA,NA,"Morawetz W; Coêlho DF",1983,8,15,"Brazil","Amazonas",NA,NA,NA,NA,NA,"http://data.biodiversitydata.nl/naturalis/specimen/U.1073806",NA,"Malmea manausensis Maas & J.M.S.Miralha"
"5",NA,NA,"Botany","U.1073805","Malmea manausensis Maas & J.M.S.Miralha",NA,"Annonaceae","Malmea","manausensis","Maas & J.M.S.Miralha","Chatrou LW",NA,NA,NA,"Morawetz W; Coêlho DF",1983,8,15,"Brazil","Amazonas",NA,NA,NA,NA,NA,"http://data.biodiversitydata.nl/naturalis/specimen/U.1073805",NA,"Malmea manausensis Maas & J.M.S.Miralha"
"6",NA,NA,"Botany","U.1073807","Malmea manausensis Maas & J.M.S.Miralha",NA,"Annonaceae","Malmea","manausensis","Maas & J.M.S.Miralha","Chatrou LW",NA,NA,NA,"Morawetz W; Coêlho DF",1983,8,15,"Brazil","Amazonas",NA,NA,NA,NA,NA,"http://data.biodiversitydata.nl/naturalis/specimen/U.1073807",NA,"Malmea manausensis Maas & J.M.S.Miralha"
"7","2014-07-08T02:47:31.000+0000","JBRJ","RB","RB00043190","Malmea manausensis Maas & J.M.S.Miralha",NA,"Annonaceae","Malmea","manausensis","Maas & J.M.S.Miralha","P.J.M. Maas","2009-01-01T00:00:00.000+0000","7888",NA,"W. Rodrigues; Osmarino",1966,6,2,"Brazil","Amazonas","Amazonas","Reserva Florestal Ducke, ao lado da árvore n° 2071: mata de terra firme, solo argiloso.",NA,NA,"arvoreta de 8m de altura x 8cm de diâmetro ; flores esverdeadas","urn:catalog:JBRJ:RB:43190",NA,"Malmea manausensis Maas & J.M.S.Miralha"
"8",NA,"ICN","COL","267537","Malmea manausensis Maas & J.M.S.Miralha",NA,"Annonaceae","Malmea","manausensis","Maas & J.M.S.Miralha","Paulus Johannes Maria Maas",NA,"7888",NA,"W. Rodrigues",1966,6,2,"Brazil","Amazonas",NA,"Reserva Forestal Ducke, ao lado da árvore n° 2071.",NA,NA,NA,"db743ea4-0d77-48fd-81c9-6d0b8e9b514c",NA,"Malmea manausensis Maas & J.M.S.Miralha"
"9","2014-09-26T00:00:00.000+0000","Instituto Nacional de Pesquisas da Amazônia (INPA)","Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)","15052","Malmea manausensis Maas & J.M.S.Miralha",NA,"Annonaceae","Malmea","manausensis","Maas & J.M.S.Miralha","""Maas, P.J.M.; Miralha, J.M.S.""","1991-01-01T00:00:00.000+0000","6002",NA,"Mike Hopkins",1964,8,19,"Brazil","Amazonas",NA,"Reserva Florestal Adolfo Ducke, Reserva Florestal Ducke, Q. 18, perto da árvore número 2568",-59.97,-2.883333,NA,"urn:catalog:inpa:herbarium:161597",NA,"Malmea manausensis Maas & J.M.S.Miralha"
"10",NA,"Empresa Brasileira de Pesquisa Agropecuária (EMBRAPA)","HTSA","4207","Malmea manausensis Maas & J.M.S.Miralha",NA,"Annonaceae","Malmea","manausensis","Maas & J.M.S.Miralha",NA,NA,"2393",NA,"Rodrigues, W.A.",1961,4,18,"Brazil","Amazonas","Manaus","Reserva Florestal Ducke.",0,0,"Terra firme. Solo argiloso. Frutos verdes com o pedúnculo vermelho. Árvore ca. 5 m.","BRA:CPATSA:HTSA:0000004207",NA,"Malmea manausensis Maas & J.M.S.Miralha"
"11",NA,NA,"Botany","U.1073809","Malmea manausensis Maas & J.M.S.Miralha",NA,"Annonaceae","Malmea","manausensis","Maas & J.M.S.Miralha","Chatrou LW",NA,NA,NA,"Ribeiro JELS",1993,11,24,"Brazil","Amazonas",NA,NA,NA,NA,NA,"http://data.biodiversitydata.nl/naturalis/specimen/U.1073809",NA,"Malmea manausensis Maas & J.M.S.Miralha"
"12",NA,NA,"Botany","U.1073802","Malmea manausensis Maas & J.M.S.Miralha",NA,"Annonaceae","Malmea","manausensis","Maas & J.M.S.Miralha","Chatrou LW",NA,NA,NA,"Ribeiro JELS",NA,NA,NA,"Brazil","Amazonas",NA,NA,NA,NA,NA,"http://data.biodiversitydata.nl/naturalis/specimen/U.1073802",NA,"Malmea manausensis Maas & J.M.S.Miralha"
