"","modified","institutionCode","collectionCode","catalogNumber","scientificName","family","genus","specificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLongitude","decimalLatitude","occurrenceRemarks","occurrenceID","bibliographicCitation","acceptedNameUsage","identificationQualifier","infraspecificEpithet","typeStatus","comments"
"1",NA,"NY","NY","01131925","Guatteria rigida R.E.Fr.","Annonaceae","Guatteria","rigida","R.E.Fr.","W. Milliken",NA,"1496",NA,"D. C. Zappi",2008,8,29,"Brazil","Mato Grosso",NA,"Parque Estadual Cristalino. Entrada a 7 km. a Sul da Pousada, 250 m. da margem do Rio Cristalino.",-55.907464,-9.483414,"Projeto Flora Cristalino.","e26a0a04-e138-4a0d-a86c-7b02dba918f6",NA,"Guatteria rigida R.E.Fr.",NA,NA,NA,NA
"2",NA,"UNEMAT","HERBAM","2529","Guatteria rigida R.E.Fr.","Annonaceae","Guatteria","rigida","R.E.Fr.","Milliken, W","2008-01-01T00:00:00.000+0000","1496",NA,"Zappi, DC; Sasaki, D; Milliken, W; Frisby, S; Henicka, GS; Piva, JH",2008,8,29,"Brazil","Mato Grosso","Novo Mundo","Parque Estadual Cristalino, Campinarama estacionalmente alagada.",-55.908056,-9.485278,"Projeto Flora Cristalino","BRA:UNEMAT:HERBAM:0000002529",NA,"Guatteria rigida R.E.Fr.",NA,NA,NA,NA
"3",NA,NA,"Botany","U.1661869","Guatteria rigida R.E.Fr.","Annonaceae","Guatteria","rigida","R.E.Fr.","Maas PJM; Westra LYT",NA,NA,NA,"Silva GP da",2001,11,29,"Brazil","Goiás",NA,"Minacu - GO. Margem direita do rio Macacão.",-48.075,-13.5585,NA,"http://data.biodiversitydata.nl/naturalis/specimen/U.1661869",NA,"Guatteria rigida R.E.Fr.",NA,NA,NA,NA
"4",NA,NA,"Botany","U.1661867","Guatteria rigida R.E.Fr.","Annonaceae","Guatteria","rigida","R.E.Fr.","Maas PJM; Westra LYT",NA,NA,NA,"Silva GP da; Pereira JB",2000,12,13,"Brazil","Goiás",NA,"Cavalcante - GO. Balsa da COTERRA (rio Tocantins) vila Veneno km 1.",-48.100667,-13.569333,NA,"http://data.biodiversitydata.nl/naturalis/specimen/U.1661867",NA,"Guatteria rigida R.E.Fr.",NA,NA,NA,NA
"5",NA,"MBM","MBM","287733","Guatteria rigida R.E.Fr.","Annonaceae","Guatteria","rigida","R.E.Fr.","Mello-Silva, R","2003-04-01T00:00:00.000+0000","17539",NA,"Souza, VC; Souza, JP; Duarte, AR; Miyagi, PH",1997,6,9,"Brazil","Mato Grosso","Tapurah","Beira da MT-010, Cerca de 24 km ENE de Tapurah.",0,0,"Árvore, ca. 10m de alt.; frutos imaturos verdes.; Savana arborizada alagável com predominância de buritirama.","BRA:MBM:MBM:0000287733",NA,"Guatteria rigida R.E.Fr.",NA,NA,NA,NA
"6","2014-07-22T13:34:55.000+0000","JBRJ","RB","RB00349112","Guatteria rigida R.E.Fr.","Annonaceae","Guatteria","rigida","R.E.Fr.","R.Mello Silva",NA,"17539",NA,"V.C. Souza; J.P.Souza, A.R.Duarte, P.H.Miyagi",1997,6,9,"Brazil","Mato Grosso","Tapurah","Beira da MT 010 cerca de 24 km ENE de Tapurah.",-56.335,-12.634444,"Arvore ca 10m alt, frutos imaturos verdes","urn:catalog:JBRJ:RB:349112",NA,"Guatteria rigida R.E.Fr.",NA,NA,NA,NA
"7","2014-07-07T22:41:19.000+0000","JBRJ","RB","RB00681629","Guatteria rigida R.E.Fr.","Annonaceae","Guatteria","rigida","R.E.Fr.","A. Lobão",NA,"238",NA,"M.G. Nobrega",1994,12,17,"Brazil","Goiás","Serranópolis","Varzea próximo ao Rio Verde.",NA,NA,"Árvore 6, m. sépalas verdes e pétalas interna e externa carnosas de cor verde, estames amarelo claro e estipulas verde.","urn:catalog:JBRJ:RB:681629",NA,"Guatteria rigida R.E.Fr.",NA,NA,NA,NA
"8","2014-09-26T00:00:00.000+0000","Instituto Nacional de Pesquisas da Amazônia (INPA)","Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)","127357","Guatteria rigida R.E.Fr.","Annonaceae","Guatteria","rigida","R.E.Fr.",NA,NA,"5892",NA,"Ferreira, CAC",1985,4,30,"Brazil","Amazonas",NA,"BR 230 Rodovia Transamazônica entre os Km 350 e 400 ao leste de Humaitá",NA,NA,NA,"urn:catalog:inpa:herbarium:50119",NA,"Guatteria rigida R.E.Fr.",NA,NA,NA,NA
"9",NA,"F","Botany","V0222222F","Guatteria rigida R.E.Fr.","Annonaceae","Guatteria","rigida","R.E.Fr.","RRC ID Flag","1986-01-01T00:00:00.000+0000","6076",6076,"C. A. Cid Ferreira",1985,9,17,"Brazil","Mato Grosso",NA,NA,-57,-12,NA,"deb8c53b-294c-444a-9e43-d5e501ed2323",NA,"Guatteria rigida R.E.Fr.",NA,NA,NA,NA
"10","2014-09-26T00:00:00.000+0000","Instituto Nacional de Pesquisas da Amazônia (INPA)","Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)","137711","Guatteria rigida R.E.Fr.","Annonaceae","Guatteria","rigida","R.E.Fr.","Johnson, D.M.","1986-01-01T00:00:00.000+0000","6076",NA,"Ferreira, CAC",1985,9,17,"Brazil","Mato Grosso",NA,"BR163 Cuiabá-Sinop a 145 km ao S de Sinop., BR 163, Rodovia Cuiabá-Sinop a 145 km ao S de Sinop. Próximo a Lucas do Rio Verde",-55.92,-13.083333,NA,"urn:catalog:inpa:herbarium:50293",NA,"Guatteria rigida R.E.Fr.",NA,NA,NA,NA
"11",NA,"NY","NY","00836759","Guatteria rigida R.E.Fr.","Annonaceae","Guatteria","rigida","R.E.Fr.","D. M. Johnson","1986-01-01T00:00:00.000+0000","6248",NA,"C. A. Cid Ferreira",1985,9,25,"Brazil","Mato Grosso",NA,"Estr. para Porto dos Gauchos a 25 km da BR 163. Faz. Missionaria. Rio Teles Pires. Cachoeira Cachoeirao",-55.75,-11.67,NA,"4266bb3a-139f-4436-90af-70238e8134f8",NA,"Guatteria rigida R.E.Fr.",NA,NA,NA,NA
