"","modified","institutionCode","collectionCode","catalogNumber","scientificName","family","genus","specificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","recordedBy","year","month","day","country","stateProvince","locality","decimalLongitude","decimalLatitude","occurrenceID","acceptedNameUsage","identificationQualifier","infraspecificEpithet","fieldNumber","municipality","occurrenceRemarks","comments","bibliographicCitation"
"1",NA,NA,"Botany","L.1093893","Pseudoxandra rionegrensis Maas","Annonaceae","Pseudoxandra","rionegrensis","Maas",NA,NA,NA,NA,"Unknown",NA,NA,NA,"unknown or invalid",NA,NA,NA,NA,"http://data.biodiversitydata.nl/naturalis/specimen/L.1093893","Pseudoxandra rionegrensis Maas",NA,NA,NA,NA,NA,NA,NA
"2",NA,NA,"Botany","L.1093892","Pseudoxandra rionegrensis Maas","Annonaceae","Pseudoxandra","rionegrensis","Maas",NA,NA,NA,NA,"Unknown",NA,NA,NA,"unknown or invalid",NA,NA,NA,NA,"http://data.biodiversitydata.nl/naturalis/specimen/L.1093892","Pseudoxandra rionegrensis Maas",NA,NA,NA,NA,NA,NA,NA
"3",NA,NA,"Botany","L.1093894","Pseudoxandra rionegrensis Maas","Annonaceae","Pseudoxandra","rionegrensis","Maas",NA,NA,NA,NA,"Unknown",NA,NA,NA,"unknown or invalid",NA,NA,NA,NA,"http://data.biodiversitydata.nl/naturalis/specimen/L.1093894","Pseudoxandra rionegrensis Maas",NA,NA,NA,NA,NA,NA,NA
"4",NA,NA,"Botany","L.1093895","Pseudoxandra rionegrensis Maas","Annonaceae","Pseudoxandra","rionegrensis","Maas",NA,NA,NA,NA,"Unknown",NA,NA,NA,"unknown or invalid",NA,NA,NA,NA,"http://data.biodiversitydata.nl/naturalis/specimen/L.1093895","Pseudoxandra rionegrensis Maas",NA,NA,NA,NA,NA,NA,NA
"5","2/06/17 16:17","INPA","INPA","158335","Pseudoxandra rionegrensis","Annonaceae","Pseudoxandra",NA,"Maas","Maas, PJM",NA,"holotype",NA,NA,NA,NA,NA,"Brasil","Amazonas","Rio I̤ana, Rio Negro, rio I̤ana, 10 minutes by motorboat upstream from mouth of rio Cubate. Hill at left bank. Disturbed forest.",NA,NA,NA,"Pseudoxandra rionegrensis Maas",NA,NA,NA,NA,NA,NA,NA
"6","2/06/17 16:17","INPA","INPA","167018","Pseudoxandra rionegrensis","Annonaceae","Pseudoxandra",NA,"Maas","Maas, PJM",NA,NA,NA,NA,NA,NA,NA,"Brasil","Amazonas","Rio I̤ana, Serro Grilo, Rio Negro, rio I̤ana, Sero Grilo, hour upstream by motorboat from confluence with rio Negro",NA,NA,NA,"Pseudoxandra rionegrensis Maas",NA,NA,NA,NA,NA,NA,NA
