"","modified","institutionCode","collectionCode","catalogNumber","scientificName","family","genus","specificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLongitude","decimalLatitude","occurrenceRemarks","occurrenceID","bibliographicCitation","acceptedNameUsage","identificationQualifier","infraspecificEpithet","comments"
"1",NA,"ULM","Herbarium University Ulm","35214","Duguetia sessilis (Vell.) Maas","Annonaceae","Duguetia","sessilis","(Vell.) Maas","Maas, P.J.M.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Duguetia sessilis (Vell.) Maas",NA,NA,NA
"2","2017-07-12T12:20:05.000+0000","UM","MPU","MPU566091","Annona rhizantha Eichler","Annonaceae","Duguetia","rhizantha","Eichler",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"http://coldb.mnhn.fr/catalognumber/um/mpu/mpu566091",NA,"Annona rhizantha Eichler",NA,NA,NA
"3","2017-07-07T12:15:16.000+0000","UM","MPU","MPU566090","Annona rhizantha Eichler","Annonaceae","Duguetia","rhizantha","Eichler",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"http://coldb.mnhn.fr/catalognumber/um/mpu/mpu566090",NA,"Annona rhizantha Eichler",NA,NA,NA
"4",NA,"F","Botany","V0231447F","Duguetia sessilis (Vell.) Maas","Annonaceae","Duguetia","sessilis","(Vell.) Maas",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Brazil",NA,NA,NA,-52.8731,-10.8339,NA,"f431943e-9f7b-4242-b6e4-3341240ae217",NA,"Duguetia sessilis (Vell.) Maas",NA,NA,NA
"5",NA,NA,"Botany","L.1093400","Duguetia sessilis (Vell.) Maas","Annonaceae","Duguetia","sessilis","(Vell.) Maas",NA,NA,NA,NA,NA,"Unknown",NA,NA,NA,"unknown or invalid",NA,NA,NA,NA,NA,NA,"http://data.biodiversitydata.nl/naturalis/specimen/L.1093400",NA,"Duguetia sessilis (Vell.) Maas",NA,NA,NA
"6",NA,NA,"Botany","L.1093401","Duguetia sessilis (Vell.) Maas","Annonaceae","Duguetia","sessilis","(Vell.) Maas",NA,NA,NA,NA,NA,"Unknown",NA,NA,NA,"unknown or invalid",NA,NA,NA,NA,NA,NA,"http://data.biodiversitydata.nl/naturalis/specimen/L.1093401",NA,"Duguetia sessilis (Vell.) Maas",NA,NA,NA
"7",NA,"HBG","Ule_nummeriert","3985","Duguetia rhizantha (Eichler) Huber","Annonaceae","Duguetia","rhizantha","(Eichler) Huber",NA,NA,NA,NA,NA,"Ule",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Duguetia rhizantha (Eichler) Huber",NA,NA,NA
"8",NA,"MA","MA","215597-1","Duguetia rhizantha (Eichler) Huber","Annonaceae","Duguetia","rhizantha","(Eichler) Huber",NA,NA,NA,NA,NA,NA,1882,NA,NA,"Brazil",NA,NA,"Environs of Rio Janeiro",NA,NA,"Com. Dr. A. Glaziou April 1883.",NA,NA,"Duguetia rhizantha (Eichler) Huber",NA,NA,NA
