"","modified","institutionCode","collectionCode","catalogNumber","scientificName","family","genus","specificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLongitude","decimalLatitude","occurrenceRemarks","occurrenceID","bibliographicCitation","acceptedNameUsage"
"1","2017-10-19T14:00:12.000+0000","JBRJ","RB","RB00542855","Roupala caparoensis Sleumer","Proteaceae","Roupala","caparoensis","Sleumer","Edwards, K.S.",NA,"LECTOTYPE","16999","Brade,A.C.",1941,9,24,"Brazil","Minas Gerais","Minas Gerais","Serra do caparó, Casa Queimada.",NA,NA,"n.v.:"" carne de vaca"". Prob. Spec. Nova, serius describenda aff R. ovalis Pohl seg Sleumer carta VIII. 1950","urn:catalog:JBRJ:RB:542855",NA,"Roupala caparoensis Sleumer"
"2","2017-10-19T13:17:32.000+0000","JBRJ","RB","RB00662334","Roupala caparoensis Sleumer","Proteaceae","Roupala","caparoensis","Sleumer","Edwards, K.S.",NA,"LECTOTYPE","16999","Brade,A.C.",1941,9,24,"Brazil","Minas Gerais","Minas Gerais","Serra do caparó, Casa Queimada.",NA,NA,"n.v.:"" carne de vaca"". Prob. Spec. Nova, serius describenda aff R. ovalis Pohl seg Sleumer carta VIII. 1950","urn:catalog:JBRJ:RB:662334",NA,"Roupala caparoensis Sleumer"
"3","2017-10-19T13:54:54.000+0000","JBRJ","RB","RB00662479","Roupala caparoensis Sleumer","Proteaceae","Roupala","caparoensis","Sleumer","Edwards, K.S.",NA,"LECTOTYPE","16999","Brade,A.C.",1941,9,24,"Brazil","Minas Gerais","Minas Gerais","Serra do caparó, Casa Queimada.",NA,NA,"n.v.:"" carne de vaca"". Prob. Spec. Nova, serius describenda aff R. ovalis Pohl seg Sleumer carta VIII. 1950","urn:catalog:JBRJ:RB:662479",NA,"Roupala caparoensis Sleumer"
"4","2017-10-19T13:54:43.000+0000","JBRJ","RB","RB00662481","Roupala caparoensis Sleumer","Proteaceae","Roupala","caparoensis","Sleumer","Edwards, K.S.",NA,"LECTOTYPE","16999","Brade,A.C.",1941,9,24,"Brazil","Minas Gerais","Minas Gerais","Serra do caparó, Casa Queimada.",NA,NA,"n.v.:"" carne de vaca"". Prob. Spec. Nova, serius describenda aff R. ovalis Pohl seg Sleumer carta VIII. 1950","urn:catalog:JBRJ:RB:662481",NA,"Roupala caparoensis Sleumer"
