"","modified","institutionCode","collectionCode","catalogNumber","scientificName","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","recordNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLongitude","decimalLatitude","occurrenceRemarks","occurrenceID","bibliographicCitation","acceptedNameUsage","identificationQualifier","typeStatus","fieldNumber","comments"
"1","2014-07-08T00:59:08.000+0000","JBRJ","RB","RB00767484","Talisia marleneana (Guarim) Acev.-Rodr.","Sapindaceae","Talisia","marleneana",NA,"(Guarim) Acev.-Rodr.","N.A. Rosa",NA,"452","M.P. do Nascimento",2010,6,26,"Brazil","Pará","Santarém","Área do Projeto Sustentabilidade dos Usos da Terra na Amazônia. Flona de Tapajós.",NA,NA,"Árvore com 4,5m de altura e 5cm de DAP, ritidoma bege claro, casca-morta avermelhada, casca-viva marrom, alburno bege claro, flor branca","urn:catalog:JBRJ:RB:767484",NA,"Talisia marleneana (Guarim) Acev.-Rodr.",NA,NA,NA,NA
"2",NA,"US","Botany","3676387","Talisia marleneana (Guarim) Acev.-Rodr.","Sapindaceae","Talisia","marleneana",NA,"(Guarim) Acev.-Rodr.","Acevedo-Rodríguez, P., (BOT), Smithsonian Institution - National Museum of Natural History (UNITED STATES)",NA,"2997","D. C. Zappi, A. C. Araújo, T. Marinho & W. Milliken",2010,9,1,"Brazil","Roraima",NA,"Mun. Rorainópolis, Reserva Popular Xixuaú-Xiparina, Proximidades da Ilha do Inajal",-61.9772,-1.3961,NA,"http://n2t.net/ark:/65665/317ee66de-968a-46bf-81d4-50c43ceb6e1c",NA,"Talisia marleneana (Guarim) Acev.-Rodr.",NA,NA,NA,NA
"3",NA,"US","Botany","3695520","Talisia marleneana (Guarim) Acev.-Rodr.","Sapindaceae","Talisia","marleneana",NA,"(Guarim) Acev.-Rodr.","Acevedo-Rodríguez, P., (BOT), Smithsonian Institution - National Museum of Natural History (UNITED STATES)",NA,"529","J. Stancik, S. Sakagawa, M. Tavares, R. Silva & F. da Costa",2008,7,14,"Brazil","Amazonas",NA,"Presidente Figueiredo, Rebio Uatumã, grade do PPBio",-59,-1,NA,"http://n2t.net/ark:/65665/32475312b-628c-42ad-8d99-7152845869ae",NA,"Talisia marleneana (Guarim) Acev.-Rodr.",NA,NA,NA,NA
"4","2014-09-26T00:00:00.000+0000","Instituto Nacional de Pesquisas da Amazônia (INPA)","Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)","230146","Talisia marleneana (Guarim) Acev.-Rodr.","Sapindaceae","Talisia","marleneana",NA,"(Guarim) Acev.-Rodr.","Formiga, K.","2007-12-01T00:00:00.000+0000","184","Ramos, MP",2007,6,14,"Brazil","Pará",NA,"Estrada da Ferrovia (km32)",-56.05,-2.443944,"Arvoreta de 7m de altura, DAP 3.3cm. Inflorescência em espiga, flores sésseis na cor creme.","urn:catalog:inpa:herbarium:216559",NA,"Talisia marleneana (Guarim) Acev.-Rodr.",NA,NA,NA,NA
"5","2014-09-26T00:00:00.000+0000","Instituto Nacional de Pesquisas da Amazônia (INPA)","Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)","230147","Talisia marleneana (Guarim) Acev.-Rodr.","Sapindaceae","Talisia","marleneana",NA,"(Guarim) Acev.-Rodr.","Formiga, K.","2007-12-01T00:00:00.000+0000","220","Ramos, MP",2007,6,15,"Brazil","Pará",NA,"Estrada da Comunidade São Francisco",-56.05,-2.478556,"matriz","urn:catalog:inpa:herbarium:216560",NA,"Talisia marleneana (Guarim) Acev.-Rodr.",NA,NA,NA,NA
"6","2014-09-26T00:00:00.000+0000","Instituto Nacional de Pesquisas da Amazônia (INPA)","Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)","226559","Talisia marleneana (Guarim) Acev.-Rodr.","Sapindaceae","Talisia","marleneana",NA,"(Guarim) Acev.-Rodr.","Acevedo-Rodríguez, P.",NA,"2717","Ribeiro, JELS",2006,7,17,"Brazil","Amazonas",NA,"Rebio Uatumã., Entorno. Picada da Suçuarana, próximo à cachoeira.",-59,-1,NA,"urn:catalog:inpa:herbarium:212704",NA,"Talisia marleneana (Guarim) Acev.-Rodr.",NA,NA,NA,NA
"7",NA,"Universidade Federal dos Vales do Jequitinhonha e Mucuri (UFVJM)","HDJF","153","Talisia marleneana (Guarim) Acev.-Rodr.","Sapindaceae","Talisia","marleneana",NA,"(Guarim) Acev.-Rodr.","Acevedo-Rodríguez, P","2003-01-01T00:00:00.000+0000","s.n.","Acevedo-Rodríguez, P; Santos, JL; Oliveira, JG",1996,1,1,"Brazil","Amazonas",NA,NA,-62.983333,-0.133333,"(INPA #?# Rg. 189237). 3,5 m de altura, ramificado, caule com 2,5 cm de diâmetro; raque da folha 20-75 cm de comprimento, com 3-15 folíolos; terminais da inflorescência; raques verdes; sépalas e pétalas creme. Hastes habitado por formigas.; Floresta Am","BRA:UFVJM:HDJF:0000000153",NA,"Talisia marleneana (Guarim) Acev.-Rodr.",NA,NA,NA,NA
"8","2014-09-26T00:00:00.000+0000","Instituto Nacional de Pesquisas da Amazônia (INPA)","Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)","189391","Talisia marleneana (Guarim) Acev.-Rodr.","Sapindaceae","Talisia","marleneana",NA,"(Guarim) Acev.-Rodr.","Acevedo-Rodríguez, P.","2003-10-01T00:00:00.000+0000","8307","Acevedo-Rodr�_guez, P",1996,8,14,"Brazil","Amazonas",NA,"Along Cuiuini River (Black waters) up to 5 Km N of boat. Boat stationed",-62.25,-0.116667,NA,"urn:catalog:inpa:herbarium:1472",NA,"Talisia marleneana (Guarim) Acev.-Rodr.",NA,NA,NA,NA
"9",NA,"US","Botany","3354503","Talisia marleneana (Guarim) Acev.-Rodr.","Sapindaceae","Talisia","marleneana",NA,"(Guarim) Acev.-Rodr.",NA,NA,"8150","P. Acevedo-Rodriguez, J. L. Santos & J. Guedes",1996,8,9,"Brazil","Amazonas",NA,"Amazonas: W of Romao.",-62.9331,-0.4189,NA,"http://n2t.net/ark:/65665/349a1cf35-2f67-4b66-9a02-610674b70c61",NA,"Talisia marleneana (Guarim) Acev.-Rodr.",NA,NA,NA,NA
"16",NA,"NY","NY","01256580","Talisia marleneana (Guarim) Acev.-Rodr.","Sapindaceae","Talisia","marleneana",NA,"(Guarim) Acev.-Rodr.","P. Acevedo-Rodríguez","2001-01-01T00:00:00.000+0000","3311","J. F. Pruski",1987,9,29,"Brazil","Amapá",NA,"W bank of Rio Falsino, approx. 10 km upstream from confluence with Rio Araguari and about 8 hours upstream by boat from Pôrto Grande.  Inventory site.",-51.67,1,NA,"8e7db0d9-6856-4c64-81eb-badea3294bf7",NA,"Talisia marleneana (Guarim) Acev.-Rodr.",NA,NA,NA,NA
"17","2008-07-24T03:32:00.000+0000","MO","MO","3194279","Talisia marleneana (Guarim) Acev.-Rodr.","Sapindaceae","Talisia","marleneana",NA,"(Guarim) Acev.-Rodr.","Pedro Acevedo","2001-01-01T00:00:00.000+0000","Pruski 3311","John Pruski",1987,9,29,"Brazil","Amapá",NA,"Rio Falsino, West Bank, ca. 10 km upstream from confluence with Rio Araguari and about 8 hours by boat upstream from Pôrto Grande. Terra firme; inventory site.",-51.66666,1,NA,"urn:catalog:MO:Tropicos:3194279","http://www.tropicos.org/Specimen/3194279","Talisia marleneana (Guarim) Acev.-Rodr.",NA,NA,NA,NA
"18","2014-09-26T00:00:00.000+0000","Instituto Nacional de Pesquisas da Amazônia (INPA)","Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)","141990","Talisia marleneana (Guarim) Acev.-Rodr.","Sapindaceae","Talisia","marleneana",NA,"(Guarim) Acev.-Rodr.","Acevedo-Rodríguez, P.","1999-01-01T00:00:00.000+0000","132","Soares, E",1986,6,20,"Brazil","Pará",NA,"Porto Trombetas - Viveiro, vila C-1, próximo ao campo de futebol",NA,NA,NA,"urn:catalog:inpa:herbarium:185784",NA,"Talisia marleneana (Guarim) Acev.-Rodr.",NA,NA,NA,NA
"19","2014-09-26T00:00:00.000+0000","Instituto Nacional de Pesquisas da Amazônia (INPA)","Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)","152835","Talisia marleneana (Guarim) Acev.-Rodr.","Sapindaceae","Talisia","marleneana",NA,"(Guarim) Acev.-Rodr.","Acevedo-Rodríguez, P.","1999-01-01T00:00:00.000+0000","276","Freitas, CAA",1986,8,16,"Brazil","Amazonas",NA,"""Usina Hidrelétrica de Balbina, Usina Hidrelétrica de Balbina,193 Km de Manaus; estrada da Cachoeira próximo ao Aeroporto.""",NA,NA,NA,"urn:catalog:inpa:herbarium:58871",NA,"Talisia marleneana (Guarim) Acev.-Rodr.",NA,NA,NA,NA
"20",NA,"UFAC","UFACPZ","4326","Talisia marleneana (Guarim) Acev.-Rodr.","Sapindaceae","Talisia","marleneana",NA,"(Guarim) Acev.-Rodr.",NA,NA,"8218","Ferreira, C.A.C.",1986,9,19,"Brazil","Acre",NA,NA,NA,NA,NA,"BRA:UFAC:UFACPZ:0000004326",NA,"Talisia marleneana (Guarim) Acev.-Rodr.",NA,NA,NA,NA
"21","2014-09-26T00:00:00.000+0000","Instituto Nacional de Pesquisas da Amazônia (INPA)","Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)","146686","Talisia marleneana (Guarim) Acev.-Rodr.","Sapindaceae","Talisia","marleneana",NA,"(Guarim) Acev.-Rodr.","Acevedo-Rodríguez, P.","2003-10-01T00:00:00.000+0000","316","Henderson, AJ",1985,5,6,"Brazil","Amazonas",NA,"BR 230 Estrada Transamazonica, 3 Km E of Sucunduri",-59,-7,NA,"urn:catalog:inpa:herbarium:69105",NA,"Talisia marleneana (Guarim) Acev.-Rodr.",NA,NA,NA,NA
"22","2014-09-26T00:00:00.000+0000","Instituto Nacional de Pesquisas da Amazônia (INPA)","Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)","112687","Talisia marleneana (Guarim) Acev.-Rodr.","Sapindaceae","Talisia","marleneana",NA,"(Guarim) Acev.-Rodr.","Acevedo-Rodríguez, P.","1999-01-01T00:00:00.000+0000","1296","Amaral, IL do",1983,5,18,"Brazil","Pará",NA,"Estrada Santarém-Cuiabá, BR-163, Km 1208, Serra Mazi, sul do Pará",-55.67,-5.916667,NA,"urn:catalog:inpa:herbarium:5881",NA,"Talisia marleneana (Guarim) Acev.-Rodr.",NA,NA,NA,NA
"23","2014-09-26T00:00:00.000+0000","Instituto Nacional de Pesquisas da Amazônia (INPA)","Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)","106324","Talisia marleneana (Guarim) Acev.-Rodr.","Sapindaceae","Talisia","marleneana",NA,"(Guarim) Acev.-Rodr.","Acevedo-Rodríguez, P.","2003-10-01T00:00:00.000+0000","157","Branch, LC",1982,7,10,"Brazil","Pará",NA,"Alter do Chão, Serra do Tucuruí, Cachoeira Velha",NA,NA,NA,"urn:catalog:inpa:herbarium:18897",NA,"Talisia marleneana (Guarim) Acev.-Rodr.",NA,NA,NA,NA
"25",NA,"US","Botany","2989889","Talisia marleneana (Guarim) Acev.-Rodr.","Sapindaceae","Talisia","marleneana",NA,"(Guarim) Acev.-Rodr.",NA,NA,"6791","G. Martinelli",1980,6,5,"Brazil","Pará",NA,"Mun. de Oriximiná: Estrada Oriximiná-Obidos, ramal Felandia, 55 km de Oriximiná.",-55.8639,-1.7653,"INPA, US","http://n2t.net/ark:/65665/312c0eca0-36d3-4e9b-90de-8c20afc95df3",NA,"Talisia marleneana (Guarim) Acev.-Rodr.",NA,NA,NA,NA
"26","2008-07-24T10:14:00.000+0000","MO","MO","100141666","Talisia mollis var. marleneana Guarim","Sapindaceae","Talisia","mollis","marleneana","var. marleneana Guarim",NA,NA,"Martinelli 6791","Gustavo Martinelli",1980,6,5,"Brazil","Pará",NA,"Estrada Oriximiná-Óbidos, ramal Felandia, 55 km de Oriximina.",NA,NA,NA,"urn:catalog:MO:Tropicos:100141666","http://www.tropicos.org/Specimen/100141666","Talisia mollis var. marleneana Guarim",NA,NA,NA,NA
"28","2017-10-19T03:44:52.000+0000","JBRJ","RB","RB00386310","Talisia marleneana (Guarim) Acev.-Rodr.","Sapindaceae","Talisia","marleneana",NA,"(Guarim) Acev.-Rodr.","P. Acevedo-Rdgz","2003-01-01T00:00:00.000+0000","6805","G. Martinelli; C. Davidison, C. D. A. Mota",1980,6,9,"Brazil","Pará","Oriximiná","caminho para o campo de Ariramba, Serra da Preciosa, próximo ao igarapé de Jaramacarú.",NA,NA,"arbusto, escandente, freqüente? folhas concolores; infl. no ápice dos ramos; flores em botões vermeelhos-pálidos","urn:catalog:JBRJ:RB:386310",NA,"Talisia marleneana (Guarim) Acev.-Rodr.",NA,NA,NA,NA
"30",NA,NA,"Botany","U.1598089","Talisia marleneana (Guarim) Acev.-Rodr.","Sapindaceae","Talisia","marleneana",NA,"(Guarim) Acev.-Rodr.","P; Acevedo-Rodríguez P",NA,NA,"Davidson C; Martinelli G",1980,6,5,"Brazil","Pará",NA,NA,NA,NA,NA,"http://data.biodiversitydata.nl/naturalis/specimen/U.1598089",NA,"Talisia marleneana (Guarim) Acev.-Rodr.",NA,NA,NA,NA
"31",NA,"US","Botany","3225420","Talisia marleneana (Guarim) Acev.-Rodr.","Sapindaceae","Talisia","marleneana",NA,"(Guarim) Acev.-Rodr.",NA,NA,"10073","C. Davidson & -. Martinelli",1980,6,5,"Brazil","Pará",NA,"Oriximina",-55.8,-1.78,"INPA, K, US","http://n2t.net/ark:/65665/37cb3b645-f032-416c-a47b-862a851225c2",NA,"Talisia marleneana (Guarim) Acev.-Rodr.",NA,NA,NA,NA
