"","modified","institutionCode","collectionCode","catalogNumber","scientificName","family","genus","specificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLongitude","decimalLatitude","occurrenceRemarks","occurrenceID","acceptedNameUsage","identificationQualifier","infraspecificEpithet","fieldNumber","comments","bibliographicCitation"
"1","2016-05-11T15:38:17.000+0000","JBRJ","RB","RB00826791","Matayba obovata R.L.G.Coelho, V.C.Souza & Ferrucci","Sapindaceae","Matayba","obovata","R.L.G.Coelho, V.C.Souza & Ferrucci","COELHO,R","2016-04-27T00:00:00.000+0000",NA,7747,"Haroldo C. de Lima; Vilson M. Oliveira",2014,1,26,"Brazil","Rio de Janeiro","Petrópolis","Itaipava, Vale do Sossego, Condominio Vale do Sossego, terreno da rua D, casa 550. Mata de encosta degradada.",NA,NA,"Árvore com 9 metros de altura. Tronco com casca lisa e pardacenta, DAP ca. 15 cm. Frutos verde-avermelhados, sementes imaturas castanho-avermelhadas. Ocasional. Material DNA.","urn:catalog:JBRJ:RB:826791","Matayba obovata R.L.G.Coelho, V.C.Souza & Ferrucci",NA,NA,NA,NA,NA
"2",NA,"Escola Superior de Agricultura Luiz de Queiroz, ESALQ","ESA","ESA129015","Matayba obovata R.L.G.Coelho, V.C.Souza & Ferrucci","Sapindaceae","Matayba","obovata","R.L.G.Coelho, V.C.Souza & Ferrucci","Colletta, G.D. et al.","2014-01-01T00:00:00.000+0000",NA,1431,"Colletta, G.D.",2014,4,16,"Brazil","São Paulo","Tapiraí","Reserva CBA, Represa",NA,NA,NA,"BRA:ESALQ:ESA:0ESA129015","Matayba obovata R.L.G.Coelho, V.C.Souza & Ferrucci",NA,NA,NA,NA,NA
"3",NA,"Escola Superior de Agricultura Luiz de Queiroz, ESALQ","ESA","ESA128443","Matayba obovata R.L.G.Coelho, V.C.Souza & Ferrucci","Sapindaceae","Matayba","obovata","R.L.G.Coelho, V.C.Souza & Ferrucci",NA,NA,NA,151,"Virillo, C.B.",2013,4,1,"Brazil","São Paulo","Tapiraí","Reserva Particular da Votorantim (CBA). UHE - Trilha da Chaminé, Floresta Ombrófila Densa na beira do ribeirão do veado",-47.204722,-24.110555,NA,"BRA:ESALQ:ESA:0ESA128443","Matayba obovata R.L.G.Coelho, V.C.Souza & Ferrucci",NA,NA,NA,NA,NA
"4",NA,"Escola Superior de Agricultura Luiz de Queiroz, ESALQ","ESA","ESA116710","Matayba obovata R.L.G.Coelho, V.C.Souza & Ferrucci","Sapindaceae","Matayba","obovata","R.L.G.Coelho, V.C.Souza & Ferrucci","Souza, V.C.","2012-01-01T00:00:00.000+0000",NA,34192,"Souza, V.C.",2012,1,3,"Brazil","São Paulo","Miracatu",NA,NA,NA,NA,"BRA:ESALQ:ESA:0ESA116710","Matayba obovata R.L.G.Coelho, V.C.Souza & Ferrucci",NA,NA,NA,NA,NA
"5",NA,"UEFS","HUEFS","188507","Matayba obovata R.L.G.Coelho, V.C.Souza & Ferrucci","Sapindaceae","Matayba","obovata","R.L.G.Coelho, V.C.Souza & Ferrucci",NA,NA,NA,861,"Matos, E.N.de",2011,11,28,"Brazil","Bahia","Conde","Fazenda Fundão",-37.586389,-11.871111,"Restinga. Nanofloresta e Moitas","BRA:UEFS:HUEFS:0000188507","Matayba obovata R.L.G.Coelho, V.C.Souza & Ferrucci",NA,NA,NA,NA,NA
"6",NA,"UEFS","HUEFS","188893","Matayba obovata R.L.G.Coelho, V.C.Souza & Ferrucci","Sapindaceae","Matayba","obovata","R.L.G.Coelho, V.C.Souza & Ferrucci",NA,NA,NA,1927,"Matos, E.N.de",2011,11,25,"Brazil","Bahia","Conde","Sítio do Conde-Fazenda Cezo",-37.601111,-11.888889,"Restinga. Floresta.","BRA:UEFS:HUEFS:0000188893","Matayba obovata R.L.G.Coelho, V.C.Souza & Ferrucci",NA,NA,NA,NA,NA
"7",NA,"UEFS","HUEFS","177253","Matayba obovata R.L.G.Coelho, V.C.Souza & Ferrucci","Sapindaceae","Matayba","obovata","R.L.G.Coelho, V.C.Souza & Ferrucci",NA,NA,NA,1859,"Matos, E.N.de",2011,11,25,"Brazil","Bahia","Conde","Sítio do Conde-Faz. Cezo",-37.601111,-11.888889,"Floresta","BRA:UEFS:HUEFS:0000177253","Matayba obovata R.L.G.Coelho, V.C.Souza & Ferrucci",NA,NA,NA,NA,NA
"8","2017-10-13T18:25:31.000+0000","JBRJ","RB","RB00348397","Matayba obovata R.L.G.Coelho, V.C.Souza & Ferrucci","Sapindaceae","Matayba","obovata","R.L.G.Coelho, V.C.Souza & Ferrucci","Rubens L.G. Coelho","2010-05-31T00:00:00.000+0000",NA,1504,"S. J. Silva Neto; H. C. de Lima, L. Sylvestre & W. da Silva",2001,11,13,"Brazil","Rio de Janeiro","Nova Iguaçu","Estrada do Ouro, proximidades do Rio São Pedro. REBIO do Tinguá",-43.468611,-22.540278,"Árvore semi-ciófila, ca. 9 m de altura; folhas breve discolores sub-coriáceas; frutos imaturos verdes.","urn:catalog:JBRJ:RB:348397","Matayba obovata R.L.G.Coelho, V.C.Souza & Ferrucci",NA,NA,NA,NA,NA
"9",NA,"UNICAMP","UEC","113806","Matayba obovata R.L.G.Coelho, V.C.Souza & Ferrucci","Sapindaceae","Matayba","obovata","R.L.G.Coelho, V.C.Souza & Ferrucci","Coelho, R.L.G.","2009-09-23T00:00:00.000+0000",NA,948,"Pedroni, F.; Sanchez, M.",1996,11,28,"Brazil","São Paulo","Ubatuba","Picinguaba, Mata de Planície; restinga.",-44.8,-23.366667,"Árvore 808 com 18 m. de altura, com frutos.","BRA:UNICAMP:UEC:0000113806","Matayba obovata R.L.G.Coelho, V.C.Souza & Ferrucci",NA,NA,NA,NA,NA
"11","2014-07-22T14:21:37.000+0000","JBRJ","RB","RB00386990","Matayba obovata R.L.G.Coelho, V.C.Souza & Ferrucci","Sapindaceae","Matayba","obovata","R.L.G.Coelho, V.C.Souza & Ferrucci","Rubens L.G. Coelho","2010-05-31T00:00:00.000+0000",NA,959,"P.L.R. Morais; H.C. Lima, C.C. Diniz, D.S. Farias",1994,4,23,"Brazil","São Paulo","São Miguel Arcanjo","Parque Estadual de Carlos Botelho. Parque Estadual de Carlos Botelho",NA,NA,"Árvore, ca. 8m. Material estéril.","urn:catalog:JBRJ:RB:386990","Matayba obovata R.L.G.Coelho, V.C.Souza & Ferrucci",NA,NA,NA,NA,NA
