"","modified","institutionCode","collectionCode","catalogNumber","scientificName","family","genus","specificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLongitude","decimalLatitude","occurrenceRemarks","occurrenceID","bibliographicCitation","acceptedNameUsage"
"24","2015-02-09T00:00:00.000+0000","BR",NA,"BR0000013085766","Lacunaria oppositifolia Pires","Quiinaceae","Lacunaria","oppositifolia","Pires",NA,NA,NA,"6443",NA,"Krukoff B.A.",1934,NA,NA,"Brazil",NA,NA,NA,NA,NA,NA,"http://www.botanicalcollections.be/specimen/BR0000013085766",NA,"Lacunaria oppositifolia Pires"
"26","2014-12-18T14:55:47.000+0000","JBRJ","RB","RB00909274","Lacunaria oppositifolia Pires","Quiinaceae","Lacunaria","oppositifolia","Pires",NA,NA,NA,NA,NA,"A. Ducke",1931,11,8,"Brazil","Amazonas","Amazonas","Cachoeiria Grande.",NA,NA,"Árvore pequena, flor branca. Plantas novas (da raiz da árvore).","urn:catalog:JBRJ:RB:909274",NA,"Lacunaria oppositifolia Pires"
"27","2017-10-10T21:35:19.000+0000","JBRJ","RB","RB00322802","Lacunaria oppositifolia Pires","Quiinaceae","Lacunaria","oppositifolia","Pires","J.M.Pires","1978-11-30T00:00:00.000+0000",NA,NA,NA,"A.Ducke",1929,12,3,"Brazil","Amazonas","São Gabriel da Cachoeira",NA,NA,NA,"arbor parva","urn:catalog:JBRJ:RB:322802",NA,"Lacunaria oppositifolia Pires"
"28",NA,NA,"Botany","U.1532481","Lacunaria oppositifolia Pires","Quiinaceae","Lacunaria","oppositifolia","Pires",NA,NA,NA,NA,NA,"Ducke A",1929,12,3,"Brazil",NA,NA,"São Gabriel, Rio Negro (civ. Amazonas), in silva nou inundabili, loco humido.",NA,NA,NA,"http://data.biodiversitydata.nl/naturalis/specimen/U.1532481",NA,"Lacunaria oppositifolia Pires"
"29",NA,"W","Herbarium W","1889-0000198","Lacunaria oppositifolia Pires","Quiinaceae","Lacunaria","oppositifolia","Pires","annot. J. Walter (W) 2017-06",NA,NA,NA,NA,"Spruce,R.",1852,10,NA,"Brazil",NA,NA,"Prope Panurè ad Rio Uaupès.",NA,NA,NA,NA,NA,"Lacunaria oppositifolia Pires"
"30","2015-12-01T00:00:00.000+0000","K","Herbarium","K001206077","Lacunaria oppositifolia Pires","Quiinaceae","Lacunaria","oppositifolia","Pires",NA,NA,NA,"6877",NA,"Krukoff, B.A.",NA,NA,NA,"Brazil",NA,"Humaitá","Near Livramento.",NA,NA,NA,"http://specimens.kew.org/herbarium/K001206077",NA,"Lacunaria oppositifolia Pires"
"31","2015-12-01T00:00:00.000+0000","K","Herbarium","K001206079","Lacunaria oppositifolia Pires","Quiinaceae","Lacunaria","oppositifolia","Pires",NA,NA,NA,"6443",NA,"Krukoff, B.A.",NA,NA,NA,"Brazil",NA,NA,NA,NA,NA,NA,"http://specimens.kew.org/herbarium/K001206079",NA,"Lacunaria oppositifolia Pires"
"32",NA,"US","Botany","3097122","Lacunaria oppositifolia Pires","Quiinaceae","Lacunaria","oppositifolia","Pires",NA,NA,NA,"18632",NA,"C. C. Berg, W. C. Steward, J. F. Ramos, O. P. Monteiro & J. F. Lima",NA,NA,NA,"Brazil","Mato Grosso",NA,"On banks of Rio Ariuanã, below Andurina Falls",-59.35,-10.2,NA,"http://n2t.net/ark:/65665/32d34a3bc-fefe-417e-9e58-e2980b7ac080",NA,"Lacunaria oppositifolia Pires"
"33",NA,"US","Botany","1985343","Lacunaria oppositifolia Pires","Quiinaceae","Lacunaria","oppositifolia","Pires",NA,NA,NA,"664",NA,"J. M. Pires",NA,NA,NA,"Brazil","Amazonas",NA,"Rio Uaupés",NA,NA,NA,"http://n2t.net/ark:/65665/34f64334b-8bd9-4b34-9442-660bc91c2866",NA,"Lacunaria oppositifolia Pires"
"34","2015-12-01T00:00:00.000+0000","K","Herbarium","K001206080","Lacunaria oppositifolia Pires","Quiinaceae","Lacunaria","oppositifolia","Pires",NA,NA,NA,"8997/A",NA,"Schultes, R.E.",NA,NA,NA,"Brazil",NA,NA,"Near Trovão. Rio Vaupés, between Ipanoré and confluence with Rio Negro.",NA,NA,NA,"http://specimens.kew.org/herbarium/K001206080",NA,"Lacunaria oppositifolia Pires"
"36","2010-09-14T00:00:00.000+0000","BR",NA,"BR0000005293490","Lacunaria oppositifolia Pires","Quiinaceae","Lacunaria","oppositifolia","Pires",NA,NA,"TYPE","2672",NA,"Spruce R.",NA,NA,NA,"Brazil",NA,NA,NA,NA,NA,NA,"http://www.botanicalcollections.be/specimen/BR0000005293490",NA,"Lacunaria oppositifolia Pires"
"38","2015-12-01T00:00:00.000+0000","K","Herbarium","K001206078","Lacunaria oppositifolia Pires","Quiinaceae","Lacunaria","oppositifolia","Pires",NA,NA,NA,"s.n.",NA,"Ducke, A.",NA,NA,NA,"Brazil",NA,"São Gabriel da Cachoeira","São Gabriel, Rio Negro.",NA,NA,NA,"http://specimens.kew.org/herbarium/K001206078",NA,"Lacunaria oppositifolia Pires"
"39","2017-10-18T00:26:25.000+0000","JBRJ","RB","RB00322786","Lacunaria oppositifolia Pires","Quiinaceae","Lacunaria","oppositifolia","Pires","Georg Zizka","1996-01-01T00:00:00.000+0000",NA,"850",NA,"J.M.Pires",NA,NA,NA,"Brazil","Amazonas","Amazonas","Alto do Rio Negro.",NA,NA,"Árvore pequena, madeira dura e avermelhada","urn:catalog:JBRJ:RB:322786",NA,"Lacunaria oppositifolia Pires"
"40",NA,"W","Herbarium W","1938-0003079","Lacunaria oppositifolia Pires","Quiinaceae","Lacunaria","oppositifolia","Pires",NA,NA,NA,NA,NA,"REFLORA provisional entry",NA,NA,NA,"Brazil",NA,NA,NA,NA,NA,NA,NA,NA,"Lacunaria oppositifolia Pires"
"41",NA,"US","Botany","2575561A","Lacunaria oppositifolia Pires","Quiinaceae","Lacunaria","oppositifolia","Pires",NA,NA,NA,"60772",NA,"N. T. Silva & U. Brazão",NA,NA,NA,"Brazil","Amazonas",NA,"Between Maloca and Rio Cauaburí",NA,NA,NA,"http://n2t.net/ark:/65665/38b8b2a91-6d77-44c9-ad0e-18b209582fa4",NA,"Lacunaria oppositifolia Pires"
"42",NA,"US","Botany","1776396","Lacunaria oppositifolia Pires","Quiinaceae","Lacunaria","oppositifolia","Pires",NA,NA,NA,"s.n.",NA,"A. Ducke",NA,NA,NA,"Brazil","Amazonas",NA,"Rio Negro",NA,NA,NA,"http://n2t.net/ark:/65665/3834f411a-8aeb-428d-a965-eb7464063909",NA,"Lacunaria oppositifolia Pires"
"43",NA,"US","Botany","1996681","Lacunaria oppositifolia Pires","Quiinaceae","Lacunaria","oppositifolia","Pires",NA,NA,NA,"8997 A",NA,"R. E. Schultes",NA,NA,NA,"Brazil","Amazonas",NA,"Rio Vaupés, between Ipanoré and confluence with Rio Negro. Near Trovão",NA,NA,NA,"http://n2t.net/ark:/65665/3f8f22b1d-6a39-4289-9ed7-cf7f8df93748",NA,"Lacunaria oppositifolia Pires"
"44",NA,"US","Botany","2575502A","Lacunaria oppositifolia Pires","Quiinaceae","Lacunaria","oppositifolia","Pires",NA,NA,NA,"60692",NA,"N. T. Silva & U. Brazão",NA,NA,NA,"Brazil","Amazonas",NA,"Between Palmito and Tatu Camps",NA,NA,NA,"http://n2t.net/ark:/65665/313abc402-327b-4569-9222-1f65fa09cba1",NA,"Lacunaria oppositifolia Pires"
