"","modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLongitude","decimalLatitude","occurrenceRemarks","occurrenceID","bibliographicCitation","acceptedNameUsage"
"99","2015-11-30T11:43:10.000+0000","MNHN","P","P00071955","Quiina negrensis A.C.Sm.",NA,"Quiinaceae","Quiina","negrensis","A.C.Sm.","Schneider",NA,"ISOTYPE",NA,"8008","Krukoff, B.A.",1936,8,12,"Brazil",NA,NA,NA,NA,NA,"Reçu le 6 décembre 1937","http://coldb.mnhn.fr/catalognumber/mnhn/p/p00071955",NA,"Quiina negrensis A.C.Sm."
"100",NA,"F","Botany","V0093879F","Quiina negrensis A.C.Sm.",NA,"Quiinaceae","Quiina","negrensis","A.C.Sm.",NA,NA,"ISOTYPE","8008",NA,"B. A. Krukoff",1936,8,12,"Brazil","Amazonas",NA,"Manaos, basin of Rio Negro; along road to Alexio",NA,NA,NA,"971a6f88-9fbd-4f5f-85b5-a40524791ba7",NA,"Quiina negrensis A.C.Sm."
"101",NA,"NY","NY","63987","Quiina negrensis A.C.Sm.",NA,"Quiinaceae","Quiina","negrensis","A.C.Sm.",NA,NA,"TYPE","8008",NA,"B. A. Krukoff",1936,8,12,"Brazil","Amazonas",NA,"along road to Aleixo.",-59.955906,-3.075656,NA,"06940dd0-e3f8-4f31-b550-35e54b4f2de3",NA,"Quiina negrensis A.C.Sm."
"102","2008-05-27T22:02:00.000+0000","MO","MO","1915541","Quiina negrensis A.C.Sm.",NA,"Quiinaceae","Quiina","negrensis","A.C.Sm.","Julio V. Schneider","2000-01-01T00:00:00.000+0000","TYPE","Krukoff 8008",NA,"Boris A. Krukoff",1936,8,12,"Brazil","Amazonas",NA,"Terra firma. High forest. Municipality Manaos, along road to Aleixo.",NA,NA,NA,"urn:catalog:MO:Tropicos:1915541","http://www.tropicos.org/Specimen/1915541","Quiina negrensis A.C.Sm."
"103",NA,"US","Botany","1741554","Quiina negrensis A.C.Sm.",NA,"Quiinaceae","Quiina","negrensis","A.C.Sm.",NA,NA,"ISOTYPE","8008",NA,"B. A. Krukoff",1936,8,12,"Brazil","Amazonas",NA,"Manaos, road to Aleixo.",NA,NA,NA,"http://n2t.net/ark:/65665/36bdf6cc7-afda-4c57-8997-a850392cc0ea",NA,"Quiina negrensis A.C.Sm."
"104",NA,NA,"Botany","U.1532917","Quiina negrensis A.C.Sm.",NA,"Quiinaceae","Quiina","negrensis","A.C.Sm.",NA,NA,NA,NA,NA,"Krukoff BA",1936,8,12,"Brazil",NA,NA,"Basin of Rio Negro. State of Amazonas: Municipality Manaos, along road to Aleixo.",NA,NA,NA,"http://data.biodiversitydata.nl/naturalis/specimen/U.1532917",NA,"Quiina negrensis A.C.Sm."
"105","2007-12-04T15:29:42.000+0000","K","Herbarium","K000328627","Quiina negrensis A.C.Sm.",NA,"Quiinaceae","Quiina","negrensis","A.C.Sm.","Schneider, J.",NA,NA,"8008",NA,"Krukoff, B.A.",1936,8,12,"Brazil",NA,NA,"Basin of Rio Negro  Municipality Manaos, along road to Aleixo.",NA,NA,"Sheet 1/2  Associated with K000328628","http://specimens.kew.org/herbarium/K000328627",NA,"Quiina negrensis A.C.Sm."
"106",NA,"F","Botany","V0093880F","Quiina negrensis A.C.Sm.",NA,"Quiinaceae","Quiina","negrensis","A.C.Sm.",NA,NA,"ISOTYPE","8008",NA,"B. A. Krukoff",1936,8,12,"Brazil","Amazonas",NA,"Manaos, basin of Rio Negro; along road to Alexio",NA,NA,NA,"f2b7e5aa-b365-4648-a6ad-b64f9ea6ea00",NA,"Quiina negrensis A.C.Sm."
"107",NA,"NY","NY","63988","Quiina negrensis A.C.Sm.",NA,"Quiinaceae","Quiina","negrensis","A.C.Sm.",NA,NA,"TYPE","8008",NA,"B. A. Krukoff",1936,8,12,"Brazil","Amazonas",NA,"along road to Aleixo.",-59.955906,-3.075656,NA,"5c942926-a685-473d-b0a0-143066af73ef",NA,"Quiina negrensis A.C.Sm."
"108","2010-08-16T16:08:39.000+0000","Harvard University","A","barcode-00062629","Quiina negrensis A.C.Sm.",NA,"Quiinaceae","Quiina","negrensis","A.C.Sm.",NA,NA,"TYPE","8008","8008","B. A. Krukoff",1936,9,1,"Brazil","Amazonas",NA,"Municipality Manaos, along road to Aleixo, terra firma, high forest",NA,NA,NA,NA,NA,"Quiina negrensis A.C.Sm."
"109","2014-07-08T02:11:23.000+0000","JBRJ","RB","RB00323030","Quiina negrensis A.C.Sm.",NA,"Quiinaceae","Quiina","negrensis","A.C.Sm.","A.C. Smith","1939-01-01T00:00:00.000+0000",NA,NA,NA,"A. Ducke",1936,10,31,"Brazil","Amazonas","Manaus","Estrada do aleixo. Mata da T.F. Silva terris altis circa.",NA,NA,"Árvore pequena, fl. verde amarelada. Arbor parva flor. flavescenti-viridilus.","urn:catalog:JBRJ:RB:323030",NA,"Quiina negrensis A.C.Sm."
"110",NA,NA,"Botany","U.1532918","Quiina negrensis A.C.Sm.",NA,"Quiinaceae","Quiina","negrensis","A.C.Sm.",NA,NA,NA,NA,NA,"Ducke A",1936,10,31,"Brazil",NA,NA,"Manaos, silva terris altis circa Estrada do Aleixo.",NA,NA,NA,"http://data.biodiversitydata.nl/naturalis/specimen/U.1532918",NA,"Quiina negrensis A.C.Sm."
"111","2015-04-11T13:53:46.000+0000","S","VascularPlants","S13-15618","Quiina negrensis A.C.Sm.",NA,"Quiinaceae","Quiina","negrensis","A.C.Sm.",NA,NA,NA,"322","322","A. Ducke",1936,10,31,"Brazil","Amazonas",NA,"Brasil, Amazonas: manáos Estrada do Aleixo.",NA,NA,NA,"S:VascularPlants:S13-15618",NA,"Quiina negrensis A.C.Sm."
"112","2015-09-05T08:42:10.000+0000","MNHN","P","P05466550","Quiina negrensis A.C.Sm.",NA,"Quiinaceae","Quiina","negrensis","A.C.Sm.",NA,NA,NA,NA,"322","Ducke, A.",1936,10,31,"Brazil","Amazonas",NA,NA,NA,NA,NA,"http://coldb.mnhn.fr/catalognumber/mnhn/p/p05466550",NA,"Quiina negrensis A.C.Sm."
"113","2011-03-24T10:03:00.000+0000","MO","MO","3018375","Quiina negrensis A.C.Sm.",NA,"Quiinaceae","Quiina","negrensis","A.C.Sm.","Julio V. Schneider (FR)","2000-01-01T00:00:00.000+0000",NA,"Ducke 322",NA,"A. Ducke",1936,10,31,"Brazil","Amazonas",NA,"Manaus, Estrada do Aleixo. Selva não inundável.",NA,NA,NA,"urn:catalog:MO:Tropicos:3018375","http://www.tropicos.org/Specimen/3018375","Quiina negrensis A.C.Sm."
"114","2017-07-05T00:00:00.000+0000","NHMUK","BOT","BM000073188","Quiina negrensis A.C.Sm.",NA,"Quiinaceae","Quiina","negrensis","A.C.Sm.","Julio V. Schneider; Forschungsinstitut Senckenberg",NA,"TYPE","8008","8008","Boris Alexander Krukoff; b.1898; d.1983; Krukoff",1936,NA,NA,"Brazil","Amazonas",NA,"Nearest Named Place: Aleixo; Township: Municipality Manaos",NA,NA,NA,"929fe03e-43f3-4d4a-820c-d5ca82dc886f",NA,"Quiina negrensis A.C.Sm."
"115","2010-09-14T00:00:00.000+0000","BR",NA,"BR0000005293827","Quiina negrensis A.C.Sm.",NA,"Quiinaceae","Quiina","negrensis","A.C.Sm.",NA,NA,"TYPE","8008",NA,"Krukoff B.A.",1936,NA,NA,"Brazil",NA,NA,NA,NA,NA,NA,"http://www.botanicalcollections.be/specimen/BR0000005293827",NA,"Quiina negrensis A.C.Sm."
"116",NA,"NY","NY","63981","Quiina duckei Pires",NA,"Quiinaceae","Quiina","duckei","Pires",NA,NA,"TYPE","238",NA,"W. A. Ducke",1935,7,11,"Brazil","Amazonas",NA,"Borba (R. Madeira infer., Amazonas)",0,0,"Yale Ser. No. 31965","a74aad78-969a-451c-bc15-d7c305173d84",NA,"Quiina duckei Pires"
"117","2017-10-17T16:31:37.000+0000","JBRJ","RB","RB00543048","Quiina duckei Pires",NA,"Quiinaceae","Quiina","duckei","Pires",NA,NA,"ISOTYPE",NA,NA,"Ducke, A.",1935,11,7,"Brazil","Amazonas","Borba","rio madeira, mata de terra firme.",NA,NA,"Árvore pequena, flor amarelado suja","urn:catalog:JBRJ:RB:543048",NA,"Quiina duckei Pires"
"118","2017-10-17T16:51:34.000+0000","JBRJ","RB","RB00558495","Quiina duckei Pires",NA,"Quiinaceae","Quiina","duckei","Pires",NA,NA,"ISOTYPE",NA,NA,"Ducke, A.",1935,11,7,"Brazil","Amazonas","Borba","rio madeira, mata de terra firme.",NA,NA,"Árvore pequena, flor amarelado suja","urn:catalog:JBRJ:RB:558495",NA,"Quiina duckei Pires"
"119","2014-04-10T09:47:00.000+0000","K","Herbarium","K000974953","Quiina duckei Pires",NA,"Quiinaceae","Quiina","duckei","Pires","Amaral, M.C.E.",NA,NA,"35728",NA,"Ducke, A.",1935,11,7,"Brazil",NA,NA,"Borba, Rio Madeira, civit. Amazonas",NA,NA,"Cum ligno 238","http://specimens.kew.org/herbarium/K000974953",NA,"Quiina duckei Pires"
"120","2017-10-17T18:11:14.000+0000","JBRJ","RB","RB00558494","Quiina duckei Pires",NA,"Quiinaceae","Quiina","duckei","Pires",NA,NA,"ISOTYPE",NA,NA,"Ducke, A.",1935,11,7,"Brazil","Amazonas","Borba","rio madeira, mata de terra firme.",NA,NA,"Árvore pequena, flor amarelado suja","urn:catalog:JBRJ:RB:558494",NA,"Quiina duckei Pires"
"121",NA,NA,"Botany","U.1532914","Quiina negrensis A.C.Sm.",NA,"Quiinaceae","Quiina","negrensis","A.C.Sm.",NA,NA,NA,NA,NA,"Ducke A",1926,10,21,"Brazil",NA,NA,"Puxiloi, ad viam ferream inter Belem do Para et bragauca, in silva non inundabili.",NA,NA,NA,"http://data.biodiversitydata.nl/naturalis/specimen/U.1532914",NA,"Quiina negrensis A.C.Sm."
"122",NA,"MBM","MBM","243247","Quiina negrensis A.C.Sm.",NA,"Quiinaceae","Quiina","negrensis","A.C.Sm.","Costa, MAS da",NA,NA,"766",NA,"Costa, MAS da",NA,NA,NA,"Brazil","Amazonas","Manaus","Reserva Florestal Ducke, Manaus - Itacoatiara, km 26",0,0,NA,"BRA:MBM:MBM:0000243247",NA,"Quiina negrensis A.C.Sm."
"123",NA,"US","Botany","USw19496","Quiina negrensis A.C.Sm.",NA,"Quiinaceae","Quiina","negrensis","A.C.Sm.",NA,NA,NA,"8008",NA,"B. A. Krukoff",NA,NA,NA,"Brazil","Amazonas",NA,"Aleixo, Manaos",NA,NA,NA,"http://n2t.net/ark:/65665/300f3ba0e-f264-4876-ae6c-abbaa4fb62fb",NA,"Quiina negrensis A.C.Sm."
"124","2015-11-27T00:00:00.000+0000","K","Herbarium","K001202972","Quiina negrensis A.C.Sm.",NA,"Quiinaceae","Quiina","negrensis","A.C.Sm.",NA,NA,NA,"432",NA,"Assunção, P.A.C.L.",NA,NA,NA,"Brazil",NA,"Manaus","Reserva Florestal Ducke, Manaus-Itacoatiara, km 26.",NA,NA,NA,"http://specimens.kew.org/herbarium/K001202972",NA,"Quiina negrensis A.C.Sm."
