"","modified","institutionCode","collectionCode","catalogNumber","scientificName","family","genus","specificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","locality","decimalLongitude","decimalLatitude","occurrenceRemarks","occurrenceID","bibliographicCitation","acceptedNameUsage","identificationQualifier","infraspecificEpithet","municipality","comments"
"1",NA,"Instituto Amazónico de Investigaciones Científicas SINCHI","COAH","72207","Touroulia amazonica Pires & A.S.Foster","Quiinaceae","Touroulia","amazonica","Pires & A.S.Foster","Clavijo-R., L.","2007-11-01T00:00:00.000+0000",NA,"781",NA,"Clavijo-R., L.",2004,4,16,"Colombia","Vaupés","estación biológica Mosiro Itajura (Caparú)",-69.5175,-1.072778,"Ejemplar botánico","SINCHI:COAH:72207",NA,"Touroulia amazonica Pires & A.S.Foster",NA,NA,NA,NA
"2",NA,"Universidad de Antioquia (UdeA)","HUA","172735","Touroulia amazonica Pires & A.S.Foster","Quiinaceae","Touroulia","amazonica","Pires & A.S.Foster","Clavijo L.","2007-01-01T00:00:00.000+0000",NA,"781",NA,"Clavijo L. | González M. | Tanimuka P.",2004,4,16,"Colombia","Vaupés","""Estación Biológica Mosiro Itajura, Caparú""",-69.517472,-1.072722,NA,"UdeA:HUA:172735",NA,"Touroulia amazonica Pires & A.S.Foster",NA,NA,NA,NA
"3",NA,"Instituto de Investigación de Recursos Biológicos Alexander von Humboldt (IAvH)","FMB","FMB-20674","Touroulia amazonica Pires & A.S.Foster","Quiinaceae","Touroulia","amazonica","Pires & A.S.Foster","Córdoba, Mireya","2004-01-01T00:00:00.000+0000",NA,"1971",NA,"Córdoba, Mireya | Etter, Andrés | Mendoza, Humberto",1996,2,4,"Colombia","Guaviare","Inspec. del Tomachipán. Río Inírida, Caño Cocui, Cerro Cocui, 1.5 km al E de Santa Marta (Cocui).",-71.164139,2.20525,NA,"IAvH:FMB-20674",NA,"Touroulia amazonica Pires & A.S.Foster",NA,NA,NA,NA
"4",NA,NA,"Botany","WAG.1248229","Touroulia amazonica Pires & A.S.Foster","Quiinaceae","Touroulia","amazonica","Pires & A.S.Foster",NA,NA,NA,NA,NA,"Rahajasoa GM; Bernard R; Rabe J",1994,11,14,"Madagascar",NA,"Antsiranana. Parc National de Masoala. Beankoraka.",50.216667,-15.95,NA,"http://data.biodiversitydata.nl/naturalis/specimen/WAG.1248229",NA,"Touroulia amazonica Pires & A.S.Foster",NA,NA,NA,NA
"5","2015-01-28T05:47:00.000+0000","MO","MO","199318","Touroulia amazonica Pires & A.S.Foster","Quiinaceae","Touroulia","amazonica","Pires & A.S.Foster","! Zizka","2002-01-01T00:00:00.000+0000",NA,"Rudas Lleras 5943","254","Agustin Rudas L.|Prieto, Adriana|C. Rodríguez",1992,7,23,"Colombia","Amazonas","Corregimiento de Tarapacá.  Parque Nacional Natural Amaycayacu.  Sector Lorena (R. Cotuhé) bosque de terra-firme.  Parcela permanente #2.  Transecto U3-U2.",-70,-3.033333,NA,"urn:catalog:MO:Tropicos:199318","http://www.tropicos.org/Specimen/199318","Touroulia amazonica Pires & A.S.Foster",NA,NA,NA,NA
"6","2008-05-27T22:02:00.000+0000","MO","MO","199522","Touroulia amazonica Pires & A.S.Foster","Quiinaceae","Touroulia","amazonica","Pires & A.S.Foster","Georg Zizka (FVG 2004)",NA,NA,"Liesner 16259","84-27","Ronald L. Liesner",1984,2,26,"Venezuela, Bolivarian Republic of","Amazonas","Río Negro. On trail south of ""airstrip"". 0.5 km southeast of Cerro de La Neblina Base Camp which is on Río Mawarinuma.",-66.16666,0.83333,NA,"urn:catalog:MO:Tropicos:199522","http://www.tropicos.org/Specimen/199522","Touroulia amazonica Pires & A.S.Foster",NA,NA,NA,NA
"7","2008-05-27T22:02:00.000+0000","MO","MO","199321","Touroulia amazonica Pires & A.S.Foster","Quiinaceae","Touroulia","amazonica","Pires & A.S.Foster","Georg Zizka (FVG 2004)",NA,NA,"Gentry 47138","84-114","Alwyn H. Gentry|Bruce A. Stein",1984,5,3,"Venezuela, Bolivarian Republic of","Amazonas","Trail S from Cerro Neblina base camp on Río Mawarinuma from clear water stream to top of first small stream.",-66.18333,0.83333,NA,"urn:catalog:MO:Tropicos:199321","http://www.tropicos.org/Specimen/199321","Touroulia amazonica Pires & A.S.Foster",NA,NA,NA,NA
"8",NA,"Instituto Amazónico de Investigaciones Científicas SINCHI","COAH","3667","Touroulia amazonica Pires & A.S.Foster","Quiinaceae","Touroulia","amazonica","Pires & A.S.Foster","Cárdenas, D.","1997-01-01T00:00:00.000+0000",NA,"555",NA,"La Rotta, C.",1984,11,14,"Colombia","Amazonas","Santa Isabel, reserva indígena Miraña, trocha a río Mirití-Paraná, bosque secundario",-71.0875,-1.0875,"Ejemplar botánico","SINCHI:COAH:3667",NA,"Touroulia amazonica Pires & A.S.Foster",NA,NA,NA,NA
"9",NA,"ICN","COL","301878","Touroulia amazonica Pires & A.S.Foster","Quiinaceae","Touroulia","amazonica","Pires & A.S.Foster","J. Schneider","2010-01-01T00:00:00.000+0000",NA,"555",NA,"Petei Miraña",1984,11,14,"Colombia","Amazonas","Santa Isabel, Reserva Indigena Miraña, trocha al río Mirití, primer campamento.",NA,NA,NA,"439a5474-84e3-48fe-8638-2f80a914fad7",NA,"Touroulia amazonica Pires & A.S.Foster",NA,NA,NA,NA
"10",NA,"ICN","COL","301210","Touroulia amazonica Pires & A.S.Foster","Quiinaceae","Touroulia","amazonica","Pires & A.S.Foster",NA,NA,NA,"555",NA,"Constanza La Rotta",1984,11,14,"Colombia","Amazonas","Santa Isabel, Reserva Indigena Miraña, trocha al río Mirití, primer campamento.",NA,NA,NA,"7e10a3b1-a756-4115-9ac4-7b200c544f5d",NA,"Touroulia amazonica Pires & A.S.Foster",NA,NA,NA,NA
